date,time_utc,event_type,currency,importance
2021-01-08,13:30,NFP,USD,3
2021-01-13,13:30,CPI,USD,3
2021-01-21,03:00,BOJ,JPY,3
2021-01-27,19:00,FOMC,USD,3
2021-02-05,13:30,NFP,USD,3
2021-02-10,13:30,CPI,USD,3
2021-03-10,13:30,CPI,USD,3
2021-03-19,03:00,BOJ,JPY,3
2021-03-17,18:00,FOMC,USD,3
2021-04-02,12:30,NFP,USD,3
2021-04-13,12:30,CPI,USD,3
2021-04-27,03:00,BOJ,JPY,3
2021-04-28,18:00,FOMC,USD,3
2021-05-07,12:30,NFP,USD,3
2021-05-12,12:30,CPI,USD,3
2021-06-04,12:30,NFP,USD,3
2021-06-10,12:30,CPI,USD,3
2021-06-18,03:00,BOJ,JPY,3
2021-06-16,18:00,FOMC,USD,3
2021-07-02,12:30,NFP,USD,3
2021-07-13,12:30,CPI,USD,3
2021-07-16,03:00,BOJ,JPY,3
2021-07-28,18:00,FOMC,USD,3
2021-08-06,12:30,NFP,USD,3
2021-08-11,12:30,CPI,USD,3
2021-09-03,12:30,NFP,USD,3
2021-09-14,12:30,CPI,USD,3
2021-09-22,03:00,BOJ,JPY,3
2021-09-22,18:00,FOMC,USD,3
2021-10-08,12:30,NFP,USD,3
2021-10-13,12:30,CPI,USD,3
2021-10-28,03:00,BOJ,JPY,3
2021-11-05,12:30,NFP,USD,3
2021-11-10,13:30,CPI,USD,3
2021-11-03,18:00,FOMC,USD,3
2021-12-03,13:30,NFP,USD,3
2021-12-10,13:30,CPI,USD,3
2021-12-17,03:00,BOJ,JPY,3
2021-12-15,19:00,FOMC,USD,3
2022-01-07,13:30,NFP,USD,3
2022-01-12,13:30,CPI,USD,3
2022-01-18,03:00,BOJ,JPY,3
2022-01-26,19:00,FOMC,USD,3
2022-02-04,13:30,NFP,USD,3
2022-02-10,13:30,CPI,USD,3
2022-03-04,13:30,NFP,USD,3
2022-03-10,13:30,CPI,USD,3
2022-03-18,03:00,BOJ,JPY,3
2022-03-16,18:00,FOMC,USD,3
2022-04-01,12:30,NFP,USD,3
2022-04-12,12:30,CPI,USD,3
