date,time_utc,event_type,currency,importance
2021-01-21,03:00,BOJ,JPY,3
2021-03-19,03:00,BOJ,JPY,3
2021-04-27,03:00,BOJ,JPY,3
2021-06-18,03:00,BOJ,JPY,3
2021-07-16,03:00,BOJ,JPY,3
2021-09-22,03:00,BOJ,JPY,3
2021-10-28,03:00,BOJ,JPY,3
2021-12-17,03:00,BOJ,JPY,3
2022-01-18,03:00,BOJ,JPY,3
2022-03-18,03:00,BOJ,JPY,3
2022-04-28,03:00,BOJ,JPY,3
2022-06-17,03:00,BOJ,JPY,3
2022-07-21,03:00,BOJ,JPY,3
2022-09-22,03:00,BOJ,JPY,3
2022-10-28,03:00,BOJ,JPY,3
2022-12-20,03:00,BOJ,JPY,3
2023-01-18,03:00,BOJ,JPY,3
2023-03-10,03:00,BOJ,JPY,3
2023-04-28,03:00,BOJ,JPY,3
2023-06-16,03:00,BOJ,JPY,3
2023-07-28,03:00,BOJ,JPY,3
2023-09-22,03:00,BOJ,JPY,3
2023-10-31,03:00,BOJ,JPY,3
2023-12-19,03:00,BOJ,JPY,3
2024-01-23,03:00,BOJ,JPY,3
2024-03-19,03:00,BOJ,JPY,3
2024-04-26,03:00,BOJ,JPY,3
2024-06-14,03:00,BOJ,JPY,3
2024-07-31,03:00,BOJ,JPY,3
2024-09-20,03:00,BOJ,JPY,3
2024-10-31,03:00,BOJ,JPY,3
2024-12-19,03:00,BOJ,JPY,3
2025-01-24,03:00,BOJ,JPY,3
2025-03-19,03:00,BOJ,JPY,3
2025-05-01,03:00,BOJ,JPY,3
2025-06-17,03:00,BOJ,JPY,3
2025-07-31,03:00,BOJ,JPY,3
2025-09-19,03:00,BOJ,JPY,3
2025-10-30,03:00,BOJ,JPY,3
2025-12-19,03:00,BOJ,JPY,3
2021-01-27,19:00,FOMC,USD,3
2021-03-17,18:00,FOMC,USD,3
2021-04-28,18:00,FOMC,USD,3
2021-06-16,18:00,FOMC,USD,3
2021-07-28,18:00,FOMC,USD,3
2021-09-22,18:00,FOMC,USD,3
2021-11-03,18:00,FOMC,USD,3
2021-12-15,19:00,FOMC,USD,3
2022-01-26,19:00,FOMC,USD,3
2022-03-16,18:00,FOMC,USD,3
2022-05-04,18:00,FOMC,USD,3
2022-06-15,18:00,FOMC,USD,3
2022-07-27,18:00,FOMC,USD,3
2022-09-21,18:00,FOMC,USD,3
2022-11-02,18:00,FOMC,USD,3
2022-12-14,19:00,FOMC,USD,3
2023-02-01,19:00,FOMC,USD,3
2023-03-22,18:00,FOMC,USD,3
2023-05-03,18:00,FOMC,USD,3
2023-06-14,18:00,FOMC,USD,3
2023-07-26,18:00,FOMC,USD,3
2023-09-20,18:00,FOMC,USD,3
2023-11-01,18:00,FOMC,USD,3
2023-12-13,19:00,FOMC,USD,3
2024-01-31,19:00,FOMC,USD,3
2024-03-20,18:00,FOMC,USD,3
2024-05-01,18:00,FOMC,USD,3
2024-06-12,18:00,FOMC,USD,3
2024-07-31,18:00,FOMC,USD,3
2024-09-18,18:00,FOMC,USD,3
2024-11-07,19:00,FOMC,USD,3
2024-12-18,19:00,FOMC,USD,3
2025-01-29,19:00,FOMC,USD,3
2025-03-19,18:00,FOMC,USD,3
2025-05-07,18:00,FOMC,USD,3
2025-06-18,18:00,FOMC,USD,3
2025-07-30,18:00,FOMC,USD,3
2025-09-17,18:00,FOMC,USD,3
2025-10-29,18:00,FOMC,USD,3
2025-12-10,19:00,FOMC,USD,3
