ticket,order,time,time_msc,symbol,type,entry,volume,price,commission,swap,profit,fee,position_id,comment
386407726,0,1782139578,1782139578474,,2,0,0.0,0.0,0.0,0.0,100000.0,0.0,0,INITIAL_DEPOSIT
391774213,573338240,1783436167,1783436167072,BTCUSD,1,0,1.0,63343.48,-19.0,0.0,0.0,0.0,573338240,
391781246,573345696,1783436662,1783436662781,BTCUSD,0,1,1.0,63450.64,-19.04,0.0,-107.16,0.0,573338240,[sl 63450.42]
392400479,574028833,1783530877,1783530877105,EURUSD,0,0,1.0,1.1408,-4.0,0.0,0.0,0.0,574028833,
392735519,574397187,1783598278,1783598278495,EURUSD,1,1,1.0,1.14265,0.0,-19.8,185.0,0.0,574028833,[sl 1.14265]
392788715,574457416,1783608189,1783608189866,BTCUSD,0,0,1.0,62615.76,-18.78,0.0,0.0,0.0,574457416,
392848189,574522864,1783614608,1783614608732,BTCUSD,1,1,1.0,62699.84,-18.81,0.0,84.08,0.0,574457416,
392887909,574564815,1783617036,1783617036757,BTCUSD,0,0,1.0,62863.4,-18.86,0.0,0.0,0.0,574564815,
392921717,574601076,1783619790,1783619790043,BTCUSD,1,1,1.0,62924.33,-18.88,0.0,60.93,0.0,574564815,
392957732,574640212,1783625969,1783625969985,EURUSD,0,0,1.0,1.14386,-4.0,0.0,0.0,0.0,574640212,
392990193,574677662,1783636296,1783636296676,EURUSD,1,1,1.0,1.14276,0.0,0.0,-110.0,0.0,574640212,[sl 1.14276]
