ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.33771,1.3377,1028,0.0,GBPUSD,1784036800171,2026-07-14T13:46:40.171000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036800414,2026-07-14T13:46:40.414000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036801151,2026-07-14T13:46:41.151000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036801525,2026-07-14T13:46:41.525000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036801899,2026-07-14T13:46:41.899000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036802020,2026-07-14T13:46:42.020000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036802641,2026-07-14T13:46:42.641000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036803016,2026-07-14T13:46:43.016000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036805250,2026-07-14T13:46:45.250000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036805497,2026-07-14T13:46:45.497000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036805746,2026-07-14T13:46:45.746000Z,0.0
1.33769,1.33768,1028,0.0,GBPUSD,1784036805815,2026-07-14T13:46:45.815000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784036805836,2026-07-14T13:46:45.836000Z,0.0
1.3377,1.33769,1028,0.0,GBPUSD,1784036805888,2026-07-14T13:46:45.888000Z,0.0
1.3377,1.3377,1026,0.0,GBPUSD,1784036805898,2026-07-14T13:46:45.898000Z,0.0
1.33771,1.3377,1028,0.0,GBPUSD,1784036806032,2026-07-14T13:46:46.032000Z,0.0
1.33771,1.33771,1026,0.0,GBPUSD,1784036806047,2026-07-14T13:46:46.047000Z,0.0
1.33772,1.33771,1028,0.0,GBPUSD,1784036806122,2026-07-14T13:46:46.122000Z,0.0
1.33772,1.33772,1026,0.0,GBPUSD,1784036806131,2026-07-14T13:46:46.131000Z,0.0
1.33773,1.33773,1030,0.0,GBPUSD,1784036806724,2026-07-14T13:46:46.724000Z,0.0
1.33772,1.33772,1030,0.0,GBPUSD,1784036806739,2026-07-14T13:46:46.739000Z,0.0
1.33773,1.33773,1030,0.0,GBPUSD,1784036807735,2026-07-14T13:46:47.735000Z,0.0
1.33774,1.33773,1028,0.0,GBPUSD,1784036807743,2026-07-14T13:46:47.743000Z,0.0
1.33773,1.33773,1028,0.0,GBPUSD,1784036808025,2026-07-14T13:46:48.025000Z,0.0
1.33773,1.33772,1026,0.0,GBPUSD,1784036808105,2026-07-14T13:46:48.105000Z,0.0
1.33772,1.33772,1028,0.0,GBPUSD,1784036808309,2026-07-14T13:46:48.309000Z,0.0
1.33773,1.33773,1030,0.0,GBPUSD,1784036808354,2026-07-14T13:46:48.354000Z,0.0
1.33772,1.33772,1030,0.0,GBPUSD,1784036808480,2026-07-14T13:46:48.480000Z,0.0
1.33771,1.33771,1030,0.0,GBPUSD,1784036808976,2026-07-14T13:46:48.976000Z,0.0
1.33772,1.33772,1030,0.0,GBPUSD,1784036809099,2026-07-14T13:46:49.099000Z,0.0
1.33773,1.33773,1030,0.0,GBPUSD,1784036809114,2026-07-14T13:46:49.114000Z,0.0
1.33775,1.33774,1030,0.0,GBPUSD,1784036809486,2026-07-14T13:46:49.486000Z,0.0
1.33775,1.33773,1026,0.0,GBPUSD,1784036809610,2026-07-14T13:46:49.610000Z,0.0
1.33775,1.33774,1026,0.0,GBPUSD,1784036809735,2026-07-14T13:46:49.735000Z,0.0
1.33775,1.33773,1026,0.0,GBPUSD,1784036810234,2026-07-14T13:46:50.234000Z,0.0
1.33773,1.33772,1030,0.0,GBPUSD,1784036810338,2026-07-14T13:46:50.338000Z,0.0
1.33772,1.33772,1028,0.0,GBPUSD,1784036810347,2026-07-14T13:46:50.347000Z,0.0
1.33772,1.33771,1026,0.0,GBPUSD,1784036810358,2026-07-14T13:46:50.358000Z,0.0
1.33771,1.33771,1028,0.0,GBPUSD,1784036813795,2026-07-14T13:46:53.795000Z,0.0
1.33772,1.33771,1028,0.0,GBPUSD,1784036814008,2026-07-14T13:46:54.008000Z,0.0
1.33771,1.33771,1028,0.0,GBPUSD,1784036814225,2026-07-14T13:46:54.225000Z,0.0
1.33772,1.33771,1028,0.0,GBPUSD,1784036814300,2026-07-14T13:46:54.300000Z,0.0
1.33771,1.33771,1028,0.0,GBPUSD,1784036815684,2026-07-14T13:46:55.684000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036815695,2026-07-14T13:46:55.695000Z,0.0
1.33771,1.33771,1026,0.0,GBPUSD,1784036815943,2026-07-14T13:46:55.943000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036816068,2026-07-14T13:46:56.068000Z,0.0
1.33771,1.33771,1026,0.0,GBPUSD,1784036816316,2026-07-14T13:46:56.316000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036816440,2026-07-14T13:46:56.440000Z,0.0
1.33771,1.33771,1026,0.0,GBPUSD,1784036816813,2026-07-14T13:46:56.813000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036816938,2026-07-14T13:46:56.938000Z,0.0
1.33769,1.33769,1030,0.0,GBPUSD,1784036819394,2026-07-14T13:46:59.394000Z,0.0
1.33771,1.3377,1030,0.0,GBPUSD,1784036819659,2026-07-14T13:46:59.659000Z,0.0
1.3377,1.3377,1030,0.0,GBPUSD,1784036820031,2026-07-14T13:47:00.031000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036820045,2026-07-14T13:47:00.045000Z,0.0
1.33771,1.33769,1028,0.0,GBPUSD,1784036820528,2026-07-14T13:47:00.528000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036820538,2026-07-14T13:47:00.538000Z,0.0
1.3377,1.3377,1028,0.0,GBPUSD,1784036822266,2026-07-14T13:47:02.266000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036822276,2026-07-14T13:47:02.276000Z,0.0
1.33771,1.33769,1028,0.0,GBPUSD,1784036822718,2026-07-14T13:47:02.718000Z,0.0
1.33772,1.3377,1030,0.0,GBPUSD,1784036823147,2026-07-14T13:47:03.147000Z,0.0
1.33771,1.3377,1028,0.0,GBPUSD,1784036824254,2026-07-14T13:47:04.254000Z,0.0
1.33771,1.33769,1026,0.0,GBPUSD,1784036824263,2026-07-14T13:47:04.263000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036824760,2026-07-14T13:47:04.760000Z,0.0
1.33772,1.33771,1030,0.0,GBPUSD,1784036824836,2026-07-14T13:47:04.836000Z,0.0
1.33772,1.33769,1026,0.0,GBPUSD,1784036824884,2026-07-14T13:47:04.884000Z,0.0
1.33771,1.33769,1028,0.0,GBPUSD,1784036824908,2026-07-14T13:47:04.908000Z,0.0
1.33771,1.3377,1026,0.0,GBPUSD,1784036825008,2026-07-14T13:47:05.008000Z,0.0
1.3377,1.3377,1028,0.0,GBPUSD,1784036825618,2026-07-14T13:47:05.618000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036825629,2026-07-14T13:47:05.629000Z,0.0
1.33769,1.33769,1028,0.0,GBPUSD,1784036826614,2026-07-14T13:47:06.614000Z,0.0
1.33769,1.33768,1026,0.0,GBPUSD,1784036826624,2026-07-14T13:47:06.624000Z,0.0
1.3377,1.33768,1028,0.0,GBPUSD,1784036826740,2026-07-14T13:47:06.740000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036826747,2026-07-14T13:47:06.747000Z,0.0
1.33769,1.33769,1028,0.0,GBPUSD,1784036827732,2026-07-14T13:47:07.732000Z,0.0
1.33769,1.33768,1026,0.0,GBPUSD,1784036827741,2026-07-14T13:47:07.741000Z,0.0
1.3377,1.33768,1028,0.0,GBPUSD,1784036827977,2026-07-14T13:47:07.977000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036827987,2026-07-14T13:47:07.987000Z,0.0
1.33769,1.33769,1028,0.0,GBPUSD,1784036828225,2026-07-14T13:47:08.225000Z,0.0
1.33769,1.33768,1026,0.0,GBPUSD,1784036828236,2026-07-14T13:47:08.236000Z,0.0
1.3377,1.33768,1028,0.0,GBPUSD,1784036828474,2026-07-14T13:47:08.474000Z,0.0
1.3377,1.33769,1026,0.0,GBPUSD,1784036828484,2026-07-14T13:47:08.484000Z,0.0
1.33769,1.33769,1028,0.0,GBPUSD,1784036829093,2026-07-14T13:47:09.093000Z,0.0
1.33769,1.33768,1026,0.0,GBPUSD,1784036829104,2026-07-14T13:47:09.104000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036829666,2026-07-14T13:47:09.666000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036830091,2026-07-14T13:47:10.091000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036830141,2026-07-14T13:47:10.141000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036832697,2026-07-14T13:47:12.697000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036833430,2026-07-14T13:47:13.430000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036835676,2026-07-14T13:47:15.676000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036835801,2026-07-14T13:47:15.801000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036836052,2026-07-14T13:47:16.052000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036836546,2026-07-14T13:47:16.546000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036836671,2026-07-14T13:47:16.671000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036836793,2026-07-14T13:47:16.793000Z,0.0
1.33768,1.33768,1030,0.0,GBPUSD,1784036846732,2026-07-14T13:47:26.732000Z,0.0
1.3376700000000001,1.3376700000000001,1030,0.0,GBPUSD,1784036846851,2026-07-14T13:47:26.851000Z,0.0
1.34166,1.34164,1028,0.0,GBPUSD,1784047814340,2026-07-14T16:50:14.340000Z,0.0
1.34169,1.34165,1026,0.0,GBPUSD,1784047815948,2026-07-14T16:50:15.948000Z,0.0
1.34167,1.34164,1028,0.0,GBPUSD,1784047817491,2026-07-14T16:50:17.491000Z,0.0
1.34167,1.34165,1028,0.0,GBPUSD,1784047818648,2026-07-14T16:50:18.648000Z,0.0
1.34174,1.34171,1028,0.0,GBPUSD,1784047820605,2026-07-14T16:50:20.605000Z,0.0
1.34162,1.3416000000000001,1028,0.0,GBPUSD,1784047822225,2026-07-14T16:50:22.225000Z,0.0
1.3416299999999999,1.3416000000000001,1026,0.0,GBPUSD,1784047823789,2026-07-14T16:50:23.789000Z,0.0
1.3416299999999999,1.34161,1026,0.0,GBPUSD,1784047824966,2026-07-14T16:50:24.966000Z,0.0
1.34164,1.34162,1028,0.0,GBPUSD,1784047826989,2026-07-14T16:50:26.989000Z,0.0
1.34164,1.34162,1026,0.0,GBPUSD,1784047828033,2026-07-14T16:50:28.033000Z,0.0
1.34159,1.34157,1030,0.0,GBPUSD,1784047830197,2026-07-14T16:50:30.197000Z,0.0
1.34155,1.3415,1026,0.0,GBPUSD,1784047831747,2026-07-14T16:50:31.747000Z,0.0
1.34148,1.34145,1028,0.0,GBPUSD,1784047833349,2026-07-14T16:50:33.349000Z,0.0
1.34148,1.34146,1028,0.0,GBPUSD,1784047834087,2026-07-14T16:50:34.087000Z,0.0
1.3415,1.34148,1030,0.0,GBPUSD,1784047836498,2026-07-14T16:50:36.498000Z,0.0
1.34152,1.3415,1028,0.0,GBPUSD,1784047837875,2026-07-14T16:50:37.875000Z,0.0
1.34152,1.34149,1028,0.0,GBPUSD,1784047839674,2026-07-14T16:50:39.674000Z,0.0
1.3415599999999999,1.34154,1026,0.0,GBPUSD,1784047841236,2026-07-14T16:50:41.236000Z,0.0
1.34154,1.34152,1026,0.0,GBPUSD,1784047842904,2026-07-14T16:50:42.904000Z,0.0
1.34155,1.3415300000000001,1026,0.0,GBPUSD,1784047844474,2026-07-14T16:50:44.474000Z,0.0
1.34157,1.34155,1028,0.0,GBPUSD,1784047845834,2026-07-14T16:50:45.834000Z,0.0
1.3415300000000001,1.34151,1028,0.0,GBPUSD,1784047847626,2026-07-14T16:50:47.626000Z,0.0
1.34152,1.3415,1030,0.0,GBPUSD,1784047849051,2026-07-14T16:50:49.051000Z,0.0
1.34151,1.34149,1030,0.0,GBPUSD,1784047850224,2026-07-14T16:50:50.224000Z,0.0
1.34149,1.34146,1026,0.0,GBPUSD,1784047852425,2026-07-14T16:50:52.425000Z,0.0
