ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4083.95,4083.43,1030,0.0,XAUUSD,1784047893340,2026-07-14T16:51:33.340000Z,0.0
4083.72,4083.16,1026,0.0,XAUUSD,1784047895374,2026-07-14T16:51:35.374000Z,0.0
4084.43,4083.91,1028,0.0,XAUUSD,1784047897519,2026-07-14T16:51:37.519000Z,0.0
4084.33,4083.8,1026,0.0,XAUUSD,1784047899607,2026-07-14T16:51:39.607000Z,0.0
4083.94,4083.41,1028,0.0,XAUUSD,1784047901696,2026-07-14T16:51:41.696000Z,0.0
4083.81,4083.27,1028,0.0,XAUUSD,1784047903770,2026-07-14T16:51:43.770000Z,0.0
4083.97,4083.46,1030,0.0,XAUUSD,1784047905859,2026-07-14T16:51:45.859000Z,0.0
4084.08,4083.56,1026,0.0,XAUUSD,1784047907965,2026-07-14T16:51:47.965000Z,0.0
4084.14,4083.63,1028,0.0,XAUUSD,1784047910052,2026-07-14T16:51:50.052000Z,0.0
4084.0,4083.49,1030,0.0,XAUUSD,1784047912132,2026-07-14T16:51:52.132000Z,0.0
4084.21,4083.7,1028,0.0,XAUUSD,1784047914141,2026-07-14T16:51:54.141000Z,0.0
4083.66,4083.14,1030,0.0,XAUUSD,1784047916293,2026-07-14T16:51:56.293000Z,0.0
4082.29,4081.76,1028,0.0,XAUUSD,1784047918314,2026-07-14T16:51:58.314000Z,0.0
4082.87,4082.35,1030,0.0,XAUUSD,1784047920451,2026-07-14T16:52:00.451000Z,0.0
4082.91,4082.4,1030,0.0,XAUUSD,1784047922541,2026-07-14T16:52:02.541000Z,0.0
4081.61,4080.96,1026,0.0,XAUUSD,1784047924632,2026-07-14T16:52:04.632000Z,0.0
4081.49,4080.89,1030,0.0,XAUUSD,1784047926688,2026-07-14T16:52:06.688000Z,0.0
4081.01,4080.49,1030,0.0,XAUUSD,1784047928776,2026-07-14T16:52:08.776000Z,0.0
4081.51,4081.0,1030,0.0,XAUUSD,1784047930851,2026-07-14T16:52:10.851000Z,0.0
4081.18,4080.66,1030,0.0,XAUUSD,1784047932916,2026-07-14T16:52:12.916000Z,0.0
4081.2,4080.67,1030,0.0,XAUUSD,1784047935015,2026-07-14T16:52:15.015000Z,0.0
4080.39,4079.88,1030,0.0,XAUUSD,1784047937101,2026-07-14T16:52:17.101000Z,0.0
4081.06,4080.54,1030,0.0,XAUUSD,1784047939200,2026-07-14T16:52:19.200000Z,0.0
4080.83,4080.31,1030,0.0,XAUUSD,1784047941299,2026-07-14T16:52:21.299000Z,0.0
4080.72,4080.21,1030,0.0,XAUUSD,1784047943391,2026-07-14T16:52:23.391000Z,0.0
4081.12,4080.52,1028,0.0,XAUUSD,1784047945465,2026-07-14T16:52:25.465000Z,0.0
4080.55,4080.02,1030,0.0,XAUUSD,1784047947535,2026-07-14T16:52:27.535000Z,0.0
4080.73,4080.21,1026,0.0,XAUUSD,1784047949651,2026-07-14T16:52:29.651000Z,0.0
