ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.14519,1.14517,1030,0.0,EURUSD,1784049798551,2026-07-14T17:23:18.551000Z,0.0
1.14517,1.1451500000000001,1030,0.0,EURUSD,1784049801193,2026-07-14T17:23:21.193000Z,0.0
1.14519,1.14517,1030,0.0,EURUSD,1784049802318,2026-07-14T17:23:22.318000Z,0.0
1.14517,1.1451500000000001,1030,0.0,EURUSD,1784049804928,2026-07-14T17:23:24.928000Z,0.0
1.14519,1.14517,1030,0.0,EURUSD,1784049806668,2026-07-14T17:23:26.668000Z,0.0
1.14522,1.1452,1030,0.0,EURUSD,1784049808940,2026-07-14T17:23:28.940000Z,0.0
1.14513,1.14511,1028,0.0,EURUSD,1784049811575,2026-07-14T17:23:31.575000Z,0.0
1.1451,1.14508,1026,0.0,EURUSD,1784049813131,2026-07-14T17:23:33.131000Z,0.0
1.14505,1.14503,1030,0.0,EURUSD,1784049815192,2026-07-14T17:23:35.192000Z,0.0
1.14507,1.14505,1030,0.0,EURUSD,1784049817842,2026-07-14T17:23:37.842000Z,0.0
1.14503,1.14501,1030,0.0,EURUSD,1784049819901,2026-07-14T17:23:39.901000Z,0.0
1.14505,1.14503,1030,0.0,EURUSD,1784049821959,2026-07-14T17:23:41.959000Z,0.0
1.14497,1.14495,1026,0.0,EURUSD,1784049824140,2026-07-14T17:23:44.140000Z,0.0
1.1449799999999999,1.14496,1030,0.0,EURUSD,1784049826411,2026-07-14T17:23:46.411000Z,0.0
1.1448800000000001,1.14486,1030,0.0,EURUSD,1784049827895,2026-07-14T17:23:47.895000Z,0.0
1.14484,1.14482,1026,0.0,EURUSD,1784049830388,2026-07-14T17:23:50.388000Z,0.0
1.14484,1.14482,1030,0.0,EURUSD,1784049832058,2026-07-14T17:23:52.058000Z,0.0
1.14487,1.14483,1030,0.0,EURUSD,1784049834807,2026-07-14T17:23:54.807000Z,0.0
1.1448,1.14478,1030,0.0,EURUSD,1784049836838,2026-07-14T17:23:56.838000Z,0.0
1.14486,1.14484,1030,0.0,EURUSD,1784049838757,2026-07-14T17:23:58.757000Z,0.0
1.14489,1.14487,1030,0.0,EURUSD,1784049840983,2026-07-14T17:24:00.983000Z,0.0
1.14492,1.1449,1030,0.0,EURUSD,1784049843092,2026-07-14T17:24:03.092000Z,0.0
1.14492,1.1449,1030,0.0,EURUSD,1784049844463,2026-07-14T17:24:04.463000Z,0.0
1.14485,1.14483,1030,0.0,EURUSD,1784049847369,2026-07-14T17:24:07.369000Z,0.0
1.14485,1.14483,1030,0.0,EURUSD,1784049849253,2026-07-14T17:24:09.253000Z,0.0
1.14489,1.14487,1030,0.0,EURUSD,1784049850845,2026-07-14T17:24:10.845000Z,0.0
1.1449,1.1448800000000001,1030,0.0,EURUSD,1784049853588,2026-07-14T17:24:13.588000Z,0.0
1.14493,1.14491,1030,0.0,EURUSD,1784049855654,2026-07-14T17:24:15.654000Z,0.0
1.14494,1.14492,1030,0.0,EURUSD,1784049857694,2026-07-14T17:24:17.694000Z,0.0
1.1449,1.1448800000000001,1030,0.0,EURUSD,1784049859888,2026-07-14T17:24:19.888000Z,0.0
