ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.34142,1.34139,1028,0.0,GBPUSD,1784049799165,2026-07-14T17:23:19.165000Z,0.0
1.3413599999999999,1.3413300000000001,1028,0.0,GBPUSD,1784049801292,2026-07-14T17:23:21.292000Z,0.0
1.3413300000000001,1.34131,1030,0.0,GBPUSD,1784049803070,2026-07-14T17:23:23.070000Z,0.0
1.34132,1.3413,1030,0.0,GBPUSD,1784049805200,2026-07-14T17:23:25.200000Z,0.0
1.34138,1.3413599999999999,1026,0.0,GBPUSD,1784049806426,2026-07-14T17:23:26.426000Z,0.0
1.34138,1.3413599999999999,1030,0.0,GBPUSD,1784049809568,2026-07-14T17:23:29.568000Z,0.0
1.3413,1.34128,1026,0.0,GBPUSD,1784049811739,2026-07-14T17:23:31.739000Z,0.0
1.34125,1.34123,1030,0.0,GBPUSD,1784049813260,2026-07-14T17:23:33.260000Z,0.0
1.34122,1.3412,1030,0.0,GBPUSD,1784049815394,2026-07-14T17:23:35.394000Z,0.0
1.34117,1.34113,1028,0.0,GBPUSD,1784049817666,2026-07-14T17:23:37.666000Z,0.0
1.34112,1.3411,1026,0.0,GBPUSD,1784049819599,2026-07-14T17:23:39.599000Z,0.0
1.34113,1.34111,1026,0.0,GBPUSD,1784049822168,2026-07-14T17:23:42.168000Z,0.0
1.34107,1.34103,1028,0.0,GBPUSD,1784049824247,2026-07-14T17:23:44.247000Z,0.0
1.34106,1.34103,1026,0.0,GBPUSD,1784049826135,2026-07-14T17:23:46.135000Z,0.0
1.341,1.34098,1026,0.0,GBPUSD,1784049828105,2026-07-14T17:23:48.105000Z,0.0
1.3409,1.34087,1026,0.0,GBPUSD,1784049830485,2026-07-14T17:23:50.485000Z,0.0
1.34091,1.34087,1028,0.0,GBPUSD,1784049832694,2026-07-14T17:23:52.694000Z,0.0
1.3409499999999999,1.34093,1028,0.0,GBPUSD,1784049834808,2026-07-14T17:23:54.808000Z,0.0
1.34087,1.34083,1026,0.0,GBPUSD,1784049836888,2026-07-14T17:23:56.888000Z,0.0
1.34088,1.34086,1028,0.0,GBPUSD,1784049838781,2026-07-14T17:23:58.781000Z,0.0
1.34091,1.34089,1028,0.0,GBPUSD,1784049841017,2026-07-14T17:24:01.017000Z,0.0
1.34094,1.3409,1028,0.0,GBPUSD,1784049842757,2026-07-14T17:24:02.757000Z,0.0
1.34093,1.34091,1030,0.0,GBPUSD,1784049844947,2026-07-14T17:24:04.947000Z,0.0
1.34087,1.34084,1028,0.0,GBPUSD,1784049846738,2026-07-14T17:24:06.738000Z,0.0
1.34094,1.3409200000000001,1030,0.0,GBPUSD,1784049849316,2026-07-14T17:24:09.316000Z,0.0
