ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
161.903,161.901,1026,0.0,USDJPY,1784049799239,2026-07-14T17:23:19.239000Z,0.0
161.905,161.903,1026,0.0,USDJPY,1784049801395,2026-07-14T17:23:21.395000Z,0.0
161.903,161.9,1030,0.0,USDJPY,1784049803340,2026-07-14T17:23:23.340000Z,0.0
161.904,161.901,1028,0.0,USDJPY,1784049803696,2026-07-14T17:23:23.696000Z,0.0
161.903,161.9,1030,0.0,USDJPY,1784049807148,2026-07-14T17:23:27.148000Z,0.0
161.902,161.9,1028,0.0,USDJPY,1784049809249,2026-07-14T17:23:29.249000Z,0.0
161.909,161.907,1026,0.0,USDJPY,1784049811738,2026-07-14T17:23:31.738000Z,0.0
161.911,161.909,1028,0.0,USDJPY,1784049812906,2026-07-14T17:23:32.906000Z,0.0
161.913,161.91,1028,0.0,USDJPY,1784049815620,2026-07-14T17:23:35.620000Z,0.0
161.913,161.91,1026,0.0,USDJPY,1784049817882,2026-07-14T17:23:37.882000Z,0.0
161.914,161.911,1028,0.0,USDJPY,1784049818749,2026-07-14T17:23:38.749000Z,0.0
161.916,161.914,1026,0.0,USDJPY,1784049822331,2026-07-14T17:23:42.331000Z,0.0
161.924,161.922,1030,0.0,USDJPY,1784049824344,2026-07-14T17:23:44.344000Z,0.0
161.925,161.922,1028,0.0,USDJPY,1784049826190,2026-07-14T17:23:46.190000Z,0.0
161.937,161.935,1028,0.0,USDJPY,1784049828595,2026-07-14T17:23:48.595000Z,0.0
161.948,161.946,1026,0.0,USDJPY,1784049830708,2026-07-14T17:23:50.708000Z,0.0
161.952,161.947,1028,0.0,USDJPY,1784049832713,2026-07-14T17:23:52.713000Z,0.0
161.949,161.946,1030,0.0,USDJPY,1784049834848,2026-07-14T17:23:54.848000Z,0.0
161.954,161.952,1030,0.0,USDJPY,1784049836967,2026-07-14T17:23:56.967000Z,0.0
161.944,161.942,1030,0.0,USDJPY,1784049839075,2026-07-14T17:23:59.075000Z,0.0
161.943,161.941,1030,0.0,USDJPY,1784049841169,2026-07-14T17:24:01.169000Z,0.0
161.942,161.94,1028,0.0,USDJPY,1784049842849,2026-07-14T17:24:02.849000Z,0.0
161.942,161.94,1028,0.0,USDJPY,1784049844495,2026-07-14T17:24:04.495000Z,0.0
161.944,161.942,1026,0.0,USDJPY,1784049847075,2026-07-14T17:24:07.075000Z,0.0
161.944,161.942,1026,0.0,USDJPY,1784049848855,2026-07-14T17:24:08.855000Z,0.0
161.945,161.943,1030,0.0,USDJPY,1784049851656,2026-07-14T17:24:11.656000Z,0.0
161.945,161.942,1030,0.0,USDJPY,1784049853479,2026-07-14T17:24:13.479000Z,0.0
161.94,161.937,1028,0.0,USDJPY,1784049855808,2026-07-14T17:24:15.808000Z,0.0
161.939,161.937,1028,0.0,USDJPY,1784049857772,2026-07-14T17:24:17.772000Z,0.0
161.946,161.943,1028,0.0,USDJPY,1784049859754,2026-07-14T17:24:19.754000Z,0.0
161.951,161.949,1026,0.0,USDJPY,1784049861771,2026-07-14T17:24:21.771000Z,0.0
161.953,161.951,1026,0.0,USDJPY,1784049864159,2026-07-14T17:24:24.159000Z,0.0
161.956,161.954,1030,0.0,USDJPY,1784049866260,2026-07-14T17:24:26.260000Z,0.0
161.959,161.957,1026,0.0,USDJPY,1784049868325,2026-07-14T17:24:28.325000Z,0.0
161.961,161.959,1028,0.0,USDJPY,1784049870287,2026-07-14T17:24:30.287000Z,0.0
161.953,161.951,1030,0.0,USDJPY,1784049872104,2026-07-14T17:24:32.104000Z,0.0
161.956,161.953,1028,0.0,USDJPY,1784049873950,2026-07-14T17:24:33.950000Z,0.0
161.957,161.954,1028,0.0,USDJPY,1784049876780,2026-07-14T17:24:36.780000Z,0.0
161.952,161.95,1028,0.0,USDJPY,1784049878548,2026-07-14T17:24:38.548000Z,0.0
161.949,161.947,1028,0.0,USDJPY,1784049880786,2026-07-14T17:24:40.786000Z,0.0
161.95,161.948,1028,0.0,USDJPY,1784049882510,2026-07-14T17:24:42.510000Z,0.0
161.953,161.951,1028,0.0,USDJPY,1784049885235,2026-07-14T17:24:45.235000Z,0.0
161.949,161.947,1028,0.0,USDJPY,1784049886473,2026-07-14T17:24:46.473000Z,0.0
161.951,161.949,1030,0.0,USDJPY,1784049889385,2026-07-14T17:24:49.385000Z,0.0
161.959,161.956,1030,0.0,USDJPY,1784049891448,2026-07-14T17:24:51.448000Z,0.0
161.956,161.954,1026,0.0,USDJPY,1784049893186,2026-07-14T17:24:53.186000Z,0.0
161.956,161.954,1030,0.0,USDJPY,1784049895200,2026-07-14T17:24:55.200000Z,0.0
161.957,161.955,1030,0.0,USDJPY,1784049897775,2026-07-14T17:24:57.775000Z,0.0
161.958,161.955,1028,0.0,USDJPY,1784049899526,2026-07-14T17:24:59.526000Z,0.0
161.957,161.954,1030,0.0,USDJPY,1784049901888,2026-07-14T17:25:01.888000Z,0.0
161.958,161.955,1026,0.0,USDJPY,1784049903989,2026-07-14T17:25:03.989000Z,0.0
161.954,161.951,1028,0.0,USDJPY,1784049905783,2026-07-14T17:25:05.783000Z,0.0
161.953,161.951,1028,0.0,USDJPY,1784049907861,2026-07-14T17:25:07.861000Z,0.0
161.953,161.951,1026,0.0,USDJPY,1784049909589,2026-07-14T17:25:09.589000Z,0.0
161.953,161.95,1026,0.0,USDJPY,1784049912437,2026-07-14T17:25:12.437000Z,0.0
161.949,161.947,1030,0.0,USDJPY,1784049914482,2026-07-14T17:25:14.482000Z,0.0
161.954,161.951,1030,0.0,USDJPY,1784049916433,2026-07-14T17:25:16.433000Z,0.0
161.955,161.953,1030,0.0,USDJPY,1784049918684,2026-07-14T17:25:18.684000Z,0.0
161.958,161.955,1028,0.0,USDJPY,1784049920798,2026-07-14T17:25:20.798000Z,0.0
161.961,161.958,1028,0.0,USDJPY,1784049922896,2026-07-14T17:25:22.896000Z,0.0
161.955,161.953,1030,0.0,USDJPY,1784049924849,2026-07-14T17:25:24.849000Z,0.0
161.955,161.953,1026,0.0,USDJPY,1784049927074,2026-07-14T17:25:27.074000Z,0.0
161.954,161.952,1026,0.0,USDJPY,1784049928508,2026-07-14T17:25:28.508000Z,0.0
161.954,161.951,1030,0.0,USDJPY,1784049931179,2026-07-14T17:25:31.179000Z,0.0
161.953,161.951,1028,0.0,USDJPY,1784049933286,2026-07-14T17:25:33.286000Z,0.0
161.96,161.957,1030,0.0,USDJPY,1784049935307,2026-07-14T17:25:35.307000Z,0.0
161.974,161.971,1026,0.0,USDJPY,1784049937542,2026-07-14T17:25:37.542000Z,0.0
161.968,161.965,1030,0.0,USDJPY,1784049939612,2026-07-14T17:25:39.612000Z,0.0
161.965,161.962,1028,0.0,USDJPY,1784049941665,2026-07-14T17:25:41.665000Z,0.0
161.966,161.964,1026,0.0,USDJPY,1784049943848,2026-07-14T17:25:43.848000Z,0.0
161.963,161.961,1028,0.0,USDJPY,1784049945729,2026-07-14T17:25:45.729000Z,0.0
161.964,161.962,1028,0.0,USDJPY,1784049947841,2026-07-14T17:25:47.841000Z,0.0
161.972,161.97,1030,0.0,USDJPY,1784049950091,2026-07-14T17:25:50.091000Z,0.0
161.973,161.971,1030,0.0,USDJPY,1784049952193,2026-07-14T17:25:52.193000Z,0.0
161.976,161.974,1028,0.0,USDJPY,1784049953715,2026-07-14T17:25:53.715000Z,0.0
161.974,161.972,1028,0.0,USDJPY,1784049956279,2026-07-14T17:25:56.279000Z,0.0
161.975,161.972,1028,0.0,USDJPY,1784049958097,2026-07-14T17:25:58.097000Z,0.0
161.975,161.972,1028,0.0,USDJPY,1784049960374,2026-07-14T17:26:00.374000Z,0.0
161.975,161.973,1030,0.0,USDJPY,1784049962392,2026-07-14T17:26:02.392000Z,0.0
161.976,161.974,1030,0.0,USDJPY,1784049962461,2026-07-14T17:26:02.461000Z,0.0
161.977,161.974,1028,0.0,USDJPY,1784049962606,2026-07-14T17:26:02.606000Z,0.0
161.977,161.975,1028,0.0,USDJPY,1784049963505,2026-07-14T17:26:03.505000Z,0.0
161.977,161.975,1026,0.0,USDJPY,1784049964016,2026-07-14T17:26:04.016000Z,0.0
161.977,161.974,1026,0.0,USDJPY,1784049964514,2026-07-14T17:26:04.514000Z,0.0
161.976,161.974,1028,0.0,USDJPY,1784049965170,2026-07-14T17:26:05.170000Z,0.0
161.985,161.982,1028,0.0,USDJPY,1784050066111,2026-07-14T17:27:46.111000Z,0.0
161.985,161.982,1030,0.0,USDJPY,1784050068735,2026-07-14T17:27:48.735000Z,0.0
161.987,161.985,1026,0.0,USDJPY,1784050070980,2026-07-14T17:27:50.980000Z,0.0
161.987,161.984,1026,0.0,USDJPY,1784050073056,2026-07-14T17:27:53.056000Z,0.0
161.983,161.981,1030,0.0,USDJPY,1784050074988,2026-07-14T17:27:54.988000Z,0.0
161.979,161.977,1030,0.0,USDJPY,1784050077145,2026-07-14T17:27:57.145000Z,0.0
161.977,161.975,1030,0.0,USDJPY,1784050079039,2026-07-14T17:27:59.039000Z,0.0
161.981,161.979,1028,0.0,USDJPY,1784050081155,2026-07-14T17:28:01.155000Z,0.0
161.978,161.976,1030,0.0,USDJPY,1784050082519,2026-07-14T17:28:02.519000Z,0.0
161.978,161.975,1028,0.0,USDJPY,1784050085498,2026-07-14T17:28:05.498000Z,0.0
161.972,161.97,1028,0.0,USDJPY,1784050087620,2026-07-14T17:28:07.620000Z,0.0
161.976,161.973,1030,0.0,USDJPY,1784050089727,2026-07-14T17:28:09.727000Z,0.0
161.973,161.971,1026,0.0,USDJPY,1784050091724,2026-07-14T17:28:11.724000Z,0.0
161.973,161.971,1028,0.0,USDJPY,1784050092958,2026-07-14T17:28:12.958000Z,0.0
