ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4084.07,4083.54,1030,0.0,XAUUSD,1784049799198,2026-07-14T17:23:19.198000Z,0.0
4083.52,4083.0,1030,0.0,XAUUSD,1784049801269,2026-07-14T17:23:21.269000Z,0.0
4083.72,4083.2,1028,0.0,XAUUSD,1784049803279,2026-07-14T17:23:23.279000Z,0.0
4083.98,4083.47,1030,0.0,XAUUSD,1784049805487,2026-07-14T17:23:25.487000Z,0.0
4083.88,4083.36,1028,0.0,XAUUSD,1784049807559,2026-07-14T17:23:27.559000Z,0.0
4083.48,4082.96,1030,0.0,XAUUSD,1784049809669,2026-07-14T17:23:29.669000Z,0.0
4082.9,4082.37,1030,0.0,XAUUSD,1784049811773,2026-07-14T17:23:31.773000Z,0.0
4082.94,4082.41,1026,0.0,XAUUSD,1784049813477,2026-07-14T17:23:33.477000Z,0.0
4081.9,4081.37,1028,0.0,XAUUSD,1784049815566,2026-07-14T17:23:35.566000Z,0.0
4081.44,4080.93,1030,0.0,XAUUSD,1784049817638,2026-07-14T17:23:37.638000Z,0.0
4081.95,4081.42,1028,0.0,XAUUSD,1784049820134,2026-07-14T17:23:40.134000Z,0.0
4081.7,4081.11,1026,0.0,XAUUSD,1784049822241,2026-07-14T17:23:42.241000Z,0.0
4080.98,4080.47,1030,0.0,XAUUSD,1784049824337,2026-07-14T17:23:44.337000Z,0.0
4080.84,4080.33,1030,0.0,XAUUSD,1784049826419,2026-07-14T17:23:46.419000Z,0.0
4079.78,4079.27,1030,0.0,XAUUSD,1784049828129,2026-07-14T17:23:48.129000Z,0.0
4079.83,4079.27,1026,0.0,XAUUSD,1784049830582,2026-07-14T17:23:50.582000Z,0.0
4080.18,4079.67,1026,0.0,XAUUSD,1784049832698,2026-07-14T17:23:52.698000Z,0.0
4079.93,4079.41,1028,0.0,XAUUSD,1784049834808,2026-07-14T17:23:54.808000Z,0.0
4080.26,4079.75,1030,0.0,XAUUSD,1784049836889,2026-07-14T17:23:56.889000Z,0.0
4079.91,4079.35,1030,0.0,XAUUSD,1784049838974,2026-07-14T17:23:58.974000Z,0.0
4080.75,4080.24,1030,0.0,XAUUSD,1784049841088,2026-07-14T17:24:01.088000Z,0.0
4080.48,4079.97,1030,0.0,XAUUSD,1784049842792,2026-07-14T17:24:02.792000Z,0.0
4080.24,4079.73,1030,0.0,XAUUSD,1784049844933,2026-07-14T17:24:04.933000Z,0.0
4080.44,4079.92,1030,0.0,XAUUSD,1784049846988,2026-07-14T17:24:06.988000Z,0.0
