ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
162.161,162.159,6,0.0,USDJPY,1784056994392,2026-07-14T19:23:14.392000Z,0.0
162.161,162.159,1026,0.0,USDJPY,1784056998352,2026-07-14T19:23:18.352000Z,0.0
162.161,162.159,1030,0.0,USDJPY,1784056998793,2026-07-14T19:23:18.793000Z,0.0
162.16,162.158,1030,0.0,USDJPY,1784057000578,2026-07-14T19:23:20.578000Z,0.0
162.159,162.157,6,0.0,USDJPY,1784057006513,2026-07-14T19:23:26.513000Z,0.0
162.148,162.145,1026,0.0,USDJPY,1784057021945,2026-07-14T19:23:41.945000Z,0.0
162.15,162.148,1026,0.0,USDJPY,1784057024159,2026-07-14T19:23:44.159000Z,0.0
162.153,162.151,1030,0.0,USDJPY,1784057026294,2026-07-14T19:23:46.294000Z,0.0
162.151,162.149,1028,0.0,USDJPY,1784057028017,2026-07-14T19:23:48.017000Z,0.0
162.157,162.155,1030,0.0,USDJPY,1784057032359,2026-07-14T19:23:52.359000Z,0.0
162.158,162.156,1030,0.0,USDJPY,1784057034610,2026-07-14T19:23:54.610000Z,0.0
162.157,162.155,1028,0.0,USDJPY,1784057036338,2026-07-14T19:23:56.338000Z,0.0
162.156,162.154,1030,0.0,USDJPY,1784057038402,2026-07-14T19:23:58.402000Z,0.0
162.155,162.153,1026,0.0,USDJPY,1784057040787,2026-07-14T19:24:00.787000Z,0.0
162.154,162.152,1030,0.0,USDJPY,1784057042786,2026-07-14T19:24:02.786000Z,0.0
162.153,162.15,1026,0.0,USDJPY,1784057044702,2026-07-14T19:24:04.702000Z,0.0
162.152,162.15,1030,0.0,USDJPY,1784057046458,2026-07-14T19:24:06.458000Z,0.0
162.152,162.15,1030,0.0,USDJPY,1784057047182,2026-07-14T19:24:07.182000Z,0.0
162.156,162.153,1028,0.0,USDJPY,1784057050586,2026-07-14T19:24:10.586000Z,0.0
162.157,162.154,1030,0.0,USDJPY,1784057053168,2026-07-14T19:24:13.168000Z,0.0
162.159,162.157,1026,0.0,USDJPY,1784057055028,2026-07-14T19:24:15.028000Z,0.0
162.159,162.157,1028,0.0,USDJPY,1784057056019,2026-07-14T19:24:16.019000Z,0.0
162.157,162.155,1028,0.0,USDJPY,1784057059101,2026-07-14T19:24:19.101000Z,0.0
162.153,162.15,1026,0.0,USDJPY,1784057061166,2026-07-14T19:24:21.166000Z,0.0
162.156,162.153,1028,0.0,USDJPY,1784057063634,2026-07-14T19:24:23.634000Z,0.0
162.155,162.153,1028,0.0,USDJPY,1784057065461,2026-07-14T19:24:25.461000Z,0.0
162.152,162.15,1030,0.0,USDJPY,1784057067737,2026-07-14T19:24:27.737000Z,0.0
162.152,162.149,1026,0.0,USDJPY,1784057069933,2026-07-14T19:24:29.933000Z,0.0
162.149,162.146,1030,0.0,USDJPY,1784057072008,2026-07-14T19:24:32.008000Z,0.0
162.147,162.145,1030,0.0,USDJPY,1784057074043,2026-07-14T19:24:34.043000Z,0.0
162.147,162.145,1030,0.0,USDJPY,1784057075901,2026-07-14T19:24:35.901000Z,0.0
162.148,162.145,1028,0.0,USDJPY,1784057077734,2026-07-14T19:24:37.734000Z,0.0
162.147,162.145,1028,0.0,USDJPY,1784057079606,2026-07-14T19:24:39.606000Z,0.0
162.149,162.147,1030,0.0,USDJPY,1784057082116,2026-07-14T19:24:42.116000Z,0.0
162.148,162.146,1030,0.0,USDJPY,1784057084445,2026-07-14T19:24:44.445000Z,0.0
162.148,162.145,1030,0.0,USDJPY,1784057086379,2026-07-14T19:24:46.379000Z,0.0
162.149,162.146,1028,0.0,USDJPY,1784057088640,2026-07-14T19:24:48.640000Z,0.0
