ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4058.83,4058.32,1028,0.0,XAUUSD,1784056995297,2026-07-14T19:23:15.297000Z,0.0
4058.66,4058.14,1026,0.0,XAUUSD,1784056998196,2026-07-14T19:23:18.196000Z,0.0
4058.33,4057.72,1028,0.0,XAUUSD,1784057000332,2026-07-14T19:23:20.332000Z,0.0
4058.54,4058.01,1026,0.0,XAUUSD,1784057002376,2026-07-14T19:23:22.376000Z,0.0
4059.43,4058.91,1028,0.0,XAUUSD,1784057010310,2026-07-14T19:23:30.310000Z,0.0
4059.85,4059.34,1030,0.0,XAUUSD,1784057019130,2026-07-14T19:23:39.130000Z,0.0
4060.01,4059.46,1026,0.0,XAUUSD,1784057024048,2026-07-14T19:23:44.048000Z,0.0
4059.44,4058.93,1030,0.0,XAUUSD,1784057026093,2026-07-14T19:23:46.093000Z,0.0
4059.97,4059.46,1030,0.0,XAUUSD,1784057028324,2026-07-14T19:23:48.324000Z,0.0
4060.52,4060.0,1026,0.0,XAUUSD,1784057032446,2026-07-14T19:23:52.446000Z,0.0
4060.25,4059.74,1030,0.0,XAUUSD,1784057034416,2026-07-14T19:23:54.416000Z,0.0
4060.26,4059.75,1030,0.0,XAUUSD,1784057036493,2026-07-14T19:23:56.493000Z,0.0
4060.48,4059.96,1030,0.0,XAUUSD,1784057038677,2026-07-14T19:23:58.677000Z,0.0
4060.98,4060.45,1030,0.0,XAUUSD,1784057040743,2026-07-14T19:24:00.743000Z,0.0
4060.44,4059.93,1028,0.0,XAUUSD,1784057042796,2026-07-14T19:24:02.796000Z,0.0
4060.39,4059.88,1028,0.0,XAUUSD,1784057044849,2026-07-14T19:24:04.849000Z,0.0
4060.84,4060.33,1026,0.0,XAUUSD,1784057046962,2026-07-14T19:24:06.962000Z,0.0
4060.95,4060.43,1026,0.0,XAUUSD,1784057048941,2026-07-14T19:24:08.941000Z,0.0
4060.58,4060.06,1028,0.0,XAUUSD,1784057051097,2026-07-14T19:24:11.097000Z,0.0
4061.15,4060.63,1026,0.0,XAUUSD,1784057053175,2026-07-14T19:24:13.175000Z,0.0
4060.73,4060.21,1028,0.0,XAUUSD,1784057055214,2026-07-14T19:24:15.214000Z,0.0
4060.68,4060.16,1026,0.0,XAUUSD,1784057057293,2026-07-14T19:24:17.293000Z,0.0
4061.46,4060.95,1028,0.0,XAUUSD,1784057059372,2026-07-14T19:24:19.372000Z,0.0
4061.66,4061.14,1030,0.0,XAUUSD,1784057061497,2026-07-14T19:24:21.497000Z,0.0
4061.74,4061.23,1028,0.0,XAUUSD,1784057063549,2026-07-14T19:24:23.549000Z,0.0
4061.32,4060.81,1028,0.0,XAUUSD,1784057065632,2026-07-14T19:24:25.632000Z,0.0
4061.71,4061.2,1030,0.0,XAUUSD,1784057067751,2026-07-14T19:24:27.751000Z,0.0
4061.75,4061.24,1030,0.0,XAUUSD,1784057069820,2026-07-14T19:24:29.820000Z,0.0
4062.03,4061.52,1026,0.0,XAUUSD,1784057071952,2026-07-14T19:24:31.952000Z,0.0
4062.0,4061.49,1030,0.0,XAUUSD,1784057074033,2026-07-14T19:24:34.033000Z,0.0
