ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.33768,1.33766,1028,0.0,GBPUSD,1784061235501,2026-07-14T20:33:55.501000Z,0.0
1.33772,1.3377,1028,0.0,GBPUSD,1784061236546,2026-07-14T20:33:56.546000Z,0.0
1.33774,1.33772,1028,0.0,GBPUSD,1784061237707,2026-07-14T20:33:57.707000Z,0.0
1.33774,1.33772,1026,0.0,GBPUSD,1784061238852,2026-07-14T20:33:58.852000Z,0.0
1.33773,1.33771,1028,0.0,GBPUSD,1784061239985,2026-07-14T20:33:59.985000Z,0.0
1.33774,1.33771,1030,0.0,GBPUSD,1784061240842,2026-07-14T20:34:00.842000Z,0.0
1.33773,1.33771,1030,0.0,GBPUSD,1784061242028,2026-07-14T20:34:02.028000Z,0.0
1.33773,1.33771,1030,0.0,GBPUSD,1784061243328,2026-07-14T20:34:03.328000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784061244201,2026-07-14T20:34:04.201000Z,0.0
1.33772,1.3377,1030,0.0,GBPUSD,1784061245175,2026-07-14T20:34:05.175000Z,0.0
1.33773,1.33771,1030,0.0,GBPUSD,1784061245673,2026-07-14T20:34:05.673000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784061247030,2026-07-14T20:34:07.030000Z,0.0
1.33771,1.33768,1028,0.0,GBPUSD,1784061251902,2026-07-14T20:34:11.902000Z,0.0
1.33771,1.33769,1028,0.0,GBPUSD,1784061253371,2026-07-14T20:34:13.371000Z,0.0
1.33772,1.33769,1028,0.0,GBPUSD,1784061253619,2026-07-14T20:34:13.619000Z,0.0
1.33769,1.3376700000000001,1028,0.0,GBPUSD,1784061256604,2026-07-14T20:34:16.604000Z,0.0
1.3377,1.3376700000000001,1030,0.0,GBPUSD,1784061257602,2026-07-14T20:34:17.602000Z,0.0
1.3377,1.3376700000000001,1028,0.0,GBPUSD,1784061258591,2026-07-14T20:34:18.591000Z,0.0
1.3377,1.33768,1026,0.0,GBPUSD,1784061260022,2026-07-14T20:34:20.022000Z,0.0
1.33771,1.33768,1028,0.0,GBPUSD,1784061260206,2026-07-14T20:34:20.206000Z,0.0
1.3377,1.33768,1026,0.0,GBPUSD,1784061262187,2026-07-14T20:34:22.187000Z,0.0
1.33771,1.33768,1028,0.0,GBPUSD,1784061263309,2026-07-14T20:34:23.309000Z,0.0
1.33772,1.33769,1030,0.0,GBPUSD,1784061264016,2026-07-14T20:34:24.016000Z,0.0
1.33774,1.33771,1026,0.0,GBPUSD,1784061266017,2026-07-14T20:34:26.017000Z,0.0
1.33774,1.33771,1028,0.0,GBPUSD,1784061268188,2026-07-14T20:34:28.188000Z,0.0
1.33773,1.33771,1026,0.0,GBPUSD,1784061271013,2026-07-14T20:34:31.013000Z,0.0
1.33773,1.3377,1030,0.0,GBPUSD,1784061271816,2026-07-14T20:34:31.816000Z,0.0
1.33777,1.33775,1028,0.0,GBPUSD,1784061276593,2026-07-14T20:34:36.593000Z,0.0
1.33778,1.33775,1026,0.0,GBPUSD,1784061277728,2026-07-14T20:34:37.728000Z,0.0
1.3378,1.33778,1028,0.0,GBPUSD,1784061278831,2026-07-14T20:34:38.831000Z,0.0
1.33781,1.33778,1030,0.0,GBPUSD,1784061279895,2026-07-14T20:34:39.895000Z,0.0
1.33782,1.33779,1030,0.0,GBPUSD,1784061279967,2026-07-14T20:34:39.967000Z,0.0
1.33784,1.33781,1030,0.0,GBPUSD,1784061282847,2026-07-14T20:34:42.847000Z,0.0
1.33784,1.33781,1028,0.0,GBPUSD,1784061284439,2026-07-14T20:34:44.439000Z,0.0
1.33784,1.33781,1026,0.0,GBPUSD,1784061285415,2026-07-14T20:34:45.415000Z,0.0
1.33784,1.33781,1026,0.0,GBPUSD,1784061286405,2026-07-14T20:34:46.405000Z,0.0
1.33783,1.33781,1026,0.0,GBPUSD,1784061289261,2026-07-14T20:34:49.261000Z,0.0
1.33784,1.33781,1028,0.0,GBPUSD,1784061290959,2026-07-14T20:34:50.959000Z,0.0
1.33783,1.3378,1028,0.0,GBPUSD,1784061292152,2026-07-14T20:34:52.152000Z,0.0
1.33784,1.33781,1026,0.0,GBPUSD,1784061293119,2026-07-14T20:34:53.119000Z,0.0
1.33783,1.33781,1026,0.0,GBPUSD,1784061294121,2026-07-14T20:34:54.121000Z,0.0
1.33783,1.3378,1026,0.0,GBPUSD,1784061295593,2026-07-14T20:34:55.593000Z,0.0
1.3378,1.33777,1030,0.0,GBPUSD,1784061296714,2026-07-14T20:34:56.714000Z,0.0
1.33781,1.33779,1026,0.0,GBPUSD,1784061297704,2026-07-14T20:34:57.704000Z,0.0
1.33777,1.33775,1030,0.0,GBPUSD,1784061298573,2026-07-14T20:34:58.573000Z,0.0
1.33773,1.33771,1028,0.0,GBPUSD,1784061299940,2026-07-14T20:34:59.940000Z,0.0
1.33773,1.33771,1026,0.0,GBPUSD,1784061301069,2026-07-14T20:35:01.069000Z,0.0
1.33773,1.33771,1028,0.0,GBPUSD,1784061301923,2026-07-14T20:35:01.923000Z,0.0
1.33773,1.33771,1026,0.0,GBPUSD,1784061302807,2026-07-14T20:35:02.807000Z,0.0
1.33778,1.33776,1026,0.0,GBPUSD,1784061304421,2026-07-14T20:35:04.421000Z,0.0
1.33777,1.33775,1026,0.0,GBPUSD,1784061305417,2026-07-14T20:35:05.417000Z,0.0
1.33774,1.33772,1028,0.0,GBPUSD,1784061306651,2026-07-14T20:35:06.651000Z,0.0
1.33775,1.33772,1028,0.0,GBPUSD,1784061307767,2026-07-14T20:35:07.767000Z,0.0
1.33775,1.33772,1026,0.0,GBPUSD,1784061308683,2026-07-14T20:35:08.683000Z,0.0
1.33774,1.33772,1028,0.0,GBPUSD,1784061308889,2026-07-14T20:35:08.889000Z,0.0
1.33774,1.33772,1030,0.0,GBPUSD,1784061310882,2026-07-14T20:35:10.882000Z,0.0
1.33775,1.33773,1030,0.0,GBPUSD,1784061312362,2026-07-14T20:35:12.362000Z,0.0
1.33771,1.33769,1026,0.0,GBPUSD,1784061318762,2026-07-14T20:35:18.762000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061319938,2026-07-14T20:35:19.938000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061321053,2026-07-14T20:35:21.053000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061321774,2026-07-14T20:35:21.774000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784061322309,2026-07-14T20:35:22.309000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061323301,2026-07-14T20:35:23.301000Z,0.0
1.33773,1.33771,1026,0.0,GBPUSD,1784061324986,2026-07-14T20:35:24.986000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784061326148,2026-07-14T20:35:26.148000Z,0.0
1.33771,1.33769,1030,0.0,GBPUSD,1784061327588,2026-07-14T20:35:27.588000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061327858,2026-07-14T20:35:27.858000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061334230,2026-07-14T20:35:34.230000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061335385,2026-07-14T20:35:35.385000Z,0.0
1.3377,1.33768,1030,0.0,GBPUSD,1784061337186,2026-07-14T20:35:37.186000Z,0.0
