ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
162.192,162.189,1026,0.0,USDJPY,1784061235187,2026-07-14T20:33:55.187000Z,0.0
162.19,162.188,1026,0.0,USDJPY,1784061236129,2026-07-14T20:33:56.129000Z,0.0
162.19,162.188,1026,0.0,USDJPY,1784061237552,2026-07-14T20:33:57.552000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061238435,2026-07-14T20:33:58.435000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061239299,2026-07-14T20:33:59.299000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061240942,2026-07-14T20:34:00.942000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061241952,2026-07-14T20:34:01.952000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061244056,2026-07-14T20:34:04.056000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061248810,2026-07-14T20:34:08.810000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061249091,2026-07-14T20:34:09.091000Z,0.0
162.19,162.188,1028,0.0,USDJPY,1784061251949,2026-07-14T20:34:11.949000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061254148,2026-07-14T20:34:14.148000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061255463,2026-07-14T20:34:15.463000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061257023,2026-07-14T20:34:17.023000Z,0.0
162.191,162.189,1028,0.0,USDJPY,1784061258558,2026-07-14T20:34:18.558000Z,0.0
162.191,162.189,1028,0.0,USDJPY,1784061260000,2026-07-14T20:34:20Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061260443,2026-07-14T20:34:20.443000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061261947,2026-07-14T20:34:21.947000Z,0.0
162.19,162.188,1026,0.0,USDJPY,1784061263702,2026-07-14T20:34:23.702000Z,0.0
162.19,162.188,1028,0.0,USDJPY,1784061267537,2026-07-14T20:34:27.537000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061267765,2026-07-14T20:34:27.765000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061269890,2026-07-14T20:34:29.890000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061270978,2026-07-14T20:34:30.978000Z,0.0
162.191,162.188,1030,0.0,USDJPY,1784061271688,2026-07-14T20:34:31.688000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061273994,2026-07-14T20:34:33.994000Z,0.0
162.19,162.188,1030,0.0,USDJPY,1784061276537,2026-07-14T20:34:36.537000Z,0.0
162.19,162.187,1026,0.0,USDJPY,1784061277439,2026-07-14T20:34:37.439000Z,0.0
162.19,162.187,1028,0.0,USDJPY,1784061278850,2026-07-14T20:34:38.850000Z,0.0
162.187,162.184,1028,0.0,USDJPY,1784061279789,2026-07-14T20:34:39.789000Z,0.0
162.187,162.185,1026,0.0,USDJPY,1784061280357,2026-07-14T20:34:40.357000Z,0.0
162.186,162.184,1030,0.0,USDJPY,1784061281512,2026-07-14T20:34:41.512000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061283976,2026-07-14T20:34:43.976000Z,0.0
162.186,162.184,1030,0.0,USDJPY,1784061285328,2026-07-14T20:34:45.328000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061289478,2026-07-14T20:34:49.478000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061291003,2026-07-14T20:34:51.003000Z,0.0
162.188,162.186,1030,0.0,USDJPY,1784061291944,2026-07-14T20:34:51.944000Z,0.0
162.188,162.186,1030,0.0,USDJPY,1784061293184,2026-07-14T20:34:53.184000Z,0.0
162.188,162.186,1030,0.0,USDJPY,1784061294269,2026-07-14T20:34:54.269000Z,0.0
162.192,162.19,1030,0.0,USDJPY,1784061295552,2026-07-14T20:34:55.552000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061296247,2026-07-14T20:34:56.247000Z,0.0
162.193,162.191,1030,0.0,USDJPY,1784061297480,2026-07-14T20:34:57.480000Z,0.0
162.192,162.19,1030,0.0,USDJPY,1784061299518,2026-07-14T20:34:59.518000Z,0.0
162.192,162.189,1026,0.0,USDJPY,1784061304425,2026-07-14T20:35:04.425000Z,0.0
162.192,162.19,1026,0.0,USDJPY,1784061304910,2026-07-14T20:35:04.910000Z,0.0
162.193,162.191,1030,0.0,USDJPY,1784061306452,2026-07-14T20:35:06.452000Z,0.0
162.192,162.19,1030,0.0,USDJPY,1784061309955,2026-07-14T20:35:09.955000Z,0.0
162.193,162.19,1030,0.0,USDJPY,1784061312397,2026-07-14T20:35:12.397000Z,0.0
162.197,162.195,1028,0.0,USDJPY,1784061318808,2026-07-14T20:35:18.808000Z,0.0
162.197,162.194,1028,0.0,USDJPY,1784061319937,2026-07-14T20:35:19.937000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784061320638,2026-07-14T20:35:20.638000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784061321786,2026-07-14T20:35:21.786000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784061323106,2026-07-14T20:35:23.106000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784061325293,2026-07-14T20:35:25.293000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784061326160,2026-07-14T20:35:26.160000Z,0.0
162.2,162.198,1030,0.0,USDJPY,1784061327688,2026-07-14T20:35:27.688000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784061329833,2026-07-14T20:35:29.833000Z,0.0
162.2,162.198,1030,0.0,USDJPY,1784061335812,2026-07-14T20:35:35.812000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784061337470,2026-07-14T20:35:37.470000Z,0.0
162.2,162.198,1026,0.0,USDJPY,1784061344294,2026-07-14T20:35:44.294000Z,0.0
162.2,162.198,1030,0.0,USDJPY,1784061345248,2026-07-14T20:35:45.248000Z,0.0
162.2,162.197,1028,0.0,USDJPY,1784061346672,2026-07-14T20:35:46.672000Z,0.0
162.199,162.196,1026,0.0,USDJPY,1784061347582,2026-07-14T20:35:47.582000Z,0.0
162.199,162.197,1026,0.0,USDJPY,1784061348752,2026-07-14T20:35:48.752000Z,0.0
162.192,162.19,1030,0.0,USDJPY,1784061350066,2026-07-14T20:35:50.066000Z,0.0
162.195,162.193,1030,0.0,USDJPY,1784061350881,2026-07-14T20:35:50.881000Z,0.0
162.196,162.194,1030,0.0,USDJPY,1784061351920,2026-07-14T20:35:51.920000Z,0.0
162.192,162.19,1026,0.0,USDJPY,1784061361102,2026-07-14T20:36:01.102000Z,0.0
162.192,162.189,1026,0.0,USDJPY,1784061362189,2026-07-14T20:36:02.189000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061362822,2026-07-14T20:36:02.822000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061364369,2026-07-14T20:36:04.369000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061365182,2026-07-14T20:36:05.182000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061366157,2026-07-14T20:36:06.157000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061366680,2026-07-14T20:36:06.680000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061368370,2026-07-14T20:36:08.370000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061370149,2026-07-14T20:36:10.149000Z,0.0
162.19,162.188,1028,0.0,USDJPY,1784061371941,2026-07-14T20:36:11.941000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061373513,2026-07-14T20:36:13.513000Z,0.0
162.191,162.189,1030,0.0,USDJPY,1784061375163,2026-07-14T20:36:15.163000Z,0.0
162.189,162.186,1030,0.0,USDJPY,1784061376683,2026-07-14T20:36:16.683000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061377788,2026-07-14T20:36:17.788000Z,0.0
162.189,162.186,1030,0.0,USDJPY,1784061378136,2026-07-14T20:36:18.136000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061379565,2026-07-14T20:36:19.565000Z,0.0
162.186,162.184,1030,0.0,USDJPY,1784061383020,2026-07-14T20:36:23.020000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784061384522,2026-07-14T20:36:24.522000Z,0.0
162.188,162.186,1030,0.0,USDJPY,1784061385113,2026-07-14T20:36:25.113000Z,0.0
162.188,162.185,1026,0.0,USDJPY,1784061386126,2026-07-14T20:36:26.126000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061387929,2026-07-14T20:36:27.929000Z,0.0
162.192,162.19,1026,0.0,USDJPY,1784061389063,2026-07-14T20:36:29.063000Z,0.0
162.192,162.189,1026,0.0,USDJPY,1784061389181,2026-07-14T20:36:29.181000Z,0.0
162.192,162.189,1028,0.0,USDJPY,1784061390997,2026-07-14T20:36:30.997000Z,0.0
162.191,162.188,1030,0.0,USDJPY,1784061391714,2026-07-14T20:36:31.714000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061395715,2026-07-14T20:36:35.715000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061401788,2026-07-14T20:36:41.788000Z,0.0
162.192,162.189,1026,0.0,USDJPY,1784061405339,2026-07-14T20:36:45.339000Z,0.0
162.19,162.188,4,0.0,USDJPY,1784061416447,2026-07-14T20:36:56.447000Z,0.0
162.192,162.187,4,0.0,USDJPY,1784061417806,2026-07-14T20:36:57.806000Z,0.0
162.191,162.188,1030,0.0,USDJPY,1784061423888,2026-07-14T20:37:03.888000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784061424364,2026-07-14T20:37:04.364000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061427227,2026-07-14T20:37:07.227000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061429271,2026-07-14T20:37:09.271000Z,0.0
162.19,162.187,1030,0.0,USDJPY,1784061434692,2026-07-14T20:37:14.692000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061435833,2026-07-14T20:37:15.833000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784061437171,2026-07-14T20:37:17.171000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061437562,2026-07-14T20:37:17.562000Z,0.0
162.192,162.189,1028,0.0,USDJPY,1784061439700,2026-07-14T20:37:19.700000Z,0.0
162.192,162.189,1026,0.0,USDJPY,1784061441533,2026-07-14T20:37:21.533000Z,0.0
162.193,162.19,1028,0.0,USDJPY,1784061442511,2026-07-14T20:37:22.511000Z,0.0
162.194,162.191,1026,0.0,USDJPY,1784061446625,2026-07-14T20:37:26.625000Z,0.0
162.193,162.191,1026,0.0,USDJPY,1784061448109,2026-07-14T20:37:28.109000Z,0.0
162.195,162.192,1028,0.0,USDJPY,1784061448335,2026-07-14T20:37:28.335000Z,0.0
162.193,162.191,1028,0.0,USDJPY,1784061450199,2026-07-14T20:37:30.199000Z,0.0
162.193,162.191,1028,0.0,USDJPY,1784061451459,2026-07-14T20:37:31.459000Z,0.0
162.192,162.189,1030,0.0,USDJPY,1784061454688,2026-07-14T20:37:34.688000Z,0.0
162.194,162.191,1030,0.0,USDJPY,1784061457013,2026-07-14T20:37:37.013000Z,0.0
162.196,162.192,1026,0.0,USDJPY,1784061460240,2026-07-14T20:37:40.240000Z,0.0
162.194,162.192,1028,0.0,USDJPY,1784061460391,2026-07-14T20:37:40.391000Z,0.0
162.193,162.191,1030,0.0,USDJPY,1784061462779,2026-07-14T20:37:42.779000Z,0.0
162.197,162.194,1028,0.0,USDJPY,1784061464678,2026-07-14T20:37:44.678000Z,0.0
162.196,162.194,1028,0.0,USDJPY,1784061465007,2026-07-14T20:37:45.007000Z,0.0
162.196,162.194,1030,0.0,USDJPY,1784061466355,2026-07-14T20:37:46.355000Z,0.0
162.195,162.193,1030,0.0,USDJPY,1784061468836,2026-07-14T20:37:48.836000Z,0.0
162.194,162.192,1028,0.0,USDJPY,1784061469344,2026-07-14T20:37:49.344000Z,0.0
162.194,162.192,1030,0.0,USDJPY,1784061472316,2026-07-14T20:37:52.316000Z,0.0
162.192,162.19,1026,0.0,USDJPY,1784061477009,2026-07-14T20:37:57.009000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061480262,2026-07-14T20:38:00.262000Z,0.0
162.191,162.189,1026,0.0,USDJPY,1784061483502,2026-07-14T20:38:03.502000Z,0.0
162.198,162.195,1028,0.0,USDJPY,1784061484618,2026-07-14T20:38:04.618000Z,0.0
162.196,162.194,1028,0.0,USDJPY,1784061485126,2026-07-14T20:38:05.126000Z,0.0
162.197,162.195,1030,0.0,USDJPY,1784061486730,2026-07-14T20:38:06.730000Z,0.0
162.196,162.194,1026,0.0,USDJPY,1784061488076,2026-07-14T20:38:08.076000Z,0.0
162.193,162.191,1026,0.0,USDJPY,1784061489216,2026-07-14T20:38:09.216000Z,0.0
162.193,162.19,1026,0.0,USDJPY,1784061490305,2026-07-14T20:38:10.305000Z,0.0
162.198,162.196,1026,0.0,USDJPY,1784061492951,2026-07-14T20:38:12.951000Z,0.0
162.198,162.195,1026,0.0,USDJPY,1784061494086,2026-07-14T20:38:14.086000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784061495072,2026-07-14T20:38:15.072000Z,0.0
162.199,162.196,1030,0.0,USDJPY,1784061496102,2026-07-14T20:38:16.102000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784061497191,2026-07-14T20:38:17.191000Z,0.0
162.198,162.195,1030,0.0,USDJPY,1784061498362,2026-07-14T20:38:18.362000Z,0.0
162.198,162.196,1026,0.0,USDJPY,1784061499366,2026-07-14T20:38:19.366000Z,0.0
162.199,162.196,1028,0.0,USDJPY,1784061500296,2026-07-14T20:38:20.296000Z,0.0
162.197,162.195,1026,0.0,USDJPY,1784061501606,2026-07-14T20:38:21.606000Z,0.0
162.198,162.195,1026,0.0,USDJPY,1784061502187,2026-07-14T20:38:22.187000Z,0.0
162.196,162.192,1030,0.0,USDJPY,1784061504987,2026-07-14T20:38:24.987000Z,0.0
162.193,162.191,1026,0.0,USDJPY,1784061506032,2026-07-14T20:38:26.032000Z,0.0
162.194,162.191,1028,0.0,USDJPY,1784061510057,2026-07-14T20:38:30.057000Z,0.0
162.194,162.191,1028,0.0,USDJPY,1784061511280,2026-07-14T20:38:31.280000Z,0.0
162.194,162.191,1026,0.0,USDJPY,1784061512292,2026-07-14T20:38:32.292000Z,0.0
162.197,162.195,1028,0.0,USDJPY,1784061513194,2026-07-14T20:38:33.194000Z,0.0
162.197,162.194,1026,0.0,USDJPY,1784061514538,2026-07-14T20:38:34.538000Z,0.0
162.196,162.194,1028,0.0,USDJPY,1784061515047,2026-07-14T20:38:35.047000Z,0.0
