ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4062.69,4062.18,1026,0.0,XAUUSD,1784061235600,2026-07-14T20:33:55.600000Z,0.0
4062.3,4061.79,1030,0.0,XAUUSD,1784061236712,2026-07-14T20:33:56.712000Z,0.0
4062.62,4062.11,1030,0.0,XAUUSD,1784061237603,2026-07-14T20:33:57.603000Z,0.0
4062.38,4061.86,1030,0.0,XAUUSD,1784061238917,2026-07-14T20:33:58.917000Z,0.0
4062.41,4061.89,1026,0.0,XAUUSD,1784061240011,2026-07-14T20:34:00.011000Z,0.0
4062.02,4061.5,1026,0.0,XAUUSD,1784061240994,2026-07-14T20:34:00.994000Z,0.0
4062.1,4061.59,1030,0.0,XAUUSD,1784061242196,2026-07-14T20:34:02.196000Z,0.0
4062.14,4061.63,1030,0.0,XAUUSD,1784061243190,2026-07-14T20:34:03.190000Z,0.0
4062.26,4061.74,1028,0.0,XAUUSD,1784061244477,2026-07-14T20:34:04.477000Z,0.0
4061.84,4061.33,1030,0.0,XAUUSD,1784061245543,2026-07-14T20:34:05.543000Z,0.0
4062.29,4061.77,1026,0.0,XAUUSD,1784061246687,2026-07-14T20:34:06.687000Z,0.0
4062.25,4061.74,1030,0.0,XAUUSD,1784061247785,2026-07-14T20:34:07.785000Z,0.0
4061.86,4061.34,1026,0.0,XAUUSD,1784061248953,2026-07-14T20:34:08.953000Z,0.0
4062.22,4061.71,1030,0.0,XAUUSD,1784061250006,2026-07-14T20:34:10.006000Z,0.0
4061.85,4061.34,1030,0.0,XAUUSD,1784061250879,2026-07-14T20:34:10.879000Z,0.0
4061.79,4061.27,1030,0.0,XAUUSD,1784061252282,2026-07-14T20:34:12.282000Z,0.0
4062.15,4061.64,1030,0.0,XAUUSD,1784061252862,2026-07-14T20:34:12.862000Z,0.0
4062.12,4061.59,1028,0.0,XAUUSD,1784061254128,2026-07-14T20:34:14.128000Z,0.0
4062.11,4061.6,1030,0.0,XAUUSD,1784061255482,2026-07-14T20:34:15.482000Z,0.0
4062.14,4061.52,1026,0.0,XAUUSD,1784061256723,2026-07-14T20:34:16.723000Z,0.0
4062.1,4061.59,1030,0.0,XAUUSD,1784061257719,2026-07-14T20:34:17.719000Z,0.0
4062.46,4061.95,1030,0.0,XAUUSD,1784061258930,2026-07-14T20:34:18.930000Z,0.0
4062.19,4061.67,1026,0.0,XAUUSD,1784061260032,2026-07-14T20:34:20.032000Z,0.0
4062.25,4061.73,1026,0.0,XAUUSD,1784061261122,2026-07-14T20:34:21.122000Z,0.0
4062.65,4062.13,1030,0.0,XAUUSD,1784061262242,2026-07-14T20:34:22.242000Z,0.0
4062.28,4061.77,1028,0.0,XAUUSD,1784061263303,2026-07-14T20:34:23.303000Z,0.0
4062.3,4061.78,1028,0.0,XAUUSD,1784061264442,2026-07-14T20:34:24.442000Z,0.0
4062.69,4062.17,1028,0.0,XAUUSD,1784061265558,2026-07-14T20:34:25.558000Z,0.0
4062.34,4061.82,1030,0.0,XAUUSD,1784061266637,2026-07-14T20:34:26.637000Z,0.0
4062.74,4062.22,1026,0.0,XAUUSD,1784061267536,2026-07-14T20:34:27.536000Z,0.0
4062.73,4062.22,1026,0.0,XAUUSD,1784061268128,2026-07-14T20:34:28.128000Z,0.0
4062.17,4061.65,1030,0.0,XAUUSD,1784061269896,2026-07-14T20:34:29.896000Z,0.0
4062.27,4061.76,1026,0.0,XAUUSD,1784061271040,2026-07-14T20:34:31.040000Z,0.0
4062.66,4062.15,1028,0.0,XAUUSD,1784061272187,2026-07-14T20:34:32.187000Z,0.0
4062.27,4061.75,1030,0.0,XAUUSD,1784061273237,2026-07-14T20:34:33.237000Z,0.0
4062.61,4062.08,1026,0.0,XAUUSD,1784061274368,2026-07-14T20:34:34.368000Z,0.0
4062.19,4061.68,1030,0.0,XAUUSD,1784061275473,2026-07-14T20:34:35.473000Z,0.0
4062.38,4061.87,1030,0.0,XAUUSD,1784061276567,2026-07-14T20:34:36.567000Z,0.0
4062.32,4061.8,1030,0.0,XAUUSD,1784061277720,2026-07-14T20:34:37.720000Z,0.0
4062.79,4062.24,1026,0.0,XAUUSD,1784061278852,2026-07-14T20:34:38.852000Z,0.0
4062.73,4062.22,1030,0.0,XAUUSD,1784061279949,2026-07-14T20:34:39.949000Z,0.0
4062.73,4062.21,1028,0.0,XAUUSD,1784061281057,2026-07-14T20:34:41.057000Z,0.0
4063.1,4062.58,1028,0.0,XAUUSD,1784061282176,2026-07-14T20:34:42.176000Z,0.0
4063.05,4062.51,1028,0.0,XAUUSD,1784061283328,2026-07-14T20:34:43.328000Z,0.0
4062.86,4062.35,1030,0.0,XAUUSD,1784061284361,2026-07-14T20:34:44.361000Z,0.0
4062.67,4062.16,1028,0.0,XAUUSD,1784061285412,2026-07-14T20:34:45.412000Z,0.0
4063.09,4062.56,1030,0.0,XAUUSD,1784061286440,2026-07-14T20:34:46.440000Z,0.0
4063.08,4062.56,1026,0.0,XAUUSD,1784061287653,2026-07-14T20:34:47.653000Z,0.0
4063.06,4062.53,1026,0.0,XAUUSD,1784061288773,2026-07-14T20:34:48.773000Z,0.0
4063.06,4062.51,1026,0.0,XAUUSD,1784061289516,2026-07-14T20:34:49.516000Z,0.0
4062.46,4061.95,1030,0.0,XAUUSD,1784061290976,2026-07-14T20:34:50.976000Z,0.0
4062.73,4062.21,1030,0.0,XAUUSD,1784061292247,2026-07-14T20:34:52.247000Z,0.0
4062.43,4061.91,1030,0.0,XAUUSD,1784061293417,2026-07-14T20:34:53.417000Z,0.0
4062.41,4061.89,1030,0.0,XAUUSD,1784061294357,2026-07-14T20:34:54.357000Z,0.0
4062.42,4061.9,1028,0.0,XAUUSD,1784061295603,2026-07-14T20:34:55.603000Z,0.0
4062.64,4062.13,1028,0.0,XAUUSD,1784061296738,2026-07-14T20:34:56.738000Z,0.0
4062.67,4062.15,1030,0.0,XAUUSD,1784061297738,2026-07-14T20:34:57.738000Z,0.0
4062.6,4062.08,1030,0.0,XAUUSD,1784061298915,2026-07-14T20:34:58.915000Z,0.0
4062.58,4062.06,1030,0.0,XAUUSD,1784061300042,2026-07-14T20:35:00.042000Z,0.0
4062.37,4061.85,1026,0.0,XAUUSD,1784061301137,2026-07-14T20:35:01.137000Z,0.0
4062.43,4061.91,1030,0.0,XAUUSD,1784061302230,2026-07-14T20:35:02.230000Z,0.0
4062.0,4061.48,1026,0.0,XAUUSD,1784061303323,2026-07-14T20:35:03.323000Z,0.0
4062.57,4062.05,1030,0.0,XAUUSD,1784061304468,2026-07-14T20:35:04.468000Z,0.0
4062.35,4061.84,1026,0.0,XAUUSD,1784061305534,2026-07-14T20:35:05.534000Z,0.0
4062.23,4061.72,1026,0.0,XAUUSD,1784061306666,2026-07-14T20:35:06.666000Z,0.0
4062.22,4061.7,1026,0.0,XAUUSD,1784061307749,2026-07-14T20:35:07.749000Z,0.0
4062.21,4061.7,1028,0.0,XAUUSD,1784061308869,2026-07-14T20:35:08.869000Z,0.0
4062.22,4061.7,1030,0.0,XAUUSD,1784061309974,2026-07-14T20:35:09.974000Z,0.0
4062.26,4061.75,1028,0.0,XAUUSD,1784061310996,2026-07-14T20:35:10.996000Z,0.0
4061.89,4061.36,1028,0.0,XAUUSD,1784061312175,2026-07-14T20:35:12.175000Z,0.0
4062.0,4061.48,1026,0.0,XAUUSD,1784061313112,2026-07-14T20:35:13.112000Z,0.0
4062.34,4061.82,1030,0.0,XAUUSD,1784061314409,2026-07-14T20:35:14.409000Z,0.0
4062.55,4062.04,1030,0.0,XAUUSD,1784061315475,2026-07-14T20:35:15.475000Z,0.0
4062.57,4062.05,1026,0.0,XAUUSD,1784061316623,2026-07-14T20:35:16.623000Z,0.0
4062.5,4061.98,1030,0.0,XAUUSD,1784061317672,2026-07-14T20:35:17.672000Z,0.0
4062.23,4061.7,1028,0.0,XAUUSD,1784061318700,2026-07-14T20:35:18.700000Z,0.0
4061.82,4061.31,1028,0.0,XAUUSD,1784061319973,2026-07-14T20:35:19.973000Z,0.0
4062.17,4061.65,1028,0.0,XAUUSD,1784061321059,2026-07-14T20:35:21.059000Z,0.0
4061.8,4061.29,1026,0.0,XAUUSD,1784061322097,2026-07-14T20:35:22.097000Z,0.0
4061.42,4060.9,1030,0.0,XAUUSD,1784061323294,2026-07-14T20:35:23.294000Z,0.0
4061.53,4061.02,1030,0.0,XAUUSD,1784061324325,2026-07-14T20:35:24.325000Z,0.0
4062.01,4061.49,1030,0.0,XAUUSD,1784061325461,2026-07-14T20:35:25.461000Z,0.0
4061.55,4061.02,1030,0.0,XAUUSD,1784061326576,2026-07-14T20:35:26.576000Z,0.0
4061.85,4061.33,1030,0.0,XAUUSD,1784061327667,2026-07-14T20:35:27.667000Z,0.0
4062.15,4061.64,1026,0.0,XAUUSD,1784061328786,2026-07-14T20:35:28.786000Z,0.0
4061.38,4060.87,1030,0.0,XAUUSD,1784061329839,2026-07-14T20:35:29.839000Z,0.0
4061.37,4060.86,1030,0.0,XAUUSD,1784061330985,2026-07-14T20:35:30.985000Z,0.0
4061.46,4060.93,1030,0.0,XAUUSD,1784061332161,2026-07-14T20:35:32.161000Z,0.0
4061.6,4061.08,1030,0.0,XAUUSD,1784061333300,2026-07-14T20:35:33.300000Z,0.0
4061.84,4061.33,1030,0.0,XAUUSD,1784061334313,2026-07-14T20:35:34.313000Z,0.0
4061.52,4061.01,1026,0.0,XAUUSD,1784061335497,2026-07-14T20:35:35.497000Z,0.0
4061.95,4061.44,1028,0.0,XAUUSD,1784061336606,2026-07-14T20:35:36.606000Z,0.0
4061.87,4061.35,1030,0.0,XAUUSD,1784061337697,2026-07-14T20:35:37.697000Z,0.0
4061.87,4061.35,1030,0.0,XAUUSD,1784061338827,2026-07-14T20:35:38.827000Z,0.0
4061.95,4061.42,1026,0.0,XAUUSD,1784061339956,2026-07-14T20:35:39.956000Z,0.0
4061.92,4061.4,1030,0.0,XAUUSD,1784061341056,2026-07-14T20:35:41.056000Z,0.0
4061.91,4061.38,1030,0.0,XAUUSD,1784061342187,2026-07-14T20:35:42.187000Z,0.0
4061.9,4061.37,1026,0.0,XAUUSD,1784061343279,2026-07-14T20:35:43.279000Z,0.0
4061.49,4060.96,1028,0.0,XAUUSD,1784061344397,2026-07-14T20:35:44.397000Z,0.0
