ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.14231,1.14229,1030,0.0,EURUSD,1784060604086,2026-07-14T20:23:24.086000Z,0.0
1.14233,1.14231,1030,0.0,EURUSD,1784060613336,2026-07-14T20:23:33.336000Z,0.0
1.14229,1.14227,1030,0.0,EURUSD,1784060614462,2026-07-14T20:23:34.462000Z,0.0
1.14228,1.14226,1030,0.0,EURUSD,1784060619843,2026-07-14T20:23:39.843000Z,0.0
1.14229,1.14227,1030,0.0,EURUSD,1784060623986,2026-07-14T20:23:43.986000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060626459,2026-07-14T20:23:46.459000Z,0.0
1.14228,1.14226,1030,0.0,EURUSD,1784060627624,2026-07-14T20:23:47.624000Z,0.0
1.14229,1.14227,1030,0.0,EURUSD,1784060628052,2026-07-14T20:23:48.052000Z,0.0
1.14228,1.14226,1030,0.0,EURUSD,1784060629474,2026-07-14T20:23:49.474000Z,0.0
1.14229,1.14227,1030,0.0,EURUSD,1784060630535,2026-07-14T20:23:50.535000Z,0.0
1.14232,1.1423,1030,0.0,EURUSD,1784060634015,2026-07-14T20:23:54.015000Z,0.0
1.14231,1.14229,1030,0.0,EURUSD,1784060638335,2026-07-14T20:23:58.335000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060640768,2026-07-14T20:24:00.768000Z,0.0
1.14228,1.14226,1030,0.0,EURUSD,1784060641937,2026-07-14T20:24:01.937000Z,0.0
1.14226,1.14224,1030,0.0,EURUSD,1784060644000,2026-07-14T20:24:04Z,0.0
1.14228,1.14226,1026,0.0,EURUSD,1784060644940,2026-07-14T20:24:04.940000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060648419,2026-07-14T20:24:08.419000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060649264,2026-07-14T20:24:09.264000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060657145,2026-07-14T20:24:17.145000Z,0.0
1.14229,1.14225,6,0.0,EURUSD,1784060668763,2026-07-14T20:24:28.763000Z,0.0
1.14232,1.14228,6,0.0,EURUSD,1784060674634,2026-07-14T20:24:34.634000Z,0.0
1.14231,1.14227,6,0.0,EURUSD,1784060676378,2026-07-14T20:24:36.378000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060678212,2026-07-14T20:24:38.212000Z,0.0
1.1423,1.14228,1030,0.0,EURUSD,1784060682040,2026-07-14T20:24:42.040000Z,0.0
1.14226,1.14224,1030,0.0,EURUSD,1784060684941,2026-07-14T20:24:44.941000Z,0.0
1.14226,1.14224,1030,0.0,EURUSD,1784060685234,2026-07-14T20:24:45.234000Z,0.0
1.14226,1.14224,1030,0.0,EURUSD,1784060688120,2026-07-14T20:24:48.120000Z,0.0
1.14224,1.14222,1030,0.0,EURUSD,1784060689897,2026-07-14T20:24:49.897000Z,0.0
1.14226,1.14224,1030,0.0,EURUSD,1784060699300,2026-07-14T20:24:59.300000Z,0.0
1.14225,1.14222,1026,0.0,EURUSD,1784060701019,2026-07-14T20:25:01.019000Z,0.0
1.14225,1.14223,1030,0.0,EURUSD,1784060701943,2026-07-14T20:25:01.943000Z,0.0
1.14227,1.14225,1030,0.0,EURUSD,1784060702842,2026-07-14T20:25:02.842000Z,0.0
1.14229,1.14227,1030,0.0,EURUSD,1784060703227,2026-07-14T20:25:03.227000Z,0.0
1.14232,1.1423,1030,0.0,EURUSD,1784060705252,2026-07-14T20:25:05.252000Z,0.0
1.14235,1.14231,1028,0.0,EURUSD,1784060712839,2026-07-14T20:25:12.839000Z,0.0
1.14238,1.14236,1030,0.0,EURUSD,1784060712985,2026-07-14T20:25:12.985000Z,0.0
1.1424,1.14238,1030,0.0,EURUSD,1784060714083,2026-07-14T20:25:14.083000Z,0.0
1.1424,1.14238,1030,0.0,EURUSD,1784060716635,2026-07-14T20:25:16.635000Z,0.0
1.14239,1.14237,1030,0.0,EURUSD,1784060717336,2026-07-14T20:25:17.336000Z,0.0
1.1424,1.14238,1030,0.0,EURUSD,1784060720089,2026-07-14T20:25:20.089000Z,0.0
1.14241,1.14239,1030,0.0,EURUSD,1784060721569,2026-07-14T20:25:21.569000Z,0.0
1.14246,1.1424400000000001,1030,0.0,EURUSD,1784060723441,2026-07-14T20:25:23.441000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060726783,2026-07-14T20:25:26.783000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060727634,2026-07-14T20:25:27.634000Z,0.0
1.14247,1.14245,1030,0.0,EURUSD,1784060728741,2026-07-14T20:25:28.741000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060729933,2026-07-14T20:25:29.933000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060731033,2026-07-14T20:25:31.033000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060731350,2026-07-14T20:25:31.350000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060733055,2026-07-14T20:25:33.055000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060733434,2026-07-14T20:25:33.434000Z,0.0
1.14253,1.14251,1030,0.0,EURUSD,1784060735349,2026-07-14T20:25:35.349000Z,0.0
1.14254,1.14252,1030,0.0,EURUSD,1784060735420,2026-07-14T20:25:35.420000Z,0.0
1.14256,1.14254,1030,0.0,EURUSD,1784060737133,2026-07-14T20:25:37.133000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060740682,2026-07-14T20:25:40.682000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060743322,2026-07-14T20:25:43.322000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060744132,2026-07-14T20:25:44.132000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060746991,2026-07-14T20:25:46.991000Z,0.0
1.14248,1.14246,1026,0.0,EURUSD,1784060748897,2026-07-14T20:25:48.897000Z,0.0
1.14248,1.14246,1030,0.0,EURUSD,1784060749717,2026-07-14T20:25:49.717000Z,0.0
1.14247,1.14245,1030,0.0,EURUSD,1784060751250,2026-07-14T20:25:51.250000Z,0.0
1.14249,1.14247,1030,0.0,EURUSD,1784060752287,2026-07-14T20:25:52.287000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060753318,2026-07-14T20:25:53.318000Z,0.0
1.14249,1.14247,1030,0.0,EURUSD,1784060755876,2026-07-14T20:25:55.876000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060757334,2026-07-14T20:25:57.334000Z,0.0
1.14249,1.14247,1030,0.0,EURUSD,1784060758591,2026-07-14T20:25:58.591000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060759089,2026-07-14T20:25:59.089000Z,0.0
1.1425,1.14248,1030,0.0,EURUSD,1784060760834,2026-07-14T20:26:00.834000Z,0.0
1.14249,1.14247,1030,0.0,EURUSD,1784060761193,2026-07-14T20:26:01.193000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060762235,2026-07-14T20:26:02.235000Z,0.0
1.14251,1.14249,1030,0.0,EURUSD,1784060764190,2026-07-14T20:26:04.190000Z,0.0
1.14252,1.1425,1030,0.0,EURUSD,1784060764552,2026-07-14T20:26:04.552000Z,0.0
1.14254,1.14252,1030,0.0,EURUSD,1784060769235,2026-07-14T20:26:09.235000Z,0.0
1.14256,1.14254,1030,0.0,EURUSD,1784060770588,2026-07-14T20:26:10.588000Z,0.0
1.14256,1.14254,1030,0.0,EURUSD,1784060771533,2026-07-14T20:26:11.533000Z,0.0
1.14255,1.14253,1030,0.0,EURUSD,1784060773851,2026-07-14T20:26:13.851000Z,0.0
1.14255,1.14253,1030,0.0,EURUSD,1784060775002,2026-07-14T20:26:15.002000Z,0.0
1.14257,1.14255,1030,0.0,EURUSD,1784060776529,2026-07-14T20:26:16.529000Z,0.0
1.14256,1.14254,1030,0.0,EURUSD,1784060779056,2026-07-14T20:26:19.056000Z,0.0
1.14257,1.14255,1030,0.0,EURUSD,1784060780535,2026-07-14T20:26:20.535000Z,0.0
1.14261,1.14259,1026,0.0,EURUSD,1784060782135,2026-07-14T20:26:22.135000Z,0.0
1.14261,1.14259,1030,0.0,EURUSD,1784060782781,2026-07-14T20:26:22.781000Z,0.0
1.1426,1.14258,1030,0.0,EURUSD,1784060783481,2026-07-14T20:26:23.481000Z,0.0
1.14261,1.14259,1030,0.0,EURUSD,1784060787636,2026-07-14T20:26:27.636000Z,0.0
1.1426,1.14258,1030,0.0,EURUSD,1784060788008,2026-07-14T20:26:28.008000Z,0.0
1.14262,1.1426,1030,0.0,EURUSD,1784060790287,2026-07-14T20:26:30.287000Z,0.0
1.14261,1.14259,1030,0.0,EURUSD,1784060791033,2026-07-14T20:26:31.033000Z,0.0
1.14259,1.14257,1030,0.0,EURUSD,1784060792983,2026-07-14T20:26:32.983000Z,0.0
1.14257,1.14255,1030,0.0,EURUSD,1784060794187,2026-07-14T20:26:34.187000Z,0.0
1.14254,1.14252,1030,0.0,EURUSD,1784060796932,2026-07-14T20:26:36.932000Z,0.0
1.14255,1.14253,1030,0.0,EURUSD,1784060804282,2026-07-14T20:26:44.282000Z,0.0
1.14256,1.14254,1030,0.0,EURUSD,1784060807032,2026-07-14T20:26:47.032000Z,0.0
1.14255,1.14253,1030,0.0,EURUSD,1784060808835,2026-07-14T20:26:48.835000Z,0.0
1.14255,1.14253,1030,0.0,EURUSD,1784060809805,2026-07-14T20:26:49.805000Z,0.0
