ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4060.7,4060.17,1030,0.0,XAUUSD,1784060612657,2026-07-14T20:23:32.657000Z,0.0
4060.74,4060.23,1030,0.0,XAUUSD,1784060613827,2026-07-14T20:23:33.827000Z,0.0
4060.06,4059.49,1028,0.0,XAUUSD,1784060614867,2026-07-14T20:23:34.867000Z,0.0
4060.1,4059.56,1026,0.0,XAUUSD,1784060615887,2026-07-14T20:23:35.887000Z,0.0
4060.32,4059.81,1030,0.0,XAUUSD,1784060616879,2026-07-14T20:23:36.879000Z,0.0
4060.31,4059.72,1026,0.0,XAUUSD,1784060618018,2026-07-14T20:23:38.018000Z,0.0
4060.75,4060.23,1030,0.0,XAUUSD,1784060619160,2026-07-14T20:23:39.160000Z,0.0
4060.53,4060.0,1026,0.0,XAUUSD,1784060620251,2026-07-14T20:23:40.251000Z,0.0
4060.54,4060.01,1030,0.0,XAUUSD,1784060621290,2026-07-14T20:23:41.290000Z,0.0
4060.61,4060.09,1028,0.0,XAUUSD,1784060622061,2026-07-14T20:23:42.061000Z,0.0
4061.26,4060.75,1028,0.0,XAUUSD,1784060623464,2026-07-14T20:23:43.464000Z,0.0
4061.38,4060.86,1026,0.0,XAUUSD,1784060624455,2026-07-14T20:23:44.455000Z,0.0
4061.45,4060.94,1028,0.0,XAUUSD,1784060625580,2026-07-14T20:23:45.580000Z,0.0
4061.1,4060.59,1026,0.0,XAUUSD,1784060626595,2026-07-14T20:23:46.595000Z,0.0
4061.04,4060.51,1030,0.0,XAUUSD,1784060627716,2026-07-14T20:23:47.716000Z,0.0
4061.34,4060.81,1030,0.0,XAUUSD,1784060628722,2026-07-14T20:23:48.722000Z,0.0
4061.26,4060.75,1030,0.0,XAUUSD,1784060629859,2026-07-14T20:23:49.859000Z,0.0
4060.89,4060.38,1030,0.0,XAUUSD,1784060630894,2026-07-14T20:23:50.894000Z,0.0
4061.41,4060.88,1030,0.0,XAUUSD,1784060631995,2026-07-14T20:23:51.995000Z,0.0
4061.34,4060.83,1028,0.0,XAUUSD,1784060633038,2026-07-14T20:23:53.038000Z,0.0
4060.95,4060.44,1026,0.0,XAUUSD,1784060634016,2026-07-14T20:23:54.016000Z,0.0
4061.35,4060.84,1030,0.0,XAUUSD,1784060635122,2026-07-14T20:23:55.122000Z,0.0
4061.27,4060.75,1030,0.0,XAUUSD,1784060636208,2026-07-14T20:23:56.208000Z,0.0
4061.26,4060.74,1030,0.0,XAUUSD,1784060637288,2026-07-14T20:23:57.288000Z,0.0
4060.75,4060.11,1026,0.0,XAUUSD,1784060638403,2026-07-14T20:23:58.403000Z,0.0
4060.4,4059.89,1026,0.0,XAUUSD,1784060640877,2026-07-14T20:24:00.877000Z,0.0
4060.93,4060.42,1030,0.0,XAUUSD,1784060642087,2026-07-14T20:24:02.087000Z,0.0
4060.37,4059.85,1030,0.0,XAUUSD,1784060643130,2026-07-14T20:24:03.130000Z,0.0
4060.52,4059.98,1026,0.0,XAUUSD,1784060644198,2026-07-14T20:24:04.198000Z,0.0
4060.54,4060.03,1026,0.0,XAUUSD,1784060645305,2026-07-14T20:24:05.305000Z,0.0
4060.75,4060.24,1030,0.0,XAUUSD,1784060646317,2026-07-14T20:24:06.317000Z,0.0
4060.84,4060.31,1030,0.0,XAUUSD,1784060647446,2026-07-14T20:24:07.446000Z,0.0
4060.67,4060.15,1030,0.0,XAUUSD,1784060648513,2026-07-14T20:24:08.513000Z,0.0
4061.09,4060.58,1030,0.0,XAUUSD,1784060649590,2026-07-14T20:24:09.590000Z,0.0
4061.09,4060.57,1030,0.0,XAUUSD,1784060650627,2026-07-14T20:24:10.627000Z,0.0
4060.73,4060.09,1026,0.0,XAUUSD,1784060651724,2026-07-14T20:24:11.724000Z,0.0
4060.68,4060.16,1030,0.0,XAUUSD,1784060652800,2026-07-14T20:24:12.800000Z,0.0
4061.05,4060.54,1026,0.0,XAUUSD,1784060653811,2026-07-14T20:24:13.811000Z,0.0
4060.83,4060.29,1028,0.0,XAUUSD,1784060654845,2026-07-14T20:24:14.845000Z,0.0
4060.84,4060.32,1026,0.0,XAUUSD,1784060656008,2026-07-14T20:24:16.008000Z,0.0
4061.21,4060.69,1026,0.0,XAUUSD,1784060657044,2026-07-14T20:24:17.044000Z,0.0
4061.53,4061.0,1026,0.0,XAUUSD,1784060658147,2026-07-14T20:24:18.147000Z,0.0
4061.18,4060.66,1026,0.0,XAUUSD,1784060659200,2026-07-14T20:24:19.200000Z,0.0
4061.1,4060.59,1030,0.0,XAUUSD,1784060660218,2026-07-14T20:24:20.218000Z,0.0
4061.55,4061.03,1030,0.0,XAUUSD,1784060661347,2026-07-14T20:24:21.347000Z,0.0
4061.61,4061.1,1030,0.0,XAUUSD,1784060662334,2026-07-14T20:24:22.334000Z,0.0
4061.27,4060.74,1028,0.0,XAUUSD,1784060663473,2026-07-14T20:24:23.473000Z,0.0
4061.8,4061.29,1030,0.0,XAUUSD,1784060664571,2026-07-14T20:24:24.571000Z,0.0
4061.95,4061.43,1030,0.0,XAUUSD,1784060665647,2026-07-14T20:24:25.647000Z,0.0
4061.63,4061.11,1030,0.0,XAUUSD,1784060666711,2026-07-14T20:24:26.711000Z,0.0
4061.17,4060.65,1030,0.0,XAUUSD,1784060667634,2026-07-14T20:24:27.634000Z,0.0
4061.74,4061.23,1026,0.0,XAUUSD,1784060668704,2026-07-14T20:24:28.704000Z,0.0
4061.15,4060.63,1028,0.0,XAUUSD,1784060669915,2026-07-14T20:24:29.915000Z,0.0
4061.71,4061.19,1026,0.0,XAUUSD,1784060670977,2026-07-14T20:24:30.977000Z,0.0
4061.31,4060.79,1028,0.0,XAUUSD,1784060672087,2026-07-14T20:24:32.087000Z,0.0
4061.32,4060.8,1028,0.0,XAUUSD,1784060673106,2026-07-14T20:24:33.106000Z,0.0
4061.69,4061.18,1026,0.0,XAUUSD,1784060674181,2026-07-14T20:24:34.181000Z,0.0
4061.72,4061.21,1028,0.0,XAUUSD,1784060675257,2026-07-14T20:24:35.257000Z,0.0
4061.38,4060.84,1026,0.0,XAUUSD,1784060676237,2026-07-14T20:24:36.237000Z,0.0
4061.38,4060.85,1026,0.0,XAUUSD,1784060677323,2026-07-14T20:24:37.323000Z,0.0
4061.79,4061.28,1028,0.0,XAUUSD,1784060678496,2026-07-14T20:24:38.496000Z,0.0
4061.5,4060.96,1026,0.0,XAUUSD,1784060679476,2026-07-14T20:24:39.476000Z,0.0
4061.45,4060.93,1026,0.0,XAUUSD,1784060680645,2026-07-14T20:24:40.645000Z,0.0
