deal,position_id,symbol,time_utc,entry,type,volume,price,commission,swap,profit,magic,comment
386407726,0,,2026-06-22T14:46:18+00:00,0,2,0.0,0.0,0.0,0.0,100000.0,0,INITIAL_DEPOSIT
391774213,573338240,BTCUSD,2026-07-07T14:56:07+00:00,0,1,1.0,63343.48,-19.0,0.0,0.0,0,
391781246,573338240,BTCUSD,2026-07-07T15:04:22+00:00,1,0,1.0,63450.64,-19.04,0.0,-107.16,0,[sl 63450.42]
392400479,574028833,EURUSD,2026-07-08T17:14:37+00:00,0,0,1.0,1.1408,-4.0,0.0,0.0,0,
392735519,574028833,EURUSD,2026-07-09T11:57:58+00:00,1,1,1.0,1.14265,0.0,-19.8,185.0,0,[sl 1.14265]
392788715,574457416,BTCUSD,2026-07-09T14:43:09+00:00,0,0,1.0,62615.76,-18.78,0.0,0.0,0,
392848189,574457416,BTCUSD,2026-07-09T16:30:08+00:00,1,1,1.0,62699.84,-18.81,0.0,84.08,0,
392887909,574564815,BTCUSD,2026-07-09T17:10:36+00:00,0,0,1.0,62863.4,-18.86,0.0,0.0,0,
392921717,574564815,BTCUSD,2026-07-09T17:56:30+00:00,1,1,1.0,62924.33,-18.88,0.0,60.93,0,
392957732,574640212,EURUSD,2026-07-09T19:39:29+00:00,0,0,1.0,1.14386,-4.0,0.0,0.0,0,
392990193,574640212,EURUSD,2026-07-09T22:31:36+00:00,1,1,1.0,1.14276,0.0,0.0,-110.0,0,[sl 1.14276]
