ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
1.14276,1.14274,1030,0.0,EURUSD,1784086793716,2026-07-15T03:39:53.716000Z,0.0
1.14277,1.14275,6,0.0,EURUSD,1784086804916,2026-07-15T03:40:04.916000Z,0.0
1.14279,1.14277,1028,0.0,EURUSD,1784086816040,2026-07-15T03:40:16.040000Z,0.0
1.14278,1.14276,1030,0.0,EURUSD,1784086816640,2026-07-15T03:40:16.640000Z,0.0
1.14277,1.14275,1030,0.0,EURUSD,1784086818815,2026-07-15T03:40:18.815000Z,0.0
1.14278,1.14276,1030,0.0,EURUSD,1784086819687,2026-07-15T03:40:19.687000Z,0.0
1.14278,1.14276,1030,0.0,EURUSD,1784086823091,2026-07-15T03:40:23.091000Z,0.0
1.14279,1.14277,1030,0.0,EURUSD,1784086824044,2026-07-15T03:40:24.044000Z,0.0
1.14277,1.14275,1030,0.0,EURUSD,1784086826078,2026-07-15T03:40:26.078000Z,0.0
1.14278,1.14276,1030,0.0,EURUSD,1784086828378,2026-07-15T03:40:28.378000Z,0.0
1.14278,1.14276,1030,0.0,EURUSD,1784086830305,2026-07-15T03:40:30.305000Z,0.0
1.14277,1.14275,1030,0.0,EURUSD,1784086833136,2026-07-15T03:40:33.136000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090359121,2026-07-15T04:39:19.121000Z,0.0
1.14364,1.14362,1030,0.0,EURUSD,1784090369120,2026-07-15T04:39:29.120000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090373664,2026-07-15T04:39:33.664000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090373966,2026-07-15T04:39:33.966000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090375599,2026-07-15T04:39:35.599000Z,0.0
1.14361,1.14359,1030,0.0,EURUSD,1784090375810,2026-07-15T04:39:35.810000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090377317,2026-07-15T04:39:37.317000Z,0.0
1.14363,1.14361,1030,0.0,EURUSD,1784090387316,2026-07-15T04:39:47.316000Z,0.0
1.14364,1.14362,1030,0.0,EURUSD,1784090400701,2026-07-15T04:40:00.701000Z,0.0
1.14363,1.14361,1030,0.0,EURUSD,1784090410220,2026-07-15T04:40:10.220000Z,0.0
1.14365,1.14363,1030,0.0,EURUSD,1784090412095,2026-07-15T04:40:12.095000Z,0.0
1.1436600000000001,1.14364,1026,0.0,EURUSD,1784090412249,2026-07-15T04:40:12.249000Z,0.0
1.1436600000000001,1.14364,1026,0.0,EURUSD,1784090417463,2026-07-15T04:40:17.463000Z,0.0
1.14365,1.14363,1030,0.0,EURUSD,1784090419495,2026-07-15T04:40:19.495000Z,0.0
1.14363,1.14361,1030,0.0,EURUSD,1784090420293,2026-07-15T04:40:20.293000Z,0.0
1.14361,1.14359,1030,0.0,EURUSD,1784090422130,2026-07-15T04:40:22.130000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090422873,2026-07-15T04:40:22.873000Z,0.0
1.14361,1.14359,1030,0.0,EURUSD,1784090423646,2026-07-15T04:40:23.646000Z,0.0
1.14362,1.1436,1030,0.0,EURUSD,1784090424910,2026-07-15T04:40:24.910000Z,0.0
1.1436,1.14358,1030,0.0,EURUSD,1784090425847,2026-07-15T04:40:25.847000Z,0.0
1.1436,1.14358,1030,0.0,EURUSD,1784090428082,2026-07-15T04:40:28.082000Z,0.0
1.14361,1.14359,1030,0.0,EURUSD,1784090428354,2026-07-15T04:40:28.354000Z,0.0
1.1436,1.14358,1030,0.0,EURUSD,1784090429608,2026-07-15T04:40:29.608000Z,0.0
1.14359,1.14357,1030,0.0,EURUSD,1784090431068,2026-07-15T04:40:31.068000Z,0.0
1.14359,1.14357,1026,0.0,EURUSD,1784090432180,2026-07-15T04:40:32.180000Z,0.0
1.14359,1.14357,1030,0.0,EURUSD,1784090433217,2026-07-15T04:40:33.217000Z,0.0
1.1436,1.14358,1030,0.0,EURUSD,1784090434293,2026-07-15T04:40:34.293000Z,0.0
1.14361,1.14358,1026,0.0,EURUSD,1784090435084,2026-07-15T04:40:35.084000Z,0.0
1.14361,1.14359,1026,0.0,EURUSD,1784090436023,2026-07-15T04:40:36.023000Z,0.0
