ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
162.193,162.191,1030,0.0,USDJPY,1784086792275,2026-07-15T03:39:52.275000Z,0.0
162.187,162.185,1030,0.0,USDJPY,1784086797154,2026-07-15T03:39:57.154000Z,0.0
162.191,162.189,1030,0.0,USDJPY,1784086806911,2026-07-15T03:40:06.911000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784086809198,2026-07-15T03:40:09.198000Z,0.0
162.19,162.187,1026,0.0,USDJPY,1784086814229,2026-07-15T03:40:14.229000Z,0.0
162.191,162.188,1028,0.0,USDJPY,1784086815224,2026-07-15T03:40:15.224000Z,0.0
162.19,162.188,1028,0.0,USDJPY,1784086815891,2026-07-15T03:40:15.891000Z,0.0
162.191,162.188,1026,0.0,USDJPY,1784086817132,2026-07-15T03:40:17.132000Z,0.0
162.197,162.194,1030,0.0,USDJPY,1784086818232,2026-07-15T03:40:18.232000Z,0.0
162.195,162.193,1026,0.0,USDJPY,1784086818817,2026-07-15T03:40:18.817000Z,0.0
162.196,162.194,1030,0.0,USDJPY,1784086823202,2026-07-15T03:40:23.202000Z,0.0
162.197,162.195,1030,0.0,USDJPY,1784086825892,2026-07-15T03:40:25.892000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784086826654,2026-07-15T03:40:26.654000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784086828252,2026-07-15T03:40:28.252000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784086828378,2026-07-15T03:40:28.378000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784086830082,2026-07-15T03:40:30.082000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784086834956,2026-07-15T03:40:34.956000Z,0.0
162.198,162.196,1030,0.0,USDJPY,1784086836146,2026-07-15T03:40:36.146000Z,0.0
162.199,162.197,1030,0.0,USDJPY,1784086837241,2026-07-15T03:40:37.241000Z,0.0
