ask,bid,flags,last,symbol,time_msc,time_utc,volume_real
4054.81,4054.29,1026,0.0,XAUUSD,1784086795703,2026-07-15T03:39:55.703000Z,0.0
4054.68,4054.16,1026,0.0,XAUUSD,1784086806312,2026-07-15T03:40:06.312000Z,0.0
4054.28,4053.76,1028,0.0,XAUUSD,1784086808201,2026-07-15T03:40:08.201000Z,0.0
4054.64,4054.13,1026,0.0,XAUUSD,1784086809196,2026-07-15T03:40:09.196000Z,0.0
4054.46,4053.93,1026,0.0,XAUUSD,1784086810124,2026-07-15T03:40:10.124000Z,0.0
4054.82,4054.31,1030,0.0,XAUUSD,1784086811096,2026-07-15T03:40:11.096000Z,0.0
4054.98,4054.46,1030,0.0,XAUUSD,1784086812236,2026-07-15T03:40:12.236000Z,0.0
4055.0,4054.48,1030,0.0,XAUUSD,1784086813177,2026-07-15T03:40:13.177000Z,0.0
4054.96,4054.43,1028,0.0,XAUUSD,1784086814171,2026-07-15T03:40:14.171000Z,0.0
4055.13,4054.62,1030,0.0,XAUUSD,1784086815130,2026-07-15T03:40:15.130000Z,0.0
4055.24,4054.73,1026,0.0,XAUUSD,1784086816151,2026-07-15T03:40:16.151000Z,0.0
4054.79,4054.28,1030,0.0,XAUUSD,1784086817151,2026-07-15T03:40:17.151000Z,0.0
4054.8,4054.29,1026,0.0,XAUUSD,1784086818202,2026-07-15T03:40:18.202000Z,0.0
4054.63,4054.12,1030,0.0,XAUUSD,1784086819072,2026-07-15T03:40:19.072000Z,0.0
4054.62,4054.09,1026,0.0,XAUUSD,1784086820244,2026-07-15T03:40:20.244000Z,0.0
4055.03,4054.51,1026,0.0,XAUUSD,1784086821271,2026-07-15T03:40:21.271000Z,0.0
4055.03,4054.52,1030,0.0,XAUUSD,1784086821546,2026-07-15T03:40:21.546000Z,0.0
4054.66,4054.1,1028,0.0,XAUUSD,1784086823226,2026-07-15T03:40:23.226000Z,0.0
4054.69,4054.15,1026,0.0,XAUUSD,1784086824030,2026-07-15T03:40:24.030000Z,0.0
4054.84,4054.33,1028,0.0,XAUUSD,1784086825271,2026-07-15T03:40:25.271000Z,0.0
4055.2,4054.69,1030,0.0,XAUUSD,1784086826267,2026-07-15T03:40:26.267000Z,0.0
4055.14,4054.63,1030,0.0,XAUUSD,1784086827258,2026-07-15T03:40:27.258000Z,0.0
4055.13,4054.6,1026,0.0,XAUUSD,1784086828291,2026-07-15T03:40:28.291000Z,0.0
4055.12,4054.59,1030,0.0,XAUUSD,1784086828756,2026-07-15T03:40:28.756000Z,0.0
4055.17,4054.64,1030,0.0,XAUUSD,1784086830295,2026-07-15T03:40:30.295000Z,0.0
4054.81,4054.26,1030,0.0,XAUUSD,1784086830952,2026-07-15T03:40:30.952000Z,0.0
4054.96,4054.44,1030,0.0,XAUUSD,1784086832229,2026-07-15T03:40:32.229000Z,0.0
4055.22,4054.69,1030,0.0,XAUUSD,1784086833276,2026-07-15T03:40:33.276000Z,0.0
4055.23,4054.7,1026,0.0,XAUUSD,1784086834304,2026-07-15T03:40:34.304000Z,0.0
4054.83,4054.3,1030,0.0,XAUUSD,1784086835327,2026-07-15T03:40:35.327000Z,0.0
4054.82,4054.28,1030,0.0,XAUUSD,1784086836269,2026-07-15T03:40:36.269000Z,0.0
4054.82,4054.3,1030,0.0,XAUUSD,1784086837095,2026-07-15T03:40:37.095000Z,0.0
4046.98,4046.47,1030,0.0,XAUUSD,1784090368223,2026-07-15T04:39:28.223000Z,0.0
4047.19,4046.68,1030,0.0,XAUUSD,1784090369174,2026-07-15T04:39:29.174000Z,0.0
4047.37,4046.85,1030,0.0,XAUUSD,1784090370593,2026-07-15T04:39:30.593000Z,0.0
4047.53,4047.01,1030,0.0,XAUUSD,1784090371593,2026-07-15T04:39:31.593000Z,0.0
4047.61,4047.09,1030,0.0,XAUUSD,1784090372446,2026-07-15T04:39:32.446000Z,0.0
4047.01,4046.48,1030,0.0,XAUUSD,1784090373670,2026-07-15T04:39:33.670000Z,0.0
4047.23,4046.71,1026,0.0,XAUUSD,1784090374693,2026-07-15T04:39:34.693000Z,0.0
4046.77,4046.26,1030,0.0,XAUUSD,1784090375674,2026-07-15T04:39:35.674000Z,0.0
4046.97,4046.45,1030,0.0,XAUUSD,1784090376694,2026-07-15T04:39:36.694000Z,0.0
4046.64,4046.09,1030,0.0,XAUUSD,1784090377668,2026-07-15T04:39:37.668000Z,0.0
4047.02,4046.49,1028,0.0,XAUUSD,1784090378656,2026-07-15T04:39:38.656000Z,0.0
4046.58,4045.97,1026,0.0,XAUUSD,1784090379746,2026-07-15T04:39:39.746000Z,0.0
4047.02,4046.51,1030,0.0,XAUUSD,1784090380641,2026-07-15T04:39:40.641000Z,0.0
4046.82,4046.29,1026,0.0,XAUUSD,1784090381763,2026-07-15T04:39:41.763000Z,0.0
4047.12,4046.61,1028,0.0,XAUUSD,1784090382689,2026-07-15T04:39:42.689000Z,0.0
4047.23,4046.71,1030,0.0,XAUUSD,1784090383762,2026-07-15T04:39:43.762000Z,0.0
4047.27,4046.76,1026,0.0,XAUUSD,1784090384786,2026-07-15T04:39:44.786000Z,0.0
4047.2,4046.69,1030,0.0,XAUUSD,1784090385767,2026-07-15T04:39:45.767000Z,0.0
4047.06,4046.54,1028,0.0,XAUUSD,1784090386795,2026-07-15T04:39:46.795000Z,0.0
4047.07,4046.56,1026,0.0,XAUUSD,1784090387735,2026-07-15T04:39:47.735000Z,0.0
4047.04,4046.53,1026,0.0,XAUUSD,1784090388836,2026-07-15T04:39:48.836000Z,0.0
4047.11,4046.6,1030,0.0,XAUUSD,1784090389741,2026-07-15T04:39:49.741000Z,0.0
4047.46,4046.95,1030,0.0,XAUUSD,1784090390841,2026-07-15T04:39:50.841000Z,0.0
4046.79,4046.28,1030,0.0,XAUUSD,1784090391694,2026-07-15T04:39:51.694000Z,0.0
4047.21,4046.69,1026,0.0,XAUUSD,1784090392892,2026-07-15T04:39:52.892000Z,0.0
4047.12,4046.61,1026,0.0,XAUUSD,1784090393824,2026-07-15T04:39:53.824000Z,0.0
4047.26,4046.75,1028,0.0,XAUUSD,1784090394807,2026-07-15T04:39:54.807000Z,0.0
4047.05,4046.54,1030,0.0,XAUUSD,1784090395793,2026-07-15T04:39:55.793000Z,0.0
4046.74,4046.23,1030,0.0,XAUUSD,1784090396665,2026-07-15T04:39:56.665000Z,0.0
4046.73,4046.22,1030,0.0,XAUUSD,1784090397872,2026-07-15T04:39:57.872000Z,0.0
4047.04,4046.53,1030,0.0,XAUUSD,1784090398523,2026-07-15T04:39:58.523000Z,0.0
4046.5,4045.99,1030,0.0,XAUUSD,1784090399692,2026-07-15T04:39:59.692000Z,0.0
4046.51,4045.99,1026,0.0,XAUUSD,1784090400889,2026-07-15T04:40:00.889000Z,0.0
4046.42,4045.9,1030,0.0,XAUUSD,1784090402000,2026-07-15T04:40:02Z,0.0
4045.84,4045.33,1030,0.0,XAUUSD,1784090403000,2026-07-15T04:40:03Z,0.0
4045.88,4045.37,1028,0.0,XAUUSD,1784090403809,2026-07-15T04:40:03.809000Z,0.0
4045.68,4045.17,1026,0.0,XAUUSD,1784090405017,2026-07-15T04:40:05.017000Z,0.0
4046.25,4045.74,1030,0.0,XAUUSD,1784090405773,2026-07-15T04:40:05.773000Z,0.0
4046.31,4045.78,1030,0.0,XAUUSD,1784090406844,2026-07-15T04:40:06.844000Z,0.0
4046.2,4045.69,1030,0.0,XAUUSD,1784090407843,2026-07-15T04:40:07.843000Z,0.0
4045.78,4045.27,1028,0.0,XAUUSD,1784090408894,2026-07-15T04:40:08.894000Z,0.0
4045.62,4045.11,1030,0.0,XAUUSD,1784090409959,2026-07-15T04:40:09.959000Z,0.0
4045.82,4045.27,1026,0.0,XAUUSD,1784090411072,2026-07-15T04:40:11.072000Z,0.0
4045.93,4045.4,1030,0.0,XAUUSD,1784090412110,2026-07-15T04:40:12.110000Z,0.0
4045.91,4045.4,1030,0.0,XAUUSD,1784090413054,2026-07-15T04:40:13.054000Z,0.0
4045.86,4045.32,1028,0.0,XAUUSD,1784090414111,2026-07-15T04:40:14.111000Z,0.0
4045.89,4045.38,1028,0.0,XAUUSD,1784090415106,2026-07-15T04:40:15.106000Z,0.0
4046.04,4045.51,1026,0.0,XAUUSD,1784090416164,2026-07-15T04:40:16.164000Z,0.0
4046.46,4045.94,1028,0.0,XAUUSD,1784090417169,2026-07-15T04:40:17.169000Z,0.0
4045.99,4045.47,1028,0.0,XAUUSD,1784090418088,2026-07-15T04:40:18.088000Z,0.0
4046.18,4045.67,1030,0.0,XAUUSD,1784090419139,2026-07-15T04:40:19.139000Z,0.0
4046.08,4045.57,1030,0.0,XAUUSD,1784090420052,2026-07-15T04:40:20.052000Z,0.0
4045.44,4044.93,1030,0.0,XAUUSD,1784090421131,2026-07-15T04:40:21.131000Z,0.0
4045.48,4044.96,1030,0.0,XAUUSD,1784090422202,2026-07-15T04:40:22.202000Z,0.0
4045.32,4044.8,0,0.0,XAUUSD,1784090423242,2026-07-15T04:40:23.242000Z,0.0
4044.32,4043.81,0,0.0,XAUUSD,1784090424240,2026-07-15T04:40:24.240000Z,0.0
4044.31,4043.79,1030,0.0,XAUUSD,1784090425253,2026-07-15T04:40:25.253000Z,0.0
4042.55,4042.04,1030,0.0,XAUUSD,1784090426270,2026-07-15T04:40:26.270000Z,0.0
4041.42,4040.9,1030,0.0,XAUUSD,1784090427284,2026-07-15T04:40:27.284000Z,0.0
4041.97,4041.45,1030,0.0,XAUUSD,1784090428215,2026-07-15T04:40:28.215000Z,0.0
4041.81,4041.25,1026,0.0,XAUUSD,1784090429297,2026-07-15T04:40:29.297000Z,0.0
4042.19,4041.68,1030,0.0,XAUUSD,1784090430320,2026-07-15T04:40:30.320000Z,0.0
4041.57,4041.06,1026,0.0,XAUUSD,1784090431323,2026-07-15T04:40:31.323000Z,0.0
4042.02,4041.51,1026,0.0,XAUUSD,1784090432326,2026-07-15T04:40:32.326000Z,0.0
4041.53,4041.02,1030,0.0,XAUUSD,1784090433300,2026-07-15T04:40:33.300000Z,0.0
4041.45,4040.94,1030,0.0,XAUUSD,1784090434352,2026-07-15T04:40:34.352000Z,0.0
4040.87,4040.35,1026,0.0,XAUUSD,1784090435282,2026-07-15T04:40:35.282000Z,0.0
4040.85,4040.34,1030,0.0,XAUUSD,1784090436243,2026-07-15T04:40:36.243000Z,0.0
4040.64,4040.13,1028,0.0,XAUUSD,1784090437387,2026-07-15T04:40:37.387000Z,0.0
4040.68,4040.15,1030,0.0,XAUUSD,1784090438393,2026-07-15T04:40:38.393000Z,0.0
4040.51,4039.98,1030,0.0,XAUUSD,1784090439389,2026-07-15T04:40:39.389000Z,0.0
4040.46,4039.95,1028,0.0,XAUUSD,1784090440398,2026-07-15T04:40:40.398000Z,0.0
4040.4,4039.86,1028,0.0,XAUUSD,1784090441433,2026-07-15T04:40:41.433000Z,0.0
4040.65,4040.12,1030,0.0,XAUUSD,1784090442479,2026-07-15T04:40:42.479000Z,0.0
4040.84,4040.31,1030,0.0,XAUUSD,1784090443491,2026-07-15T04:40:43.491000Z,0.0
4040.68,4040.17,1028,0.0,XAUUSD,1784090444498,2026-07-15T04:40:44.498000Z,0.0
4041.1,4040.59,1028,0.0,XAUUSD,1784090445512,2026-07-15T04:40:45.512000Z,0.0
4041.07,4040.56,1030,0.0,XAUUSD,1784090446468,2026-07-15T04:40:46.468000Z,0.0
4041.17,4040.65,1026,0.0,XAUUSD,1784090447492,2026-07-15T04:40:47.492000Z,0.0
4041.09,4040.58,1030,0.0,XAUUSD,1784090448491,2026-07-15T04:40:48.491000Z,0.0
4041.06,4040.55,1030,0.0,XAUUSD,1784090449446,2026-07-15T04:40:49.446000Z,0.0
4040.53,4040.02,1030,0.0,XAUUSD,1784090450445,2026-07-15T04:40:50.445000Z,0.0
4040.88,4040.36,1026,0.0,XAUUSD,1784090451575,2026-07-15T04:40:51.575000Z,0.0
4040.87,4040.36,1026,0.0,XAUUSD,1784090452592,2026-07-15T04:40:52.592000Z,0.0
4041.23,4040.71,1028,0.0,XAUUSD,1784090453601,2026-07-15T04:40:53.601000Z,0.0
4040.8,4040.27,1030,0.0,XAUUSD,1784090454605,2026-07-15T04:40:54.605000Z,0.0
4040.41,4039.85,1028,0.0,XAUUSD,1784090455618,2026-07-15T04:40:55.618000Z,0.0
4040.31,4039.8,1030,0.0,XAUUSD,1784090456560,2026-07-15T04:40:56.560000Z,0.0
4040.56,4040.04,1030,0.0,XAUUSD,1784090457647,2026-07-15T04:40:57.647000Z,0.0
4040.58,4040.06,1026,0.0,XAUUSD,1784090458647,2026-07-15T04:40:58.647000Z,0.0
4040.96,4040.44,1026,0.0,XAUUSD,1784090459630,2026-07-15T04:40:59.630000Z,0.0
4040.41,4039.88,1028,0.0,XAUUSD,1784090460657,2026-07-15T04:41:00.657000Z,0.0
4041.0,4040.49,1030,0.0,XAUUSD,1784090461661,2026-07-15T04:41:01.661000Z,0.0
4041.21,4040.7,1026,0.0,XAUUSD,1784090462635,2026-07-15T04:41:02.635000Z,0.0
4041.14,4040.62,1030,0.0,XAUUSD,1784090463701,2026-07-15T04:41:03.701000Z,0.0
4041.24,4040.72,1028,0.0,XAUUSD,1784090464610,2026-07-15T04:41:04.610000Z,0.0
4041.16,4040.64,1030,0.0,XAUUSD,1784090465724,2026-07-15T04:41:05.724000Z,0.0
4041.04,4040.52,1026,0.0,XAUUSD,1784090466731,2026-07-15T04:41:06.731000Z,0.0
4040.95,4040.43,1030,0.0,XAUUSD,1784090467741,2026-07-15T04:41:07.741000Z,0.0
4040.99,4040.47,1030,0.0,XAUUSD,1784090468641,2026-07-15T04:41:08.641000Z,0.0
4041.35,4040.83,1028,0.0,XAUUSD,1784090469762,2026-07-15T04:41:09.762000Z,0.0
4041.33,4040.82,1030,0.0,XAUUSD,1784090470698,2026-07-15T04:41:10.698000Z,0.0
4041.66,4041.13,1030,0.0,XAUUSD,1784090471686,2026-07-15T04:41:11.686000Z,0.0
4041.62,4041.09,1030,0.0,XAUUSD,1784090472795,2026-07-15T04:41:12.795000Z,0.0
4041.79,4041.27,1030,0.0,XAUUSD,1784090473790,2026-07-15T04:41:13.790000Z,0.0
4041.62,4041.09,1030,0.0,XAUUSD,1784090474813,2026-07-15T04:41:14.813000Z,0.0
4041.57,4041.05,1026,0.0,XAUUSD,1784090475670,2026-07-15T04:41:15.670000Z,0.0
4041.65,4041.12,1030,0.0,XAUUSD,1784090476768,2026-07-15T04:41:16.768000Z,0.0
4041.56,4041.04,1030,0.0,XAUUSD,1784090477804,2026-07-15T04:41:17.804000Z,0.0
4041.69,4041.17,1026,0.0,XAUUSD,1784090478870,2026-07-15T04:41:18.870000Z,0.0
4041.6,4041.08,1030,0.0,XAUUSD,1784090479749,2026-07-15T04:41:19.749000Z,0.0
4041.09,4040.58,1030,0.0,XAUUSD,1784090480870,2026-07-15T04:41:20.870000Z,0.0
4040.72,4040.21,1030,0.0,XAUUSD,1784090481870,2026-07-15T04:41:21.870000Z,0.0
4040.72,4040.21,1030,0.0,XAUUSD,1784090482854,2026-07-15T04:41:22.854000Z,0.0
4040.94,4040.42,1028,0.0,XAUUSD,1784090483866,2026-07-15T04:41:23.866000Z,0.0
4040.89,4040.38,1026,0.0,XAUUSD,1784090484892,2026-07-15T04:41:24.892000Z,0.0
4040.87,4040.35,1030,0.0,XAUUSD,1784090485915,2026-07-15T04:41:25.915000Z,0.0
4040.91,4040.39,1030,0.0,XAUUSD,1784090486844,2026-07-15T04:41:26.844000Z,0.0
4040.94,4040.34,1030,0.0,XAUUSD,1784090487951,2026-07-15T04:41:27.951000Z,0.0
4039.17,4038.63,1030,0.0,XAUUSD,1784090488951,2026-07-15T04:41:28.951000Z,0.0
4038.84,4038.33,1026,0.0,XAUUSD,1784090489862,2026-07-15T04:41:29.862000Z,0.0
4038.97,4038.43,1026,0.0,XAUUSD,1784090490997,2026-07-15T04:41:30.997000Z,0.0
4039.49,4038.98,1028,0.0,XAUUSD,1784090491958,2026-07-15T04:41:31.958000Z,0.0
4039.35,4038.79,1026,0.0,XAUUSD,1784090492990,2026-07-15T04:41:32.990000Z,0.0
4039.72,4039.2,1030,0.0,XAUUSD,1784090494020,2026-07-15T04:41:34.020000Z,0.0
4039.32,4038.81,1030,0.0,XAUUSD,1784090494910,2026-07-15T04:41:34.910000Z,0.0
4039.55,4039.03,1028,0.0,XAUUSD,1784090496045,2026-07-15T04:41:36.045000Z,0.0
4039.45,4038.89,1026,0.0,XAUUSD,1784090497042,2026-07-15T04:41:37.042000Z,0.0
4040.14,4039.62,1028,0.0,XAUUSD,1784090498065,2026-07-15T04:41:38.065000Z,0.0
4040.31,4039.78,1028,0.0,XAUUSD,1784090498950,2026-07-15T04:41:38.950000Z,0.0
4040.08,4039.57,1028,0.0,XAUUSD,1784090500072,2026-07-15T04:41:40.072000Z,0.0
4041.11,4040.58,1030,0.0,XAUUSD,1784090501044,2026-07-15T04:41:41.044000Z,0.0
4040.97,4040.45,1028,0.0,XAUUSD,1784090501940,2026-07-15T04:41:41.940000Z,0.0
4040.65,4040.12,1028,0.0,XAUUSD,1784090503122,2026-07-15T04:41:43.122000Z,0.0
4040.17,4039.62,1026,0.0,XAUUSD,1784090504142,2026-07-15T04:41:44.142000Z,0.0
4039.89,4039.36,1030,0.0,XAUUSD,1784090505141,2026-07-15T04:41:45.141000Z,0.0
4040.11,4039.58,1026,0.0,XAUUSD,1784090506129,2026-07-15T04:41:46.129000Z,0.0
4040.14,4039.61,1030,0.0,XAUUSD,1784090507076,2026-07-15T04:41:47.076000Z,0.0
4040.15,4039.62,1030,0.0,XAUUSD,1784090508140,2026-07-15T04:41:48.140000Z,0.0
4040.26,4039.73,1030,0.0,XAUUSD,1784090509186,2026-07-15T04:41:49.186000Z,0.0
4040.36,4039.85,1030,0.0,XAUUSD,1784090510180,2026-07-15T04:41:50.180000Z,0.0
4040.38,4039.85,1028,0.0,XAUUSD,1784090511207,2026-07-15T04:41:51.207000Z,0.0
4040.32,4039.78,1028,0.0,XAUUSD,1784090512220,2026-07-15T04:41:52.220000Z,0.0
4040.34,4039.83,1030,0.0,XAUUSD,1784090513163,2026-07-15T04:41:53.163000Z,0.0
4040.32,4039.81,1030,0.0,XAUUSD,1784090514171,2026-07-15T04:41:54.171000Z,0.0
4038.67,4038.15,1026,0.0,XAUUSD,1784090515222,2026-07-15T04:41:55.222000Z,0.0
4039.21,4038.69,1028,0.0,XAUUSD,1784090516140,2026-07-15T04:41:56.140000Z,0.0
4039.59,4039.06,1026,0.0,XAUUSD,1784090517269,2026-07-15T04:41:57.269000Z,0.0
4039.96,4039.44,1026,0.0,XAUUSD,1784090518173,2026-07-15T04:41:58.173000Z,0.0
4040.52,4039.98,1028,0.0,XAUUSD,1784090519303,2026-07-15T04:41:59.303000Z,0.0
4039.7,4039.19,1030,0.0,XAUUSD,1784090520219,2026-07-15T04:42:00.219000Z,0.0
4039.62,4039.09,1030,0.0,XAUUSD,1784090521150,2026-07-15T04:42:01.150000Z,0.0
4040.67,4040.14,1030,0.0,XAUUSD,1784090522320,2026-07-15T04:42:02.320000Z,0.0
4040.88,4040.36,1026,0.0,XAUUSD,1784090523271,2026-07-15T04:42:03.271000Z,0.0
4041.16,4040.63,1030,0.0,XAUUSD,1784090524340,2026-07-15T04:42:04.340000Z,0.0
4040.37,4039.86,1030,0.0,XAUUSD,1784090525342,2026-07-15T04:42:05.342000Z,0.0
4040.36,4039.84,1028,0.0,XAUUSD,1784090526239,2026-07-15T04:42:06.239000Z,0.0
4039.99,4039.47,1030,0.0,XAUUSD,1784090527389,2026-07-15T04:42:07.389000Z,0.0
4040.11,4039.59,1030,0.0,XAUUSD,1784090528404,2026-07-15T04:42:08.404000Z,0.0
4040.19,4039.67,1030,0.0,XAUUSD,1784090529309,2026-07-15T04:42:09.309000Z,0.0
4039.79,4039.27,1030,0.0,XAUUSD,1784090530309,2026-07-15T04:42:10.309000Z,0.0
4039.81,4039.28,1026,0.0,XAUUSD,1784090531437,2026-07-15T04:42:11.437000Z,0.0
4040.26,4039.75,1028,0.0,XAUUSD,1784090532427,2026-07-15T04:42:12.427000Z,0.0
4040.28,4039.75,1030,0.0,XAUUSD,1784090533404,2026-07-15T04:42:13.404000Z,0.0
4039.88,4039.35,1030,0.0,XAUUSD,1784090534250,2026-07-15T04:42:14.250000Z,0.0
4040.28,4039.75,1028,0.0,XAUUSD,1784090535357,2026-07-15T04:42:15.357000Z,0.0
4040.25,4039.74,1028,0.0,XAUUSD,1784090536271,2026-07-15T04:42:16.271000Z,0.0
4040.11,4039.58,1030,0.0,XAUUSD,1784090536866,2026-07-15T04:42:16.866000Z,0.0
4040.18,4039.65,1030,0.0,XAUUSD,1784090538509,2026-07-15T04:42:18.509000Z,0.0
4039.83,4039.3,1030,0.0,XAUUSD,1784090539509,2026-07-15T04:42:19.509000Z,0.0
4039.86,4039.33,1030,0.0,XAUUSD,1784090540491,2026-07-15T04:42:20.491000Z,0.0
4040.18,4039.65,1028,0.0,XAUUSD,1784090541519,2026-07-15T04:42:21.519000Z,0.0
4040.3,4039.79,1028,0.0,XAUUSD,1784090542560,2026-07-15T04:42:22.560000Z,0.0
4040.22,4039.71,1030,0.0,XAUUSD,1784090543340,2026-07-15T04:42:23.340000Z,0.0
4039.95,4039.43,1030,0.0,XAUUSD,1784090544569,2026-07-15T04:42:24.569000Z,0.0
4039.82,4039.21,1026,0.0,XAUUSD,1784090545551,2026-07-15T04:42:25.551000Z,0.0
4040.19,4039.67,1030,0.0,XAUUSD,1784090546199,2026-07-15T04:42:26.199000Z,0.0
4040.21,4039.68,1030,0.0,XAUUSD,1784090547564,2026-07-15T04:42:27.564000Z,0.0
