arm,split,symbol,report_date,entry_time_utc,exit_time_utc,direction,entry_price,exit_price,stop_price,stop_distance_pips,exit_reason,gross_pips,net_r_x1,net_r_x1_5,net_r_x2
candidate,train,EURUSD,2018-01-02,2018-01-08T07:00:00+00:00,2018-01-08T16:00:00+00:00,-1,1.20254,1.197,1.2042607142857142,17.20714285714282,time_exit,55.39999999999878,3.132420091324137,3.0888335408882712,3.045246990452406
control,train,EURUSD,2018-01-02,2018-01-08T07:00:00+00:00,2018-01-08T09:00:00+00:00,1,1.20254,1.2008192857142856,1.2008192857142856,17.20714285714282,stop,-17.207142857142976,-1.0871731008717402,-1.130759651307606,-1.1743462017434714
candidate,train,USDJPY,2018-01-02,2018-01-08T07:00:00+00:00,2018-01-08T14:00:00+00:00,1,113.197,113.077,113.077,12.000000000000199,stop,-12.000000000000455,-1.1250000000000193,-1.1875000000000182,-1.250000000000017
control,train,USDJPY,2018-01-02,2018-01-08T07:00:00+00:00,2018-01-08T14:00:00+00:00,1,113.197,113.077,113.077,12.000000000000199,stop,-12.000000000000455,-1.1250000000000193,-1.1875000000000182,-1.250000000000017
candidate,train,EURUSD,2018-01-09,2018-01-15T07:00:00+00:00,2018-01-15T16:00:00+00:00,1,1.22101,1.22832,1.2179992857142856,30.107142857142865,time_exit,73.1000000000015,2.378173190984628,2.3532621589561584,2.3283511269276884
control,train,EURUSD,2018-01-09,2018-01-15T07:00:00+00:00,2018-01-15T16:00:00+00:00,1,1.22101,1.22832,1.2179992857142856,30.107142857142865,time_exit,73.1000000000015,2.378173190984628,2.3532621589561584,2.3283511269276884
candidate,train,USDJPY,2018-01-09,2018-01-15T07:00:00+00:00,2018-01-15T16:00:00+00:00,1,110.679,110.549,110.41007142857143,26.892857142857046,time_exit,-12.999999999999545,-0.5391766268260142,-0.5670650730411538,-0.5949535192562934
control,train,USDJPY,2018-01-09,2018-01-15T07:00:00+00:00,2018-01-15T16:00:00+00:00,1,110.679,110.549,110.41007142857143,26.892857142857046,time_exit,-12.999999999999545,-0.5391766268260142,-0.5670650730411538,-0.5949535192562934
candidate,train,EURUSD,2018-01-16,2018-01-22T07:00:00+00:00,2018-01-22T11:00:00+00:00,-1,1.22238,1.2252803571428572,1.2252803571428572,29.003571428571348,stop,-29.003571428571906,-1.0517177687477106,-1.0775766531215563,-1.1034355374954017
control,train,EURUSD,2018-01-16,2018-01-22T07:00:00+00:00,2018-01-22T16:00:00+00:00,1,1.22238,1.22494,1.2194796428571428,29.003571428571348,time_exit,25.599999999998957,0.8309321512128711,0.8050732668390255,0.7792143824651798
candidate,train,USDJPY,2018-01-16,2018-01-22T07:00:00+00:00,2018-01-22T16:00:00+00:00,1,110.794,110.74,110.57275,22.125000000000433,time_exit,-5.400000000000205,-0.31186440677966415,-0.34576271186440927,-0.37966101694915433
control,train,USDJPY,2018-01-16,2018-01-22T07:00:00+00:00,2018-01-22T16:00:00+00:00,-1,110.794,110.74,111.01525,22.125000000000433,time_exit,5.400000000000205,0.17627118644068376,0.14237288135593867,0.10847457627119357
candidate,train,EURUSD,2018-01-23,2018-01-29T07:00:00+00:00,2018-01-29T14:00:00+00:00,1,1.24131,1.2382939285714285,1.2382939285714285,30.160714285714405,stop,-30.160714285714096,-1.0497335701598474,-1.0746003552397763,-1.099467140319705
control,train,EURUSD,2018-01-23,2018-01-29T07:00:00+00:00,2018-01-29T14:00:00+00:00,1,1.24131,1.2382939285714285,1.2382939285714285,30.160714285714405,stop,-30.160714285714096,-1.0497335701598474,-1.0746003552397763,-1.099467140319705
candidate,train,USDJPY,2018-01-23,2018-01-29T07:00:00+00:00,2018-01-29T16:00:00+00:00,-1,108.739,108.769,109.1022142857143,36.32142857142919,time_exit,-3.0000000000001137,-0.12389380530973554,-0.1445427728613576,-0.16519174041297968
control,train,USDJPY,2018-01-23,2018-01-29T07:00:00+00:00,2018-01-29T16:00:00+00:00,-1,108.739,108.769,109.1022142857143,36.32142857142919,time_exit,-3.0000000000001137,-0.12389380530973554,-0.1445427728613576,-0.16519174041297968
candidate,train,EURUSD,2018-01-30,2018-02-05T07:00:00+00:00,2018-02-05T16:00:00+00:00,-1,1.24593,1.24376,1.2489525,30.22500000000031,time_exit,21.700000000000053,0.6683209263854374,0.6435070306037999,0.6186931348221625
control,train,EURUSD,2018-01-30,2018-02-05T07:00:00+00:00,2018-02-05T16:00:00+00:00,1,1.24593,1.24376,1.2429075,30.22500000000031,time_exit,-21.700000000000053,-0.7675765095119872,-0.7923904052936247,-0.8172043010752622
candidate,train,USDJPY,2018-01-30,2018-02-05T07:00:00+00:00,2018-02-05T16:00:00+00:00,-1,109.999,109.842,110.28121428571428,28.22142857142873,time_exit,15.699999999999648,0.5031637560111211,0.4765882055175753,0.4500126550240295
control,train,USDJPY,2018-01-30,2018-02-05T07:00:00+00:00,2018-02-05T16:00:00+00:00,-1,109.999,109.842,110.28121428571428,28.22142857142873,time_exit,15.699999999999648,0.5031637560111211,0.4765882055175753,0.4500126550240295
candidate,train,EURUSD,2018-02-06,2018-02-12T07:00:00+00:00,2018-02-12T12:00:00+00:00,1,1.22868,1.2260453571428571,1.2260453571428571,26.34642857142917,stop,-26.34642857142877,-1.056933712891403,-1.0854005693371118,-1.113867425782821
control,train,EURUSD,2018-02-06,2018-02-12T07:00:00+00:00,2018-02-12T16:00:00+00:00,-1,1.22868,1.22431,1.2313146428571429,26.34642857142917,time_exit,43.69999999999985,1.6017351226785534,1.5732682662328445,1.5448014097871354
candidate,train,USDJPY,2018-02-06,2018-02-12T07:00:00+00:00,2018-02-12T16:00:00+00:00,1,108.661,108.61,108.29960714285714,36.13928571428576,time_exit,-5.100000000000193,-0.18262674177290755,-0.20337978061073736,-0.22413281944856717
control,train,USDJPY,2018-02-06,2018-02-12T07:00:00+00:00,2018-02-12T16:00:00+00:00,-1,108.661,108.61,109.02239285714286,36.13928571428576,time_exit,5.100000000000193,0.09961458642158838,0.07886154758375857,0.05810850874592878
candidate,train,EURUSD,2018-02-13,2018-02-19T07:00:00+00:00,2018-02-19T09:00:00+00:00,1,1.24155,1.2390975,1.2390975,24.524999999999842,stop,-24.524999999999686,-1.0611620795106973,-1.0917431192660492,-1.122324159021401
control,train,EURUSD,2018-02-13,2018-02-19T07:00:00+00:00,2018-02-19T16:00:00+00:00,-1,1.24155,1.23727,1.2440025,24.524999999999842,time_exit,42.79999999999839,1.683995922527978,1.653414882772626,1.6228338430172742
candidate,train,USDJPY,2018-02-13,2018-02-19T07:00:00+00:00,2018-02-19T15:00:00+00:00,-1,106.392,106.66253571428571,106.66253571428571,27.053571428571487,stop,-27.053571428571388,-1.0554455445544517,-1.0831683168316792,-1.110891089108907
control,train,USDJPY,2018-02-13,2018-02-19T07:00:00+00:00,2018-02-19T15:00:00+00:00,-1,106.392,106.66253571428571,106.66253571428571,27.053571428571487,stop,-27.053571428571388,-1.0554455445544517,-1.0831683168316792,-1.110891089108907
candidate,train,EURUSD,2018-02-20,2018-02-26T07:00:00+00:00,2018-02-26T08:00:00+00:00,-1,1.23121,1.2332725,1.2332725,20.624999999999986,stop,-20.62500000000078,-1.0727272727273114,-1.1090909090909478,-1.1454545454545841
control,train,EURUSD,2018-02-20,2018-02-26T07:00:00+00:00,2018-02-26T08:00:00+00:00,-1,1.23121,1.2332725,1.2332725,20.624999999999986,stop,-20.62500000000078,-1.0727272727273114,-1.1090909090909478,-1.1454545454545841
candidate,train,USDJPY,2018-02-20,2018-02-26T07:00:00+00:00,2018-02-26T16:00:00+00:00,-1,106.624,106.853,106.90032142857142,27.632142857142483,time_exit,-22.89999999999992,-0.8830295980354234,-0.9101719012537254,-0.9373142044720274
control,train,USDJPY,2018-02-20,2018-02-26T07:00:00+00:00,2018-02-26T16:00:00+00:00,-1,106.624,106.853,106.90032142857142,27.632142857142483,time_exit,-22.89999999999992,-0.8830295980354234,-0.9101719012537254,-0.9373142044720274
candidate,train,EURUSD,2018-02-27,2018-03-05T07:00:00+00:00,2018-03-05T08:00:00+00:00,1,1.23214,1.2293339285714286,1.2293339285714286,28.060714285714692,stop,-28.06071428571366,-1.0534555173730056,-1.080183276059527,-1.106911034746048
control,train,EURUSD,2018-02-27,2018-03-05T07:00:00+00:00,2018-03-05T08:00:00+00:00,1,1.23214,1.2293339285714286,1.2293339285714286,28.060714285714692,stop,-28.06071428571366,-1.0534555173730056,-1.080183276059527,-1.106911034746048
candidate,train,USDJPY,2018-02-27,2018-03-05T07:00:00+00:00,2018-03-05T16:00:00+00:00,1,105.494,105.663,105.22871428571429,26.52857142857127,time_exit,16.899999999999693,0.5805061927840522,0.5522347872913219,0.5239633817985915
control,train,USDJPY,2018-02-27,2018-03-05T07:00:00+00:00,2018-03-05T16:00:00+00:00,-1,105.494,105.663,105.75928571428571,26.52857142857127,time_exit,-16.899999999999693,-0.6935918147549738,-0.7218632202477041,-0.7501346257404345
candidate,train,EURUSD,2018-03-06,2018-03-12T07:00:00+00:00,2018-03-12T16:00:00+00:00,-1,1.23249,1.23077,1.234127142857143,16.371428571429004,time_exit,17.20000000000166,0.9589877835951894,0.9131762652705833,0.8673647469459772
control,train,EURUSD,2018-03-06,2018-03-12T07:00:00+00:00,2018-03-12T16:00:00+00:00,-1,1.23249,1.23077,1.234127142857143,16.371428571429004,time_exit,17.20000000000166,0.9589877835951894,0.9131762652705833,0.8673647469459772
candidate,train,USDJPY,2018-03-06,2018-03-12T07:00:00+00:00,2018-03-12T07:00:00+00:00,-1,106.403,106.65896428571429,106.65896428571429,25.59642857142883,stop,-25.596428571428476,-1.058601925491823,-1.0879028882377415,-1.1172038509836602
control,train,USDJPY,2018-03-06,2018-03-12T07:00:00+00:00,2018-03-12T07:00:00+00:00,-1,106.403,106.65896428571429,106.65896428571429,25.59642857142883,stop,-25.596428571428476,-1.058601925491823,-1.0879028882377415,-1.1172038509836602
candidate,train,EURUSD,2018-03-13,2018-03-19T07:00:00+00:00,2018-03-19T11:00:00+00:00,-1,1.22666,1.2283389285714288,1.2283389285714288,16.789285714286265,stop,-16.78928571428706,-1.0893426930440777,-1.1340140395660927,-1.178685386088108
control,train,EURUSD,2018-03-13,2018-03-19T07:00:00+00:00,2018-03-19T16:00:00+00:00,1,1.22666,1.23144,1.2249810714285714,16.789285714286265,time_exit,47.80000000000006,2.757711125292404,2.713039778770389,2.668368432248374
candidate,train,USDJPY,2018-03-13,2018-03-19T07:00:00+00:00,2018-03-19T16:00:00+00:00,1,105.708,106.094,105.52060714285713,18.73928571428612,time_exit,38.59999999999957,1.979797979797914,1.9397751095863653,1.8997522393748167
control,train,USDJPY,2018-03-13,2018-03-19T07:00:00+00:00,2018-03-19T09:00:00+00:00,-1,105.708,105.89539285714287,105.89539285714287,18.73928571428612,stop,-18.73928571428678,-1.0800457404231325,-1.120068610634681,-1.1600914808462297
candidate,train,EURUSD,2018-03-20,2018-03-26T07:00:00+00:00,2018-03-26T16:00:00+00:00,1,1.23732,1.24004,1.2350335714285714,22.86428571428586,time_exit,27.200000000000557,1.124023742580461,1.0912214932833664,1.0584192439862719
control,train,EURUSD,2018-03-20,2018-03-26T07:00:00+00:00,2018-03-26T11:00:00+00:00,-1,1.23732,1.2396064285714286,1.2396064285714286,22.86428571428586,stop,-22.86428571428578,-1.0656044985941855,-1.09840674789128,-1.1312089971883743
candidate,train,USDJPY,2018-03-20,2018-03-26T07:00:00+00:00,2018-03-26T16:00:00+00:00,-1,104.949,105.185,105.22039285714285,27.139285714285577,time_exit,-23.60000000000042,-0.924858534017654,-0.9524937491775437,-0.9801289643374332
control,train,USDJPY,2018-03-20,2018-03-26T07:00:00+00:00,2018-03-26T16:00:00+00:00,-1,104.949,105.185,105.22039285714285,27.139285714285577,time_exit,-23.60000000000042,-0.924858534017654,-0.9524937491775437,-0.9801289643374332
candidate,train,EURUSD,2018-03-27,2018-04-02T07:00:00+00:00,2018-04-02T12:00:00+00:00,-1,1.23183,1.2331971428571429,1.2331971428571429,13.671428571429397,stop,-13.671428571429,-1.1097178683385225,-1.164576802507798,-1.2194357366770738
control,train,EURUSD,2018-03-27,2018-04-02T07:00:00+00:00,2018-04-02T16:00:00+00:00,1,1.23183,1.23358,1.230462857142857,13.671428571429397,time_exit,17.499999999999183,1.1703239289444882,1.1154649947752124,1.0606060606059369
candidate,train,USDJPY,2018-03-27,2018-04-02T07:00:00+00:00,2018-04-02T16:00:00+00:00,-1,106.358,106.425,106.48475,12.674999999999923,time_exit,-6.6999999999993065,-0.6469428007889039,-0.7061143984220404,-0.7652859960551768
control,train,USDJPY,2018-03-27,2018-04-02T07:00:00+00:00,2018-04-02T16:00:00+00:00,-1,106.358,106.425,106.48475,12.674999999999923,time_exit,-6.6999999999993065,-0.6469428007889039,-0.7061143984220404,-0.7652859960551768
candidate,train,EURUSD,2018-04-03,2018-04-09T07:00:00+00:00,2018-04-09T16:00:00+00:00,1,1.22724,1.23132,1.2256082142857143,16.317857142856983,time_exit,40.79999999999861,2.408404464871902,2.362442547603352,2.316480630334803
control,train,EURUSD,2018-04-03,2018-04-09T07:00:00+00:00,2018-04-09T15:00:00+00:00,-1,1.22724,1.228871785714286,1.228871785714286,16.317857142856983,stop,-16.31785714285794,-1.0919238345371574,-1.1378857518057066,-1.183847669074256
candidate,train,USDJPY,2018-04-03,2018-04-09T07:00:00+00:00,2018-04-09T16:00:00+00:00,1,107.035,106.965,106.81021428571428,22.47857142857157,time_exit,-6.999999999999318,-0.3781379091197639,-0.41150301874798106,-0.4448681283761982
control,train,USDJPY,2018-04-03,2018-04-09T07:00:00+00:00,2018-04-09T16:00:00+00:00,-1,107.035,106.965,107.25978571428571,22.47857142857157,time_exit,6.999999999999318,0.24467747060689535,0.2113123609786782,0.17794725135046108
candidate,train,EURUSD,2018-04-10,2018-04-16T07:00:00+00:00,2018-04-16T16:00:00+00:00,1,1.23381,1.23813,1.2322028571428572,16.07142857142847,time_exit,43.199999999998795,2.5946666666666083,2.547999999999941,2.501333333333274
control,train,EURUSD,2018-04-10,2018-04-16T07:00:00+00:00,2018-04-16T16:00:00+00:00,1,1.23381,1.23813,1.2322028571428572,16.07142857142847,time_exit,43.199999999998795,2.5946666666666083,2.547999999999941,2.501333333333274
candidate,train,USDJPY,2018-04-10,2018-04-16T07:00:00+00:00,2018-04-16T16:00:00+00:00,-1,107.249,107.308,107.45578571428571,20.678571428571345,time_exit,-5.900000000001171,-0.3578583765112843,-0.3941278065630979,-0.4303972366149116
control,train,USDJPY,2018-04-10,2018-04-16T07:00:00+00:00,2018-04-16T16:00:00+00:00,1,107.249,107.308,107.04221428571428,20.678571428571345,time_exit,5.900000000001171,0.21278065630402984,0.17651122625221624,0.1402417962004026
