position_id,direction,start,end,filename,source_status,degraded_source_date,causal_records,records_last_30s,records_prior_30s,aligned_imbalance_last,aligned_imbalance_median_30s,aligned_imbalance_change_30s,aligned_persistence_30s,spread_ticks_last,staleness_ms,book_alignment_score,quality_eligible,quality_reason,decision_time_server,decision_time_utc,decision_year,open_time,close_time,decision_time,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r,entry_time_utc,exit_time_utc,stop_pips,target_pips,hold_minutes,decision_entry_lag_minutes,entry_minute_utc,entry_hour_utc,entry_weekday,entry_month,entry_year,exit_class,mfe_r,mae_r,mfe_5m_r,mae_5m_r,mfe_15m_r,mae_15m_r,mfe_30m_r,mae_30m_r
2,BUY,2019-01-03T00:13:00Z,2019-01-03T00:15:00Z,CTRL_PID000000002_20190103T001500Z.dbn.zst,nonempty,False,1537,227,492,0.1038961038961039,0.0196078431372549,-0.0036479708162334,0.5638766519823789,0.9999999999976694,434.127872,0.0408302548557585,True,PASS,2019.01.03 02:15:00,2019-01-03 00:15:00,2019,2019.01.03 02:20:00,2019.01.03 03:29:36,2019.01.03 02:15:00,0.2,1.13381,1.13479,1.13333,1.13477,48.0,9.6,18.8,1.9583333333333335,2019-01-03 00:20:00,2019-01-03 01:29:36,4.8000000000003595,9.600000000000719,69.6,5.0,20,0,Thursday,2019-01,2019,TP_LIKE,2.041666666666474,0.7499999999997687,0.35416666666664737,0.7499999999997687,0.8333333333331792,0.7499999999997687,1.5624999999999423,0.7499999999997687
8,BUY,2019-01-07T23:58:00Z,2019-01-08T00:00:00Z,CTRL_PID000000008_20190108T000000Z.dbn.zst,nonempty,False,188,69,58,0.1327433628318584,0.135593220338983,-0.0060734463276836,0.8695652173913043,1.0000000000021103,678.326528,0.2510608572832227,True,PASS,2019.01.08 02:00:00,2019-01-08 00:00:00,2019,2019.01.08 02:05:00,2019.01.08 02:33:16,2019.01.08 02:00:00,0.16,1.14837,1.14777,1.14778,1.14955,59.0,9.44,-10.24,-1.0847457627118644,2019-01-08 00:05:00,2019-01-08 00:33:16,5.899999999998684,11.800000000001809,28.266666666666666,5.0,5,0,Tuesday,2019-01,2019,SL_LIKE,0.06779661016957444,1.1186440677966611,-0.15254237288126024,0.35593220338960724,-0.06779661016919811,0.4406779661016694,0.06779661016957444,1.1186440677966611
12,BUY,2019-01-10T00:58:00Z,2019-01-10T01:00:00Z,CTRL_PID000000012_20190110T010000Z.dbn.zst,nonempty,False,1535,346,397,0.0387596899224806,0.0375426621160409,-0.0329701583967795,0.7456647398843931,1.0000000000021103,1168.57984,0.1333611614010221,True,PASS,2019.01.10 03:00:00,2019-01-10 01:00:00,2019,2019.01.10 03:05:00,2019.01.10 03:09:29,2019.01.10 03:00:00,0.21,1.15592,1.15545,1.15545,1.15686,47.0,9.87,-10.709999999999999,-1.0851063829787233,2019-01-10 01:05:00,2019-01-10 01:09:29,4.699999999999704,9.399999999999409,4.483333333333333,5.0,65,1,Thursday,2019-01,2019,SL_LIKE,-0.021276595744821575,1.1914893617024493,-0.021276595744821575,1.1914893617024493,-0.021276595744821575,3.191489361702449,-0.021276595744821575,3.2978723404256125
18,BUY,2019-01-14T01:03:00Z,2019-01-14T01:05:00Z,CTRL_PID000000018_20190114T010500Z.dbn.zst,nonempty,False,524,57,29,0.0105263157894736,0.1196581196581196,0.1628235872840189,0.631578947368421,1.99999999999978,1497.066496,0.166324430334275,True,PASS,2019.01.14 03:05:00,2019-01-14 01:05:00,2019,2019.01.14 03:10:00,2019.01.14 03:14:59,2019.01.14 03:05:00,0.32,1.14678,1.14646,1.14647,1.1474,31.0,9.92,-11.52,-1.161290322580645,2019-01-14 01:10:00,2019-01-14 01:14:59,3.0999999999981043,6.200000000000649,4.983333333333333,5.0,70,1,Monday,2019-01,2019,SL_LIKE,-0.290322580645092,1.0322580645163602,-0.290322580645092,1.0322580645163602,-0.1612903225803679,1.354838709677812,0.9677419354843562,1.354838709677812
22,SELL,2019-01-16T01:13:00Z,2019-01-16T01:15:00Z,CTRL_PID000000022_20190116T011500Z.dbn.zst,nonempty,False,685,195,37,0.1196911196911196,0.0903426791277258,0.1303426791277258,0.8205128205128205,1.0000000000021103,699.634176,0.2380134196022046,True,PASS,2019.01.16 03:15:00,2019-01-16 01:15:00,2019,2019.01.16 03:20:00,2019.01.16 05:20:00,2019.01.16 03:15:00,0.19,1.14046,1.13994,1.14098,1.13942,52.0,9.88,9.120000000000001,0.9230769230769231,2019-01-16 01:20:00,2019-01-16 03:20:00,5.20000000000076,10.399999999999299,120.0,5.0,80,1,Wednesday,2019-01,2019,TIMEOUT_OR_OTHER,1.711538461538322,0.19230769230764302,0.4423076923075363,0.19230769230764302,0.8846153846150726,0.19230769230764302,1.0384615384613578,0.19230769230764302
26,BUY,2019-01-18T00:28:00Z,2019-01-18T00:30:00Z,CTRL_PID000000026_20190118T003000Z.dbn.zst,nonempty,False,791,339,291,0.0573770491803278,0.0573770491803278,-0.0585649798051793,0.7669616519174042,1.0000000000021103,173.014784,0.1475281055975711,True,PASS,2019.01.18 02:30:00,2019-01-18 00:30:00,2019,2019.01.18 02:35:00,2019.01.18 04:35:00,2019.01.18 02:30:00,0.23,1.13927,1.13958,1.13885,1.14011,42.0,9.66,6.21,0.6428571428571428,2019-01-18 00:35:00,2019-01-18 02:35:00,4.20000000000087,8.399999999999519,120.0,5.0,35,0,Friday,2019-01,2019,TIMEOUT_OR_OTHER,1.571428571428496,0.6428571428569918,0.0,0.3095238095236585,0.0,0.6428571428569918,0.5238095238091461,0.6428571428569918
32,BUY,2019-01-22T00:03:00Z,2019-01-22T00:05:00Z,CTRL_PID000000032_20190122T000500Z.dbn.zst,nonempty,False,168,46,100,-0.037593984962406,-0.0093889756991217,-0.0013244595700894,0.5,0.9999999999976694,8160.927488,-0.0050256027420832,True,PASS,2019.01.22 02:05:00,2019-01-22 00:05:00,2019,2019.01.22 02:10:00,2019.01.22 02:22:42,2019.01.22 02:05:00,0.26,1.13718,1.13678,1.1368,1.13794,38.0,9.88,-11.440000000000001,-1.1578947368421053,2019-01-22 00:10:00,2019-01-22 00:22:42,3.8000000000004697,7.599999999998719,12.7,5.0,10,0,Tuesday,2019-01,2019,SL_LIKE,-0.10526315789482911,1.0526315789477068,-0.10526315789482911,0.5526315789474145,-0.10526315789482911,1.0526315789477068,-0.10526315789482911,1.0526315789477068
36,BUY,2019-01-24T00:43:00Z,2019-01-24T00:45:00Z,CTRL_PID000000036_20190124T004500Z.dbn.zst,nonempty,False,534,141,160,0.0517241379310344,0.0344827586206896,-0.0167992926613616,0.9929078014184396,0.9999999999976694,95.798016,0.2594954568542242,True,PASS,2019.01.24 02:45:00,2019-01-24 00:45:00,2019,2019.01.24 02:50:00,2019.01.24 02:54:28,2019.01.24 02:45:00,0.29,1.13895,1.1386,1.13861,1.13963,34.0,9.86,-11.31,-1.147058823529412,2019-01-24 00:50:00,2019-01-24 00:54:28,3.4000000000000696,6.800000000000139,4.466666666666667,5.0,50,0,Thursday,2019-01,2019,SL_LIKE,-0.11764705882299159,1.1764705882351405,-0.11764705882299159,1.1764705882351405,-0.11764705882299159,1.1764705882351405,-0.11764705882299159,1.1764705882351405
38,BUY,2019-01-25T02:18:00Z,2019-01-25T02:20:00Z,CTRL_PID000000038_20190125T022000Z.dbn.zst,nonempty,False,607,171,142,-0.074074074074074,0.0344827586206896,0.1076534903280067,0.6023391812865497,1.99999999999978,545.979392,0.0953243425356213,True,PASS,2019.01.25 04:20:00,2019-01-25 02:20:00,2019,2019.01.25 04:25:00,2019.01.25 04:39:26,2019.01.25 04:20:00,0.49,1.13113,1.13154,1.13093,1.13153,20.0,9.8,18.13,1.8499999999999999,2019-01-25 02:25:00,2019-01-25 02:39:26,1.9999999999997797,3.9999999999995595,14.433333333333334,5.0,145,2,Friday,2019-01,2019,TP_LIKE,2.350000000000111,0.44999999999966694,0.20000000000022206,0.44999999999966694,2.350000000000111,0.44999999999966694,4.100000000000666,0.44999999999966694
46,BUY,2019-01-30T23:58:00Z,2019-01-31T00:00:00Z,CTRL_PID000000046_20190131T000000Z.dbn.zst,nonempty,False,88,26,15,0.2166666666666666,0.218680129823296,0.0119290749709753,1.0,1.99999999999978,1134.191616,0.3623223336543919,True,PASS,2019.01.31 02:00:00,2019-01-31 00:00:00,2019,2019.01.31 02:05:00,2019.01.31 04:05:00,2019.01.31 02:00:00,0.15,1.149,1.14923,1.14834,1.15032,66.0,9.9,2.85,0.2878787878787879,2019-01-31 00:05:00,2019-01-31 02:05:00,6.6000000000010495,13.199999999999878,120.0,5.0,5,0,Thursday,2019-01,2019,TIMEOUT_OR_OTHER,0.8030303030300533,0.5757575757575554,0.6666666666665545,0.12121212121222316,0.8030303030300533,0.2121212121212223,0.8030303030300533,0.2121212121212223
