arm,split,previous_trade_date,trade_date,publication_date,symbol,oi_change,direction,entry_time_utc,exit_time_utc,entry_price,exit_price,stop_price,stop_distance_pips,exit_reason,gross_pips,net_r_x1,net_r_x1_5,net_r_x2
candidate,train,2017-12-28,2017-12-29,2018-01-02,GBPUSD,0.04385307346326828,1,2018-01-02T17:00:00+00:00,2018-01-02T20:00:00+00:00,1.3547500000000001,1.35839,1.3525535714285715,21.964285714286625,time_exit,36.399999999998656,1.5661788617884917,1.5206504065039408,1.4751219512193898
control,train,2017-12-28,2017-12-29,2018-01-02,GBPUSD,,1,2018-01-02T17:00:00+00:00,2018-01-02T20:00:00+00:00,1.3547500000000001,1.35839,1.3525535714285715,21.964285714286625,time_exit,36.399999999998656,1.5661788617884917,1.5206504065039408,1.4751219512193898
candidate,train,2017-12-29,2018-01-02,2018-01-03,EURUSD,0.01956212820036307,1,2018-01-03T17:00:00+00:00,2018-01-03T20:00:00+00:00,1.20172,1.20272,1.1997389285714286,19.810714285713935,time_exit,10.000000000001119,0.42906075356054724,0.39120245177579804,0.35334414999104885
control,train,2017-12-29,2018-01-02,2018-01-03,GBPUSD,,1,2018-01-03T17:00:00+00:00,2018-01-03T17:00:00+00:00,1.3533,1.3509674999999999,1.3509674999999999,23.324999999999832,stop,-23.325000000000706,-1.0857449088960724,-1.12861736334409,-1.1714898177921074
candidate,train,2018-01-02,2018-01-03,2018-01-04,EURUSD,0.01419355076279527,-1,2018-01-04T17:00:00+00:00,2018-01-04T20:00:00+00:00,1.20822,1.20743,1.2103810714285714,21.610714285714305,time_exit,7.900000000000684,0.29614939679394975,0.26144438935716247,0.2267393819203752
control,train,2018-01-02,2018-01-03,2018-01-04,GBPUSD,,-1,2018-01-04T17:00:00+00:00,2018-01-04T20:00:00+00:00,1.35462,1.35462,1.3565228571428571,19.028571428571187,time_exit,-0.0,-0.10510510510510644,-0.15765765765765966,-0.21021021021021288
candidate,train,2018-01-03,2018-01-04,2018-01-05,EURUSD,0.05068594862783038,1,2018-01-05T17:00:00+00:00,2018-01-05T20:00:00+00:00,1.203,1.20471,1.2010125,19.874999999999353,time_exit,17.099999999998783,0.7849056603773228,0.7471698113207178,0.7094339622641128
control,train,2018-01-03,2018-01-04,2018-01-05,EURUSD,,1,2018-01-05T17:00:00+00:00,2018-01-05T20:00:00+00:00,1.203,1.20471,1.2010125,19.874999999999353,time_exit,17.099999999998783,0.7849056603773228,0.7471698113207178,0.7094339622641128
candidate,train,2018-01-04,2018-01-05,2018-01-08,USDJPY,0.046239158010216386,1,2018-01-08T17:00:00+00:00,2018-01-08T20:00:00+00:00,112.978,113.083,112.83346428571427,14.453571428571774,time_exit,10.500000000000398,0.6226834692364841,0.570793180133446,0.518902891030408
control,train,2018-01-04,2018-01-05,2018-01-08,USDJPY,,1,2018-01-08T17:00:00+00:00,2018-01-08T20:00:00+00:00,112.978,113.083,112.83346428571427,14.453571428571774,time_exit,10.500000000000398,0.6226834692364841,0.570793180133446,0.518902891030408
