case_id,entry_time_utc,direction,entry,side,year,signal_time_server,tickvol_ratio
ECRS-S0V2-01-2019S,2019-01-02 11:10:00,-1,1.14291,SHORT,2019,2019-01-02 13:05:00,1.2556
ECRS-S0V2-02-2019L,2019-02-01 11:30:00,1,1.14718,LONG,2019,2019-02-01 13:25:00,0.8961
ECRS-S0V2-03-2019S,2019-05-09 16:15:00,-1,1.12218,SHORT,2019,2019-05-09 19:10:00,0.3838
ECRS-S0V2-04-2019L,2019-05-28 09:30:00,1,1.11963,LONG,2019,2019-05-28 12:25:00,2.0917
ECRS-S0V2-05-2019S,2019-06-07 10:00:00,-1,1.12561,SHORT,2019,2019-06-07 12:55:00,1.9559
ECRS-S0V2-06-2019L,2019-06-07 14:20:00,1,1.13349,LONG,2019,2019-06-07 17:15:00,0.7824
ECRS-S0V2-07-2019S,2019-06-14 11:05:00,-1,1.12565,SHORT,2019,2019-06-14 14:00:00,2.9704
ECRS-S0V2-08-2019S,2019-06-25 09:50:00,-1,1.13778,SHORT,2019,2019-06-25 12:45:00,1.1478
ECRS-S0V2-09-2019S,2019-08-06 11:40:00,-1,1.11947,SHORT,2019,2019-08-06 14:35:00,1.7814
ECRS-S0V2-10-2019S,2019-09-23 09:15:00,-1,1.09707,SHORT,2019,2019-09-23 12:10:00,0.8899
ECRS-S0V2-11-2019L,2019-10-01 16:20:00,1,1.09395,LONG,2019,2019-10-01 19:15:00,1.4779
ECRS-S0V2-12-2019S,2019-11-22 11:05:00,-1,1.10542,SHORT,2019,2019-11-22 13:00:00,0.7045
ECRS-S0V2-13-2020S,2020-01-24 13:00:00,-1,1.10277,SHORT,2020,2020-01-24 14:55:00,1.7754
ECRS-S0V2-14-2020S,2020-04-13 10:15:00,-1,1.09114,SHORT,2020,2020-04-13 13:10:00,4.4896
ECRS-S0V2-15-2020S,2020-07-03 16:15:00,-1,1.12373,SHORT,2020,2020-07-03 19:10:00,0.5409
ECRS-S0V2-16-2020L,2020-07-21 16:25:00,1,1.1505,LONG,2020,2020-07-21 19:20:00,1.3512
ECRS-S0V2-17-2020S,2020-08-21 16:05:00,-1,1.17662,SHORT,2020,2020-08-21 19:00:00,0.7627
ECRS-S0V2-18-2020L,2020-08-27 15:40:00,1,1.1814,LONG,2020,2020-08-27 18:35:00,0.7255
ECRS-S0V2-19-2021S,2021-03-03 13:10:00,-1,1.20443,SHORT,2021,2021-03-03 15:05:00,2.1029
ECRS-S0V2-20-2021L,2021-03-24 15:45:00,1,1.18347,LONG,2021,2021-03-24 17:40:00,1.0172
ECRS-S0V2-21-2021S,2021-03-30 09:45:00,-1,1.17397,SHORT,2021,2021-03-30 12:40:00,0.6315
ECRS-S0V2-22-2021L,2021-04-01 16:20:00,1,1.17782,LONG,2021,2021-04-01 19:15:00,0.8021
ECRS-S0V2-23-2022L,2022-03-16 10:15:00,1,1.10119,LONG,2022,2022-03-16 12:10:00,2.1925
ECRS-S0V2-24-2022S,2022-06-03 15:50:00,-1,1.07152,SHORT,2022,2022-06-03 18:45:00,0.6059
ECRS-S0V2-25-2022L,2022-07-08 09:50:00,1,1.01224,LONG,2022,2022-07-08 12:45:00,0.6921
ECRS-S0V2-26-2022S,2022-08-23 15:55:00,-1,0.99759,SHORT,2022,2022-08-23 18:50:00,0.6718
ECRS-S0V2-27-2022S,2022-08-24 16:25:00,-1,0.99566,SHORT,2022,2022-08-24 19:20:00,0.5022
ECRS-S0V2-28-2022S,2022-09-13 15:05:00,-1,1.00093,SHORT,2022,2022-09-13 18:00:00,0.794
ECRS-S0V2-29-2022S,2022-10-03 16:00:00,-1,0.9808,SHORT,2022,2022-10-03 18:55:00,0.7475
ECRS-S0V2-30-2022S,2022-10-24 15:45:00,-1,0.98667,SHORT,2022,2022-10-24 18:40:00,0.633
