arm,date,window,direction,entry,exit,reason,r_pips,gross_r,net_r_x1,net_r_x1_5,net_r_x2
book_nostop,2015-01-05,07-11,-1,1.19469,1.19199,WINDOW_END,42.6,0.6334,0.5982,0.5806,0.5630
book_nostop,2015-01-05,13-17,1,1.18991,1.19173,WINDOW_END,47.1,0.3860,0.3542,0.3383,0.3224
book_nostop,2015-01-06,07-11,-1,1.19595,1.18975,WINDOW_END,31.9,1.9432,1.8961,1.8726,1.8491
book_nostop,2015-01-06,13-17,1,1.19064,1.19360,WINDOW_END,40.5,0.7308,0.6937,0.6752,0.6567
book_nostop,2015-01-07,07-11,-1,1.18659,1.18496,WINDOW_END,36.5,0.4466,0.4055,0.3849,0.3644
book_nostop,2015-01-07,13-17,1,1.18356,1.18197,WINDOW_END,45.6,-0.3487,-0.3816,-0.3981,-0.4145
book_nostop,2015-01-08,07-11,-1,1.18204,1.17684,WINDOW_END,32.8,1.5841,1.5384,1.5155,1.4927
book_nostop,2015-01-08,13-17,1,1.17754,1.18090,WINDOW_END,37.2,0.9038,0.8634,0.8433,0.8231
book_nostop,2015-01-09,07-11,-1,1.17923,1.18124,WINDOW_END,28.9,-0.6966,-0.7486,-0.7746,-0.8005
book_nostop,2015-01-09,13-17,1,1.18163,1.18290,WINDOW_END,28.7,0.4429,0.3906,0.3644,0.3383
book_nostop,2015-01-12,07-11,-1,1.18558,1.17942,WINDOW_END,32.6,1.8881,1.8421,1.8191,1.7961
book_nostop,2015-01-12,13-17,1,1.17897,1.18306,WINDOW_END,36.7,1.1157,1.0748,1.0544,1.0339
book_nostop,2015-01-13,07-11,-1,1.18296,1.18015,WINDOW_END,30.9,0.9095,0.8610,0.8367,0.8124
book_nostop,2015-01-13,13-17,1,1.17801,1.17778,WINDOW_END,38.2,-0.0602,-0.0995,-0.1191,-0.1388
book_nostop,2015-01-14,07-11,-1,1.17849,1.17581,WINDOW_END,30.3,0.8856,0.8361,0.8113,0.7865
book_nostop,2015-01-14,13-17,1,1.17571,1.18054,WINDOW_END,42.2,1.1452,1.1096,1.0918,1.0740
book_nostop,2015-01-15,07-11,-1,1.17718,1.16844,WINDOW_END,34.3,2.5496,2.5058,2.4840,2.4621
book_nostop,2015-01-15,13-17,1,1.17365,1.15947,WINDOW_END,79.9,-1.7744,-1.7932,-1.8025,-1.8119
book_nostop,2015-01-16,07-11,-1,1.16349,1.15996,WINDOW_END,56.0,0.6304,0.6036,0.5902,0.5768
book_nostop,2015-01-16,13-17,1,1.15887,1.15161,WINDOW_END,56.0,-1.2969,-1.3237,-1.3371,-1.3505
book_nostop,2015-01-19,07-11,-1,1.15662,1.15999,WINDOW_END,47.9,-0.7032,-0.7345,-0.7501,-0.7658
book_nostop,2015-01-19,13-17,1,1.16053,1.16211,WINDOW_END,53.2,0.2972,0.2689,0.2548,0.2407
book_nostop,2015-01-20,07-11,-1,1.15717,1.16054,WINDOW_END,34.2,-0.9863,-1.0302,-1.0521,-1.0741
book_nostop,2015-01-20,13-17,1,1.15900,1.15578,WINDOW_END,41.3,-0.7795,-0.8158,-0.8340,-0.8522
book_nostop,2015-01-21,07-11,-1,1.15804,1.15706,WINDOW_END,31.9,0.3069,0.2599,0.2364,0.2129
book_nostop,2015-01-21,13-17,1,1.15884,1.15829,WINDOW_END,36.6,-0.1504,-0.1914,-0.2119,-0.2324
book_nostop,2015-01-22,07-11,-1,1.15777,1.16262,WINDOW_END,41.6,-1.1660,-1.2020,-1.2201,-1.2381
book_nostop,2015-01-22,13-17,1,1.16301,1.14126,WINDOW_END,51.7,-4.2095,-4.2385,-4.2531,-4.2676
book_nostop,2015-01-23,07-11,-1,1.13356,1.12342,WINDOW_END,59.4,1.7077,1.6825,1.6698,1.6572
book_nostop,2015-01-23,13-17,1,1.11860,1.12767,WINDOW_END,81.9,1.1068,1.0885,1.0794,1.0702
book_nostop,2015-01-26,07-11,-1,1.12161,1.12286,WINDOW_END,74.6,-0.1676,-0.1878,-0.1978,-0.2079
book_nostop,2015-01-26,13-17,1,1.12443,1.12884,WINDOW_END,70.4,0.6269,0.6055,0.5949,0.5842
book_nostop,2015-01-27,07-11,-1,1.12432,1.12802,WINDOW_END,46.1,-0.8027,-0.8352,-0.8515,-0.8677
book_nostop,2015-01-27,13-17,1,1.12997,1.13685,WINDOW_END,59.0,1.1654,1.1400,1.1273,1.1146
book_nostop,2015-01-28,07-11,-1,1.13702,1.13618,WINDOW_END,49.7,0.1690,0.1388,0.1237,0.1086
book_nostop,2015-01-28,13-17,1,1.13531,1.13402,WINDOW_END,51.1,-0.2526,-0.2820,-0.2967,-0.3114
book_nostop,2015-01-29,07-11,-1,1.12810,1.13057,WINDOW_END,42.2,-0.5850,-0.6205,-0.6383,-0.6560
book_nostop,2015-01-29,13-17,1,1.12958,1.13074,WINDOW_END,48.5,0.2390,0.2081,0.1927,0.1772
