request_id,event_time_utc,start_utc,end_utc,coverage_kind,record_count,direct_record_count,unclassified_record_count,buy_volume,sell_volume,signed_flow,dominance,source_bytes,source_sha256
EVT0001,2019-01-03T15:00:00.000Z,2019-01-03T15:00:00.000Z,2019-01-03T15:00:15.000Z,dbn,526,526,0,769,484,285,BUY,9090,186F843AE99C9202FF70059329303ACE33843C27619B2D84CD7187A801870F50
EVT0002,2019-01-04T13:30:00.000Z,2019-01-04T13:30:00.000Z,2019-01-04T13:30:15.000Z,dbn,1105,1105,0,935,1855,-920,SELL,18089,7070A815269D7E303FE0C57709937F1C58FDDCF3AD57ED4AEE62AE6B23BE3BB6
EVT0003,2019-01-07T15:00:00.000Z,2019-01-07T15:00:00.000Z,2019-01-07T15:00:15.000Z,dbn,330,327,3,435,505,-70,SELL,6179,7E75CFDCC4D2768DB89BB150C92BF1E151B6035AC8E7CE7B4BF41DF84E6A67C3
EVT0004,2019-01-09T19:00:00.000Z,2019-01-09T19:00:00.000Z,2019-01-09T19:00:15.000Z,dbn,470,469,1,875,459,416,BUY,7597,4871A6F27C004A2EA196129CE97D1FDD70ED707619094D603F51587EA2C7710F
EVT0005,2019-01-11T13:30:00.000Z,2019-01-11T13:30:00.000Z,2019-01-11T13:30:15.000Z,dbn,164,164,0,126,200,-74,SELL,2949,594405CD795429FA373AE2A5628BD310C3AF3A041590D1223AA258BEFA1242F6
EVT0006,2019-01-15T13:30:00.000Z,2019-01-15T13:30:00.000Z,2019-01-15T13:30:15.000Z,dbn,170,170,0,223,159,64,BUY,3296,55EE6B83580076429460C44D8DB4C954E7A4AA5FDE6A3F4CC27E4638BB41B4CA
EVT0007,2019-01-24T12:44:00.000Z,2019-01-24T12:44:00.000Z,2019-01-24T12:44:15.000Z,dbn,36,36,0,87,31,56,BUY,810,6AAC68BDC40C7E1DCF85C3CE24EC0D029A4C884E9964AE87AE9DA1AEA118ECAF
EVT0008,2019-01-24T12:45:00.000Z,2019-01-24T12:45:00.000Z,2019-01-24T12:45:15.000Z,dbn,80,80,0,77,126,-49,SELL,1741,862E4E17B93B61D0A58D0D40429855227718BC204FBC9A418179733CC71DB22A
EVT0009,2019-01-29T15:00:00.000Z,2019-01-29T15:00:00.000Z,2019-01-29T15:00:15.000Z,dbn,45,45,0,120,38,82,BUY,1020,1A0108543AB39437069A06723503D73595C33B59C54A9832863508C1CE5E57D3
EVT0010,2019-01-30T19:00:00.000Z,2019-01-30T19:00:00.000Z,2019-01-30T19:00:15.000Z,dbn,774,774,0,1330,1015,315,BUY,12640,F5FE8F6794437FEC1E112E479D698038E87F003CC92693A051673B0C37261EF6
