event_clock_id,event_time_utc,currencies,event_ids,event_names,source_weeks,source_urls,all_member_clean
EVOCO0001,2019-01-03T15:00:00.000Z,USD,102137,ISM Manufacturing PMI,dec30.2018,"https://www.forexfactory.com/calendar?week=dec30.2018&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0002,2019-01-04T13:30:00.000Z,USD,102216|102217|102218,Unemployment Rate|Non-Farm Employment Change|Average Hourly Earnings m/m,dec30.2018,"https://www.forexfactory.com/calendar?week=dec30.2018&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0003,2019-01-07T15:00:00.000Z,USD,105753,ISM Services PMI,jan6.2019,"https://www.forexfactory.com/calendar?week=jan6.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0004,2019-01-09T19:00:00.000Z,USD,101968,FOMC Meeting Minutes,jan6.2019,"https://www.forexfactory.com/calendar?week=jan6.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0005,2019-01-11T13:30:00.000Z,USD,102220|102222|128614|153060,CPI m/m|Core CPI m/m|CPI y/y|Core CPI y/y,jan6.2019,"https://www.forexfactory.com/calendar?week=jan6.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0006,2019-01-15T13:30:00.000Z,USD,102225,PPI m/m,jan13.2019,"https://www.forexfactory.com/calendar?week=jan13.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0007,2019-01-24T12:44:00.000Z,EUR,103370,Main Refinancing Rate,jan20.2019,"https://www.forexfactory.com/calendar?week=jan20.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0008,2019-01-24T12:45:00.000Z,EUR,109187,Monetary Policy Statement,jan20.2019,"https://www.forexfactory.com/calendar?week=jan20.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0009,2019-01-29T15:00:00.000Z,USD,101969,CB Consumer Confidence,jan27.2019,"https://www.forexfactory.com/calendar?week=jan27.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0010,2019-01-30T19:00:00.000Z,USD,101902|101904,FOMC Statement|Federal Funds Rate,jan27.2019,"https://www.forexfactory.com/calendar?week=jan27.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0011,2019-02-01T13:30:00.000Z,USD,102230|102231|102234,Average Hourly Earnings m/m|Non-Farm Employment Change|Unemployment Rate,jan27.2019,"https://www.forexfactory.com/calendar?week=jan27.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0012,2019-02-01T15:00:00.000Z,USD,102139,ISM Manufacturing PMI,jan27.2019,"https://www.forexfactory.com/calendar?week=jan27.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0013,2019-02-05T15:00:00.000Z,USD,105755,ISM Services PMI,feb3.2019,"https://www.forexfactory.com/calendar?week=feb3.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0014,2019-02-13T13:30:00.000Z,USD,102235|102236|128615|153061,CPI m/m|Core CPI m/m|CPI y/y|Core CPI y/y,feb10.2019,"https://www.forexfactory.com/calendar?week=feb10.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0015,2019-02-14T13:30:00.000Z,USD,102238|102629|102631,PPI m/m|Retail Sales m/m|Core Retail Sales m/m,feb10.2019,"https://www.forexfactory.com/calendar?week=feb10.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0016,2019-02-20T19:00:00.000Z,USD,101954,FOMC Meeting Minutes,feb17.2019,"https://www.forexfactory.com/calendar?week=feb17.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0017,2019-02-21T08:15:00.000Z,EUR,101225,French Flash Services PMI,feb17.2019,"https://www.forexfactory.com/calendar?week=feb17.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0018,2019-02-21T08:30:00.000Z,EUR,101219|101221,German Flash Manufacturing PMI|German Flash Services PMI,feb17.2019,"https://www.forexfactory.com/calendar?week=feb17.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0019,2019-02-21T13:30:00.000Z,USD,102744,Core Durable Goods Orders m/m,feb17.2019,"https://www.forexfactory.com/calendar?week=feb17.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0020,2019-02-26T15:00:00.000Z,USD,101970,CB Consumer Confidence,feb24.2019,"https://www.forexfactory.com/calendar?week=feb24.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
EVOCO0021,2019-02-28T13:30:00.000Z,USD,102818,Advance GDP q/q,feb24.2019,"https://www.forexfactory.com/calendar?week=feb24.2019&permalink=true&impacts=3&event_types=1,2,3,4,5,7,8,9,10,11&currencies=5,9",True
