arm,split,direction,entry_time_server,entry_time_utc,exit_time_server,exit_reason,entry,sl_initial,tp,tp_binding,r_pips,hl_e,ts_bars,swap_events,swap_weighted,gross_r,cost_pips_x1,net_r_x1,net_r_x1_5,net_r_x2,feature_time_utc,decision_time_utc,execution_time_utc
control,train,1,2015-01-15 12:00:00,2015-01-15 10:00:00,2015-01-15 16:00:00,SL,1.17220,1.16612,1.17994,TP_mean,60.8,4.06,9,0,0,-1.0000,1.50,-1.0247,-1.0370,-1.0494,2015-01-15 10:00:00,2015-01-15 10:00:00,2015-01-15 10:00:00
control,train,1,2015-01-19 10:00:00,2015-01-19 08:00:00,2015-01-19 17:00:00,TP,1.15575,1.15086,1.16309,TP_cap,48.9,14.62,30,0,0,1.5000,1.50,1.4693,1.4540,1.4387,2015-01-19 08:00:00,2015-01-19 08:00:00,2015-01-19 08:00:00
control,train,1,2015-01-23 09:00:00,2015-01-23 07:00:00,2015-01-23 10:00:00,SL,1.13356,1.12762,1.14247,TP_cap,59.4,35.43,71,0,0,-1.0000,1.50,-1.0253,-1.0379,-1.0505,2015-01-23 07:00:00,2015-01-23 07:00:00,2015-01-23 07:00:00
control,train,-1,2015-02-03 16:00:00,2015-02-03 14:00:00,2015-02-03 20:00:00,SL,1.14423,1.14927,1.13667,TP_cap,50.4,3.70,8,0,0,-1.0000,1.50,-1.0298,-1.0446,-1.0595,2015-02-03 14:00:00,2015-02-03 14:00:00,2015-02-03 14:00:00
control,train,-1,2015-02-04 14:00:00,2015-02-04 12:00:00,2015-02-04 22:00:00,SL,1.14572,1.15026,1.13891,TP_cap,45.4,17.38,35,0,0,0.5121,1.50,0.4791,0.4625,0.4460,2015-02-04 12:00:00,2015-02-04 12:00:00,2015-02-04 12:00:00
control,train,1,2015-02-20 14:00:00,2015-02-20 12:00:00,2015-02-20 15:00:00,SL,1.13206,1.12840,1.13755,TP_cap,36.6,7.17,15,0,0,-1.0000,1.50,-1.0410,-1.0615,-1.0820,2015-02-20 12:00:00,2015-02-20 12:00:00,2015-02-20 12:00:00
control,train,1,2015-02-23 12:00:00,2015-02-23 10:00:00,2015-02-23 19:00:00,SL,1.13122,1.12674,1.13748,TP_mean,44.8,6.28,13,0,0,0.3532,1.50,0.3198,0.3030,0.2863,2015-02-23 10:00:00,2015-02-23 10:00:00,2015-02-23 10:00:00
control,train,1,2015-02-24 12:00:00,2015-02-24 10:00:00,2015-02-24 17:00:00,SL,1.13030,1.12706,1.13516,TP_cap,32.4,4.88,10,0,0,0.2957,1.50,0.2494,0.2263,0.2032,2015-02-24 10:00:00,2015-02-24 10:00:00,2015-02-24 10:00:00
control,train,1,2015-02-26 16:00:00,2015-02-26 14:00:00,2015-02-26 17:00:00,SL,1.12579,1.12180,1.13177,TP_cap,39.9,5.99,12,0,0,-1.0000,1.50,-1.0376,-1.0565,-1.0753,2015-02-26 14:00:00,2015-02-26 14:00:00,2015-02-26 14:00:00
control,train,1,2015-02-27 17:00:00,2015-02-27 15:00:00,2015-03-02 17:00:00,SL,1.11867,1.11445,1.12500,TP_cap,42.2,29.72,60,1,1,0.4324,2.30,0.3779,0.3507,0.3235,2015-02-27 15:00:00,2015-02-27 15:00:00,2015-02-27 15:00:00
