case_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,reason,label
win_20150211_1620_S,2015-02-11 16:20:00,-1,1.1312,1.13168,1.13024,2015-02-11 16:35:00,1.1312,TP,win
win_20150429_0335_S,2015-04-29 03:35:00,-1,1.09709,1.0974599999999999,1.09635,2015-04-29 04:00:00,1.09709,TP,win
win_20150709_0055_L,2015-07-09 00:55:00,1,1.10653,1.1060400000000001,1.1075099999999998,2015-07-09 01:30:00,1.10653,TP,win
win_20150921_0205_L,2015-09-21 02:05:00,1,1.13043,1.13012,1.13105,2015-09-21 02:15:00,1.13043,TP,win
win_20151202_1025_L,2015-12-02 10:25:00,1,1.05859,1.05794,1.0598899999999996,2015-12-02 12:45:00,1.05859,TP,win
win_20160212_0710_S,2016-02-12 07:10:00,-1,1.13178,1.13267,1.13,2016-02-12 07:55:00,1.13178,TP,win
win_20160420_1220_S,2016-04-20 12:20:00,-1,1.13806,1.13896,1.1362600000000003,2016-04-20 13:00:00,1.13806,TP,win
win_20160701_1935_S,2016-07-01 19:35:00,-1,1.11366,1.11416,1.1126600000000002,2016-07-01 20:05:00,1.11366,TP,win
win_20160912_2325_S,2016-09-12 23:25:00,-1,1.12382,1.12424,1.1229800000000003,2016-09-13 00:30:00,1.12382,TP,win
win_20161124_0720_L,2016-11-24 07:20:00,1,1.05356,1.05297,1.0547400000000002,2016-11-24 07:25:00,1.05356,TP,win
win_20170206_0115_S,2017-02-06 01:15:00,-1,1.07871,1.07904,1.0780500000000002,2017-02-06 01:30:00,1.07871,TP,win
win_20170421_0840_L,2017-04-21 08:40:00,1,1.07174,1.07148,1.0722599999999998,2017-04-21 08:50:00,1.07174,TP,win
win_20170704_1245_L,2017-07-04 12:45:00,1,1.13419,1.13376,1.13505,2017-07-04 14:55:00,1.13419,TP,win
win_20170918_0640_S,2017-09-18 06:40:00,-1,1.19498,1.19581,1.1933199999999997,2017-09-18 07:05:00,1.19498,TP,win
win_20171127_0445_L,2017-11-27 04:45:00,1,1.1923300000000001,1.19205,1.1928900000000002,2017-11-27 06:00:00,1.1923300000000001,TP,win
win_20180207_1940_S,2018-02-07 19:40:00,-1,1.22759,1.22833,1.22611,2018-02-07 20:50:00,1.22759,TP,win
win_20180424_2350_S,2018-04-24 23:50:00,-1,1.22369,1.224,1.2230699999999999,2018-04-25 00:05:00,1.22369,TP,win
win_20180703_1900_L,2018-07-03 19:00:00,1,1.16519,1.1649100000000001,1.1657499999999996,2018-07-03 19:20:00,1.16519,TP,win
win_20180912_2215_S,2018-09-12 22:15:00,-1,1.1631,1.16337,1.16256,2018-09-12 23:50:00,1.1631,TP,win
win_20181122_1305_L,2018-11-22 13:05:00,1,1.14046,1.14006,1.14126,2018-11-22 14:30:00,1.14046,TP,win
loss_20150210_1340_S,2015-02-10 13:40:00,-1,1.1308,1.13251,1.1273800000000003,2015-02-10 15:40:00,1.1308,SL,loss
loss_20150429_1100_L,2015-04-29 11:00:00,1,1.09943,1.09915,1.0999899999999996,2015-04-29 11:15:00,1.09943,BOTH_SL_FIRST,loss
loss_20150716_1345_S,2015-07-16 13:45:00,-1,1.0896,1.09042,1.0879599999999998,2015-07-16 13:45:00,1.0896,SL,loss
loss_20150925_0305_L,2015-09-25 03:05:00,1,1.11722,1.11686,1.1179400000000004,2015-09-25 03:25:00,1.11722,SL,loss
loss_20151204_1020_L,2015-12-04 10:20:00,1,1.08814,1.08765,1.0891200000000003,2015-12-04 10:20:00,1.08814,SL,loss
loss_20160217_1815_S,2016-02-17 18:15:00,-1,1.11462,1.11532,1.1132199999999997,2016-02-17 19:05:00,1.11462,SL,loss
loss_20160428_0115_L,2016-04-28 01:15:00,1,1.13035,1.13005,1.13095,2016-04-28 01:15:00,1.13035,SL,loss
loss_20160711_1010_S,2016-07-11 10:10:00,-1,1.10327,1.10367,1.10247,2016-07-11 10:30:00,1.10327,SL,loss
loss_20160922_1805_L,2016-09-22 18:05:00,1,1.12125,1.12097,1.1218100000000002,2016-09-22 18:10:00,1.12125,SL,loss
loss_20161129_0520_S,2016-11-29 05:20:00,-1,1.06014,1.06041,1.0596,2016-11-29 05:40:00,1.06014,SL,loss
loss_20170207_0105_L,2017-02-07 01:05:00,1,1.07262,1.07238,1.0730999999999995,2017-02-07 01:05:00,1.07262,SL,loss
loss_20170418_1220_S,2017-04-18 12:20:00,-1,1.06842,1.06885,1.0675599999999996,2017-04-18 12:25:00,1.06842,SL,loss
loss_20170703_2350_S,2017-07-03 23:50:00,-1,1.13724,1.1375199999999999,1.1366800000000004,2017-07-04 00:25:00,1.13724,SL,loss
loss_20170920_1035_L,2017-09-20 10:35:00,1,1.2004,1.19992,1.2013599999999995,2017-09-20 12:20:00,1.2004,SL,loss
loss_20171204_1405_L,2017-12-04 14:05:00,1,1.18453,1.18401,1.1855700000000002,2017-12-04 14:10:00,1.18453,SL,loss
loss_20180212_0250_S,2018-02-12 02:50:00,-1,1.22805,1.22871,1.2267300000000003,2018-02-12 03:55:00,1.22805,SL,loss
loss_20180424_0305_S,2018-04-24 03:05:00,-1,1.22106,1.22146,1.2202600000000001,2018-04-24 03:45:00,1.22106,SL,loss
loss_20180703_1930_S,2018-07-03 19:30:00,-1,1.1659,1.1661299999999999,1.16544,2018-07-03 19:45:00,1.1659,SL,loss
loss_20180911_0920_L,2018-09-11 09:20:00,1,1.1605699999999999,1.16028,1.1611499999999997,2018-09-11 09:25:00,1.1605699999999999,SL,loss
loss_20181123_0520_S,2018-11-23 05:20:00,-1,1.14137,1.14183,1.1404500000000002,2018-11-23 06:40:00,1.14137,SL,loss
