sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000001-BUY,2026-07-14T13:46:45.933,2026-07-14T13:46:47.272,EURUSD,BUY,ask,1.13955000,1.13955000,0.00010000,1000,1339
Q000001-SELL,2026-07-14T13:46:45.933,2026-07-14T13:46:47.272,EURUSD,SELL,bid,1.13955000,1.13955000,0.00010000,1000,1339
Q000002-BUY,2026-07-14T13:46:47.498,2026-07-14T13:46:48.974,EURUSD,BUY,ask,1.13956000,1.13955000,0.00010000,1000,1476
Q000002-SELL,2026-07-14T13:46:47.498,2026-07-14T13:46:48.974,EURUSD,SELL,bid,1.13956000,1.13955000,0.00010000,1000,1476
Q000003-BUY,2026-07-14T13:46:48.974,2026-07-14T13:46:50.326,EURUSD,BUY,ask,1.13955000,1.13954000,0.00010000,1000,1352
Q000003-SELL,2026-07-14T13:46:48.974,2026-07-14T13:46:50.326,EURUSD,SELL,bid,1.13955000,1.13954000,0.00010000,1000,1352
Q000004-BUY,2026-07-14T13:46:53.700,2026-07-14T13:46:55.060,EURUSD,BUY,ask,1.13952000,1.13952000,0.00010000,1000,1360
Q000004-SELL,2026-07-14T13:46:53.700,2026-07-14T13:46:55.060,EURUSD,SELL,bid,1.13952000,1.13951000,0.00010000,1000,1360
Q000005-BUY,2026-07-14T13:46:55.060,2026-07-14T13:46:56.072,EURUSD,BUY,ask,1.13952000,1.13950000,0.00010000,1000,1012
Q000005-SELL,2026-07-14T13:46:55.060,2026-07-14T13:46:56.072,EURUSD,SELL,bid,1.13951000,1.13950000,0.00010000,1000,1012
Q000006-BUY,2026-07-14T13:47:00.533,2026-07-14T13:47:01.583,EURUSD,BUY,ask,1.13952000,1.13952000,0.00010000,1000,1050
Q000006-SELL,2026-07-14T13:47:00.533,2026-07-14T13:47:01.583,EURUSD,SELL,bid,1.13951000,1.13952000,0.00010000,1000,1050
Q000007-BUY,2026-07-14T13:47:03.107,2026-07-14T13:47:04.253,EURUSD,BUY,ask,1.13952000,1.13951000,0.00010000,1000,1146
Q000007-SELL,2026-07-14T13:47:03.107,2026-07-14T13:47:04.253,EURUSD,SELL,bid,1.13951000,1.13951000,0.00010000,1000,1146
Q000008-BUY,2026-07-14T13:47:04.253,2026-07-14T13:47:05.740,EURUSD,BUY,ask,1.13951000,1.13951000,0.00010000,1000,1487
Q000008-SELL,2026-07-14T13:47:04.253,2026-07-14T13:47:05.740,EURUSD,SELL,bid,1.13951000,1.13951000,0.00010000,1000,1487
Q000009-BUY,2026-07-14T13:47:05.740,2026-07-14T13:47:06.746,EURUSD,BUY,ask,1.13951000,1.13951000,0.00010000,1000,1006
Q000009-SELL,2026-07-14T13:47:05.740,2026-07-14T13:47:06.746,EURUSD,SELL,bid,1.13951000,1.13951000,0.00010000,1000,1006
Q000010-BUY,2026-07-14T13:47:10.086,2026-07-14T13:47:11.565,EURUSD,BUY,ask,1.13950000,1.13949000,0.00010000,1000,1479
Q000010-SELL,2026-07-14T13:47:10.086,2026-07-14T13:47:11.565,EURUSD,SELL,bid,1.13950000,1.13949000,0.00010000,1000,1479
Q000011-BUY,2026-07-14T13:47:23.196,2026-07-14T13:47:24.589,EURUSD,BUY,ask,1.13950000,1.13950000,0.00010000,1000,1393
Q000011-SELL,2026-07-14T13:47:23.196,2026-07-14T13:47:24.589,EURUSD,SELL,bid,1.13950000,1.13950000,0.00010000,1000,1393
Q000012-BUY,2026-07-14T16:49:30.022,2026-07-14T16:49:31.045,EURUSD,BUY,ask,1.14511000,1.14508000,0.00010000,1000,1023
Q000012-SELL,2026-07-14T16:49:30.022,2026-07-14T16:49:31.045,EURUSD,SELL,bid,1.14509000,1.14506000,0.00010000,1000,1023
Q000013-BUY,2026-07-14T16:49:31.045,2026-07-14T16:49:32.391,EURUSD,BUY,ask,1.14508000,1.14508000,0.00010000,1000,1346
Q000013-SELL,2026-07-14T16:49:31.045,2026-07-14T16:49:32.391,EURUSD,SELL,bid,1.14506000,1.14506000,0.00010000,1000,1346
Q000014-BUY,2026-07-14T16:49:33.295,2026-07-14T16:49:34.394,EURUSD,BUY,ask,1.14504000,1.14502000,0.00010000,1000,1099
Q000014-SELL,2026-07-14T16:49:33.295,2026-07-14T16:49:34.394,EURUSD,SELL,bid,1.14502000,1.14500000,0.00010000,1000,1099
Q000015-BUY,2026-07-14T16:49:34.394,2026-07-14T16:49:35.492,EURUSD,BUY,ask,1.14502000,1.14501000,0.00010000,1000,1098
Q000015-SELL,2026-07-14T16:49:34.394,2026-07-14T16:49:35.492,EURUSD,SELL,bid,1.14500000,1.14499000,0.00010000,1000,1098
