sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000001-BUY,2026-07-14T13:46:39.006,2026-07-14T13:46:40.034,XAUUSD,BUY,ask,4020.27000000,4019.85000000,0.01000000,1000,1028
Q000001-SELL,2026-07-14T13:46:39.006,2026-07-14T13:46:40.034,XAUUSD,SELL,bid,4019.79000000,4019.37000000,0.01000000,1000,1028
Q000002-BUY,2026-07-14T13:46:40.034,2026-07-14T13:46:41.037,XAUUSD,BUY,ask,4019.85000000,4019.95000000,0.01000000,1000,1003
Q000002-SELL,2026-07-14T13:46:40.034,2026-07-14T13:46:41.037,XAUUSD,SELL,bid,4019.37000000,4019.50000000,0.01000000,1000,1003
Q000003-BUY,2026-07-14T13:46:41.037,2026-07-14T13:46:42.040,XAUUSD,BUY,ask,4019.95000000,4020.22000000,0.01000000,1000,1003
Q000003-SELL,2026-07-14T13:46:41.037,2026-07-14T13:46:42.040,XAUUSD,SELL,bid,4019.50000000,4019.78000000,0.01000000,1000,1003
Q000004-BUY,2026-07-14T13:46:42.040,2026-07-14T13:46:43.234,XAUUSD,BUY,ask,4020.22000000,4019.73000000,0.01000000,1000,1194
Q000004-SELL,2026-07-14T13:46:42.040,2026-07-14T13:46:43.234,XAUUSD,SELL,bid,4019.78000000,4019.29000000,0.01000000,1000,1194
Q000005-BUY,2026-07-14T13:46:43.234,2026-07-14T13:46:44.458,XAUUSD,BUY,ask,4019.73000000,4020.12000000,0.01000000,1000,1224
Q000005-SELL,2026-07-14T13:46:43.234,2026-07-14T13:46:44.458,XAUUSD,SELL,bid,4019.29000000,4019.66000000,0.01000000,1000,1224
Q000006-BUY,2026-07-14T13:46:44.458,2026-07-14T13:46:45.465,XAUUSD,BUY,ask,4020.12000000,4020.37000000,0.01000000,1000,1007
Q000006-SELL,2026-07-14T13:46:44.458,2026-07-14T13:46:45.465,XAUUSD,SELL,bid,4019.66000000,4019.92000000,0.01000000,1000,1007
Q000007-BUY,2026-07-14T13:46:45.556,2026-07-14T13:46:47.025,XAUUSD,BUY,ask,4020.44000000,4020.15000000,0.01000000,1000,1469
Q000007-SELL,2026-07-14T13:46:45.556,2026-07-14T13:46:47.025,XAUUSD,SELL,bid,4019.93000000,4019.69000000,0.01000000,1000,1469
Q000008-BUY,2026-07-14T13:46:47.025,2026-07-14T13:46:48.194,XAUUSD,BUY,ask,4020.15000000,4020.20000000,0.01000000,1000,1169
Q000008-SELL,2026-07-14T13:46:47.025,2026-07-14T13:46:48.194,XAUUSD,SELL,bid,4019.69000000,4019.76000000,0.01000000,1000,1169
Q000009-BUY,2026-07-14T13:46:48.194,2026-07-14T13:46:49.210,XAUUSD,BUY,ask,4020.20000000,4020.20000000,0.01000000,1000,1016
Q000009-SELL,2026-07-14T13:46:48.194,2026-07-14T13:46:49.210,XAUUSD,SELL,bid,4019.76000000,4019.70000000,0.01000000,1000,1016
Q000010-BUY,2026-07-14T13:46:49.210,2026-07-14T13:46:50.260,XAUUSD,BUY,ask,4020.20000000,4020.16000000,0.01000000,1000,1050
Q000010-SELL,2026-07-14T13:46:49.210,2026-07-14T13:46:50.260,XAUUSD,SELL,bid,4019.70000000,4019.72000000,0.01000000,1000,1050
Q000011-BUY,2026-07-14T13:46:50.260,2026-07-14T13:46:51.302,XAUUSD,BUY,ask,4020.16000000,4020.05000000,0.01000000,1000,1042
Q000011-SELL,2026-07-14T13:46:50.260,2026-07-14T13:46:51.302,XAUUSD,SELL,bid,4019.72000000,4019.58000000,0.01000000,1000,1042
Q000012-BUY,2026-07-14T13:46:51.302,2026-07-14T13:46:52.327,XAUUSD,BUY,ask,4020.05000000,4020.37000000,0.01000000,1000,1025
Q000012-SELL,2026-07-14T13:46:51.302,2026-07-14T13:46:52.327,XAUUSD,SELL,bid,4019.58000000,4019.92000000,0.01000000,1000,1025
Q000013-BUY,2026-07-14T13:46:52.327,2026-07-14T13:46:53.447,XAUUSD,BUY,ask,4020.37000000,4020.11000000,0.01000000,1000,1120
Q000013-SELL,2026-07-14T13:46:52.327,2026-07-14T13:46:53.447,XAUUSD,SELL,bid,4019.92000000,4019.65000000,0.01000000,1000,1120
Q000014-BUY,2026-07-14T13:46:53.447,2026-07-14T13:46:54.450,XAUUSD,BUY,ask,4020.11000000,4020.12000000,0.01000000,1000,1003
