arm,signal_time_server,entry_time_server,entry_time_utc,exit_time_server,direction,entry,stop,target,exit_price,exit_kind,risk_pips,spread_gate_pips,gross_r,net_r_x1,net_r_x1_5,net_r_x2
CONTROL,2019-01-03 10:35:00,2019-01-03 10:40:00,2019-01-03 08:40:00,2019-01-03 11:55:00,1,1.1374900000000001,1.1354799999999998,1.1407060000000007,1.13771,TIME,20.100000000002893,0.8,0.10945273631833596,0.03482587064670492,-0.0024875621891106148,-0.03980099502492612
CONTROL,2019-01-03 12:10:00,2019-01-03 12:15:00,2019-01-03 10:15:00,2019-01-03 13:08:00,1,1.13694,1.136055,1.1383560000000001,1.136055,STOP,8.850000000000247,0.8,-1.0,-1.1694915254237241,-1.254237288135586,-1.3389830508474483
CONTROL,2019-01-03 13:05:00,2019-01-03 13:10:00,2019-01-03 11:10:00,2019-01-03 14:25:00,-1,1.1353900000000001,1.1374300000000002,1.132126,1.1347,TIME,20.400000000000418,0.8,0.33823529411767905,0.26470588235297465,0.2279411764706225,0.1911764705882703
CONTROL,2019-01-03 14:25:00,2019-01-03 14:30:00,2019-01-03 12:30:00,2019-01-03 15:31:00,-1,1.13477,1.1355307142857143,1.1335528571428573,1.1355307142857143,STOP,7.607142857142257,0.8,-1.0,-1.1971830985915648,-1.2957746478873473,-1.3943661971831296
CONTROL,2019-01-03 15:40:00,2019-01-03 15:45:00,2019-01-03 13:45:00,2019-01-03 16:00:00,-1,1.13567,1.1367060714285713,1.1340122857142858,1.1367060714285713,STOP,10.360714285713168,0.8,-1.0,-1.1447776628748865,-1.2171664943123295,-1.2895553257497727
CONTROL,2019-01-04 09:55:00,2019-01-04 10:00:00,2019-01-04 08:00:00,2019-01-04 11:15:00,1,1.14074,1.1396899999999999,1.1424200000000004,1.14107,TIME,10.500000000002174,0.8,0.31428571428559343,0.17142857142848017,0.09999999999992351,0.028571428571366908
CONTROL,2019-01-04 11:15:00,2019-01-04 11:20:00,2019-01-04 09:20:00,2019-01-04 11:52:00,1,1.14132,1.1404299999999998,1.142744,1.1404299999999998,STOP,8.900000000000574,0.8,-1.0,-1.1685393258426857,-1.2528089887640286,-1.3370786516853714
CONTROL,2019-01-04 12:00:00,2019-01-04 12:05:00,2019-01-04 10:05:00,2019-01-04 13:20:00,-1,1.13952,1.14121,1.136816,1.14085,TIME,16.899999999999693,0.8,-0.7869822485206246,-0.8757396449703303,-0.9201183431951833,-0.9644970414200361
CONTROL,2019-01-04 13:15:00,2019-01-04 13:20:00,2019-01-04 11:20:00,2019-01-04 14:35:00,1,1.14086,1.14004,1.142172,1.14111,TIME,8.20000000000043,0.8,0.3048780487805737,0.12195121951229057,0.030487804878149005,-0.06097560975599253
CONTROL,2019-01-04 14:35:00,2019-01-04 14:40:00,2019-01-04 12:40:00,2019-01-04 15:01:00,1,1.14121,1.1404599999999998,1.1424100000000004,1.1404599999999998,STOP,7.500000000002505,0.8,-1.0,-1.1999999999999331,-1.2999999999999,-1.3999999999998665
CONTROL,2019-01-07 09:55:00,2019-01-07 10:00:00,2019-01-07 08:00:00,2019-01-07 11:15:00,1,1.14358,1.1412399999999998,1.1473240000000005,1.14432,TIME,23.400000000002308,0.8,0.3162393162392692,0.25213675213671144,0.22008547008543256,0.18803418803415364
