case_id,position_id,side,direction,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,risk_pts,recomputed_signal_parity
A-001-P8926,8926,BUY,1,2024.12.16 16:35:00,2660.15,2656.2200000000003,2666.438,2024.12.16 16:42:17,2656.05,-8.3,-0.8668601052806821,7.283333333333333,393.0,False
A-002-P460,460,BUY,1,2018.06.11 19:35:00,1300.73,1299.83,1302.17,2018.06.11 20:19:17,1299.82,-10.290000000000001,-1.0342430953719883,44.28333333333333,90.0,True
A-003-P10118,10118,SELL,-1,2026.01.13 13:55:00,4586.53,4592.5199999999995,4576.946,2026.01.13 14:52:16,4592.52,-6.09,-0.6372693312617022,57.266666666666666,599.0,False
A-004-P9016,9016,SELL,-1,2025.01.14 14:10:00,2668.11,2671.04,2663.422,2025.01.14 14:22:21,2671.06,-9.01,-0.9413148193459104,12.35,293.0,True
A-005-P6292,6292,BUY,1,2022.12.06 16:00:00,1778.38,1775.88,1782.38,2022.12.06 16:28:41,1775.86,-7.66,-0.7919411407839763,28.683333333333334,250.0,True
A-006-P3868,3868,SELL,-1,2021.02.04 14:55:00,1816.24,1818.6200000000001,1812.432,2021.02.04 15:06:13,1818.63,-9.700000000000001,-0.9984835402561801,11.216666666666667,238.0,True
A-007-P3320,3320,BUY,1,2020.09.16 19:30:00,1966.6,1964.6899999999998,1969.656,2020.09.16 19:49:37,1964.67,-9.85,-1.0129579431174238,19.616666666666667,191.0,False
A-008-P334,334,BUY,1,2018.05.02 13:50:00,1310.51,1309.22,1312.574,2018.05.02 14:36:28,1309.22,-9.209999999999999,-0.9228984944930215,46.46666666666667,129.0,False
A-009-P6842,6842,SELL,-1,2023.05.23 11:50:00,1959.11,1961.3899999999999,1955.462,2023.05.23 12:04:42,1961.4,-9.32,-0.9674203549394699,14.7,228.0,False
A-010-P4486,4486,SELL,-1,2021.07.15 19:00:00,1825.43,1827.3500000000001,1822.3580000000002,2021.07.15 19:27:39,1827.37,-9.879999999999999,-1.0201029457331043,27.65,192.0,False
A-011-P3566,3566,BUY,1,2020.11.17 16:45:00,1889.25,1885.75,1894.85,2020.11.17 17:32:40,1885.72,-7.14,-0.7340714212424642,47.666666666666664,350.0,True
A-012-P4872,4872,BUY,1,2021.11.04 17:20:00,1796.1,1792.8899999999999,1801.2359999999999,2021.11.04 17:32:19,1792.88,-9.760000000000002,-1.0097274201516144,12.316666666666666,321.0,True
A-013-P4064,4064,BUY,1,2021.03.23 10:15:00,1737.77,1735.94,1740.698,2021.03.23 11:30:00,1737.41,-1.98,-0.20388189060294978,75.0,183.0,False
A-014-P5718,5718,SELL,-1,2022.07.06 14:50:00,1761.52,1763.81,1757.856,2022.07.06 15:07:30,1763.82,-9.34,-0.964009718951946,17.5,229.0,True
A-015-P5274,5274,BUY,1,2022.02.24 14:20:00,1961.0,1956.5,1968.2,2022.02.24 14:22:29,1956.49,-9.1,-0.9424512348803895,2.4833333333333334,450.0,False
