case_id,position_id,side,direction,entry_time_server,entry,sl,tp,exit_time_server,exit,net_usd,net_R,hold_minutes,risk_pts,recomputed_signal_parity
B-001-P1812,1812,BUY,1,2019.07.11 14:05:00,1421.64,1420.24,1423.88,2019.07.11 14:20:03,1420.23,-10.07,-1.0268699332075664,15.05,140.0,True
B-002-P2844,2844,SELL,-1,2020.05.19 15:05:00,1734.03,1736.6399999999999,1729.854,2020.05.19 16:06:37,1736.64,-7.93,-0.813919522347274,61.61666666666667,261.0,False
B-003-P7206,7206,SELL,-1,2023.08.28 15:15:00,1914.24,1916.13,1911.2160000000001,2023.08.28 15:43:34,1916.13,-9.65,-1.0045236876574644,28.566666666666666,189.0,False
B-004-P9360,9360,BUY,1,2025.04.21 18:00:00,3417.06,3408.06,3431.46,2025.04.21 18:09:13,3408.06,-9.059999999999999,-0.9486115353047351,9.216666666666667,900.0,True
B-005-P1530,1530,SELL,-1,2019.04.23 18:50:00,1269.59,1270.59,1267.99,2019.04.23 18:51:22,1270.59,-9.219999999999999,-0.9363551674364514,1.3666666666666667,100.0,False
B-006-P2984,2984,SELL,-1,2020.06.24 17:20:00,1769.5,1774.24,1761.916,2020.06.24 17:49:37,1774.24,-9.559999999999999,-0.9825115008315375,29.616666666666667,474.0,False
B-007-P2802,2802,BUY,1,2020.04.28 15:15:00,1710.75,1707.83,1715.422,2020.04.28 15:19:41,1707.81,-8.92,-0.9150025229245573,4.683333333333334,292.0,True
B-008-P6724,6724,SELL,-1,2023.04.21 19:30:00,1976.02,1978.43,1972.164,2023.04.21 19:46:53,1978.43,-9.8,-1.0162698582241327,16.883333333333333,241.0,False
B-009-P186,186,BUY,1,2018.03.23 10:05:00,1340.28,1338.85,1342.568,2018.03.23 10:13:32,1338.83,-8.86,-0.8879861586410323,8.533333333333333,143.0,True
B-010-P7466,7466,BUY,1,2023.11.03 12:55:00,1988.28,1986.69,1990.824,2023.11.03 14:10:00,1987.3,-6.12,-0.6361039506108936,75.0,159.0,True
B-011-P5014,5014,SELL,-1,2021.12.15 15:05:00,1770.59,1772.4499999999998,1767.6139999999998,2021.12.15 15:30:28,1772.45,-9.48,-0.9818818968011056,25.466666666666665,186.0,True
B-012-P2424,2424,BUY,1,2019.12.27 13:00:00,1511.77,1510.28,1514.154,2019.12.27 13:23:33,1510.28,-9.12,-0.9329848825758729,23.55,149.0,True
B-013-P2722,2722,BUY,1,2020.03.20 11:00:00,1505.06,1499.97,1513.204,2020.03.20 12:15:00,1504.56,-0.54,-0.05535306130105525,75.0,509.0,False
B-014-P9868,9868,BUY,1,2025.10.03 11:40:00,3862.94,3859.7200000000003,3868.092,2025.10.03 12:07:15,3859.72,-6.6,-0.6901419496510077,27.25,322.0,False
B-015-P5100,5100,SELL,-1,2022.01.10 18:40:00,1794.58,1796.4299999999998,1791.62,2022.01.10 19:35:18,1796.43,-9.43,-0.9763370278147341,55.3,185.0,False
B-016-P2052,2052,BUY,1,2019.09.11 19:45:00,1493.91,1492.15,1496.726,2019.09.11 20:02:37,1492.12,-9.09,-0.9293406650030548,17.616666666666667,176.0,False
