case_id,position_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,reason,label,net_usd,net_R,risk_pts
A-01-P1816,1816,2019.07.15 15:10:00,1,1414.68,1412.15,1418.73,2019.07.15 15:33:38,1412.12,lifecycle_final_close,P1816 | BUY | net $-7.76 | -0.791R,-7.76000000,-0.79147048,253.00000000
A-02-P6872,6872,2023.05.30 16:10:00,1,1956.60,1952.59,1963.02,2023.05.30 16:51:40,1952.59,lifecycle_final_close,P6872 | BUY | net $-8.10 | -0.841R,-8.10000000,-0.84121409,401.00000000
A-03-P8680,8680,2024.10.04 12:05:00,1,2659.89,2657.83,2663.19,2024.10.04 12:12:43,2657.72,lifecycle_final_close,P8680 | BUY | net $-8.90 | -0.928R,-8.90000000,-0.92790327,206.00000000
A-04-P4456,4456,2021.07.09 15:15:00,-1,1800.19,1802.83,1795.97,2021.07.09 15:20:37,1802.84,lifecycle_final_close,P4456 | SELL | net $-8.05 | -0.831R,-8.05000000,-0.83105696,264.00000000
A-05-P1630,1630,2019.05.20 13:25:00,-1,1274.70,1276.83,1271.29,2019.05.20 14:10:20,1276.87,lifecycle_final_close,P1630 | SELL | net $-8.78 | -0.893R,-8.78000000,-0.89318804,213.00000000
A-06-P2690,2690,2020.03.10 10:20:00,-1,1662.12,1667.83,1652.98,2020.03.10 11:35:00,1662.68,lifecycle_final_close,P2690 | SELL | net $-0.60 | -0.061R,-0.60000000,-0.06148872,571.00000000
A-07-P996,996,2018.11.06 15:10:00,1,1235.17,1233.84,1237.30,2018.11.06 15:26:26,1233.84,lifecycle_final_close,P996 | BUY | net $-9.49 | -0.960R,-9.49000000,-0.95966175,133.00000000
A-08-P7638,7638,2023.12.18 14:15:00,-1,2023.01,2024.26,2021.01,2023.12.18 15:02:26,2024.28,lifecycle_final_close,P7638 | SELL | net $-9.17 | -0.953R,-9.17000000,-0.95342097,125.00000000
A-09-P678,678,2018.08.17 12:40:00,1,1176.92,1175.57,1179.08,2018.08.17 13:02:20,1175.57,lifecycle_final_close,P678 | BUY | net $-9.61 | -0.967R,-9.61000000,-0.96657666,135.00000000
A-10-P4708,4708,2021.09.20 14:15:00,1,1756.71,1755.23,1759.08,2021.09.20 14:55:31,1755.22,lifecycle_final_close,P4708 | BUY | net $-9.16 | -0.947R,-9.16000000,-0.94656457,148.00000000
A-11-P1646,1646,2019.05.23 19:20:00,1,1286.01,1284.71,1288.09,2019.05.23 20:09:33,1284.69,lifecycle_final_close,P1646 | BUY | net $-9.42 | -0.959R,-9.42000000,-0.95853580,130.00000000
A-12-P8826,8826,2024.11.18 18:55:00,1,2611.51,2608.83,2615.80,2024.11.18 19:08:42,2608.81,lifecycle_final_close,P8826 | BUY | net $-8.26 | -0.862R,-8.26000000,-0.86177315,268.00000000
A-13-P4232,4232,2021.05.06 13:40:00,1,1792.07,1790.47,1794.63,2021.05.06 14:03:29,1790.44,lifecycle_final_close,P4232 | BUY | net $-10.00 | -1.030R,-10.00000000,-1.03024437,160.00000000
A-14-P9220,9220,2025.03.13 15:40:00,1,2945.90,2941.01,2953.72,2025.03.13 15:58:43,2940.78,lifecycle_final_close,P9220 | BUY | net $-5.18 | -0.542R,-5.18000000,-0.54175033,489.00000000
A-15-P4172,4172,2021.04.23 12:00:00,-1,1784.55,1786.08,1782.10,2021.04.23 12:52:23,1786.09,lifecycle_final_close,P4172 | SELL | net $-9.46 | -0.975R,-9.46000000,-0.97462212,153.00000000
A-16-P932,932,2018.10.22 18:20:00,-1,1221.17,1222.77,1218.61,2018.10.22 19:35:00,1222.39,lifecycle_final_close,P932 | SELL | net $-7.46 | -0.754R,-7.46000000,-0.75400619,160.00000000
A-17-P740,740,2018.08.31 12:20:00,1,1206.26,1204.81,1208.58,2018.08.31 13:35:00,1206.06,lifecycle_final_close,P740 | BUY | net $-1.34 | -0.135R,-1.34000000,-0.13501129,145.00000000
A-18-P10072,10072,2025.12.24 10:50:00,-1,4486.49,4493.44,4475.37,2025.12.24 11:17:41,4493.44,lifecycle_final_close,P10072 | SELL | net $-7.03 | -0.735R,-7.03000000,-0.73547566,695.00000000
A-19-P5864,5864,2022.08.15 18:10:00,-1,1777.93,1780.30,1774.14,2022.08.15 18:31:35,1780.31,lifecycle_final_close,P5864 | SELL | net $-9.66 | -0.998R,-9.66000000,-0.99758792,237.00000000
A-20-P840,840,2018.09.27 19:55:00,-1,1183.89,1185.17,1181.84,2018.09.27 20:45:14,1185.18,lifecycle_final_close,P840 | SELL | net $-9.19 | -0.927R,-9.19000000,-0.92742201,128.00000000
