case_id,position_id,entry_time_utc,direction,entry,sl,tp,exit_time_utc,exit,reason,label,net_usd,net_R,risk_pts
B-01-P5978,5978,2022.09.13 19:50:00,-1,1704.13,1705.94,1701.23,2022.09.13 19:58:39,1705.95,lifecycle_final_close,P5978 | SELL | net $-9.28 | -0.959R,-9.28000000,-0.95864223,181.00000000
B-02-P894,894,2018.10.15 13:25:00,1,1230.91,1229.58,1233.04,2018.10.15 14:40:00,1230.05,lifecycle_final_close,P894 | BUY | net $-6.20 | -0.626R,-6.20000000,-0.62643803,133.00000000
B-03-P6532,6532,2023.02.16 17:45:00,-1,1832.82,1836.29,1827.27,2023.02.16 18:29:25,1836.30,lifecycle_final_close,P6532 | SELL | net $-7.04 | -0.729R,-7.04000000,-0.72943844,347.00000000
B-04-P5414,5414,2022.04.01 15:55:00,-1,1928.44,1934.32,1919.03,2022.04.01 17:10:00,1928.70,lifecycle_final_close,P5414 | SELL | net $-0.30 | -0.031R,-0.30000000,-0.03104333,588.00000000
B-05-P1564,1564,2019.05.01 15:30:00,1,1282.49,1279.69,1286.97,2019.05.01 15:51:39,1279.67,lifecycle_final_close,P1564 | BUY | net $-8.54 | -0.868R,-8.54000000,-0.86765472,280.00000000
B-06-P3576,3576,2020.11.19 16:15:00,-1,1857.65,1862.40,1850.05,2020.11.19 17:11:27,1862.42,lifecycle_final_close,P3576 | SELL | net $-9.62 | -0.989R,-9.62000000,-0.98910890,475.00000000
B-07-P3728,3728,2020.12.29 13:25:00,-1,1877.90,1880.69,1873.44,2020.12.29 14:40:00,1879.60,lifecycle_final_close,P3728 | SELL | net $-5.22 | -0.537R,-5.22000000,-0.53737389,279.00000000
B-08-P4470,4470,2021.07.13 17:30:00,1,1814.08,1808.25,1823.41,2021.07.13 18:45:00,1813.96,lifecycle_final_close,P4470 | BUY | net $-0.16 | -0.017R,-0.16000000,-0.01652173,583.00000000
B-09-P3404,3404,2020.10.07 11:50:00,1,1890.97,1888.77,1894.49,2020.10.07 12:07:41,1888.77,lifecycle_final_close,P3404 | BUY | net $-8.96 | -0.922R,-8.96000000,-0.92177362,220.00000000
B-10-P2342,2342,2019.11.27 11:15:00,-1,1458.74,1460.21,1456.39,2019.11.27 12:30:00,1459.43,lifecycle_final_close,P2342 | SELL | net $-4.32 | -0.442R,-4.32000000,-0.44169855,147.00000000
B-11-P1790,1790,2019.07.08 11:30:00,1,1405.98,1404.62,1408.16,2019.07.08 11:34:27,1404.62,lifecycle_final_close,P1790 | BUY | net $-9.72 | -0.991R,-9.72000000,-0.99059576,136.00000000
B-12-P9544,9544,2025.06.16 12:35:00,-1,3416.88,3421.00,3410.29,2025.06.16 13:50:00,3418.99,lifecycle_final_close,P9544 | SELL | net $-4.36 | -0.456R,-4.36000000,-0.45612220,412.00000000
B-13-P2640,2640,2020.02.24 15:35:00,1,1679.41,1673.57,1688.75,2020.02.24 16:50:00,1675.67,lifecycle_final_close,P2640 | BUY | net $-3.78 | -0.387R,-3.78000000,-0.38733588,584.00000000
B-14-P6544,6544,2023.02.20 16:55:00,1,1846.27,1844.18,1849.61,2023.02.20 17:19:31,1844.17,lifecycle_final_close,P6544 | BUY | net $-8.54 | -0.885R,-8.54000000,-0.88485471,209.00000000
B-15-P8440,8440,2024.07.29 17:05:00,1,2393.32,2389.07,2400.12,2024.07.29 17:17:39,2389.07,lifecycle_final_close,P8440 | BUY | net $-8.60 | -0.897R,-8.60000000,-0.89704855,425.00000000
B-16-P1108,1108,2018.12.11 12:55:00,1,1247.94,1246.95,1249.52,2018.12.11 13:04:25,1246.95,lifecycle_final_close,P1108 | BUY | net $-9.13 | -0.924R,-9.13000000,-0.92409272,99.00000000
B-17-P2234,2234,2019.10.30 14:55:00,1,1492.08,1489.24,1496.62,2019.10.30 16:10:00,1491.56,lifecycle_final_close,P2234 | BUY | net $-1.64 | -0.168R,-1.64000000,-0.16779524,284.00000000
B-18-P8036,8036,2024.04.11 18:30:00,-1,2338.44,2343.11,2330.97,2024.04.11 18:40:16,2343.12,lifecycle_final_close,P8036 | SELL | net $-9.46 | -0.987R,-9.46000000,-0.98677358,467.00000000
B-19-P7980,7980,2024.03.26 15:40:00,1,2193.49,2190.99,2197.49,2024.03.26 15:41:24,2190.99,lifecycle_final_close,P7980 | BUY | net $-7.64 | -0.797R,-7.64000000,-0.79680834,250.00000000
B-20-P4950,4950,2021.11.26 15:40:00,1,1805.10,1798.55,1815.58,2021.11.26 16:41:00,1798.45,lifecycle_final_close,P4950 | BUY | net $-6.69 | -0.692R,-6.69000000,-0.69223966,655.00000000
