event_id,source_currencies,country_id,importance,event_type,time_mode,unit,multiplier,event_code,event_name
840010001,"USD",840,3,1,0,1,0,"core-pce-price-index-mm","Core PCE Price Index m/m"
840010002,"USD",840,3,1,0,1,0,"core-pce-price-index-yy","Core PCE Price Index y/y"
840010003,"USD",840,2,1,0,1,0,"pce-price-index-mm","PCE Price Index m/m"
840010004,"USD",840,2,1,0,1,0,"pce-price-index-yy","PCE Price Index y/y"
840010005,"USD",840,2,1,0,1,0,"personal-spending-mm","Personal Spending m/m"
840010007,"USD",840,3,1,0,1,0,"gross-domestic-product-qq","GDP q/q"
840010015,"USD",840,2,1,0,2,3,"current-account","Current Account"
840010016,"USD",840,2,1,0,1,0,"real-pce-qq","Real PCE q/q"
840010018,"USD",840,3,1,0,1,0,"gdp-sales-qq","GDP Sales q/q"
840020001,"USD",840,2,1,0,2,3,"trade-balance","Trade Balance"
840020002,"USD",840,2,1,0,1,0,"construction-spending-mm","Construction Spending m/m"
840020003,"USD",840,2,1,0,1,0,"factory-orders","Factory Orders m/m"
840020004,"USD",840,2,1,0,0,2,"housing-starts","Housing Starts"
840020005,"USD",840,2,1,0,0,2,"building-permits","Building Permits"
840020007,"USD",840,2,1,0,1,0,"business-inventories-mm","Business Inventories m/m"
840020008,"USD",840,3,1,0,0,2,"new-home-sales","New Home Sales"
840020009,"USD",840,2,1,0,1,0,"new-home-sales-mm","New Home Sales m/m"
840020010,"USD",840,3,1,0,1,0,"retail-sales-mm","Retail Sales m/m"
840020011,"USD",840,3,1,0,1,0,"retail-sales-ex-autos-mm","Core Retail Sales m/m"
840020012,"USD",840,2,1,0,1,0,"retail-control-mm","Retail Control m/m"
840020013,"USD",840,3,1,0,1,0,"durable-goods-orders","Durable Goods Orders m/m"
840020014,"USD",840,2,1,0,1,0,"durable-goods-orders-ex-transportation","Core Durable Goods Orders m/m"
840020015,"USD",840,2,1,0,1,0,"housing-starts-mm","Housing Starts m/m"
