case_id,stratum,position_id,engine_name,direction,result,net_r,aird_regime,aird_confidence,aird_direction_aligned,vrc_regime,vrc_direction,vrc_direction_aligned,vrc_vol_percentile,mbb_signal,mbb_squeeze,mbb_extension_halfwidth,tb_bias,tb_bias_aligned,tb_atr,stop_atr,tb_cell_side,tb_void_side,qqe_primary,qqe_secondary,qqe_directional_strength,qqe_state
RSF-C16-BREAKOUT-LONG-L,engine_median_loser,342,BREAKOUT_LONG,1,LOSS,-1.0877193,0,0.99369755,True,5,1.0,True,41.0,S3L,21.03174603,2.315789473684354,1,True,0.0004,1.4249999999998986,1,1,23.82971866,44.46095257,23.82971866,0
RSF-C16-BREAKOUT-LONG-W,matched_winner,424,BREAKOUT_LONG,1,WIN,1.4,2,0.7588324,False,4,0.5,True,27.0,S3L,23.80952381,1.299999999999778,1,True,0.00032,1.2499999999998623,1,1,11.81580297,40.79857969,11.81580297,0
RSF-C16-BREAKOUT-SHORT-L,engine_median_loser,782,BREAKOUT_SHORT,-1,LOSS,-1.08,2,0.86007074,False,7,0.5,False,4.0,S2S+S3S,30.55555556,1.414141414141192,-1,True,0.00024,2.083333333333104,-1,-1,-26.89490861,-47.48595406,26.89490861,0
RSF-C16-BREAKOUT-SHORT-W,matched_winner,808,BREAKOUT_SHORT,-1,WIN,1.47058824,0,0.99141535,False,5,1.0,False,30.0,S3S,29.76190476,1.4757281553401826,-1,True,0.0003,1.700000000000035,-1,-1,-28.88148912,-35.77846151,28.88148912,0
RSF-C16-RANGE-LONG-L,engine_median_loser,500,RANGE_LONG,1,LOSS,-1.11428571,2,0.70296022,False,3,-1.0,False,56.0,S1L,51.98412698,-0.5116279069760477,-1,False,0.00021,1.6666666666670118,-1,0,-16.54725993,14.58047084,-16.54725993,0
RSF-C16-RANGE-LONG-W,matched_winner,1052,RANGE_LONG,1,WIN,1.43103448,2,0.96703578,False,3,-1.0,False,24.0,S1L,43.25396825,-0.270270270270054,1,True,0.0003,1.9333333333334166,-1,-1,-6.47882352,14.91211808,-6.47882352,0
RSF-C16-RANGE-SHORT-L,engine_median_loser,832,RANGE_SHORT,-1,LOSS,-1.0625,2,0.48952219,False,2,0.5,False,35.0,S1S,35.31746032,-0.06451612903231582,1,False,0.00051,1.5686274509806546,1,1,6.58039238,-2.28317182,-6.58039238,0
RSF-C16-RANGE-SHORT-W,matched_winner,774,RANGE_SHORT,-1,WIN,1.44705882,2,0.88798051,False,3,1.0,False,63.0,S1S,30.15873016,-0.035398230088332115,-1,True,0.00046,1.8478260869565595,-1,1,9.20890133,-2.15596557,-9.20890133,0
RSF-C16-TREND-LONG-L,engine_median_loser,456,TREND_LONG,1,LOSS,-1.03030303,0,0.99456061,True,6,1.0,True,45.0,S2L,33.33333333,1.6585365853652592,1,True,0.00038,3.4736842105262835,1,1,30.99009556,32.66596592,30.99009556,0
RSF-C16-TREND-LONG-W,matched_winner,422,TREND_LONG,1,WIN,1.47692308,0,0.99708877,True,4,1.0,True,19.0,S2L,36.50793651,1.7499999999998739,1,True,0.00034,3.8235294117649374,1,1,19.90670885,38.93879253,19.90670885,0
RSF-C16-TREND-SHORT-L,engine_median_loser,604,TREND_SHORT,-1,LOSS,-1.03141361,1,0.6406073,True,0,-1.0,True,52.0,S2S,89.28571429,0.4779411764704832,-1,True,0.00052,3.673076923076647,-1,-1,-8.62897159,-32.15559626,8.62897159,0
RSF-C16-TREND-SHORT-W,matched_winner,780,TREND_SHORT,-1,WIN,0.92086331,1,0.99493059,True,0,-1.0,True,100.0,S2S,99.6031746,0.1562499999999756,-1,True,0.0005,2.7800000000000047,-1,1,-1.67102197,-2.71423511,1.67102197,0
RSF-C16-EXTREME-LOSS,global_min_R,1222,BREAKOUT_SHORT,-1,LOSS,-1.22105263,1,0.9973114,True,1,-1.0,True,24.0,S3S,34.12698413,1.5473684210528886,-1,True,0.00056,1.696428571428583,-1,-1,-27.44929596,-16.44517382,16.44517382,0
RSF-C16-EXTREME-WIN,global_max_R,246,RANGE_SHORT,-1,WIN,1.59259259,2,0.98260209,False,3,0.5,False,49.0,S1S,58.33333333,-0.6719999999997982,1,False,0.00052,1.5576923076922644,1,1,14.77148509,-25.71919242,-14.77148509,0
