position_id,engine_name,outcome,net_r,conservative_mfe_r,conservative_mae_r,reached_0_25r,reached_0_50r,reached_1_00r
2,TREND_LONG,WIN,1.46341463,1.512195121951028,0.8292682926829004,True,True,True
4,TREND_SHORT,LOSS,-1.02564103,0.0,1.0085470085470645,False,False,False
6,TREND_LONG,LOSS,-1.02247191,0.19101123595504776,1.0,False,False,False
8,TREND_LONG,LOSS,-1.01769912,0.13716814159292556,1.0,False,False,False
10,TREND_SHORT,LOSS,-1.01459854,0.021897810218959764,1.0,False,False,False
12,BREAKOUT_LONG,WIN,1.46956522,1.5043478260869851,0.8347826086957261,True,True,True
14,BREAKOUT_LONG,LOSS,-1.04210526,0.0,1.0,False,False,False
16,BREAKOUT_LONG,LOSS,-1.06741573,0.5842696629213959,1.022471910112256,True,True,False
18,BREAKOUT_LONG,LOSS,-1.08,0.36799999999986643,1.0479999999999516,True,False,False
20,TREND_SHORT,WIN,1.48085106,1.4978723404256122,0.10638297872335199,True,True,True
22,TREND_LONG,LOSS,-1.02955665,0.12315270935964848,1.0098522167487238,False,False,False
24,TREND_SHORT,LOSS,-1.04819277,0.5662650602409969,1.0361445783132224,True,True,False
26,TREND_SHORT,WIN,0.07883817,1.0954356846472824,0.20331950207472893,True,True,True
28,TREND_SHORT,WIN,1.55263158,1.5701754385964135,0.030701754385970465,True,True,True
30,TREND_SHORT,LOSS,-1.03174603,0.0,1.0,False,False,False
32,TREND_LONG,LOSS,-1.055,0.09000000000003441,1.0350000000000072,False,False,False
34,TREND_SHORT,WIN,1.26033058,1.4462809917354167,0.32231404958676624,True,True,True
36,TREND_SHORT,LOSS,-1.02409639,0.5903614457831229,1.0,True,True,False
38,BREAKOUT_LONG,LOSS,-1.05405405,0.06756756756771354,1.0,False,False,False
40,TREND_SHORT,LOSS,-0.19161677,0.8443113772454254,0.6826347305389818,True,True,False
42,TREND_LONG,WIN,1.041841,1.1087866108787283,0.2845188284518086,True,True,True
44,RANGE_SHORT,LOSS,-1.05633803,0.4647887323942913,1.0,True,False,False
46,TREND_LONG,LOSS,-1.06617647,1.3455882352940889,1.0367647058824299,True,True,True
48,BREAKOUT_SHORT,LOSS,-1.07272727,0.4727272727270966,1.0,True,False,False
50,RANGE_SHORT,LOSS,-1.09836066,0.3442622950820388,1.0327868852457525,True,False,False
52,TREND_SHORT,LOSS,-1.03738318,0.5981308411215244,1.0,True,True,False
54,TREND_LONG,LOSS,-1.02209945,0.16574585635356473,1.0,False,False,False
56,BREAKOUT_SHORT,WIN,1.45238095,1.5476190476182923,0.3809523809526831,True,True,True
58,TREND_SHORT,LOSS,-1.02962963,0.03703703703711623,1.0,False,False,False
60,TREND_SHORT,LOSS,-1.04166667,0.16203703703707512,1.0231481481481977,False,False,False
62,BREAKOUT_LONG,WIN,1.42307692,1.4999999999997864,0.42307692307664385,True,True,True
64,TREND_LONG,WIN,0.41826923,1.2836538461540155,0.5721153846154349,True,True,True
66,TREND_SHORT,WIN,1.48611111,1.5138888888886703,0.31250000000001926,True,True,True
68,TREND_SHORT,WIN,1.50684932,1.5342465753423096,0.8630136986301536,True,True,True
70,TREND_LONG,LOSS,-1.03738318,1.3925233644858086,1.0,True,True,True
72,TREND_LONG,LOSS,-1.02232143,0.2008928571428828,1.004464285714315,False,False,False
74,BREAKOUT_LONG,WIN,1.45283019,1.5283018867926426,0.9811320754715717,True,True,True
76,TREND_SHORT,LOSS,-1.08588957,0.0,1.0613496932515263,False,False,False
78,TREND_LONG,LOSS,-1.02739726,0.3630136986300776,1.0,True,False,False
80,TREND_LONG,WIN,1.45679012,1.5061728395062135,0.271604938271473,True,True,True
82,TREND_LONG,LOSS,-1.03225806,0.2983870967741473,1.0,True,False,False
84,TREND_SHORT,LOSS,-1.02439024,0.10365853658536255,1.0,False,False,False
86,BREAKOUT_SHORT,LOSS,-1.08510638,0.0,1.0,False,False,False
88,TREND_LONG,WIN,0.43609023,0.6691729323308434,0.6917293233082669,True,True,False
90,TREND_SHORT,LOSS,-1.02352941,0.517647058823514,1.0,True,True,False
92,TREND_SHORT,WIN,1.49404762,1.517857142857261,0.17261904761899885,True,True,True
94,TREND_SHORT,WIN,1.47560976,1.5000000000002032,0.02439024390233005,True,True,True
96,BREAKOUT_LONG,LOSS,-1.06349206,0.6507936507937795,1.0,True,True,False
98,TREND_SHORT,LOSS,-0.14213198,0.6700507614213044,0.3147208121827697,True,True,False
100,TREND_SHORT,WIN,1.47058824,1.504201680672203,0.4369747899160213,True,True,True
102,TREND_SHORT,LOSS,-1.01520913,0.04942965779466461,1.0,False,False,False
104,RANGE_SHORT,WIN,1.45454545,1.49494949494935,0.8585858585858359,True,True,True
106,TREND_SHORT,LOSS,-1.08465608,0.5502645502644639,1.0634920634920038,True,True,False
108,TREND_SHORT,WIN,1.48051948,1.5324675324676036,0.35064935064936936,True,True,True
110,BREAKOUT_LONG,LOSS,-1.07142857,0.5714285714282316,1.0,True,True,False
112,BREAKOUT_LONG,LOSS,-1.05194805,0.31168831168836036,1.0,True,False,False
114,TREND_SHORT,WIN,1.49212598,1.5078740157480395,0.05118110236219061,True,True,True
116,BREAKOUT_SHORT,LOSS,-1.07352941,0.5882352941175703,1.0147058823530373,True,True,False
118,BREAKOUT_LONG,LOSS,-1.05882353,0.867647058823928,1.0,True,True,False
120,TREND_LONG,LOSS,-1.03636364,0.9727272727270966,1.0,True,True,False
122,TREND_SHORT,LOSS,-1.02553191,0.5404255319149209,1.0085106382978333,True,True,False
124,BREAKOUT_SHORT,WIN,1.47916667,1.5624999999999423,0.770833333333237,True,True,True
126,TREND_SHORT,LOSS,-0.22923588,0.3654485049834274,0.6146179401993135,True,False,False
128,TREND_LONG,LOSS,-1.02721088,0.17006802721093162,1.0,False,False,False
130,BREAKOUT_SHORT,LOSS,-1.0625,0.2187500000000542,1.0,False,False,False
132,TREND_SHORT,LOSS,-1.02380952,1.291666666666573,1.0,True,True,True
