case_id,stratum,position_id,engine_name,direction,direction_name,entry_time_server,exit_time_server,entry_time_utc,exit_time_utc,entry,exit,sl,tp,risk_pts,initial_risk_account,net_profit,net_r,holding_minutes,reason,session,match_rule,label
RSF-C16-BREAKOUT-LONG-L,engine_median_loser,342,BREAKOUT_LONG,1,LONG,2019.06.04 09:55:00,2019.06.04 09:59:59,2019-06-04 06:55:00,2019-06-04 06:59:59,1.12696,1.12638,1.12639,1.12781,57.0,22.8,-24.8,-1.0877193,4.983333333333333,DEAL_REASON_SL,LONDON,negative_median_R,BREAKOUT_LONG LOSS -1.09R
RSF-C16-BREAKOUT-LONG-W,matched_winner,424,BREAKOUT_LONG,1,LONG,2019.09.05 10:10:00,2019.09.05 10:31:29,2019-09-05 07:10:00,2019-09-05 07:31:29,1.10286,1.10346,1.10246,1.10346,40.0,14.8,20.72,1.4,21.483333333333334,DEAL_REASON_TP,LONDON,same_engine_session_year,BREAKOUT_LONG WIN +1.40R
RSF-C16-BREAKOUT-SHORT-L,engine_median_loser,782,BREAKOUT_SHORT,-1,SHORT,2020.10.16 09:25:00,2020.10.16 09:59:15,2020-10-16 06:25:00,2020-10-16 06:59:15,1.16972,1.17022,1.17022,1.16898,50.0,0.5,-0.54,-1.08,34.25,DEAL_REASON_SL,LONDON,negative_median_R,BREAKOUT_SHORT LOSS -1.08R
RSF-C16-BREAKOUT-SHORT-W,matched_winner,808,BREAKOUT_SHORT,-1,SHORT,2020.11.20 09:15:00,2020.11.20 09:42:36,2020-11-20 07:15:00,2020-11-20 07:42:36,1.1875,1.18671,1.18801,1.18673,51.0,0.51,0.75,1.47058824,27.6,DEAL_REASON_TP,LONDON,same_engine_session_year,BREAKOUT_SHORT WIN +1.47R
RSF-C16-RANGE-LONG-L,engine_median_loser,500,RANGE_LONG,1,LONG,2019.11.29 11:05:00,2019.11.29 11:36:27,2019-11-29 09:05:00,2019-11-29 09:36:27,1.10081,1.10046,1.10046,1.10133,35.0,7.0,-7.8,-1.11428571,31.45,DEAL_REASON_SL,LONDON,negative_median_R,RANGE_LONG LOSS -1.11R
RSF-C16-RANGE-LONG-W,matched_winner,1052,RANGE_LONG,1,LONG,2021.10.28 10:30:00,2021.10.28 10:38:37,2021-10-28 07:30:00,2021-10-28 07:38:37,1.16009,1.16096,1.15951,1.16096,58.0,0.58,0.83,1.43103448,8.616666666666667,DEAL_REASON_TP,LONDON,same_engine_session,RANGE_LONG WIN +1.43R
RSF-C16-RANGE-SHORT-L,engine_median_loser,832,RANGE_SHORT,-1,SHORT,2020.12.16 10:25:00,2020.12.16 10:30:12,2020-12-16 08:25:00,2020-12-16 08:30:12,1.21654,1.21735,1.21734,1.21534,80.0,0.8,-0.85,-1.0625,5.2,DEAL_REASON_SL,LONDON,negative_median_R,RANGE_SHORT LOSS -1.06R
RSF-C16-RANGE-SHORT-W,matched_winner,774,RANGE_SHORT,-1,SHORT,2020.10.12 10:50:00,2020.10.12 12:28:04,2020-10-12 07:50:00,2020-10-12 09:28:04,1.18157,1.1803,1.18242,1.1803,85.0,0.85,1.23,1.44705882,98.06666666666666,DEAL_REASON_TP,LONDON,same_engine_session_year,RANGE_SHORT WIN +1.45R
RSF-C16-TREND-LONG-L,engine_median_loser,456,TREND_LONG,1,LONG,2019.10.09 11:20:00,2019.10.09 13:52:31,2019-10-09 08:20:00,2019-10-09 10:52:31,1.09892,1.0976,1.0976,1.1009,132.0,40.92,-42.16,-1.03030303,152.51666666666668,DEAL_REASON_SL,LONDON,negative_median_R,TREND_LONG LOSS -1.03R
RSF-C16-TREND-LONG-W,matched_winner,422,TREND_LONG,1,LONG,2019.09.04 10:15:00,2019.09.04 11:59:16,2019-09-04 07:15:00,2019-09-04 08:59:16,1.0989,1.10086,1.0976,1.10086,130.0,41.6,61.44,1.47692308,104.26666666666667,DEAL_REASON_TP,LONDON,same_engine_session_year,TREND_LONG WIN +1.48R
RSF-C16-TREND-SHORT-L,engine_median_loser,604,TREND_SHORT,-1,SHORT,2020.04.20 15:05:00,2020.04.20 17:06:40,2020-04-20 12:05:00,2020-04-20 14:06:40,1.08519,1.08712,1.0871,1.08232,191.0,78.31,-80.77,-1.03141361,121.66666666666667,DEAL_REASON_SL,OVERLAP,negative_median_R,TREND_SHORT LOSS -1.03R
RSF-C16-TREND-SHORT-W,matched_winner,780,TREND_SHORT,-1,SHORT,2020.10.15 15:35:00,2020.10.15 19:35:00,2020-10-15 12:35:00,2020-10-15 16:35:00,1.17041,1.16909,1.1718,1.16833,139.0,1.39,1.28,0.92086331,240.0,DEAL_REASON_EXPERT,OVERLAP,same_engine_session_year,TREND_SHORT WIN +0.92R
RSF-C16-EXTREME-LOSS,global_min_R,1222,BREAKOUT_SHORT,-1,SHORT,2022.06.13 10:00:00,2022.06.13 10:00:42,2022-06-13 07:00:00,2022-06-13 07:00:42,1.04701,1.04813,1.04796,1.04559,95.0,6.65,-8.12,-1.22105263,0.7,DEAL_REASON_SL,LONDON,,BREAKOUT_SHORT LOSS -1.22R
RSF-C16-EXTREME-WIN,global_max_R,246,RANGE_SHORT,-1,SHORT,2018.10.31 10:55:00,2018.10.31 11:37:21,2018-10-31 08:55:00,2018-10-31 09:37:21,1.13516,1.13383,1.13597,1.13394,81.0,107.73,171.57,1.59259259,42.35,DEAL_REASON_TP,LONDON,,RANGE_SHORT WIN +1.59R
