strategy,symbol,signal_ms,entry_ms,exit_ms,direction,signal_score,entry_price,exit_price,stop_price,target_price,initial_stop_pips,exit_reason,gross_pips,net_pips_a,net_pips_b,net_r_a,net_r_b
PRIMARY,GBPUSD,1512108900000,1512109800000,1512109800000,1,4.548322408184084,1.35335,1.35312,1.35312,1.3538100000000002,2.3000000000006344,stop,-2.2999999999995246,-3.0999999999995245,-3.499999999999525,-1.3478260869559433,-1.5217391304341563
PRIMARY,GBPUSD,1512109800000,1512110700000,1512110700000,-1,-3.279421678608141,1.35251,1.352795,1.352795,1.3519400000000001,2.849999999999797,stop,-2.849999999998687,-3.6499999999986867,-4.049999999998687,-1.2807017543855952,-1.4210526315785879
PRIMARY,GBPUSD,1512111600000,1512112500000,1512112500000,1,2.8438785393558335,1.35307,1.3529274999999998,1.3529274999999998,1.353355,1.4250000000004537,stop,-1.425000000001564,-2.2250000000015637,-2.625000000001564,-1.56140350877253,-1.8421052631584058
PRIMARY,EURUSD,1512112500000,1512113400000,1512113400000,1,5.278023187438179,1.19179,1.19207,1.1916499999999999,1.19207,1.40000000000029,target,2.80000000000058,2.00000000000058,1.6000000000005798,1.428571428571547,1.1428571428573204
PRIMARY,EURUSD,1512113400000,1512114300000,1512114300000,1,17.168734945466735,1.19205,1.1923350000000004,1.1919075,1.1923350000000004,1.425000000001564,target,2.850000000003128,2.050000000003128,1.6500000000031279,1.4385964912286864,1.1578947368430295
PRIMARY,EURUSD,1512114300000,1512115200000,1512115200000,1,6.490127029705747,1.19274,1.1923899999999998,1.1923899999999998,1.19344,3.500000000000725,stop,-3.5000000000007248,-4.300000000000725,-4.700000000000725,-1.2285714285713811,-1.3428571428570717
PRIMARY,GBPUSD,1512117000000,1512117900000,1512117900000,-1,-42.766769397356626,1.3520400000000001,1.35244,1.35244,1.3512400000000002,3.99999999999956,stop,-3.9999999999995595,-4.799999999999559,-5.19999999999956,-1.200000000000022,-1.300000000000033
PRIMARY,EURUSD,1512117900000,1512118800000,1512118800000,-1,-10.440786769397448,1.19198,1.192145,1.192145,1.19165,1.6499999999997073,both_hit_adverse_first,-1.6499999999997073,-2.449999999999707,-2.8499999999997074,-1.4848484848485708,-1.7272727272728565
PRIMARY,GBPUSD,1512118800000,1512119700000,1512119700000,1,59.306996060336786,1.35293,1.3526274999999999,1.3526274999999999,1.3535350000000002,3.0250000000009436,stop,-3.0250000000009436,-3.8250000000009434,-4.225000000000944,-1.2644628099172728,-1.3966942148759094
PRIMARY,GBPUSD,1512119700000,1512120600000,1512120600000,-1,-4.1186122846649456,1.35209,1.3523975,1.3523975,1.3514750000000002,3.0749999999990507,both_hit_adverse_first,-3.0749999999990507,-3.8749999999990505,-4.274999999999051,-1.2601626016260965,-1.3902439024391449
PRIMARY,GBPUSD,1512120600000,1512121500000,1512121500000,-1,-2.777702330500617,1.35135,1.351725,1.351725,1.3506,3.7500000000001426,stop,-3.750000000000142,-4.550000000000142,-4.950000000000142,-1.2133333333333252,-1.3199999999999878
PRIMARY,EURUSD,1512121500000,1512122400000,1512122400000,1,8.331737688762084,1.19159,1.1914649999999998,1.1914649999999998,1.1918400000000002,1.2500000000015277,both_hit_adverse_first,-1.2500000000015277,-2.0500000000015275,-2.450000000001528,-1.6399999999992176,-1.959999999998827
PRIMARY,GBPUSD,1512124200000,1512125100000,1512125100000,-1,-8.962978805407024,1.35107,1.351625,1.351625,1.3499599999999998,5.550000000000832,stop,-5.550000000000832,-6.350000000000832,-6.750000000000832,-1.1441441441441225,-1.2162162162161838
PRIMARY,GBPUSD,1512127800000,1512128700000,1512128700000,-1,-4.845410606340057,1.34888,1.34963,1.34963,1.34738,7.500000000000285,stop,-7.500000000000284,-8.300000000000285,-8.700000000000284,-1.1066666666666627,-1.1599999999999937
PRIMARY,EURUSD,1512128700000,1512129600000,1512130500000,-1,-3.0951840833319135,1.19024,1.19068,1.19068,1.18936,4.399999999999959,stop,-4.3999999999999595,-5.199999999999959,-5.59999999999996,-1.1818181818181837,-1.2727272727272756
PRIMARY,EURUSD,1512131400000,1512132300000,1512132300000,-1,-3.6377071460591597,1.18993,1.18929,1.1902499999999998,1.18929,3.1999999999998696,target,6.399999999999739,5.599999999999739,5.199999999999739,1.7499999999999898,1.6249999999999847
PRIMARY,GBPUSD,1512133200000,1512134100000,1512134100000,1,6.748947562748964,1.35081,1.34998,1.34998,1.35247,8.299999999999974,stop,-8.300000000001084,-9.100000000001085,-9.500000000001084,-1.096385542168809,-1.1445783132531462
PRIMARY,GBPUSD,1512134100000,1512135000000,1512135000000,-1,-5.465389964159551,1.3501,1.3503425,1.3503425,1.349615,2.425000000000343,stop,-2.4249999999992333,-3.224999999999233,-3.6249999999992335,-1.3298969072159905,-1.4948453608242147
PRIMARY,EURUSD,1512133200000,1512134100000,1512135900000,1,5.343437187274984,1.19018,1.18997,1.189545,1.19145,6.349999999999412,time_stop,-2.100000000000435,-2.9000000000004347,-3.300000000000435,-0.45669291338593754,-0.5196850393701954
PRIMARY,EURUSD,1512138600000,1512139500000,1512139500000,1,5.175800969353542,1.19016,1.1898850000000003,1.1898850000000003,1.19071,2.749999999999142,stop,-2.749999999998032,-3.5499999999980316,-3.949999999998032,-1.290909090908778,-1.436363636363369
PRIMARY,GBPUSD,1512140400000,1512141300000,1512141300000,-1,-8.438267471677667,1.3486500000000001,1.3492600000000001,1.3492600000000001,1.3474300000000001,6.099999999999994,stop,-6.099999999999994,-6.899999999999994,-7.2999999999999945,-1.1311475409836067,-1.19672131147541
