date,aud_aonia,aud_target,usd,wedge_pp,diff_pp
2018-01-04,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-05,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-08,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-09,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-10,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-11,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-12,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-15,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-16,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-17,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-18,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-19,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-22,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-23,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-24,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-25,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-29,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-30,1.500000,1.500000,1.420000,0.000000,0.080000
2018-01-31,1.500000,1.500000,1.340000,0.000000,0.160000
2018-02-01,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-02,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-05,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-06,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-07,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-08,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-09,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-12,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-13,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-14,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-15,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-16,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-19,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-20,1.500000,1.500000,1.420000,0.000000,0.080000
2018-02-21,1.500000,1.500000,1.420000,0.000000,0.080000
