date,cad_corra,usd,diff_pp
2018-01-04,0.991700,1.420000,-0.428300
2018-01-05,0.978500,1.420000,-0.441500
2018-01-08,0.997200,1.420000,-0.422800
2018-01-09,0.960800,1.420000,-0.459200
2018-01-10,0.979100,1.420000,-0.440900
2018-01-11,0.996100,1.420000,-0.423900
2018-01-12,0.997300,1.420000,-0.422700
2018-01-15,0.987600,1.420000,-0.432400
2018-01-16,1.000300,1.420000,-0.419700
2018-01-17,1.246400,1.420000,-0.173600
2018-01-18,1.243600,1.420000,-0.176400
2018-01-19,1.229300,1.420000,-0.190700
2018-01-22,1.200000,1.420000,-0.220000
2018-01-23,1.221400,1.420000,-0.198600
2018-01-24,1.215500,1.420000,-0.204500
2018-01-25,1.234300,1.420000,-0.185700
2018-01-26,1.237500,1.420000,-0.182500
2018-01-29,1.239000,1.420000,-0.181000
2018-01-30,1.234600,1.420000,-0.185400
2018-01-31,1.242400,1.340000,-0.097600
2018-02-01,1.245300,1.420000,-0.174700
2018-02-02,1.239100,1.420000,-0.180900
2018-02-05,1.211300,1.420000,-0.208700
2018-02-06,1.223400,1.420000,-0.196600
2018-02-07,1.219100,1.420000,-0.200900
2018-02-08,1.228500,1.420000,-0.191500
2018-02-09,1.228500,1.420000,-0.191500
2018-02-12,1.234600,1.420000,-0.185400
2018-02-13,1.233300,1.420000,-0.186700
2018-02-14,1.225600,1.420000,-0.194400
2018-02-15,1.230000,1.420000,-0.190000
2018-02-16,1.246300,1.420000,-0.173700
2018-02-20,1.205500,1.420000,-0.214500
2018-02-21,1.187600,1.420000,-0.232400
2018-02-22,1.218700,1.420000,-0.201300
2018-02-23,1.212900,1.420000,-0.207100
2018-02-26,1.236200,1.420000,-0.183800
2018-02-27,1.235000,1.420000,-0.185000
2018-02-28,1.231900,1.350000,-0.118100
2018-03-01,1.252000,1.420000,-0.168000
2018-03-02,1.250000,1.420000,-0.170000
2018-03-05,1.233300,1.420000,-0.186700
2018-03-06,1.210400,1.420000,-0.209600
2018-03-07,1.230000,1.420000,-0.190000
2018-03-08,1.222300,1.420000,-0.197700
2018-03-09,1.233500,1.420000,-0.186500
2018-03-12,1.169400,1.420000,-0.250600
2018-03-13,1.204100,1.420000,-0.215900
2018-03-14,1.209500,1.420000,-0.210500
2018-03-15,1.209100,1.430000,-0.220900
2018-03-16,1.217600,1.430000,-0.212400
2018-03-19,1.213300,1.430000,-0.216700
