effective_date,basic_discount_loan_rate_pct,source
2001-01-04,0.50,boj_en_discount_table_20260713
2001-02-13,0.35,boj_en_discount_table_20260713
2001-03-01,0.25,boj_en_discount_table_20260713
2001-09-19,0.10,boj_en_discount_table_20260713
2006-07-14,0.40,boj_en_discount_table_20260713
2007-02-21,0.75,boj_en_discount_table_20260713
2008-10-31,0.50,boj_en_discount_table_20260713
2008-12-19,0.30,boj_en_discount_table_20260713
2024-08-01,0.50,boj_en_discount_table_20260713
2025-01-27,0.75,boj_en_discount_table_20260713
2025-12-22,1.00,boj_en_discount_table_20260713
2026-06-17,1.25,boj_en_discount_table_20260713
