observation_date,WIMFSL
1980-02-04,11.5
1980-02-11,11.5
1980-02-18,11.8
1980-02-25,12.0
1980-03-03,12.2
1980-03-10,12.1
1980-03-17,11.8
1980-03-24,12.0
1980-03-31,12.0
1980-04-07,11.8
1980-04-14,11.8
1980-04-21,11.7
1980-04-28,11.9
1980-05-05,12.4
1980-05-12,13.3
1980-05-19,14.0
1980-05-26,14.9
1980-06-02,15.6
1980-06-09,16.3
1980-06-16,17.0
1980-06-23,17.8
1980-06-30,18.4
1980-07-07,19.2
1980-07-14,19.7
1980-07-21,20.0
1980-07-28,20.3
1980-08-04,20.6
1980-08-11,20.7
1980-08-18,20.6
1980-08-25,20.1
1980-09-01,19.4
1980-09-08,18.6
1980-09-15,18.3
1980-09-22,18.2
1980-09-29,17.8
1980-10-06,17.2
1980-10-13,17.0
1980-10-20,16.7
1980-10-27,16.5
1980-11-03,16.3
1980-11-10,16.1
1980-11-17,15.9
1980-11-24,15.8
1980-12-01,15.5
1980-12-08,15.4
1980-12-15,15.3
1980-12-22,15.2
1980-12-29,14.9
1981-01-05,15.0
1981-01-12,15.6
1981-01-19,16.1
1981-01-26,16.7
1981-02-02,17.2
1981-02-09,17.9
1981-02-16,18.6
1981-02-23,19.2
1981-03-02,20.1
1981-03-09,20.6
1981-03-16,21.5
1981-03-23,22.4
1981-03-30,23.6
1981-04-06,24.1
1981-04-13,24.2
1981-04-20,24.2
1981-04-27,23.6
1981-05-04,23.6
1981-05-11,22.8
1981-05-18,22.2
1981-05-25,22.1
1981-06-01,22.0
1981-06-08,22.1
1981-06-15,22.4
1981-06-22,23.0
1981-06-29,23.7
1981-07-06,23.9
1981-07-13,24.2
1981-07-20,24.9
1981-07-27,24.9
1981-08-03,25.2
1981-08-10,25.7
1981-08-17,26.1
1981-08-24,26.5
1981-08-31,27.4
1981-09-07,27.7
1981-09-14,28.4
1981-09-21,29.9
1981-09-28,31.5
1981-10-05,31.3
1981-10-12,32.8
1981-10-19,32.5
1981-10-26,33.1
1981-11-02,33.7
1981-11-09,33.5
1981-11-16,34.5
1981-11-23,35.8
1981-11-30,37.3
1981-12-07,38.1
1981-12-14,38.7
1981-12-21,38.3
1981-12-28,37.5
1982-01-04,36.3
1982-01-11,37.6
1982-01-18,37.2
1982-01-25,37.6
1982-02-01,36.7
1982-02-08,36.0
1982-02-15,35.1
1982-02-22,34.7
1982-03-01,36.2
1982-03-08,35.9
1982-03-15,36.3
1982-03-22,36.8
1982-03-29,38.1
1982-04-05,36.7
1982-04-12,36.9
1982-04-19,36.0
1982-04-26,36.1
1982-05-03,36.4
1982-05-10,36.4
1982-05-17,36.7
1982-05-24,37.4
1982-05-31,38.5
1982-06-07,38.6
1982-06-14,38.6
1982-06-21,38.2
1982-06-28,38.6
1982-07-05,38.0
1982-07-12,39.0
1982-07-19,40.2
1982-07-26,43.0
1982-08-02,44.9
1982-08-09,46.1
1982-08-16,47.5
1982-08-23,49.1
1982-08-30,51.0
1982-09-06,50.1
1982-09-13,50.3
1982-09-20,49.9
1982-09-27,50.2
1982-10-04,49.9
1982-10-11,49.0
1982-10-18,50.9
1982-10-25,51.6
1982-11-01,51.7
1982-11-08,52.2
1982-11-15,51.6
1982-11-22,50.8
1982-11-29,51.7
1982-12-06,52.0
1982-12-13,51.3
1982-12-20,50.0
1982-12-27,48.7
1983-01-03,47.2
1983-01-10,46.8
1983-01-17,46.1
1983-01-24,45.7
1983-01-31,45.7
1983-02-07,46.6
1983-02-14,46.4
1983-02-21,46.4
1983-02-28,46.0
1983-03-07,46.3
1983-03-14,45.7
1983-03-21,45.2
1983-03-28,44.5
1983-04-04,43.8
1983-04-11,43.4
1983-04-18,43.0
1983-04-25,42.4
1983-05-02,42.2
1983-05-09,42.0
1983-05-16,42.3
1983-05-23,42.3
1983-05-30,41.9
1983-06-06,42.2
1983-06-13,42.3
1983-06-20,42.3
1983-06-27,41.6
1983-07-04,41.3
1983-07-11,41.5
1983-07-18,40.6
1983-07-25,40.4
1983-08-01,40.9
1983-08-08,41.1
1983-08-15,41.1
1983-08-22,41.7
1983-08-29,41.3
1983-09-05,41.3
1983-09-12,41.6
1983-09-19,41.4
1983-09-26,42.2
1983-10-03,43.0
1983-10-10,43.0
1983-10-17,42.7
1983-10-24,42.8
1983-10-31,42.5
1983-11-07,41.5
1983-11-14,41.2
1983-11-21,40.9
1983-11-28,40.4
1983-12-05,40.7
1983-12-12,40.6
1983-12-19,40.7
1983-12-26,40.7
1984-01-02,41.8
1984-01-09,41.6
1984-01-16,41.1
1984-01-23,41.7
1984-01-30,42.0
1984-02-06,42.8
1984-02-13,43.2
1984-02-20,43.9
1984-02-27,43.8
1984-03-05,44.0
1984-03-12,44.0
1984-03-19,44.4
1984-03-26,44.7
1984-04-02,45.4
1984-04-09,45.6
1984-04-16,45.5
1984-04-23,45.1
1984-04-30,44.9
1984-05-07,44.4
1984-05-14,44.9
1984-05-21,45.5
1984-05-28,46.0
1984-06-04,46.8
1984-06-11,46.4
1984-06-18,46.5
1984-06-25,45.9
1984-07-02,47.0
1984-07-09,46.7
1984-07-16,46.3
1984-07-23,46.4
1984-07-30,47.1
1984-08-06,46.9
1984-08-13,47.1
1984-08-20,46.9
1984-08-27,46.3
1984-09-03,46.5
1984-09-10,45.9
1984-09-17,46.1
1984-09-24,46.6
1984-10-01,48.7
1984-10-08,54.5
1984-10-15,55.9
1984-10-22,57.5
1984-10-29,58.6
1984-11-05,59.0
1984-11-12,60.8
1984-11-19,61.9
1984-11-26,62.3
1984-12-03,64.3
1984-12-10,65.2
1984-12-17,65.1
1984-12-24,67.0
1984-12-31,67.9
1985-01-07,67.1
1985-01-14,68.4
1985-01-21,69.2
1985-01-28,68.8
1985-02-04,68.3
1985-02-11,67.7
1985-02-18,66.8
1985-02-25,65.8
1985-03-04,66.8
1985-03-11,65.7
1985-03-18,64.4
1985-03-25,65.0
1985-04-01,66.4
1985-04-08,65.7
1985-04-15,64.1
1985-04-22,66.6
1985-04-29,69.3
1985-05-06,68.0
1985-05-13,69.0
1985-05-20,69.0
1985-05-27,71.6
1985-06-03,73.2
1985-06-10,73.3
1985-06-17,75.2
1985-06-24,77.5
1985-07-01,75.7
1985-07-08,72.9
1985-07-15,71.8
1985-07-22,71.9
1985-07-29,71.0
1985-08-05,70.7
1985-08-12,70.6
1985-08-19,70.3
1985-08-26,71.6
1985-09-02,70.4
1985-09-09,70.4
1985-09-16,69.2
1985-09-23,69.1
1985-09-30,69.3
1985-10-07,69.9
1985-10-14,69.8
1985-10-21,69.7
1985-10-28,68.5
1985-11-04,70.3
1985-11-11,68.7
1985-11-18,68.3
1985-11-25,69.3
1985-12-02,68.9
1985-12-09,68.9
1985-12-16,68.6
1985-12-23,69.5
1985-12-30,70.1
1986-01-06,71.4
1986-01-13,71.4
1986-01-20,70.5
1986-01-27,71.1
1986-02-03,72.4
1986-02-10,72.2
1986-02-17,72.2
1986-02-24,73.3
1986-03-03,73.0
1986-03-10,74.5
1986-03-17,75.7
1986-03-24,77.6
1986-03-31,77.7
1986-04-07,79.1
1986-04-14,80.6
1986-04-21,82.2
1986-04-28,81.3
1986-05-05,82.8
1986-05-12,82.7
1986-05-19,82.8
1986-05-26,82.8
1986-06-02,84.1
1986-06-09,83.8
1986-06-16,84.2
1986-06-23,83.8
1986-06-30,83.5
1986-07-07,84.9
1986-07-14,84.1
1986-07-21,86.4
1986-07-28,87.2
1986-08-04,88.8
1986-08-11,89.5
1986-08-18,89.4
1986-08-25,89.6
1986-09-01,91.5
1986-09-08,92.4
1986-09-15,93.2
1986-09-22,95.2
1986-09-29,94.9
1986-10-06,93.5
1986-10-13,94.6
1986-10-20,94.1
1986-10-27,93.4
1986-11-03,93.6
1986-11-10,91.2
1986-11-17,91.3
1986-11-24,90.6
1986-12-01,90.2
1986-12-08,90.7
1986-12-15,91.1
1986-12-22,92.0
1986-12-29,90.6
1987-01-05,90.8
1987-01-12,90.6
1987-01-19,89.3
1987-01-26,88.7
1987-02-02,89.3
1987-02-09,90.5
1987-02-16,90.5
1987-02-23,91.6
1987-03-02,91.6
1987-03-09,92.5
1987-03-16,91.7
1987-03-23,92.7
1987-03-30,91.8
1987-04-06,93.3
1987-04-13,92.5
1987-04-20,91.8
1987-04-27,90.9
1987-05-04,91.5
1987-05-11,90.1
1987-05-18,90.3
1987-05-25,90.8
1987-06-01,91.4
1987-06-08,92.6
1987-06-15,92.1
1987-06-22,92.0
1987-06-29,92.2
1987-07-06,93.4
1987-07-13,92.9
1987-07-20,93.5
1987-07-27,94.0
1987-08-03,94.8
1987-08-10,94.0
1987-08-17,93.9
1987-08-24,94.2
1987-08-31,92.9
1987-09-07,93.9
1987-09-14,91.8
1987-09-21,92.4
1987-09-28,91.6
1987-10-05,92.2
1987-10-12,91.8
1987-10-19,92.3
1987-10-26,95.5
1987-11-02,96.9
1987-11-09,98.3
1987-11-16,98.5
1987-11-23,98.5
1987-11-30,98.5
1987-12-07,99.7
1987-12-14,98.9
1987-12-21,99.7
1987-12-28,99.2
1988-01-04,98.7
1988-01-11,100.9
1988-01-18,103.0
1988-01-25,103.1
1988-02-01,103.3
1988-02-08,104.6
1988-02-15,105.8
1988-02-22,105.5
1988-02-29,106.0
1988-03-07,106.5
1988-03-14,106.6
1988-03-21,105.4
1988-03-28,104.1
1988-04-04,106.0
1988-04-11,103.3
1988-04-18,103.1
1988-04-25,101.8
1988-05-02,102.3
1988-05-09,103.5
1988-05-16,100.4
1988-05-23,102.5
1988-05-30,100.5
1988-06-06,100.3
1988-06-13,98.9
1988-06-20,99.0
1988-06-27,99.2
1988-07-04,99.0
1988-07-11,99.4
1988-07-18,98.3
1988-07-25,97.1
1988-08-01,97.4
1988-08-08,97.6
1988-08-15,97.3
1988-08-22,98.1
1988-08-29,97.7
1988-09-05,98.5
1988-09-12,98.2
1988-09-19,98.5
1988-09-26,99.4
1988-10-03,100.7
1988-10-10,100.4
1988-10-17,100.1
1988-10-24,99.1
1988-10-31,99.7
1988-11-07,99.3
1988-11-14,99.6
1988-11-21,100.0
1988-11-28,101.7
1988-12-05,101.2
1988-12-12,99.4
1988-12-19,100.9
1988-12-26,100.4
1989-01-02,101.8
1989-01-09,101.6
1989-01-16,99.2
1989-01-23,99.3
1989-01-30,99.3
1989-02-06,99.9
1989-02-13,98.6
1989-02-20,99.2
1989-02-27,99.1
1989-03-06,99.0
1989-03-13,98.7
1989-03-20,99.1
1989-03-27,99.7
1989-04-03,101.5
1989-04-10,101.7
1989-04-17,101.9
1989-04-24,102.3
1989-05-01,102.9
1989-05-08,104.1
1989-05-15,105.6
1989-05-22,106.5
1989-05-29,107.7
1989-06-05,108.4
1989-06-12,109.2
1989-06-19,110.8
1989-06-26,112.9
1989-07-03,112.9
1989-07-10,113.8
1989-07-17,114.6
1989-07-24,115.0
1989-07-31,114.7
1989-08-07,118.4
1989-08-14,116.7
1989-08-21,116.2
1989-08-28,115.8
1989-09-04,117.2
1989-09-11,116.9
1989-09-18,117.6
1989-09-25,118.1
1989-10-02,118.9
1989-10-09,117.6
1989-10-16,117.1
1989-10-23,118.9
1989-10-30,117.3
1989-11-06,116.7
1989-11-13,117.8
1989-11-20,117.0
1989-11-27,118.5
1989-12-04,119.2
1989-12-11,118.7
1989-12-18,118.0
1989-12-25,118.2
1990-01-01,118.4
1990-01-08,120.8
1990-01-15,119.0
1990-01-22,120.7
1990-01-29,119.1
1990-02-05,120.2
1990-02-12,120.1
1990-02-19,120.7
1990-02-26,121.2
1990-03-05,121.5
1990-03-12,122.3
1990-03-19,122.6
1990-03-26,123.2
1990-04-02,124.0
1990-04-09,124.8
1990-04-16,123.1
1990-04-23,123.5
1990-04-30,123.0
1990-05-07,124.9
1990-05-14,123.4
1990-05-21,124.2
1990-05-28,123.2
1990-06-04,125.0
1990-06-11,124.7
1990-06-18,125.0
1990-06-25,125.6
1990-07-02,127.0
1990-07-09,127.4
1990-07-16,126.1
1990-07-23,128.3
1990-07-30,128.8
1990-08-06,127.0
1990-08-13,128.1
1990-08-20,129.6
1990-08-27,132.0
1990-09-03,133.0
1990-09-10,133.3
1990-09-17,133.5
1990-09-24,134.8
1990-10-01,136.8
1990-10-08,137.7
1990-10-15,137.8
1990-10-22,141.5
1990-10-29,139.7
1990-11-05,140.4
1990-11-12,140.7
1990-11-19,139.6
1990-11-26,141.5
1990-12-03,143.1
1990-12-10,144.5
1990-12-17,146.5
1990-12-24,148.5
1990-12-31,148.9
1991-01-07,149.5
1991-01-14,152.5
1991-01-21,156.2
1991-01-28,156.1
1991-02-04,156.3
1991-02-11,162.3
1991-02-18,162.4
1991-02-25,162.2
1991-03-04,165.1
1991-03-11,162.0
1991-03-18,163.8
1991-03-25,164.6
1991-04-01,165.5
1991-04-08,165.1
1991-04-15,169.7
1991-04-22,168.8
1991-04-29,169.1
1991-05-06,167.9
1991-05-13,170.4
1991-05-20,168.4
1991-05-27,171.2
1991-06-03,170.7
1991-06-10,170.8
1991-06-17,170.3
1991-06-24,170.5
1991-07-01,167.3
1991-07-08,169.2
1991-07-15,169.0
1991-07-22,169.6
1991-07-29,169.2
1991-08-05,167.5
1991-08-12,172.0
1991-08-19,172.1
1991-08-26,172.9
1991-09-02,173.2
1991-09-09,172.3
1991-09-16,173.3
1991-09-23,174.5
1991-09-30,178.8
1991-10-07,180.3
1991-10-14,184.3
1991-10-21,180.4
1991-10-28,181.9
1991-11-04,182.4
1991-11-11,185.9
1991-11-18,185.9
1991-11-25,192.6
1991-12-02,192.8
1991-12-09,193.9
1991-12-16,196.7
1991-12-23,199.8
1991-12-30,196.2
1992-01-06,182.3
1992-01-13,201.3
1992-01-20,203.7
1992-01-27,205.7
1992-02-03,208.5
1992-02-10,207.6
1992-02-17,211.7
1992-02-24,196.3
1992-03-02,210.6
1992-03-09,204.6
1992-03-16,210.0
1992-03-23,209.3
1992-03-30,210.0
1992-04-06,203.8
1992-04-13,211.9
1992-04-20,210.0
1992-04-27,218.5
1992-05-04,216.8
1992-05-11,216.6
1992-05-18,220.3
1992-05-25,220.7
1992-06-01,216.0
1992-06-08,220.8
1992-06-15,224.9
1992-06-22,228.3
1992-06-29,225.3
1992-07-06,212.7
1992-07-13,229.8
1992-07-20,234.2
1992-07-27,236.8
1992-08-03,242.2
1992-08-10,237.2
1992-08-17,238.6
1992-08-24,236.5
1992-08-31,240.6
1992-09-07,233.7
1992-09-14,243.1
1992-09-21,243.4
1992-09-28,241.8
