symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2018-01-03,2020-03-24,-121.60000000000082,-123.10000000000082,-124.60000000000082,candidate
GBPUSD,1,2020-03-24,2020-03-30,683.0000000000002,681.5000000000002,680.0000000000002,candidate
USDJPY,1,2020-03-30,2020-03-31,-21.50000000000034,-23.00000000000034,-24.50000000000034,candidate
GBPUSD,1,2020-03-31,2020-04-06,-187.2000000000007,-188.7000000000007,-190.2000000000007,candidate
USDJPY,1,2020-04-06,2020-04-07,-47.2999999999999,-48.7999999999999,-50.2999999999999,candidate
GBPUSD,1,2020-04-07,2020-04-13,170.5000000000023,169.0000000000023,167.5000000000023,candidate
USDJPY,1,2020-04-13,2020-04-14,-54.39999999999969,-55.89999999999969,-57.39999999999969,candidate
GBPUSD,1,2020-04-14,2020-04-15,-112.79999999999956,-114.29999999999956,-115.79999999999956,candidate
USDJPY,1,2020-04-15,2020-04-16,49.099999999999966,47.599999999999966,46.099999999999966,candidate
GBPUSD,1,2020-04-16,2020-04-20,-22.999999999999687,-24.499999999999687,-25.999999999999687,candidate
USDJPY,1,2020-04-20,2020-04-21,15.200000000000102,13.700000000000102,12.200000000000102,candidate
GBPUSD,1,2020-04-21,2020-04-27,140.29999999999987,138.79999999999987,137.29999999999987,candidate
USDJPY,1,2020-04-27,2020-04-29,-59.900000000000375,-61.400000000000375,-62.900000000000375,candidate
GBPUSD,1,2020-04-29,2020-05-01,23.500000000000743,22.000000000000743,20.500000000000743,candidate
USDJPY,1,2020-05-01,2020-05-15,25.0,23.5,22.0,candidate
GBPUSD,1,2020-05-15,2020-05-18,91.70000000000122,90.20000000000122,88.70000000000122,candidate
USDJPY,1,2020-05-18,2020-05-21,30.299999999999727,28.799999999999727,27.299999999999727,candidate
GBPUSD,1,2020-05-21,2020-05-22,-49.40000000000166,-50.90000000000166,-52.40000000000166,candidate
USDJPY,1,2020-05-22,2021-01-22,-383.70000000000033,-385.20000000000033,-386.70000000000033,candidate
GBPUSD,1,2021-01-22,2021-01-25,-7.900000000000684,-9.400000000000684,-10.900000000000684,candidate
USDJPY,1,2021-01-25,2021-01-27,34.59999999999894,33.09999999999894,31.599999999998943,candidate
GBPUSD,1,2021-01-27,2021-02-01,-25.200000000000777,-26.700000000000777,-28.200000000000777,candidate
USDJPY,1,2021-02-01,2021-02-09,-35.99999999999994,-37.49999999999994,-38.99999999999994,candidate
GBPUSD,1,2021-02-09,2021-02-10,16.00000000000046,14.500000000000458,13.000000000000458,candidate
USDJPY,1,2021-02-10,2021-02-19,83.30000000000126,81.80000000000126,80.30000000000126,candidate
GBPUSD,1,2021-02-19,2021-02-22,56.499999999999325,54.999999999999325,53.499999999999325,candidate
USDJPY,1,2021-02-22,2021-02-23,16.899999999999693,15.399999999999693,13.899999999999693,candidate
GBPUSD,1,2021-02-23,2021-03-01,-187.90000000000083,-189.40000000000083,-190.90000000000083,candidate
USDJPY,1,2021-03-01,2021-03-02,-7.30000000000075,-8.80000000000075,-10.30000000000075,candidate
GBPUSD,1,2021-03-02,2021-03-03,-3.1000000000003247,-4.600000000000325,-6.100000000000325,candidate
USDJPY,1,2021-03-03,2021-03-05,137.70000000000095,136.20000000000095,134.70000000000095,candidate
GBPUSD,1,2021-03-05,2021-03-08,-9.099999999999664,-10.599999999999664,-12.099999999999664,candidate
USDJPY,1,2021-03-08,2021-03-09,-38.89999999999958,-40.39999999999958,-41.89999999999958,candidate
GBPUSD,1,2021-03-09,2021-03-15,13.499999999999623,11.999999999999623,10.499999999999623,candidate
USDJPY,1,2021-03-15,2021-03-16,-14.000000000000057,-15.500000000000057,-17.000000000000057,candidate
GBPUSD,1,2021-03-16,2021-03-22,-33.199999999999896,-34.699999999999896,-36.199999999999896,candidate
USDJPY,1,2021-03-22,2021-03-23,-21.699999999999875,-23.199999999999875,-24.699999999999875,candidate
GBPUSD,1,2021-03-23,2021-03-29,10.399999999999299,8.899999999999299,7.399999999999299,candidate
USDJPY,1,2021-03-29,2021-03-30,54.80000000000018,53.30000000000018,51.80000000000018,candidate
GBPUSD,1,2021-03-30,2021-04-05,159.60000000000196,158.10000000000196,156.60000000000196,candidate
USDJPY,1,2021-04-05,2021-04-06,-43.00000000000068,-44.50000000000068,-46.00000000000068,candidate
GBPUSD,1,2021-04-06,2021-04-12,-83.40000000000013,-84.90000000000013,-86.40000000000013,candidate
USDJPY,1,2021-04-12,2021-04-13,-31.90000000000026,-33.40000000000026,-34.90000000000026,candidate
GBPUSD,1,2021-04-13,2021-04-19,233.9000000000002,232.4000000000002,230.9000000000002,candidate
USDJPY,1,2021-04-19,2021-04-20,-5.200000000000671,-6.700000000000671,-8.20000000000067,candidate
GBPUSD,1,2021-04-20,2021-04-26,-39.00000000000014,-40.50000000000014,-42.00000000000014,candidate
USDJPY,1,2021-04-26,2021-04-27,60.09999999999991,58.59999999999991,57.09999999999991,candidate
GBPUSD,1,2021-04-27,2021-05-03,-2.5999999999992696,-4.09999999999927,-5.59999999999927,candidate
USDJPY,1,2021-05-03,2021-05-04,24.399999999999977,22.899999999999977,21.399999999999977,candidate
GBPUSD,1,2021-05-04,2021-05-10,231.20000000000027,229.70000000000027,228.20000000000027,candidate
USDJPY,1,2021-05-10,2021-05-11,-19.50000000000074,-21.00000000000074,-22.50000000000074,candidate
GBPUSD,1,2021-05-11,2021-05-17,-3.4000000000000696,-4.90000000000007,-6.40000000000007,candidate
USDJPY,1,2021-05-17,2021-05-18,-32.099999999999795,-33.599999999999795,-35.099999999999795,candidate
GBPUSD,1,2021-05-18,2021-05-24,-29.999999999998916,-31.499999999998916,-32.99999999999892,candidate
USDJPY,1,2021-05-24,2021-05-25,0.7000000000005002,-0.7999999999994998,-2.2999999999994998,candidate
GBPUSD,1,2021-05-25,2021-05-31,60.39999999999823,58.89999999999823,57.39999999999823,candidate
USDJPY,1,2021-05-31,2021-06-02,-0.9000000000000341,-2.400000000000034,-3.900000000000034,candidate
GBPUSD,1,2021-06-02,2021-06-07,10.799999999999699,9.299999999999699,7.799999999999699,candidate
USDJPY,1,2021-06-07,2021-06-08,25.40000000000049,23.90000000000049,22.40000000000049,candidate
GBPUSD,1,2021-06-08,2021-06-14,-46.400000000001995,-47.900000000001995,-49.400000000001995,candidate
USDJPY,1,2021-06-14,2021-06-15,-1.5000000000000568,-3.000000000000057,-4.500000000000057,candidate
GBPUSD,1,2021-06-15,2021-06-18,-286.5000000000006,-288.0000000000006,-289.5000000000006,candidate
USDJPY,1,2021-06-18,2021-10-20,403.19999999999965,401.69999999999965,400.19999999999965,candidate
GBPUSD,1,2021-10-20,2021-10-25,-58.30000000000002,-59.80000000000002,-61.30000000000002,candidate
USDJPY,1,2021-10-25,2021-12-17,-0.6000000000000227,-2.1000000000000227,-3.6000000000000227,candidate
GBPUSD,1,2021-12-17,2022-05-06,-900.7999999999994,-902.2999999999994,-903.7999999999994,candidate
EURUSD,-1,2018-01-03,2026-06-30,592.8,591.3,589.8,candidate
USDJPY,1,2022-05-06,2026-06-30,3199.600000000001,3198.100000000001,3196.600000000001,candidate
EURUSD,1,2017-01-31,2017-02-02,-39.89999999999938,-41.39999999999938,-42.89999999999938,control
GBPUSD,1,2017-02-02,2017-02-03,-46.899999999998606,-48.399999999998606,-49.899999999998606,control
EURUSD,1,2017-02-03,2017-02-07,-96.89999999999976,-98.39999999999976,-99.89999999999976,control
USDJPY,-1,2017-01-31,2017-02-15,-135.59999999999945,-137.09999999999945,-138.59999999999945,control
GBPUSD,1,2017-02-07,2017-02-15,-48.6999999999993,-50.1999999999993,-51.6999999999993,control
USDJPY,1,2017-02-15,2017-02-16,-92.6000000000002,-94.1000000000002,-95.6000000000002,control
EURUSD,-1,2017-02-15,2017-02-16,-73.60000000000034,-75.10000000000034,-76.60000000000034,control
GBPUSD,1,2017-02-16,2017-02-21,-15.899999999999803,-17.399999999999803,-18.899999999999803,control
USDJPY,-1,2017-02-16,2017-02-21,-45.49999999999983,-46.99999999999983,-48.49999999999983,control
USDJPY,1,2017-02-21,2017-02-24,-166.29999999999967,-167.79999999999967,-169.29999999999967,control
EURUSD,-1,2017-02-21,2017-02-24,-16.399999999998638,-17.899999999998638,-19.399999999998638,control
USDJPY,-1,2017-02-24,2017-02-28,-74.59999999999951,-76.09999999999951,-77.59999999999951,control
GBPUSD,1,2017-02-24,2017-03-01,-156.50000000000162,-158.00000000000162,-159.50000000000162,control
EURUSD,-1,2017-02-28,2017-03-02,69.79999999999986,68.29999999999986,66.79999999999986,control
GBPUSD,-1,2017-03-02,2017-03-03,-15.999999999998238,-17.499999999998238,-18.999999999998238,control
EURUSD,-1,2017-03-03,2017-03-06,36.30000000000022,34.80000000000022,33.30000000000022,control
USDJPY,1,2017-03-01,2017-03-16,-41.80000000000064,-43.30000000000064,-44.80000000000064,control
GBPUSD,-1,2017-03-06,2017-03-22,-243.10000000000053,-244.60000000000053,-246.10000000000053,control
EURUSD,1,2017-03-16,2017-03-31,-125.30000000000152,-126.80000000000152,-128.30000000000152,control
USDJPY,-1,2017-03-22,2017-05-10,-300.39999999999907,-301.89999999999907,-303.39999999999907,control
GBPUSD,1,2017-03-31,2017-05-10,403.0,401.5,400.0,control
EURUSD,-1,2017-05-10,2017-05-15,-107.60000000000102,-109.10000000000102,-110.60000000000102,control
USDJPY,1,2017-05-10,2017-05-18,-278.90000000000015,-280.40000000000015,-281.90000000000015,control
GBPUSD,-1,2017-05-15,2017-05-23,-67.90000000000073,-69.40000000000073,-70.90000000000073,control
