symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2018-01-05,2020-03-27,-508.70000000000033,-510.20000000000033,-511.70000000000033,candidate
GBPUSD,1,2020-03-27,2020-05-01,18.199999999999328,16.699999999999328,15.199999999999328,candidate
USDJPY,1,2020-05-01,2020-05-15,25.0,23.5,22.0,candidate
GBPUSD,1,2020-05-15,2020-05-22,64.69999999999976,63.19999999999976,61.69999999999976,candidate
USDJPY,1,2020-05-22,2021-01-22,-383.70000000000033,-385.20000000000033,-386.70000000000033,candidate
GBPUSD,1,2021-01-22,2021-02-05,54.09999999999915,52.59999999999915,51.09999999999915,candidate
USDJPY,1,2021-02-05,2021-02-19,3.900000000000148,2.400000000000148,0.9000000000001478,candidate
GBPUSD,1,2021-02-19,2021-06-18,-207.6000000000011,-209.1000000000011,-210.6000000000011,candidate
USDJPY,1,2021-06-18,2021-10-22,327.5999999999996,326.0999999999996,324.5999999999996,candidate
GBPUSD,1,2021-10-22,2021-10-29,-67.29999999999903,-68.79999999999903,-70.29999999999903,candidate
USDJPY,1,2021-10-29,2021-12-17,-25.900000000000034,-27.400000000000034,-28.900000000000034,candidate
GBPUSD,1,2021-12-17,2022-05-06,-900.7999999999994,-902.2999999999994,-903.7999999999994,candidate
USDJPY,1,2022-05-06,2026-06-30,3199.600000000001,3198.100000000001,3196.600000000001,candidate
EURUSD,1,2017-02-03,2017-02-10,-141.20000000000132,-142.70000000000132,-144.20000000000132,control
GBPUSD,1,2017-02-10,2017-02-24,-27.999999999999137,-29.499999999999137,-30.999999999999137,control
USDJPY,1,2017-03-03,2017-03-17,-118.39999999999975,-119.89999999999975,-121.39999999999975,control
EURUSD,1,2017-03-17,2017-03-31,-90.00000000000118,-91.50000000000118,-93.00000000000118,control
GBPUSD,1,2017-03-31,2017-05-12,343.7000000000001,342.2000000000001,340.7000000000001,control
USDJPY,1,2017-05-12,2017-05-19,-209.4999999999999,-210.9999999999999,-212.4999999999999,control
EURUSD,1,2017-05-19,2017-06-23,18.800000000001038,17.300000000001038,15.800000000001038,control
EURUSD,1,2017-06-30,2017-07-07,-29.999999999998916,-31.499999999998916,-32.99999999999892,control
USDJPY,1,2017-07-07,2017-07-14,-133.0999999999989,-134.5999999999989,-136.0999999999989,control
EURUSD,1,2017-07-14,2017-09-15,478.09999999999906,476.59999999999906,475.09999999999906,control
GBPUSD,1,2017-09-15,2017-10-06,-487.2999999999994,-488.7999999999994,-490.2999999999994,control
USDJPY,1,2017-10-06,2017-11-24,-110.90000000000089,-112.40000000000089,-113.90000000000089,control
EURUSD,1,2017-11-24,2017-12-01,-36.800000000001276,-38.300000000001276,-39.800000000001276,control
GBPUSD,1,2017-12-01,2017-12-22,-114.4999999999996,-115.9999999999996,-117.4999999999996,control
USDJPY,1,2017-12-22,2018-01-05,-22.299999999999898,-23.799999999999898,-25.299999999999898,control
EURUSD,1,2018-01-05,2018-01-19,192.60000000000053,191.10000000000053,189.60000000000053,control
GBPUSD,1,2018-01-19,2018-02-16,176.79999999999916,175.29999999999916,173.79999999999916,control
EURUSD,1,2018-02-16,2018-02-23,-117.00000000000043,-118.50000000000043,-120.00000000000043,control
EURUSD,1,2018-03-09,2018-03-16,-16.399999999998638,-17.899999999998638,-19.399999999998638,control
USDJPY,1,2018-03-16,2018-03-23,-124.90000000000094,-126.40000000000094,-127.90000000000094,control
GBPUSD,1,2018-03-23,2018-04-20,-130.5999999999985,-132.0999999999985,-133.5999999999985,control
USDJPY,1,2018-04-20,2018-05-25,172.7000000000004,171.2000000000004,169.7000000000004,control
USDJPY,1,2018-06-08,2018-06-15,111.59999999999997,110.09999999999997,108.59999999999997,control
USDJPY,1,2018-06-22,2018-08-10,83.19999999999936,81.69999999999936,80.19999999999936,control
USDJPY,1,2018-08-24,2018-08-31,-14.499999999999602,-15.999999999999602,-17.499999999999602,control
EURUSD,1,2018-08-31,2018-09-14,19.800000000000928,18.300000000000928,16.800000000000928,control
