symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family
USDJPY,1,2018-01-03,2020-03-24,-121.60000000000082,-123.10000000000082,-124.60000000000082,candidate
GBPUSD,1,2020-03-24,2020-03-30,683.0000000000002,681.5000000000002,680.0000000000002,candidate
USDJPY,1,2020-03-30,2020-03-31,-21.50000000000034,-23.00000000000034,-24.50000000000034,candidate
GBPUSD,1,2020-03-31,2021-03-08,1403.4999999999998,1401.9999999999998,1400.4999999999998,candidate
USDJPY,1,2021-03-08,2021-03-09,-38.89999999999958,-40.39999999999958,-41.89999999999958,candidate
GBPUSD,1,2021-03-09,2021-03-15,13.499999999999623,11.999999999999623,10.499999999999623,candidate
USDJPY,1,2021-03-15,2021-03-16,-14.000000000000057,-15.500000000000057,-17.000000000000057,candidate
GBPUSD,1,2021-03-16,2021-03-22,-33.199999999999896,-34.699999999999896,-36.199999999999896,candidate
USDJPY,1,2021-03-22,2021-03-23,-21.699999999999875,-23.199999999999875,-24.699999999999875,candidate
GBPUSD,1,2021-03-23,2021-03-29,10.399999999999299,8.899999999999299,7.399999999999299,candidate
USDJPY,1,2021-03-29,2021-03-30,54.80000000000018,53.30000000000018,51.80000000000018,candidate
GBPUSD,1,2021-03-30,2021-04-05,159.60000000000196,158.10000000000196,156.60000000000196,candidate
USDJPY,1,2021-04-05,2021-04-06,-43.00000000000068,-44.50000000000068,-46.00000000000068,candidate
GBPUSD,1,2021-04-06,2021-04-12,-83.40000000000013,-84.90000000000013,-86.40000000000013,candidate
USDJPY,1,2021-04-12,2021-04-13,-31.90000000000026,-33.40000000000026,-34.90000000000026,candidate
GBPUSD,1,2021-04-13,2021-04-19,233.9000000000002,232.4000000000002,230.9000000000002,candidate
USDJPY,1,2021-04-19,2021-04-20,-5.200000000000671,-6.700000000000671,-8.20000000000067,candidate
GBPUSD,1,2021-04-20,2021-04-26,-39.00000000000014,-40.50000000000014,-42.00000000000014,candidate
USDJPY,1,2021-04-26,2021-04-27,60.09999999999991,58.59999999999991,57.09999999999991,candidate
GBPUSD,1,2021-04-27,2021-06-21,22.799999999998377,21.299999999998377,19.799999999998377,candidate
USDJPY,1,2021-06-21,2021-12-17,338.8000000000005,337.3000000000005,335.8000000000005,candidate
GBPUSD,1,2021-12-17,2022-05-06,-900.7999999999994,-902.2999999999994,-903.7999999999994,candidate
EURUSD,-1,2018-01-03,2026-06-30,592.8,591.3,589.8,candidate
USDJPY,1,2022-05-06,2026-06-30,3199.600000000001,3198.100000000001,3196.600000000001,candidate
EURUSD,1,2017-02-01,2017-02-02,-10.600000000000609,-12.100000000000609,-13.600000000000609,control
USDJPY,-1,2017-02-01,2017-03-01,-48.799999999999955,-50.299999999999955,-51.799999999999955,control
GBPUSD,1,2017-02-02,2017-03-01,-231.50000000000003,-233.00000000000003,-234.50000000000003,control
EURUSD,-1,2017-03-01,2017-03-02,40.000000000000036,38.500000000000036,37.000000000000036,control
USDJPY,1,2017-03-01,2017-03-17,-101.00000000000051,-102.50000000000051,-104.00000000000051,control
GBPUSD,-1,2017-03-02,2017-04-03,-213.99999999999864,-215.49999999999864,-216.99999999999864,control
EURUSD,1,2017-03-17,2017-04-03,-67.90000000000073,-69.40000000000073,-70.90000000000073,control
GBPUSD,1,2017-04-03,2017-06-01,395.2,393.7,392.2,control
USDJPY,-1,2017-04-03,2017-06-16,6.000000000000227,4.500000000000227,3.0000000000002274,control
EURUSD,1,2017-06-01,2017-07-03,151.9999999999988,150.4999999999988,148.9999999999988,control
GBPUSD,-1,2017-06-16,2017-08-01,-427.90000000000106,-429.40000000000106,-430.90000000000106,control
USDJPY,1,2017-07-03,2017-08-01,-306.0999999999993,-307.5999999999993,-309.0999999999993,control
USDJPY,-1,2017-08-01,2017-09-01,13.100000000000023,11.600000000000023,10.100000000000023,control
EURUSD,1,2017-08-01,2017-10-02,-69.50000000000011,-71.00000000000011,-72.50000000000011,control
GBPUSD,-1,2017-09-01,2017-10-02,-315.70000000000095,-317.20000000000095,-318.70000000000095,control
GBPUSD,1,2017-10-02,2017-10-03,-35.30000000000033,-36.80000000000033,-38.30000000000033,control
EURUSD,-1,2017-10-02,2017-12-01,-159.29999999999998,-160.79999999999998,-162.29999999999998,control
USDJPY,1,2017-10-03,2017-12-01,-70.09999999999934,-71.59999999999934,-73.09999999999934,control
GBPUSD,1,2017-12-01,2018-01-02,116.89999999999978,115.39999999999978,113.89999999999978,control
USDJPY,-1,2017-12-01,2018-01-02,-12.399999999999523,-13.899999999999523,-15.399999999999523,control
GBPUSD,-1,2018-01-02,2018-01-03,76.89999999999974,75.39999999999974,73.89999999999974,control
EURUSD,1,2018-01-02,2018-02-01,449.90000000000083,448.40000000000083,446.90000000000083,control
USDJPY,-1,2018-01-03,2018-03-01,628.2000000000011,626.7000000000011,625.2000000000011,control
GBPUSD,1,2018-02-01,2018-03-01,-484.0999999999984,-485.5999999999984,-487.0999999999984,control
EURUSD,1,2018-03-01,2018-03-23,86.29999999999914,84.79999999999914,83.29999999999914,control
GBPUSD,-1,2018-03-01,2018-03-23,-356.09999999999917,-357.59999999999917,-359.09999999999917,control
USDJPY,-1,2018-03-23,2018-04-04,-203.8000000000011,-205.3000000000011,-206.8000000000011,control
GBPUSD,1,2018-03-23,2018-05-01,-518.8999999999999,-520.3999999999999,-521.8999999999999,control
EURUSD,-1,2018-04-04,2018-05-01,285.6000000000014,284.1000000000014,282.6000000000014,control
GBPUSD,-1,2018-05-01,2018-06-01,265.2999999999994,263.7999999999994,262.2999999999994,control
EURUSD,-1,2018-06-01,2018-07-03,4.60000000000127,3.1000000000012697,1.6000000000012697,control
USDJPY,1,2018-05-01,2018-09-18,250.19999999999953,248.69999999999953,247.19999999999953,control
GBPUSD,-1,2018-07-03,2018-09-18,42.599999999999305,41.099999999999305,39.599999999999305,control
USDJPY,-1,2018-09-18,2018-09-19,9.299999999998931,7.799999999998931,6.299999999998931,control
GBPUSD,1,2018-09-18,2018-09-28,-118.30000000000007,-119.80000000000007,-121.30000000000007,control
EURUSD,-1,2018-09-19,2018-11-16,258.00000000000045,256.50000000000045,255.00000000000045,control
USDJPY,1,2018-09-28,2018-12-07,-99.09999999999997,-100.59999999999997,-102.09999999999997,control
EURUSD,1,2018-12-07,2018-12-18,-36.19999999999956,-37.69999999999956,-39.19999999999956,control
USDJPY,1,2018-12-18,2018-12-21,-131.1000000000007,-132.6000000000007,-134.1000000000007,control
GBPUSD,-1,2018-11-16,2019-01-03,193.00000000000094,191.50000000000094,190.00000000000094,control
EURUSD,1,2018-12-21,2019-01-16,24.699999999999722,23.199999999999722,21.699999999999722,control
USDJPY,-1,2019-01-03,2019-02-01,-181.70000000000073,-183.20000000000073,-184.70000000000073,control
GBPUSD,1,2019-01-16,2019-03-01,325.6999999999999,324.1999999999999,322.6999999999999,control
EURUSD,-1,2019-02-01,2019-03-21,80.19999999999915,78.69999999999915,77.19999999999915,control
USDJPY,1,2019-03-01,2019-03-21,-107.8000000000003,-109.3000000000003,-110.8000000000003,control
GBPUSD,1,2019-03-21,2019-04-16,-66.0000000000016,-67.5000000000016,-69.0000000000016,control
USDJPY,-1,2019-03-21,2019-04-16,-115.30000000000058,-116.80000000000058,-118.30000000000058,control
USDJPY,1,2019-04-16,2019-05-06,-123.60000000000042,-125.10000000000042,-126.60000000000042,control
GBPUSD,-1,2019-04-16,2019-05-06,-49.600000000000755,-51.100000000000755,-52.600000000000755,control
GBPUSD,1,2019-05-06,2019-05-16,-299.59999999999985,-301.09999999999985,-302.59999999999985,control
USDJPY,-1,2019-05-06,2019-06-18,231.60000000000025,230.10000000000025,228.60000000000025,control
EURUSD,1,2019-05-16,2019-07-09,34.399999999998876,32.899999999998876,31.399999999998876,control
GBPUSD,-1,2019-06-18,2019-07-16,150.50000000000006,149.00000000000006,147.50000000000006,control
USDJPY,1,2019-07-09,2019-07-16,-61.299999999999955,-62.799999999999955,-64.29999999999995,control
EURUSD,1,2019-07-16,2019-08-01,-125.59999999999904,-127.09999999999904,-128.59999999999906,control
USDJPY,-1,2019-07-16,2019-08-01,90.30000000000058,88.80000000000058,87.30000000000058,control
USDJPY,1,2019-08-01,2019-08-19,-70.49999999999983,-71.99999999999983,-73.49999999999983,control
GBPUSD,-1,2019-08-01,2019-09-09,-212.39999999999924,-213.89999999999924,-215.39999999999924,control
EURUSD,1,2019-08-19,2019-09-09,-30.09999999999957,-31.59999999999957,-33.09999999999957,control
GBPUSD,1,2019-09-09,2019-09-23,85.60000000000123,84.10000000000123,82.60000000000123,control
USDJPY,1,2019-09-23,2019-09-25,22.89999999999992,21.39999999999992,19.89999999999992,control
GBPUSD,1,2019-09-25,2019-09-27,-63.20000000000103,-64.70000000000104,-66.20000000000104,control
USDJPY,1,2019-09-27,2019-10-01,-18.999999999999773,-20.499999999999773,-21.999999999999773,control
EURUSD,-1,2019-09-09,2019-10-18,-121.19999999999908,-122.69999999999908,-124.19999999999908,control
USDJPY,-1,2019-10-18,2019-12-03,-25.40000000000049,-26.90000000000049,-28.40000000000049,control
EURUSD,-1,2019-12-03,2019-12-04,3.4000000000000696,1.9000000000000696,0.40000000000006963,control
USDJPY,-1,2019-12-04,2019-12-17,-61.999999999999034,-63.499999999999034,-64.99999999999903,control
GBPUSD,1,2019-10-01,2020-01-31,905.4999999999991,903.9999999999991,902.4999999999991,control
EURUSD,-1,2019-12-17,2020-03-05,-88.39999999999958,-89.89999999999958,-91.39999999999958,control
