symbol,report_date,available_at,market,spec_net,oi,d_spec,frac,fx_sign
EURUSD,2022-01-04,2022-01-07,EURO FX - CHICAGO MERCANTILE EXCHANGE,176802.0,678218.0,,,1
EURUSD,2022-01-11,2022-01-14,EURO FX - CHICAGO MERCANTILE EXCHANGE,186108.0,682293.0,9306.0,0.013639301590372464,1
EURUSD,2022-01-18,2022-01-21,EURO FX - CHICAGO MERCANTILE EXCHANGE,207923.0,691882.0,21815.0,0.031529942967153356,1
EURUSD,2022-01-25,2022-01-28,EURO FX - CHICAGO MERCANTILE EXCHANGE,215244.0,682952.0,7321.0,0.010719640618960044,1
EURUSD,2022-02-01,2022-02-04,EURO FX - CHICAGO MERCANTILE EXCHANGE,203184.0,685431.0,-12060.0,0.017594768838876562,1
EURUSD,2022-02-08,2022-02-11,EURO FX - CHICAGO MERCANTILE EXCHANGE,243684.0,700098.0,40500.0,0.05784904399098412,1
EURUSD,2022-02-15,2022-02-18,EURO FX - CHICAGO MERCANTILE EXCHANGE,252765.0,702047.0,9081.0,0.012935031415275616,1
EURUSD,2022-02-22,2022-02-25,EURO FX - CHICAGO MERCANTILE EXCHANGE,261797.0,696682.0,9032.0,0.012964307962599866,1
EURUSD,2022-03-01,2022-03-04,EURO FX - CHICAGO MERCANTILE EXCHANGE,256744.0,719975.0,-5053.0,0.007018299246501615,1
EURUSD,2022-03-08,2022-03-11,EURO FX - CHICAGO MERCANTILE EXCHANGE,233632.0,738990.0,-23112.0,0.031275118743149435,1
EURUSD,2022-03-15,2022-03-18,EURO FX - CHICAGO MERCANTILE EXCHANGE,206579.0,666010.0,-27053.0,0.0406195102175643,1
EURUSD,2022-03-22,2022-03-25,EURO FX - CHICAGO MERCANTILE EXCHANGE,213067.0,658817.0,6488.0,0.0098479547431229,1
EURUSD,2022-03-29,2022-04-01,EURO FX - CHICAGO MERCANTILE EXCHANGE,224872.0,662415.0,11805.0,0.017821154412264215,1
EURUSD,2022-04-05,2022-04-08,EURO FX - CHICAGO MERCANTILE EXCHANGE,217469.0,663589.0,-7403.0,0.011156001681763863,1
