symbol,direction,entry_date,exit_date,gross_pips,net_a_pips,net_b_pips,family,d_spec_oi,exit_reason
GBPUSD,1,2022-01-17,2022-01-21,-116.74285714285747,-118.24285714285747,-119.74285714285747,candidate,0.058964652132493404,stop
USDJPY,1,2022-01-17,2022-01-21,-42.50000000000114,-44.00000000000114,-45.50000000000114,candidate,-0.057524411871541205,friday_flat
EURUSD,-1,2022-01-24,2022-01-28,190.20000000000036,188.70000000000036,187.20000000000036,candidate,-0.017145676575798692,friday_flat
GBPUSD,1,2022-01-24,2022-01-27,-110.45357142857259,-111.95357142857259,-113.45357142857259,candidate,0.14870056867175305,stop
USDJPY,-1,2022-01-24,2022-01-26,-102.71785714285642,-104.21785714285642,-105.71785714285642,candidate,0.10515310672876821,stop
EURUSD,1,2022-01-31,2022-02-04,310.79999999999995,309.29999999999995,307.79999999999995,candidate,0.5525188223051968,friday_flat
GBPUSD,-1,2022-01-31,2022-02-01,-118.84285714285791,-120.34285714285791,-121.84285714285791,candidate,-0.057696110744891234,stop
USDJPY,-1,2022-01-31,2022-02-04,7.500000000000284,6.000000000000284,4.500000000000284,candidate,0.06875600262851944,friday_flat
EURUSD,-1,2022-02-07,2022-02-11,109.59999999999859,108.09999999999859,106.59999999999859,candidate,-0.7249950367282112,friday_flat
GBPUSD,-1,2022-02-07,2022-02-11,-26.500000000000412,-28.000000000000412,-29.500000000000412,candidate,-0.06928540762036227,friday_flat
EURUSD,-1,2022-02-14,2022-02-18,14.899999999999913,13.399999999999913,11.899999999999913,candidate,-0.033448536129980534,friday_flat
GBPUSD,1,2022-02-14,2022-02-18,48.799999999999955,47.299999999999955,45.799999999999955,candidate,0.07323640552064178,friday_flat
USDJPY,-1,2022-02-14,2022-02-18,29.20000000000016,27.70000000000016,26.20000000000016,candidate,0.021697085678803733,friday_flat
EURUSD,-1,2022-02-21,2022-02-25,42.90000000000127,41.40000000000127,39.90000000000127,candidate,-0.02641478573765129,friday_flat
GBPUSD,1,2022-02-21,2022-02-24,-122.75357142857101,-124.25357142857101,-125.75357142857101,candidate,0.06895474700719911,stop
USDJPY,1,2022-02-21,2022-02-25,52.199999999999136,50.699999999999136,49.199999999999136,candidate,-0.08158455559734236,friday_flat
GBPUSD,-1,2022-02-28,2022-03-04,88.60000000000089,87.10000000000089,85.60000000000089,candidate,-0.02218708044342321,friday_flat
USDJPY,-1,2022-02-28,2022-03-04,37.09999999999951,35.59999999999951,34.09999999999951,candidate,0.05498818039954885,friday_flat
EURUSD,1,2022-03-07,2022-03-11,-11.799999999999589,-13.299999999999589,-14.799999999999589,candidate,0.02883309402770771,friday_flat
