hypothesis_id,origin_id,direction,pivot_side,pivot_index,pivot_time_utc,pivot_confirm_index,pivot_confirm_time_utc,pivot_price,break_index,break_time_utc,hold_index,hold_time_utc,retest_index,retest_time_utc,decision_time_utc,passage_lag,entry_reference_available,entry_reference_index,entry_reference_time_utc,entry_reference_price,atr14_mt5_retest,complex_extreme,initial_stop,initial_risk_pips,geometry_valid,cost_r_0_5,cost_r_1_5,cost_r_2_25,cost_r_3_0,calendar_year
HYP-SCC-EURUSD-M5-001,HIGH:239:2019-01-03T00:15:00,LONG,HIGH,239,2019-01-03 00:00:00,241,2019-01-03 00:10:00,1.13368,242,2019-01-03 00:15:00,243,2019-01-03 00:20:00,244,2019-01-03 00:25:00,2019-01-03 00:25:00,1,True,245,2019-01-03 00:30:00,1.13412,0.000957142857143,1.13345,1.13321071429,9.09285714286,True,0.0549882168107,0.164964650432,0.247446975648,0.329929300864,2019
HYP-SCC-EURUSD-M5-001,LOW:4277:2019-01-23T01:05:00,SHORT,LOW,4277,2019-01-23 00:50:00,4279,2019-01-23 01:00:00,1.13616,4280,2019-01-23 01:05:00,4281,2019-01-23 01:10:00,4282,2019-01-23 01:15:00,2019-01-23 01:15:00,1,True,4283,2019-01-23 01:20:00,1.13614,0.000167857142857,1.13629,1.13633196429,1.91964285714,True,0.260465116279,0.781395348837,1.17209302325,1.56279069767,2019
HYP-SCC-EURUSD-M5-001,HIGH:5409:2019-01-29T00:00:00,LONG,HIGH,5409,2019-01-28 23:25:00,5411,2019-01-28 23:35:00,1.14308,5416,2019-01-29 00:00:00,5417,2019-01-29 00:05:00,5418,2019-01-29 00:10:00,2019-01-29 00:10:00,1,True,5419,2019-01-29 00:15:00,1.14311,0.000141428571429,1.14286,1.14282464286,2.85357142857,True,0.17521902378,0.525657071339,0.788485607009,1.05131414268,2019
HYP-SCC-EURUSD-M5-001,HIGH:5988:2019-01-31T00:00:00,LONG,HIGH,5988,2019-01-30 23:40:00,5990,2019-01-30 23:50:00,1.1489,5992,2019-01-31 00:00:00,5993,2019-01-31 00:05:00,5995,2019-01-31 00:15:00,2019-01-31 00:15:00,2,True,5996,2019-01-31 00:20:00,1.14906,0.000277857142857,1.14839,1.14832053571,7.39464285714,True,0.0676165177493,0.202849553248,0.304274329872,0.405699106496,2019
HYP-SCC-EURUSD-M5-001,HIGH:6275:2019-02-01T00:10:00,LONG,HIGH,6275,2019-01-31 23:35:00,6277,2019-01-31 23:45:00,1.14471,6282,2019-02-01 00:10:00,6283,2019-02-01 00:15:00,6285,2019-02-01 00:25:00,2019-02-01 00:25:00,2,True,6286,2019-02-01 00:30:00,1.14477,0.000148571428571,1.14459,1.14455285714,2.17142857143,True,0.230263157895,0.690789473684,1.03618421053,1.38157894737,2019
HYP-SCC-EURUSD-M5-001,HIGH:8867:2019-02-14T00:35:00,LONG,HIGH,8867,2019-02-13 23:55:00,8869,2019-02-14 00:05:00,1.12645,8875,2019-02-14 00:35:00,8876,2019-02-14 00:40:00,8878,2019-02-14 00:50:00,2019-02-14 00:50:00,2,True,8879,2019-02-14 00:55:00,1.12645,0.000198571428571,1.1263,1.12625035714,1.99642857143,True,0.250447227192,0.751341681575,1.12701252236,1.50268336315,2019
HYP-SCC-EURUSD-M5-001,LOW:9418:2019-02-17T22:25:00,SHORT,LOW,9418,2019-02-15 21:50:00,9420,2019-02-17 22:10:00,1.12901,9423,2019-02-17 22:25:00,9424,2019-02-17 22:30:00,9426,2019-02-17 22:40:00,2019-02-17 22:40:00,2,True,9427,2019-02-17 22:45:00,1.12899,0.000128571428571,1.12913,1.12916214286,1.72142857143,True,0.290456431535,0.871369294606,1.30705394191,1.74273858921,2019
HYP-SCC-EURUSD-M5-001,HIGH:10015:2019-02-20T00:00:00,LONG,HIGH,10015,2019-02-19 23:45:00,10017,2019-02-19 23:55:00,1.13406,10018,2019-02-20 00:00:00,10019,2019-02-20 00:05:00,10026,2019-02-20 00:40:00,2019-02-20 00:40:00,7,True,10027,2019-02-20 00:45:00,1.13411,0.000167857142857,1.13393,1.13388803571,2.21964285714,True,0.225261464199,0.675784392598,1.0136765889,1.3515687852,2019
HYP-SCC-EURUSD-M5-001,HIGH:14057:2019-03-12T01:35:00,LONG,HIGH,14057,2019-03-12 01:20:00,14059,2019-03-12 01:30:00,1.12596,14060,2019-03-12 01:35:00,14061,2019-03-12 01:40:00,14062,2019-03-12 01:45:00,2019-03-12 01:45:00,1,True,14063,2019-03-12 01:50:00,1.12598,0.000154285714286,1.12586,1.12582142857,1.58571428571,True,0.315315315316,0.945945945947,1.41891891892,1.89189189189,2019
HYP-SCC-EURUSD-M5-001,HIGH:15179:2019-03-18T00:25:00,LONG,HIGH,15179,2019-03-18 00:00:00,15181,2019-03-18 00:10:00,1.13223,15184,2019-03-18 00:25:00,15185,2019-03-18 00:30:00,15188,2019-03-18 00:45:00,2019-03-18 00:45:00,3,True,15189,2019-03-18 00:50:00,1.13224,0.000129285714286,1.13213,1.13209767857,1.42321428571,True,0.351317440402,1.05395232121,1.58092848181,2.10790464241,2019
