position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
2,2019.01.03 02:30:00,2019.01.03 04:30:00,2019.01.03 02:25:00,BUY,0.1,1.13421,1.13548,1.13321,1.13621,100.0,10.0,12.299999999999999,1.23
4,2019.01.23 03:20:00,2019.01.23 03:23:00,2019.01.23 03:15:00,SELL,0.52,1.13614,1.13633,1.13633,1.13576,19.0,9.88,-11.96,-1.2105263157894737
6,2019.01.29 02:15:00,2019.01.29 02:21:15,2019.01.29 02:10:00,BUY,0.27,1.14319,1.14282,1.14282,1.14393,37.0,9.99,-11.07,-1.1081081081081081
8,2019.01.31 02:20:00,2019.01.31 04:20:00,2019.01.31 02:15:00,BUY,0.12,1.14914,1.14949,1.14832,1.15078,82.0,9.84,3.72,0.3780487804878049
10,2019.02.01 02:30:00,2019.02.01 03:06:40,2019.02.01 02:25:00,BUY,0.33,1.14485,1.14453,1.14455,1.14545,30.0,9.9,-11.88,-1.2
12,2019.02.14 02:55:00,2019.02.14 03:03:30,2019.02.14 02:50:00,BUY,0.35,1.12653,1.12625,1.12625,1.12709,28.0,9.8,-11.200000000000001,-1.1428571428571428
14,2019.02.20 02:45:00,2019.02.20 02:54:27,2019.02.20 02:40:00,BUY,0.33,1.13419,1.13479,1.13389,1.13479,30.0,9.9,18.48,1.8666666666666667
16,2019.03.12 03:50:00,2019.03.12 04:00:32,2019.03.12 03:45:00,BUY,0.39,1.12607,1.12581,1.12582,1.12657,25.0,9.75,-11.700000000000001,-1.2000000000000002
18,2019.03.18 02:50:00,2019.03.18 02:57:42,2019.03.18 02:45:00,BUY,0.43,1.13233,1.1321,1.1321,1.13279,23.0,9.89,-11.610000000000001,-1.173913043478261
20,2019.04.09 03:25:00,2019.04.09 04:31:31,2019.04.09 03:20:00,BUY,0.28,1.12583,1.12654,1.12548,1.12653,35.0,9.8,18.759999999999998,1.914285714285714
22,2019.04.16 04:35:00,2019.04.16 06:35:00,2019.04.16 04:30:00,SELL,0.18,1.12992,1.13033,1.13047,1.12882,55.0,9.9,-8.1,-0.8181818181818181
24,2019.04.18 03:45:00,2019.04.18 03:57:42,2019.04.18 03:40:00,SELL,0.41,1.12956,1.12981,1.1298,1.12908,24.0,9.84,-11.89,-1.2083333333333335
26,2019.04.19 04:00:00,2019.04.19 05:29:19,2019.04.19 03:55:00,BUY,0.19,1.12402,1.12351,1.12351,1.12504,51.0,9.69,-10.45,-1.0784313725490196
28,2019.04.22 01:25:00,2019.04.22 01:44:24,2019.04.22 01:20:00,SELL,0.31,1.12401,1.12433,1.12433,1.12337,32.0,9.92,-11.16,-1.125
30,2019.04.25 03:30:00,2019.04.25 03:41:36,2019.04.25 03:25:00,SELL,0.22,1.11495,1.11539,1.11539,1.11407,44.0,9.68,-10.56,-1.090909090909091
32,2019.04.26 03:15:00,2019.04.26 03:47:03,2019.04.26 03:10:00,SELL,0.29,1.11332,1.11264,1.11366,1.11264,34.0,9.86,18.56,1.8823529411764706
34,2019.05.20 00:41:00,2019.05.20 02:41:00,2019.05.20 00:35:00,BUY,0.14,1.11659,1.11627,1.11591,1.11795,68.0,9.52,-5.040000000000001,-0.5294117647058825
36,2019.05.20 03:25:00,2019.05.20 04:01:59,2019.05.20 03:20:00,SELL,0.22,1.1161,1.11656,1.11655,1.1152,45.0,9.9,-11.0,-1.1111111111111112
38,2019.06.03 01:35:00,2019.06.03 03:11:34,2019.06.03 01:30:00,BUY,0.27,1.11707,1.11781,1.1167,1.11781,37.0,9.99,18.9,1.8918918918918917
40,2019.06.13 03:30:00,2019.06.13 03:51:30,2019.06.13 03:25:00,BUY,0.37,1.12951,1.12924,1.12924,1.13005,27.0,9.99,-11.47,-1.1481481481481481
42,2019.06.17 00:50:00,2019.06.17 00:59:36,2019.06.17 00:45:00,BUY,0.28,1.12138,1.12101,1.12103,1.12208,35.0,9.8,-11.48,-1.1714285714285715
44,2019.06.25 03:55:00,2019.06.25 05:55:00,2019.06.25 03:50:00,BUY,0.17,1.14021,1.14014,1.13965,1.14133,56.0,9.52,-1.87,-0.19642857142857145
46,2019.06.27 03:20:00,2019.06.27 04:10:37,2019.06.27 03:15:00,SELL,0.32,1.13712,1.13743,1.13743,1.1365,31.0,9.92,-11.2,-1.129032258064516
48,2019.07.02 03:20:00,2019.07.02 03:25:10,2019.07.02 03:15:00,SELL,0.52,1.12854,1.12873,1.12873,1.12816,19.0,9.88,-11.96,-1.2105263157894737
50,2019.07.15 03:45:00,2019.07.15 04:16:25,2019.07.15 03:40:00,BUY,0.43,1.12722,1.12699,1.12699,1.12768,23.0,9.89,-11.610000000000001,-1.173913043478261
52,2019.07.17 03:20:00,2019.07.17 03:52:05,2019.07.17 03:15:00,SELL,0.47,1.12091,1.12112,1.12112,1.12049,21.0,9.87,-11.75,-1.1904761904761905
54,2019.07.25 04:05:00,2019.07.25 06:05:00,2019.07.25 04:00:00,SELL,0.18,1.11371,1.11357,1.11425,1.11263,54.0,9.72,1.8,0.18518518518518517
56,2019.07.26 03:50:00,2019.07.26 03:55:30,2019.07.26 03:45:00,BUY,0.3,1.11491,1.11458,1.11458,1.11557,33.0,9.9,-11.1,-1.121212121212121
58,2019.07.30 05:15:00,2019.07.30 07:15:00,2019.07.30 05:10:00,BUY,0.32,1.11399,1.11408,1.11368,1.11461,31.0,9.92,1.5999999999999999,0.16129032258064516
60,2019.08.01 05:40:00,2019.08.01 06:51:59,2019.08.01 05:35:00,BUY,0.3,1.10463,1.1043,1.1043,1.10529,33.0,9.9,-11.1,-1.121212121212121
62,2019.08.05 01:15:00,2019.08.05 03:02:16,2019.08.05 01:10:00,SELL,0.38,1.11078,1.11105,1.11104,1.11026,26.0,9.88,-11.78,-1.192307692307692
64,2019.08.08 03:15:00,2019.08.08 04:15:28,2019.08.08 03:10:00,BUY,0.19,1.12079,1.12027,1.12028,1.12181,51.0,9.69,-10.64,-1.0980392156862746
66,2019.08.12 01:15:00,2019.08.12 03:15:00,2019.08.12 01:10:00,BUY,0.15,1.12031,1.12063,1.11968,1.12157,63.0,9.45,4.2,0.4444444444444445
68,2019.08.12 04:20:00,2019.08.12 06:20:00,2019.08.12 04:15:00,BUY,0.31,1.12055,1.1207,1.12023,1.12119,32.0,9.92,3.41,0.34375
70,2019.08.14 03:50:00,2019.08.14 04:37:25,2019.08.14 03:45:00,BUY,0.23,1.11768,1.11725,1.11725,1.11854,43.0,9.89,-10.81,-1.0930232558139534
72,2019.08.15 04:50:00,2019.08.15 04:59:06,2019.08.15 04:45:00,BUY,0.24,1.11458,1.11418,1.11418,1.11538,40.0,9.6,-10.559999999999999,-1.0999999999999999
74,2019.08.19 03:55:00,2019.08.19 04:18:59,2019.08.19 03:50:00,SELL,0.71,1.10917,1.10889,1.10931,1.10889,14.0,9.94,17.04,1.7142857142857142
76,2019.08.23 03:45:00,2019.08.23 03:55:02,2019.08.23 03:40:00,SELL,0.49,1.10801,1.10822,1.10821,1.10761,20.0,9.8,-12.25,-1.25
78,2019.08.27 03:20:00,2019.08.27 04:01:15,2019.08.27 03:15:00,BUY,0.45,1.11032,1.11008,1.1101,1.11076,22.0,9.9,-12.600000000000001,-1.272727272727273
80,2019.09.02 00:30:00,2019.09.02 00:31:34,2019.09.02 00:25:00,SELL,0.33,1.09874,1.09904,1.09904,1.09814,30.0,9.9,-11.22,-1.1333333333333333
82,2019.09.02 03:30:00,2019.09.02 03:32:36,2019.09.02 03:25:00,SELL,0.62,1.09893,1.09909,1.09909,1.09861,16.0,9.92,-12.4,-1.25
84,2019.09.04 04:30:00,2019.09.04 04:57:27,2019.09.04 04:25:00,BUY,0.41,1.09774,1.0975,1.0975,1.09822,24.0,9.84,-11.48,-1.1666666666666667
86,2019.09.09 02:30:00,2019.09.09 03:48:25,2019.09.09 02:25:00,SELL,0.55,1.1023,1.10194,1.10248,1.10194,18.0,9.9,17.6,1.777777777777778
88,2019.09.09 04:15:00,2019.09.09 04:17:41,2019.09.09 04:10:00,SELL,0.39,1.10188,1.10213,1.10213,1.10138,25.0,9.75,-11.31,-1.1600000000000001
90,2019.09.11 03:30:00,2019.09.11 03:37:07,2019.09.11 03:25:00,BUY,0.15,1.10553,1.10489,1.10489,1.10681,64.0,9.6,-10.2,-1.0625
92,2019.09.23 01:25:00,2019.09.23 03:25:00,2019.09.23 01:20:00,BUY,0.34,1.10181,1.10174,1.10152,1.10239,29.0,9.86,-3.74,-0.37931034482758624
94,2019.09.24 03:20:00,2019.09.24 03:37:31,2019.09.24 03:15:00,BUY,0.39,1.09943,1.09917,1.09918,1.09993,25.0,9.75,-11.700000000000001,-1.2000000000000002
96,2019.10.09 04:00:00,2019.10.09 04:13:16,2019.10.09 03:55:00,SELL,0.58,1.09577,1.09594,1.09594,1.09543,17.0,9.86,-12.18,-1.2352941176470589
98,2019.10.31 02:30:00,2019.10.31 03:14:33,2019.10.31 02:25:00,BUY,0.29,1.11571,1.11639,1.11537,1.11639,34.0,9.86,18.56,1.8823529411764706
100,2019.11.05 02:30:00,2019.11.05 03:08:35,2019.11.05 02:25:00,BUY,0.66,1.11292,1.11277,1.11277,1.11322,15.0,9.9,-12.540000000000001,-1.2666666666666666
102,2019.11.14 02:25:00,2019.11.14 02:30:14,2019.11.14 02:20:00,BUY,0.62,1.10104,1.10088,1.10088,1.10136,16.0,9.92,-12.4,-1.25
104,2019.11.22 03:40:00,2019.11.22 04:06:00,2019.11.22 03:35:00,SELL,0.58,1.10637,1.10654,1.10654,1.10603,17.0,9.86,-12.18,-1.2352941176470589
106,2019.11.25 02:30:00,2019.11.25 04:30:00,2019.11.25 02:25:00,BUY,0.41,1.10236,1.10249,1.10212,1.10284,24.0,9.84,3.6900000000000004,0.37500000000000006
