position_id,open_time,close_time,decision_time,direction,volume,entry,exit,planned_stop,planned_target,risk_points,initial_risk_account,net,realized_r
2,2019.01.03 02:20:00,2019.01.03 03:29:36,2019.01.03 02:15:00,BUY,0.2,1.13381,1.13479,1.13333,1.13477,48.0,9.6,18.8,1.9583333333333335
4,2019.01.04 02:25:00,2019.01.04 02:59:33,2019.01.04 02:20:00,BUY,0.25,1.13969,1.1405,1.13929,1.14049,40.0,10.0,19.25,1.925
6,2019.01.07 03:45:00,2019.01.07 05:45:00,2019.01.07 03:40:00,BUY,0.11,1.14202,1.14212,1.14116,1.14374,86.0,9.46,0.6600000000000001,0.06976744186046513
8,2019.01.08 02:05:00,2019.01.08 02:33:16,2019.01.08 02:00:00,BUY,0.16,1.14837,1.14777,1.14778,1.14955,59.0,9.44,-10.24,-1.0847457627118644
10,2019.01.09 03:35:00,2019.01.09 04:12:12,2019.01.09 03:30:00,BUY,0.14,1.14626,1.14559,1.14559,1.1476,67.0,9.38,-9.940000000000001,-1.0597014925373134
12,2019.01.10 03:05:00,2019.01.10 03:09:29,2019.01.10 03:00:00,BUY,0.21,1.15592,1.15545,1.15545,1.15686,47.0,9.87,-10.709999999999999,-1.0851063829787233
14,2019.01.11 02:05:00,2019.01.11 02:09:52,2019.01.11 02:00:00,BUY,0.23,1.15115,1.15072,1.15073,1.15199,42.0,9.66,-10.81,-1.119047619047619
16,2019.01.14 01:05:00,2019.01.14 01:20:04,2019.01.14 01:00:00,BUY,0.15,1.14682,1.14617,1.14618,1.1481,64.0,9.6,-10.35,-1.078125
18,2019.01.14 03:10:00,2019.01.14 03:14:59,2019.01.14 03:05:00,BUY,0.32,1.14678,1.14646,1.14647,1.1474,31.0,9.92,-11.52,-1.161290322580645
20,2019.01.15 02:30:00,2019.01.15 03:09:34,2019.01.15 02:25:00,BUY,0.29,1.14753,1.14719,1.14719,1.14821,34.0,9.86,-11.02,-1.1176470588235294
22,2019.01.16 03:20:00,2019.01.16 05:20:00,2019.01.16 03:15:00,SELL,0.19,1.14046,1.13994,1.14098,1.13942,52.0,9.88,9.120000000000001,0.9230769230769231
24,2019.01.17 02:45:00,2019.01.17 02:45:40,2019.01.17 02:40:00,SELL,0.52,1.13945,1.13964,1.13964,1.13907,19.0,9.88,-11.96,-1.2105263157894737
26,2019.01.18 02:35:00,2019.01.18 04:35:00,2019.01.18 02:30:00,BUY,0.23,1.13927,1.13958,1.13885,1.14011,42.0,9.66,6.21,0.6428571428571428
28,2019.01.21 01:30:00,2019.01.21 01:32:14,2019.01.21 01:25:00,BUY,0.33,1.13687,1.13655,1.13657,1.13747,30.0,9.9,-11.88,-1.2
30,2019.01.21 02:05:00,2019.01.21 04:00:38,2019.01.21 02:00:00,BUY,0.2,1.13687,1.13784,1.13639,1.13783,48.0,9.6,18.599999999999998,1.9374999999999998
32,2019.01.22 02:10:00,2019.01.22 02:22:42,2019.01.22 02:05:00,BUY,0.26,1.13718,1.13678,1.1368,1.13794,38.0,9.88,-11.440000000000001,-1.1578947368421053
34,2019.01.23 03:10:00,2019.01.23 03:13:09,2019.01.23 03:05:00,SELL,0.41,1.13608,1.13632,1.13632,1.1356,24.0,9.84,-11.48,-1.1666666666666667
36,2019.01.24 02:50:00,2019.01.24 02:54:28,2019.01.24 02:45:00,BUY,0.29,1.13895,1.1386,1.13861,1.13963,34.0,9.86,-11.31,-1.147058823529412
38,2019.01.25 04:25:00,2019.01.25 04:39:26,2019.01.25 04:20:00,BUY,0.49,1.13113,1.13154,1.13093,1.13153,20.0,9.8,18.13,1.8499999999999999
40,2019.01.28 01:05:00,2019.01.28 03:05:00,2019.01.28 01:00:00,BUY,0.23,1.14119,1.14136,1.14077,1.14203,42.0,9.66,2.99,0.30952380952380953
42,2019.01.29 02:05:00,2019.01.29 02:21:15,2019.01.29 02:00:00,BUY,0.22,1.14327,1.14282,1.14283,1.14415,44.0,9.68,-10.780000000000001,-1.1136363636363638
44,2019.01.30 02:25:00,2019.01.30 02:30:14,2019.01.30 02:20:00,SELL,0.27,1.14316,1.14353,1.14353,1.14242,37.0,9.99,-11.07,-1.1081081081081081
46,2019.01.31 02:05:00,2019.01.31 04:05:00,2019.01.31 02:00:00,BUY,0.15,1.149,1.14923,1.14834,1.15032,66.0,9.9,2.85,0.2878787878787879
48,2019.02.01 02:15:00,2019.02.01 03:06:40,2019.02.01 02:10:00,BUY,0.31,1.14488,1.14453,1.14456,1.14552,32.0,9.92,-12.09,-1.21875
50,2019.02.04 01:05:00,2019.02.04 02:57:38,2019.02.04 01:00:00,BUY,0.17,1.14583,1.14525,1.14526,1.14697,57.0,9.69,-10.54,-1.087719298245614
52,2019.02.05 02:10:00,2019.02.05 02:12:05,2019.02.05 02:05:00,SELL,0.41,1.14337,1.14361,1.14361,1.14289,24.0,9.84,-11.48,-1.1666666666666667
54,2019.02.06 03:10:00,2019.02.06 03:10:24,2019.02.06 03:05:00,SELL,0.47,1.14043,1.14064,1.14064,1.14001,21.0,9.87,-11.75,-1.1904761904761905
56,2019.02.08 02:35:00,2019.02.08 02:55:34,2019.02.08 02:30:00,SELL,0.24,1.13355,1.13396,1.13396,1.13273,41.0,9.84,-10.8,-1.0975609756097562
