case_id,sample_rank,position_id,entry_time_utc,decision_time_utc,direction,direction_label,entry,sl,tp,exit_time_utc,exit,reason,label,net_account,net_R,volume,risk_points,initial_risk_account,hold_minutes,entry_year
R100_001_PID000000268,1,268,2020-12-23T04:05:00,2020-12-23T04:00:00,1,BUY,1.21768,1.21725,1.21854,2020-12-23T04:21:37,1.21723,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.27000000,-1.1395348837,0.23,43.0,9.89,16.6167,2020
R100_002_PID000000140,2,140,2020-03-10T03:15:00,2020-03-10T03:10:00,-1,SELL,1.13907,1.14004,1.13713,2020-03-10T03:41:37,1.14004,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.10000000,-1.0412371134,0.1,97.0,9.7,26.6167,2020
R100_003_PID000000010,3,10,2019-02-01T02:30:00,2019-02-01T02:25:00,1,BUY,1.14485,1.14455,1.14545,2019-02-01T03:06:40,1.14453,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.88000000,-1.2000000000,0.33,30.0,9.9,36.6667,2019
R100_004_PID000000304,4,304,2021-03-11T03:30:00,2021-03-11T03:25:00,-1,SELL,1.19218,1.19273,1.19108,2021-03-11T04:05:33,1.19273,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.62000000,-1.0727272727,0.18,55.0,9.9,35.5500,2021
R100_005_PID000000476,5,476,2022-07-01T03:55:00,2022-07-01T03:50:00,-1,SELL,1.04725,1.04785,1.04605,2022-07-01T05:55:00,1.04664,TIMEOUT_OR_OTHER,WIN_NET_POSITIVE,9.12000000,0.9500000000,0.16,60.0,9.6,120.0000,2022
R100_006_PID000000258,6,258,2020-12-09T03:10:00,2020-12-09T03:05:00,1,BUY,1.21107,1.21091,1.21139,2020-12-09T03:15:36,1.21091,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.40000000,-1.2500000000,0.62,16.0,9.92,5.6000,2020
R100_007_PID000000086,7,86,2019-09-09T02:30:00,2019-09-09T02:25:00,-1,SELL,1.1023,1.10248,1.10194,2019-09-09T03:48:25,1.10194,TP_LIKE,WIN_NET_POSITIVE,17.60000000,1.7777777778,0.55,18.0,9.9,78.4167,2019
R100_008_PID000000066,8,66,2019-08-12T01:15:00,2019-08-12T01:10:00,1,BUY,1.12031,1.11968,1.12157,2019-08-12T03:15:00,1.12063,TIMEOUT_OR_OTHER,WIN_NET_POSITIVE,4.20000000,0.4444444444,0.15,63.0,9.45,120.0000,2019
R100_009_PID000000032,9,32,2019-04-26T03:15:00,2019-04-26T03:10:00,-1,SELL,1.11332,1.11366,1.11264,2019-04-26T03:47:03,1.11264,TP_LIKE,WIN_NET_POSITIVE,18.56000000,1.8823529412,0.29,34.0,9.86,32.0500,2019
R100_010_PID000000480,10,480,2022-07-11T05:25:00,2022-07-11T05:20:00,-1,SELL,1.01456,1.01475,1.01418,2022-07-11T05:30:04,1.01477,SL_LIKE,LOSS_NET_NONPOSITIVE,-13.00000000,-1.3157894737,0.52,19.0,9.88,5.0667,2022
R100_011_PID000000160,11,160,2020-03-30T01:35:00,2020-03-30T01:30:00,-1,SELL,1.11106,1.11206,1.10906,2020-03-30T02:22:46,1.11206,SL_LIKE,LOSS_NET_NONPOSITIVE,-9.36000000,-1.0400000000,0.09,100.0,9.0,47.7667,2020
R100_012_PID000000500,12,500,2022-09-13T04:45:00,2022-09-13T04:40:00,-1,SELL,1.01315,1.01357,1.01231,2022-09-13T04:54:54,1.01357,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.58000000,-1.0952380952,0.23,42.0,9.66,9.9000,2022
R100_013_PID000000506,13,506,2022-09-29T03:25:00,2022-09-29T03:20:00,-1,SELL,0.97041,0.9707,0.96983,2022-09-29T03:31:38,0.9707,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.22000000,-1.1379310345,0.34,29.0,9.86,6.6333,2022
R100_014_PID000000350,14,350,2021-06-21T00:50:00,2021-06-21T00:45:00,1,BUY,1.18637,1.1859,1.18731,2021-06-21T01:07:59,1.18731,TP_LIKE,WIN_NET_POSITIVE,18.90000000,1.9148936170,0.21,47.0,9.87,17.9833,2021
R100_015_PID000000286,15,286,2021-02-01T01:35:00,2021-02-01T01:30:00,-1,SELL,1.2126,1.21322,1.21136,2021-02-01T03:00:36,1.21322,SL_LIKE,LOSS_NET_NONPOSITIVE,-10.56000000,-1.0645161290,0.16,62.0,9.92,85.6000,2021
R100_016_PID000000100,16,100,2019-11-05T02:30:00,2019-11-05T02:25:00,1,BUY,1.11292,1.11277,1.11322,2019-11-05T03:08:35,1.11277,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.54000000,-1.2666666667,0.66,15.0,9.9,38.5833,2019
R100_017_PID000000290,17,290,2021-02-04T02:25:00,2021-02-04T02:20:00,1,BUY,1.20421,1.20378,1.20507,2021-02-04T02:36:08,1.20377,SL_LIKE,LOSS_NET_NONPOSITIVE,-11.04000000,-1.1162790698,0.23,43.0,9.89,11.1333,2021
R100_018_PID000000242,18,242,2020-11-12T02:40:00,2020-11-12T02:35:00,-1,SELL,1.17766,1.17786,1.17726,2020-11-12T02:48:50,1.17787,SL_LIKE,LOSS_NET_NONPOSITIVE,-12.25000000,-1.2500000000,0.49,20.0,9.8,8.8333,2020
