hypothesis_id,plan_sha256,opportunity_id,split,decision_time_utc,access_rows_released,access_cumulative_visible_rows,access_max_visible_time_utc,access_causal_pass,prior_finalized_rows_immutable,valid_daily_closes_before,m252_direction,m252_label,m252_reason,m252_oldest_source_date,m252_latest_source_date,m6_direction,m6_label,m6_reason,m6_first_source_time_utc,m6_last_source_time_utc,atr20,atr20_reason,atr20_source_time_utc,base_eligible,base_exclusion_reason,alignment,control_m252_eligible,control_m6_eligible,challenger_stack_eligible,negative_disagree_eligible,challenger_rejection_reason,opportunity_snapshot_sha256
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-04,DESIGN,2016-01-04T12:00:00,6209,6209,2016-01-04T11:00:00,True,True,256,-1,SHORT,,2015-01-08,2015-12-30,1.0,LONG,,2016-01-04T06:00:00,2016-01-04T11:00:00,0.002073999999999987,,2016-01-04T11:00:00,True,,False,True,True,False,True,M252_M6_DISAGREE,459D34DE3FEA52472F166A1435A2740E5896A618E6A5C4406323B00B532D3C50
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-05,DESIGN,2016-01-05T12:00:00,24,6233,2016-01-05T11:00:00,True,True,257,-1,SHORT,,2015-01-09,2016-01-04,-1.0,SHORT,,2016-01-05T06:00:00,2016-01-05T11:00:00,0.0015705000000000636,,2016-01-05T11:00:00,True,,True,True,True,True,False,,0AEC04FBC8AAA261FF46843168573AE10A8AE4A269B9F197094C8941ED38F6D9
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-06,DESIGN,2016-01-06T12:00:00,24,6257,2016-01-06T11:00:00,True,True,258,-1,SHORT,,2015-01-12,2016-01-05,1.0,LONG,,2016-01-06T06:00:00,2016-01-06T11:00:00,0.0015434999999999865,,2016-01-06T11:00:00,True,,False,True,True,False,True,M252_M6_DISAGREE,C9CFE75D16BF285FF89BBAB7A249947FBB13A7290E4D791B24C2D17C5EF773AA
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-07,DESIGN,2016-01-07T12:00:00,24,6281,2016-01-07T11:00:00,True,True,259,-1,SHORT,,2015-01-13,2016-01-06,1.0,LONG,,2016-01-07T06:00:00,2016-01-07T11:00:00,0.0022470000000000103,,2016-01-07T11:00:00,True,,False,True,True,False,True,M252_M6_DISAGREE,862BE95D20B78A33B105CDBC91A24EE438807425509F53AD782260D8591B4722
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-08,DESIGN,2016-01-08T12:00:00,24,6305,2016-01-08T11:00:00,True,True,260,-1,SHORT,,2015-01-14,2016-01-07,-1.0,SHORT,,2016-01-08T06:00:00,2016-01-08T11:00:00,0.0022139999999999716,,2016-01-08T11:00:00,True,,True,True,True,True,False,,5E57CD4DA935E534019CEA959997362882B7266CC75E23B3B325F693B51F7DFA
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-09,DESIGN,2016-01-09T12:00:00,10,6315,2016-01-08T21:00:00,True,True,261,-1,SHORT,,2015-01-15,2016-01-08,,,MISSING_SIX_HOUR_BAR,,,,MISSING_ATR20_SOURCE_BAR,,False,MISSING_SIX_HOUR_BAR,,False,False,False,False,MISSING_SIX_HOUR_BAR,3D4F0DF10FFF59FA1E9263A3AEC7E8CDC612E8F5CE62E802C57BC3F6AE3A5DD6
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-10,DESIGN,2016-01-10T12:00:00,0,6315,2016-01-08T21:00:00,True,True,261,-1,SHORT,,2015-01-15,2016-01-08,,,MISSING_SIX_HOUR_BAR,,,,MISSING_ATR20_SOURCE_BAR,,False,MISSING_SIX_HOUR_BAR,,False,False,False,False,MISSING_SIX_HOUR_BAR,6040B546C75FA98FB3636A1B7E6297966A160C9BD38EE8893FC64985A1573800
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-11,DESIGN,2016-01-11T12:00:00,14,6329,2016-01-11T11:00:00,True,True,261,-1,SHORT,,2015-01-15,2016-01-08,-1.0,SHORT,,2016-01-11T06:00:00,2016-01-11T11:00:00,0.0020465000000000066,,2016-01-11T11:00:00,True,,True,True,True,True,False,,72005F42807B952D672F18922CA95236C194360294025773E5B664F1D5D41C4A
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-12,DESIGN,2016-01-12T12:00:00,24,6353,2016-01-12T11:00:00,True,True,262,-1,SHORT,,2015-01-16,2016-01-11,-1.0,SHORT,,2016-01-12T06:00:00,2016-01-12T11:00:00,0.002010500000000004,,2016-01-12T11:00:00,True,,True,True,True,True,False,,DA6E8C67DA0D2D0587EB59114BC47AA83B9C125C714A43FA10FD38FB82FD8890
HYP-TRENDSTACK-EURUSD-H1-001,891291042FB326EF67411A0763015B4E3E68654F59E4B323C2217F1E8015B6F0,2016-01-13,DESIGN,2016-01-13T12:00:00,24,6377,2016-01-13T11:00:00,True,True,263,-1,SHORT,,2015-01-19,2016-01-12,-1.0,SHORT,,2016-01-13T06:00:00,2016-01-13T11:00:00,0.0016284999999999661,,2016-01-13T11:00:00,True,,True,True,True,True,False,,F5D2AAB709861462DF528E39E9B92A61FCCEA7266E7F543A1E5C1C59488538EF
