event_id,decision_time_utc,direction,label_true_sweep_liquidity,label_true_displacement,label_true_mss_bos_close,label_valid_breaker,label_fvg_fresh_unfilled,label_micro_confirm_present,label_core_setup_accept,objective_core_ex_breaker,entry_readiness,primary_reject_reason,reviewer_id,reviewer_type,outcome_seen
XAUUSD_1704195000_1,2024-01-02T11:30:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1704805800_-1,2024-01-09T13:10:00Z,short,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1704807000_-1,2024-01-09T13:30:00Z,short,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1704975600_-1,2024-01-11T12:20:00Z,short,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1705567200_-1,2024-01-18T08:40:00Z,short,no,no,yes,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706182800_-1,2024-01-25T11:40:00Z,short,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706699400_1,2024-01-31T11:10:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706703300_1,2024-01-31T12:15:00Z,long,no,no,yes,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706707500_1,2024-01-31T13:25:00Z,long,no,no,no,no,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706794800_1,2024-02-01T13:40:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1706866500_1,2024-02-02T09:35:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1707310200_1,2024-02-07T12:50:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1707312600_1,2024-02-07T13:30:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1707317100_1,2024-02-07T14:45:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1707994800_-1,2024-02-15T11:00:00Z,short,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1707999000_-1,2024-02-15T12:10:00Z,short,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1708954800_1,2024-02-26T13:40:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709034300_1,2024-02-27T11:45:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709192400_1,2024-02-29T07:40:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709284500_1,2024-03-01T09:15:00Z,long,no,yes,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709305500_1,2024-03-01T15:05:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709626200_1,2024-03-05T08:10:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709630400_1,2024-03-05T09:20:00Z,long,no,no,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709645400_1,2024-03-05T13:30:00Z,long,no,yes,yes,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709816400_1,2024-03-07T13:00:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1709912400_1,2024-03-08T15:40:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1710231300_1,2024-03-12T08:15:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1710257100_1,2024-03-12T15:25:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1710412800_1,2024-03-14T10:40:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1710500400_1,2024-03-15T11:00:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1711377600_1,2024-03-25T14:40:00Z,long,ambiguous,yes,ambiguous,ambiguous,yes,no,ambiguous,no,ambiguous,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1711634700_1,2024-03-28T14:05:00Z,long,yes,yes,no,ambiguous,yes,no,no,no,reject,NO_MSS_CLOSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1711978500_1,2024-04-01T13:35:00Z,long,no,no,no,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1712220000_1,2024-04-04T08:40:00Z,long,yes,yes,no,ambiguous,yes,no,no,no,reject,NO_MSS_CLOSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1712243400_1,2024-04-04T15:10:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1712921700_1,2024-04-12T11:35:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1713269400_1,2024-04-16T12:10:00Z,long,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1713439800_1,2024-04-18T11:30:00Z,long,yes,yes,yes,ambiguous,yes,no,ambiguous,yes,ambiguous,BREAKER_INVALID_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1713445800_1,2024-04-18T13:10:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1713527700_1,2024-04-19T11:55:00Z,long,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1714731600_-1,2024-05-03T10:20:00Z,short,yes,no,no,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1714743000_-1,2024-05-03T13:30:00Z,short,ambiguous,no,ambiguous,ambiguous,yes,no,no,no,reject,SWEEP_FALSE_OR_AMBIGUOUS,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1715946000_1,2024-05-17T11:40:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1715953800_1,2024-05-17T13:50:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
XAUUSD_1715958300_1,2024-05-17T15:05:00Z,long,yes,no,yes,ambiguous,yes,no,no,no,reject,DISPLACEMENT_WEAK,CODEX_OBJECTIVE_PRECHECK_V1,AI_EXPLORATORY,False
