position_id,symbol,account_currency,round_turn_account_per_lot,source_kind
2,XAUUSD,USD,2.00000000,strategy_tester_simulation
4,XAUUSD,USD,2.00000000,strategy_tester_simulation
6,XAUUSD,USD,2.00000000,strategy_tester_simulation
8,XAUUSD,USD,1.80000000,strategy_tester_simulation
10,XAUUSD,USD,1.80000000,strategy_tester_simulation
12,XAUUSD,USD,1.80000000,strategy_tester_simulation
14,XAUUSD,USD,1.80000000,strategy_tester_simulation
16,XAUUSD,USD,1.80000000,strategy_tester_simulation
18,XAUUSD,USD,1.80000000,strategy_tester_simulation
20,XAUUSD,USD,1.80000000,strategy_tester_simulation
22,XAUUSD,USD,1.80000000,strategy_tester_simulation
24,XAUUSD,USD,1.80000000,strategy_tester_simulation
26,XAUUSD,USD,1.80000000,strategy_tester_simulation
28,XAUUSD,USD,1.80000000,strategy_tester_simulation
30,XAUUSD,USD,1.80000000,strategy_tester_simulation
32,XAUUSD,USD,1.80000000,strategy_tester_simulation
34,XAUUSD,USD,1.80000000,strategy_tester_simulation
36,XAUUSD,USD,1.80000000,strategy_tester_simulation
38,XAUUSD,USD,1.80000000,strategy_tester_simulation
40,XAUUSD,USD,1.80000000,strategy_tester_simulation
42,XAUUSD,USD,1.80000000,strategy_tester_simulation
44,XAUUSD,USD,1.80000000,strategy_tester_simulation
46,XAUUSD,USD,1.80000000,strategy_tester_simulation
48,XAUUSD,USD,1.80000000,strategy_tester_simulation
50,XAUUSD,USD,1.80000000,strategy_tester_simulation
52,XAUUSD,USD,1.80000000,strategy_tester_simulation
54,XAUUSD,USD,1.80000000,strategy_tester_simulation
56,XAUUSD,USD,2.00000000,strategy_tester_simulation
58,XAUUSD,USD,1.80000000,strategy_tester_simulation
60,XAUUSD,USD,1.80000000,strategy_tester_simulation
62,XAUUSD,USD,1.80000000,strategy_tester_simulation
64,XAUUSD,USD,1.80000000,strategy_tester_simulation
66,XAUUSD,USD,1.80000000,strategy_tester_simulation
68,XAUUSD,USD,1.80000000,strategy_tester_simulation
70,XAUUSD,USD,1.80000000,strategy_tester_simulation
72,XAUUSD,USD,1.80000000,strategy_tester_simulation
74,XAUUSD,USD,1.80000000,strategy_tester_simulation
76,XAUUSD,USD,1.80000000,strategy_tester_simulation
78,XAUUSD,USD,1.80000000,strategy_tester_simulation
80,XAUUSD,USD,1.80000000,strategy_tester_simulation
82,XAUUSD,USD,1.80000000,strategy_tester_simulation
84,XAUUSD,USD,1.80000000,strategy_tester_simulation
86,XAUUSD,USD,1.80000000,strategy_tester_simulation
88,XAUUSD,USD,1.80000000,strategy_tester_simulation
90,XAUUSD,USD,1.80000000,strategy_tester_simulation
92,XAUUSD,USD,1.80000000,strategy_tester_simulation
94,XAUUSD,USD,1.80000000,strategy_tester_simulation
96,XAUUSD,USD,1.80000000,strategy_tester_simulation
98,XAUUSD,USD,1.80000000,strategy_tester_simulation
100,XAUUSD,USD,1.80000000,strategy_tester_simulation
102,XAUUSD,USD,1.80000000,strategy_tester_simulation
104,XAUUSD,USD,1.80000000,strategy_tester_simulation
106,XAUUSD,USD,1.80000000,strategy_tester_simulation
108,XAUUSD,USD,1.80000000,strategy_tester_simulation
110,XAUUSD,USD,1.80000000,strategy_tester_simulation
112,XAUUSD,USD,1.80000000,strategy_tester_simulation
114,XAUUSD,USD,1.80000000,strategy_tester_simulation
116,XAUUSD,USD,1.80000000,strategy_tester_simulation
118,XAUUSD,USD,1.80000000,strategy_tester_simulation
120,XAUUSD,USD,1.80000000,strategy_tester_simulation
122,XAUUSD,USD,1.80000000,strategy_tester_simulation
124,XAUUSD,USD,1.80000000,strategy_tester_simulation
126,XAUUSD,USD,1.80000000,strategy_tester_simulation
128,XAUUSD,USD,1.80000000,strategy_tester_simulation
130,XAUUSD,USD,1.80000000,strategy_tester_simulation
132,XAUUSD,USD,1.80000000,strategy_tester_simulation
134,XAUUSD,USD,1.80000000,strategy_tester_simulation
136,XAUUSD,USD,1.80000000,strategy_tester_simulation
138,XAUUSD,USD,1.80000000,strategy_tester_simulation
140,XAUUSD,USD,1.80000000,strategy_tester_simulation
142,XAUUSD,USD,1.80000000,strategy_tester_simulation
144,XAUUSD,USD,1.80000000,strategy_tester_simulation
146,XAUUSD,USD,1.80000000,strategy_tester_simulation
148,XAUUSD,USD,1.80000000,strategy_tester_simulation
150,XAUUSD,USD,1.80000000,strategy_tester_simulation
152,XAUUSD,USD,1.80000000,strategy_tester_simulation
154,XAUUSD,USD,1.80000000,strategy_tester_simulation
156,XAUUSD,USD,1.80000000,strategy_tester_simulation
158,XAUUSD,USD,1.80000000,strategy_tester_simulation
160,XAUUSD,USD,1.80000000,strategy_tester_simulation
162,XAUUSD,USD,1.80000000,strategy_tester_simulation
164,XAUUSD,USD,1.80000000,strategy_tester_simulation
166,XAUUSD,USD,1.80000000,strategy_tester_simulation
168,XAUUSD,USD,1.80000000,strategy_tester_simulation
170,XAUUSD,USD,1.80000000,strategy_tester_simulation
172,XAUUSD,USD,1.80000000,strategy_tester_simulation
174,XAUUSD,USD,1.80000000,strategy_tester_simulation
176,XAUUSD,USD,2.00000000,strategy_tester_simulation
178,XAUUSD,USD,2.00000000,strategy_tester_simulation
180,XAUUSD,USD,2.00000000,strategy_tester_simulation
182,XAUUSD,USD,2.00000000,strategy_tester_simulation
184,XAUUSD,USD,2.00000000,strategy_tester_simulation
186,XAUUSD,USD,2.00000000,strategy_tester_simulation
188,XAUUSD,USD,2.00000000,strategy_tester_simulation
190,XAUUSD,USD,2.00000000,strategy_tester_simulation
192,XAUUSD,USD,2.00000000,strategy_tester_simulation
194,XAUUSD,USD,1.80000000,strategy_tester_simulation
196,XAUUSD,USD,1.80000000,strategy_tester_simulation
198,XAUUSD,USD,1.80000000,strategy_tester_simulation
200,XAUUSD,USD,1.80000000,strategy_tester_simulation
202,XAUUSD,USD,1.80000000,strategy_tester_simulation
204,XAUUSD,USD,1.80000000,strategy_tester_simulation
206,XAUUSD,USD,1.80000000,strategy_tester_simulation
208,XAUUSD,USD,1.80000000,strategy_tester_simulation
210,XAUUSD,USD,1.80000000,strategy_tester_simulation
212,XAUUSD,USD,1.80000000,strategy_tester_simulation
214,XAUUSD,USD,1.80000000,strategy_tester_simulation
216,XAUUSD,USD,1.80000000,strategy_tester_simulation
218,XAUUSD,USD,1.80000000,strategy_tester_simulation
220,XAUUSD,USD,1.80000000,strategy_tester_simulation
222,XAUUSD,USD,1.80000000,strategy_tester_simulation
224,XAUUSD,USD,1.80000000,strategy_tester_simulation
226,XAUUSD,USD,1.80000000,strategy_tester_simulation
228,XAUUSD,USD,1.80000000,strategy_tester_simulation
230,XAUUSD,USD,1.80000000,strategy_tester_simulation
232,XAUUSD,USD,1.80000000,strategy_tester_simulation
234,XAUUSD,USD,1.80000000,strategy_tester_simulation
236,XAUUSD,USD,1.80000000,strategy_tester_simulation
238,XAUUSD,USD,1.80000000,strategy_tester_simulation
240,XAUUSD,USD,1.80000000,strategy_tester_simulation
242,XAUUSD,USD,1.80000000,strategy_tester_simulation
244,XAUUSD,USD,1.80000000,strategy_tester_simulation
246,XAUUSD,USD,1.80000000,strategy_tester_simulation
248,XAUUSD,USD,1.60000000,strategy_tester_simulation
250,XAUUSD,USD,1.60000000,strategy_tester_simulation
252,XAUUSD,USD,1.60000000,strategy_tester_simulation
254,XAUUSD,USD,1.60000000,strategy_tester_simulation
256,XAUUSD,USD,1.60000000,strategy_tester_simulation
258,XAUUSD,USD,1.60000000,strategy_tester_simulation
260,XAUUSD,USD,1.60000000,strategy_tester_simulation
262,XAUUSD,USD,1.60000000,strategy_tester_simulation
264,XAUUSD,USD,1.60000000,strategy_tester_simulation
266,XAUUSD,USD,1.80000000,strategy_tester_simulation
268,XAUUSD,USD,1.80000000,strategy_tester_simulation
270,XAUUSD,USD,1.80000000,strategy_tester_simulation
272,XAUUSD,USD,1.80000000,strategy_tester_simulation
274,XAUUSD,USD,1.80000000,strategy_tester_simulation
276,XAUUSD,USD,1.75000000,strategy_tester_simulation
278,XAUUSD,USD,1.80000000,strategy_tester_simulation
280,XAUUSD,USD,1.80000000,strategy_tester_simulation
282,XAUUSD,USD,1.80000000,strategy_tester_simulation
284,XAUUSD,USD,2.00000000,strategy_tester_simulation
286,XAUUSD,USD,2.00000000,strategy_tester_simulation
288,XAUUSD,USD,2.00000000,strategy_tester_simulation
290,XAUUSD,USD,2.00000000,strategy_tester_simulation
292,XAUUSD,USD,2.00000000,strategy_tester_simulation
294,XAUUSD,USD,2.00000000,strategy_tester_simulation
296,XAUUSD,USD,1.75000000,strategy_tester_simulation
298,XAUUSD,USD,1.80000000,strategy_tester_simulation
300,XAUUSD,USD,1.80000000,strategy_tester_simulation
302,XAUUSD,USD,1.80000000,strategy_tester_simulation
