available_at,obs_date,slope,z,abs_z_gate
2018-03-02,2018-03-01,0.35000000,-0.21366307,0.75
2018-03-03,2018-03-02,0.36000000,-0.09561886,0.75
2018-03-06,2018-03-05,0.36000000,-0.09446340,0.75
2018-03-07,2018-03-06,0.31000000,-0.68364297,0.75
2018-03-08,2018-03-07,0.31000000,-0.67226866,0.75
2018-03-09,2018-03-08,0.32000000,-0.54190579,0.75
2018-03-10,2018-03-09,0.32000000,-0.53428044,0.75
2018-03-13,2018-03-12,0.31000000,-0.64837754,0.75
2018-03-14,2018-03-13,0.27000000,-1.12743818,0.75
2018-03-15,2018-03-14,0.22000000,-1.71095584,0.75
2018-03-16,2018-03-15,0.24000000,-1.40697238,0.75
2018-03-17,2018-03-16,0.24000000,-1.36683583,0.75
2018-03-20,2018-03-19,0.29000000,-0.74187642,0.75
2018-03-21,2018-03-20,0.21000000,-1.67608467,0.75
2018-03-22,2018-03-21,0.24000000,-1.27016018,0.75
2018-03-23,2018-03-22,0.27000000,-0.89357916,0.75
2018-03-24,2018-03-23,0.23000000,-1.34277044,0.75
2018-03-27,2018-03-26,0.24000000,-1.19528903,0.75
2018-03-28,2018-03-27,0.24000000,-1.17060989,0.75
2018-03-29,2018-03-28,0.31000000,-0.34693310,0.75
2018-03-30,2018-03-29,0.30000000,-0.45888707,0.75
2018-04-03,2018-04-02,0.25000000,-1.02970539,0.75
2018-04-04,2018-04-03,0.22000000,-1.35572082,0.75
2018-04-05,2018-04-04,0.22000000,-1.31517385,0.75
2018-04-06,2018-04-05,0.26000000,-0.83458579,0.75
2018-04-07,2018-04-06,0.23000000,-1.15026021,0.75
2018-04-10,2018-04-09,0.27000000,-0.68279511,0.75
2018-04-11,2018-04-10,0.30000000,-0.35282993,0.75
2018-04-12,2018-04-11,0.32000000,-0.14043918,0.75
2018-04-13,2018-04-12,0.30000000,-0.36539205,0.75
2018-04-14,2018-04-13,0.34000000,0.07486303,0.75
2018-04-17,2018-04-16,0.37000000,0.40168999,0.75
2018-04-18,2018-04-17,0.34000000,0.07116374,0.75
2018-04-19,2018-04-18,0.35000000,0.18251336,0.75
2018-04-20,2018-04-19,0.35000000,0.19456781,0.75
2018-04-21,2018-04-20,0.37000000,0.42118152,0.75
2018-04-24,2018-04-23,0.38000000,0.53626638,0.75
2018-04-25,2018-04-24,0.35000000,0.21539768,0.75
2018-04-26,2018-04-25,0.39000000,0.67638625,0.75
2018-04-27,2018-04-26,0.41000000,0.90702252,0.75
2018-04-28,2018-04-27,0.42000000,0.99397982,0.75
2018-05-01,2018-04-30,0.42000000,0.96140415,0.75
2018-05-02,2018-05-01,0.37000000,0.35467241,0.75
2018-05-03,2018-05-02,0.34000000,-0.01352847,0.75
2018-05-04,2018-05-03,0.35000000,0.09304423,0.75
2018-05-05,2018-05-04,0.38000000,0.42404167,0.75
2018-05-08,2018-05-07,0.39000000,0.54001917,0.75
2018-05-09,2018-05-08,0.36000000,0.18969813,0.75
2018-05-10,2018-05-09,0.37000000,0.32222874,0.75
2018-05-11,2018-05-10,0.38000000,0.47756693,0.75
2018-05-12,2018-05-11,0.41000000,0.87530771,0.75
2018-05-15,2018-05-14,0.43000000,1.16788882,0.75
2018-05-16,2018-05-15,0.40000000,0.83314010,0.75
2018-05-17,2018-05-16,0.40000000,0.87198662,0.75
2018-05-18,2018-05-17,0.41000000,1.05253318,0.75
2018-05-19,2018-05-18,0.43000000,1.35623227,0.75
2018-05-22,2018-05-21,0.47000000,1.99652078,0.75
2018-05-23,2018-05-22,0.40000000,0.98871777,0.75
2018-05-24,2018-05-23,0.35000000,0.29697823,0.75
2018-05-25,2018-05-24,0.36000000,0.45874205,0.75
2018-05-26,2018-05-25,0.39000000,0.91748411,0.75
2018-05-30,2018-05-29,0.29000000,-0.61804047,0.75
2018-05-31,2018-05-30,0.31000000,-0.29595036,0.75
2018-06-01,2018-05-31,0.32000000,-0.13168313,0.75
2018-06-02,2018-06-01,0.37000000,0.62582607,0.75
2018-06-05,2018-06-04,0.38000000,0.76077322,0.75
2018-06-06,2018-06-05,0.31000000,-0.31451642,0.75
2018-06-07,2018-06-06,0.32000000,-0.16093615,0.75
2018-06-08,2018-06-07,0.34000000,0.13838722,0.75
2018-06-09,2018-06-08,0.34000000,0.12163169,0.75
2018-06-12,2018-06-11,0.30000000,-0.53008654,0.75
2018-06-13,2018-06-12,0.29000000,-0.71285032,0.75
2018-06-14,2018-06-13,0.27000000,-1.05857805,0.75
2018-06-15,2018-06-14,0.26000000,-1.20823200,0.75
2018-06-16,2018-06-15,0.25000000,-1.41235147,0.75
2018-06-19,2018-06-18,0.30000000,-0.59956362,0.75
2018-06-20,2018-06-19,0.28000000,-0.94291116,0.75
2018-06-21,2018-06-20,0.29000000,-0.80657764,0.75
2018-06-22,2018-06-21,0.27000000,-1.17850976,0.75
2018-06-23,2018-06-22,0.28000000,-1.02825146,0.75
2018-06-26,2018-06-25,0.34000000,0.02301970,0.75
2018-06-27,2018-06-26,0.35000000,0.18485687,0.75
2018-06-28,2018-06-27,0.31000000,-0.54837918,0.75
2018-06-29,2018-06-28,0.35000000,0.13772678,0.75
2018-06-30,2018-06-29,0.35000000,0.10242111,0.75
2018-07-03,2018-07-02,0.24000000,-2.08599222,0.75
2018-07-04,2018-07-03,0.21000000,-2.69809816,0.75
2018-07-06,2018-07-05,0.24000000,-2.00321234,0.75
2018-07-07,2018-07-06,0.27000000,-1.37688427,0.75
2018-07-10,2018-07-09,0.29000000,-0.97741013,0.75
2018-07-11,2018-07-10,0.27000000,-1.33615833,0.75
2018-07-12,2018-07-11,0.25000000,-1.65528062,0.75
2018-07-13,2018-07-12,0.27000000,-1.23557143,0.75
2018-07-14,2018-07-13,0.28000000,-1.02617749,0.75
2018-07-17,2018-07-16,0.30000000,-0.65265733,0.75
2018-07-18,2018-07-17,0.26000000,-1.32424438,0.75
2018-07-19,2018-07-18,0.27000000,-1.10813794,0.75
2018-07-20,2018-07-19,0.26000000,-1.24093916,0.75
2018-07-21,2018-07-20,0.30000000,-0.53240948,0.75
2018-07-24,2018-07-23,0.32000000,-0.17384210,0.75
2018-07-25,2018-07-24,0.27000000,-1.00500486,0.75
2018-07-26,2018-07-25,0.29000000,-0.62869388,0.75
2018-07-27,2018-07-26,0.29000000,-0.60295422,0.75
2018-07-28,2018-07-27,0.29000000,-0.58099457,0.75
2018-07-31,2018-07-30,0.31000000,-0.21193344,0.75
2018-08-01,2018-07-31,0.27000000,-0.90817927,0.75
2018-08-02,2018-08-01,0.28000000,-0.70067150,0.75
2018-08-03,2018-08-02,0.32000000,0.04178751,0.75
2018-08-04,2018-08-03,0.32000000,0.05398910,0.75
2018-08-07,2018-08-06,0.32000000,0.06952131,0.75
2018-08-08,2018-08-07,0.27000000,-0.82855248,0.75
2018-08-09,2018-08-08,0.30000000,-0.24037747,0.75
2018-08-10,2018-08-09,0.35000000,0.76850544,0.75
2018-08-11,2018-08-10,0.31000000,0.00332560,0.75
2018-08-14,2018-08-13,0.30000000,-0.17103641,0.75
2018-08-15,2018-08-14,0.29000000,-0.35182783,0.75
2018-08-16,2018-08-15,0.26000000,-1.00164163,0.75
2018-08-17,2018-08-16,0.28000000,-0.53250772,0.75
2018-08-18,2018-08-17,0.28000000,-0.50900678,0.75
2018-08-21,2018-08-20,0.34000000,1.17628986,0.75
2018-08-22,2018-08-21,0.31000000,0.36006870,0.75
2018-08-23,2018-08-22,0.28000000,-0.47150612,0.75
2018-08-24,2018-08-23,0.29000000,-0.16848208,0.75
2018-08-25,2018-08-24,0.30000000,0.13893429,0.75
2018-08-28,2018-08-27,0.32000000,0.74757432,0.75
2018-08-29,2018-08-28,0.32000000,0.80325977,0.75
2018-08-30,2018-08-29,0.32000000,0.88388188,0.75
2018-08-31,2018-08-30,0.32000000,0.87495728,0.75
2018-09-01,2018-08-31,0.34000000,1.53117524,0.75
2018-09-05,2018-09-04,0.30000000,0.21873932,0.75
2018-09-06,2018-09-05,0.31000000,0.58007397,0.75
2018-09-07,2018-09-06,0.33000000,1.24097810,0.75
2018-09-08,2018-09-07,0.33000000,1.20375105,0.75
2018-09-11,2018-09-10,0.37000000,2.47385904,0.75
2018-09-12,2018-09-11,0.30000000,0.11576382,0.75
2018-09-13,2018-09-12,0.32000000,0.73428105,0.75
2018-09-14,2018-09-13,0.33000000,1.04061067,0.75
2018-09-15,2018-09-14,0.32000000,0.68957997,0.75
2018-09-18,2018-09-17,0.36000000,1.94044136,0.75
2018-09-19,2018-09-18,0.32000000,0.60987002,0.75
2018-09-20,2018-09-19,0.33000000,0.89968447,0.75
2018-09-21,2018-09-20,0.35000000,1.53373561,0.75
2018-09-22,2018-09-21,0.34000000,1.22178938,0.75
2018-09-25,2018-09-24,0.34000000,1.19239631,0.75
2018-09-26,2018-09-25,0.26000000,-1.27838640,0.75
2018-09-27,2018-09-26,0.26000000,-1.24005436,0.75
2018-09-28,2018-09-27,0.27000000,-0.95346259,0.75
2018-09-29,2018-09-28,0.24000000,-2.06928327,0.75
2018-10-02,2018-10-01,0.28000000,-0.71237621,0.75
2018-10-03,2018-10-02,0.27000000,-1.06258576,0.75
2018-10-04,2018-10-03,0.26000000,-1.38096673,0.75
2018-10-05,2018-10-04,0.26000000,-1.36605208,0.75
2018-10-06,2018-10-05,0.26000000,-1.38360678,0.75
2018-10-10,2018-10-09,0.29000000,-0.35898450,0.75
2018-10-11,2018-10-10,0.28000000,-0.70323558,0.75
2018-10-12,2018-10-11,0.31000000,0.31938412,0.75
2018-10-13,2018-10-12,0.31000000,0.29583681,0.75
2018-10-16,2018-10-15,0.32000000,0.62007554,0.75
2018-10-17,2018-10-16,0.27000000,-1.15405310,0.75
2018-10-18,2018-10-17,0.27000000,-1.12442837,0.75
2018-10-19,2018-10-18,0.28000000,-0.74437783,0.75
2018-10-20,2018-10-19,0.30000000,-0.06331991,0.75
2018-10-23,2018-10-22,0.32000000,0.62254302,0.75
2018-10-24,2018-10-23,0.27000000,-1.12219181,0.75
2018-10-25,2018-10-24,0.27000000,-1.10095347,0.75
2018-10-26,2018-10-25,0.28000000,-0.72916276,0.75
2018-10-27,2018-10-26,0.31000000,0.28407257,0.75
2018-10-30,2018-10-29,0.32000000,0.61037316,0.75
2018-10-31,2018-10-30,0.28000000,-0.75868814,0.75
2018-11-01,2018-10-31,0.30000000,-0.05126645,0.75
2018-11-02,2018-11-01,0.29000000,-0.38294468,0.75
2018-11-03,2018-11-02,0.32000000,0.63980399,0.75
2018-11-06,2018-11-05,0.34000000,1.31559234,0.75
2018-11-07,2018-11-06,0.30000000,-0.05794789,0.75
2018-11-08,2018-11-07,0.30000000,-0.05218904,0.75
2018-11-09,2018-11-08,0.33000000,0.99159181,0.75
2018-11-10,2018-11-09,0.33000000,0.96207670,0.75
2018-11-14,2018-11-13,0.31000000,0.23296799,0.75
2018-11-15,2018-11-14,0.31000000,0.21663372,0.75
2018-11-16,2018-11-15,0.35000000,1.61332855,0.75
2018-11-17,2018-11-16,0.32000000,0.54302461,0.75
2018-11-20,2018-11-19,0.34000000,1.23523326,0.75
2018-11-21,2018-11-20,0.30000000,-0.19694349,0.75
2018-11-22,2018-11-21,0.30000000,-0.20317613,0.75
2018-11-24,2018-11-23,0.30000000,-0.20317613,0.75
2018-11-27,2018-11-26,0.36000000,1.90158064,0.75
2018-11-28,2018-11-27,0.23000000,-2.58679706,0.75
2018-11-29,2018-11-28,0.23000000,-2.41209076,0.75
2018-11-30,2018-11-29,0.22000000,-2.57274606,0.75
2018-12-01,2018-11-30,0.22000000,-2.41068432,0.75
2018-12-04,2018-12-03,0.29000000,-0.27906355,0.75
2018-12-05,2018-12-04,0.21000000,-2.54017858,0.75
2018-12-07,2018-12-06,0.20000000,-2.64830625,0.75
2018-12-08,2018-12-07,0.22000000,-1.95059662,0.75
2018-12-11,2018-12-10,0.23000000,-1.62944112,0.75
2018-12-12,2018-12-11,0.29000000,-0.04232579,0.75
2018-12-13,2018-12-12,0.28000000,-0.28483316,0.75
2018-12-14,2018-12-13,0.20000000,-2.32218428,0.75
2018-12-15,2018-12-14,0.20000000,-2.18754411,0.75
2018-12-18,2018-12-17,0.19000000,-2.34248643,0.75
2018-12-19,2018-12-18,0.20000000,-1.97025861,0.75
2018-12-20,2018-12-19,0.20000000,-1.88004052,0.75
2018-12-21,2018-12-20,0.13000000,-3.41719469,0.75
2018-12-22,2018-12-21,0.13000000,-3.10448090,0.75
2018-12-25,2018-12-24,0.11000000,-3.26178858,0.75
