event_time_entry,action,order_type,volume,price_entry,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,event_time_exit,price_exit,net_usd,server_time,utc_time,variant,regime,event,status,adx,atr,rsi,session_vwap,session_sd,shadow_vwap,shadow_sd,session_anchor_utc,avwap_anchor_server,avwap_confirmed_server,anchored_vwap,m15_close,m15_vwap,entry,stop,target,estimated_cost_pips,spread_pips,direction,entry_time_server,entry_time_utc,exit_time_server,exit_time_utc,entry_price,exit_price,stop_price,target_price,net_R,outcome,hold_minutes,regime_label,session_phase,risk_bucket,atr_bucket,exit_class,case_id,stratum,context_reason
2020-03-16 14:40:00,OPEN,SELL,0.75,1.11676,EURUSD,88,309.0,243.0,88,0.0,-3.0,0.0,0.0,-3.0,0,2020-03-16 15:32:40,1.11119,414.75,2020-03-16 14:40:00,2020-03-16 11:40:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,20.165904,0.00142,43.780673,1.11873,0.00212,1.11857,0.00204,2020.03.16 08:00:00,2020.03.16 13:30:00,2020.03.16 13:45:00,1.11826,1.11822,1.11882,1.11676,1.11985,1.1112,1.6,0.1,-1,2020-03-16 14:40:00,2020-03-16 11:40:00,2020-03-16 15:32:40,2020-03-16 12:32:40,1.11676,1.11119,1.11985,1.1112,1.7067901234567902,WIN,52.666666666666664,TREND,LONDON_EARLY,HIGH,HIGH,TARGET_LEVEL,VRAS-003-C01-P88,winner_tail,Maximum net_R winner in the 93-position population
2020-03-12 14:30:00,OPEN,SELL,0.57,1.12129,EURUSD,86,414.0,244.53,86,0.0,-2.28,0.0,0.0,-2.28,0,2020-03-12 14:45:31,1.12548,-241.11,2020-03-12 14:30:00,2020-03-12 11:30:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,26.306928,0.00129,37.46393,1.12384,0.00143,1.12397,0.00155,2020.03.12 08:00:00,2020.03.12 14:05:00,2020.03.12 14:20:00,1.12329,1.12138,1.12382,1.12129,1.12543,1.11384,1.9,0.4,-1,2020-03-12 14:30:00,2020-03-12 11:30:00,2020-03-12 14:45:31,2020-03-12 11:45:31,1.12129,1.12548,1.12543,1.11384,-0.986013986013986,LOSS,15.516666666666667,TREND,LONDON_EARLY,HIGH,HIGH,NON_LEVEL_FINAL_CLOSE,VRAS-003-C02-P86,loser_tail,Minimum net_R loser in the 93-position population
2020-05-27 21:10:00,OPEN,BUY,2.53,1.09922,EURUSD,176,79.0,237.82,176,0.0,-10.12,0.0,0.0,-10.12,0,2020-05-27 22:50:00,1.10022,242.88,2020-05-27 21:10:00,2020-05-27 18:10:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,31.232886,0.00043,63.250358,1.09907,0.0022,1.09888,0.0022,2020.05.27 07:00:00,2020.05.27 20:35:00,2020.05.27 20:50:00,1.09891,1.09914,1.09911,1.09922,1.09843,1.10064,1.6,0.1,1,2020-05-27 21:10:00,2020-05-27 18:10:00,2020-05-27 22:50:00,2020-05-27 19:50:00,1.09922,1.10022,1.09843,1.10064,1.0212765957446808,WIN,100.0,TREND,NY_LATE,LOW,LOW,NON_LEVEL_FINAL_CLOSE,VRAS-003-C03-P176,winner_median,Positive-net position closest to the remaining winner median net_R
2019-07-24 15:15:00,OPEN,SELL,2.57,1.11398,EURUSD,14,82.0,249.29,14,0.0,-10.28,0.0,0.0,-10.28,0,2019-07-24 16:19:34,1.11481,-223.59,2019-07-24 15:15:00,2019-07-24 12:15:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,28.152138,0.00031,40.485536,1.11416,0.00056,1.11424,0.00052,2019.07.24 07:00:00,2019.07.24 14:35:00,2019.07.24 14:50:00,1.11438,1.11398,1.11416,1.11398,1.1148,1.1125,1.8,0.3,-1,2019-07-24 15:15:00,2019-07-24 12:15:00,2019-07-24 16:19:34,2019-07-24 13:19:34,1.11398,1.11481,1.1148,1.1125,-0.8969072164948454,LOSS,64.56666666666666,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL,VRAS-003-C04-P14,loser_median,Negative-net position closest to the remaining loser median net_R
2020-02-04 17:45:00,OPEN,BUY,4.28,1.10363,EURUSD,60,43.0,248.24,60,0.0,-17.12,0.0,0.0,-17.12,0,2020-02-04 19:25:00,1.10393,111.28,2020-02-04 17:45:00,2020-02-04 15:45:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,27.096646,0.00033,31.116989,1.10504,0.0006,1.10506,0.00055,2020.02.04 08:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.10363,1.1032,1.10504,1.7,0.2,1,2020-02-04 17:45:00,2020-02-04 15:45:00,2020-02-04 19:25:00,2020-02-04 17:25:00,1.10363,1.10393,1.1032,1.10504,0.4482758620689655,WIN,100.0,RANGE,LONDON_NY_OVERLAP,LOW,LOW,NON_LEVEL_FINAL_CLOSE,VRAS-003-C05-P60,range_winner,Best net_R within the minority RANGE winner population
2020-01-23 16:25:00,OPEN,BUY,1.63,1.10702,EURUSD,58,137.0,247.76,58,0.0,-6.52,0.0,0.0,-6.52,0,2020-01-23 17:19:24,1.10565,-229.83,2020-01-23 16:25:00,2020-01-23 14:25:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,24.691751,0.00093,34.274621,1.10864,0.00072,1.10873,0.0005,2020.01.23 08:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.10702,1.10565,1.10864,1.6,0.1,1,2020-01-23 16:25:00,2020-01-23 14:25:00,2020-01-23 17:19:24,2020-01-23 15:19:24,1.10702,1.10565,1.10565,1.10864,-0.9276315789473685,LOSS,54.4,RANGE,LONDON_NY_OVERLAP,HIGH,HIGH,STOP_LEVEL,VRAS-003-C06-P58,range_loser,Worst net_R within the minority RANGE loser population
2020-03-04 18:15:00,OPEN,SELL,2.5,1.11342,EURUSD,74,83.0,245.0,74,0.0,-10.0,0.0,0.0,-10.0,0,2020-03-04 19:55:00,1.11207,327.5,2020-03-04 18:15:00,2020-03-04 16:15:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,29.914431,0.00087,58.330232,1.11382,0.00218,1.11398,0.00206,2020.03.04 08:00:00,2020.03.04 18:00:00,2020.03.04 18:15:00,1.1138,1.11342,1.11383,1.11342,1.11425,1.11193,1.8,0.3,-1,2020-03-04 18:15:00,2020-03-04 16:15:00,2020-03-04 19:55:00,2020-03-04 17:55:00,1.11342,1.11207,1.11425,1.11193,1.336734693877551,WIN,100.0,TREND,NY_LATE,LOW,HIGH,NON_LEVEL_FINAL_CLOSE,VRAS-003-C07-P74,seeded_random_winner,Uniform winner draw with frozen seed 5600722
2020-04-08 18:25:00,OPEN,BUY,2.18,1.08738,EURUSD,124,96.0,241.98,124,0.0,-8.72,0.0,0.0,-8.72,0,2020-04-08 18:51:23,1.08642,-218.0,2020-04-08 18:25:00,2020-04-08 15:25:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,20.659747,0.00067,49.010864,1.08684,0.001,1.08686,0.001,2020.04.08 07:00:00,2020.04.08 17:55:00,2020.04.08 18:10:00,1.08649,1.08696,1.08682,1.08738,1.08642,1.08911,1.7,0.2,1,2020-04-08 18:25:00,2020-04-08 15:25:00,2020-04-08 18:51:23,2020-04-08 15:51:23,1.08738,1.08642,1.08642,1.08911,-0.9009009009009009,LOSS,26.383333333333333,TREND,NY_LATE,MID,MID,STOP_LEVEL,VRAS-003-C08-P124,seeded_random_loser,Uniform loser draw with frozen seed 5600722
2020-05-01 11:20:00,OPEN,BUY,1.95,1.09667,EURUSD,144,107.0,237.9,144,0.0,-7.8,0.0,0.0,-7.8,0,2020-05-01 12:29:16,1.0986,368.55,2020-05-01 11:20:00,2020-05-01 08:20:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,26.029065,0.00062,62.790967,1.09598,0.00047,1.09594,0.00047,2020.05.01 07:00:00,2020.05.01 10:30:00,2020.05.01 10:45:00,1.09595,1.09643,1.09598,1.09667,1.0956,1.0986,1.6,0.1,1,2020-05-01 11:20:00,2020-05-01 08:20:00,2020-05-01 12:29:16,2020-05-01 09:29:16,1.09667,1.0986,1.0956,1.0986,1.5491803278688525,WIN,69.26666666666667,TREND,LONDON_EARLY,MID,MID,TARGET_LEVEL,VRAS-003-C09-P144,matched_trend_winner,"Minimum-distance TREND pair over direction, session phase, risk bucket, ATR bucket/value and nearby date; match_score=0.091349"
2020-04-21 12:30:00,OPEN,BUY,2.08,1.08407,EURUSD,132,101.0,241.28,132,0.0,-8.32,0.0,0.0,-8.32,0,2020-04-21 12:58:38,1.08306,-218.4,2020-04-21 12:30:00,2020-04-21 09:30:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,27.015283,0.00058,56.774855,1.08347,0.00054,1.08343,0.00056,2020.04.21 07:00:00,2020.04.21 11:00:00,2020.04.21 11:15:00,1.08339,1.08406,1.08348,1.08407,1.08306,1.08589,1.6,0.1,1,2020-04-21 12:30:00,2020-04-21 09:30:00,2020-04-21 12:58:38,2020-04-21 09:58:38,1.08407,1.08306,1.08306,1.08589,-0.9051724137931034,LOSS,28.633333333333333,TREND,LONDON_EARLY,MID,MID,STOP_LEVEL,VRAS-003-C10-P132,matched_trend_loser,"Minimum-distance TREND pair over direction, session phase, risk bucket, ATR bucket/value and nearby date; match_score=0.091349"
