event_time_entry,action,order_type,volume,price_entry,symbol,position_id,risk_pts,initial_risk_account,deal,deal_profit,deal_commission,deal_swap,deal_fee,deal_net,is_final_close,event_time_exit,price_exit,net_usd,server_time,utc_time,variant,regime,event,status,adx,atr,rsi,session_vwap,session_sd,shadow_vwap,shadow_sd,session_anchor_utc,avwap_anchor_server,avwap_confirmed_server,anchored_vwap,m15_close,m15_vwap,entry,stop,target,estimated_cost_pips,spread_pips,direction,entry_time_server,entry_time_utc,exit_time_server,exit_time_utc,entry_price,exit_price,stop_price,target_price,net_R,outcome,hold_minutes,regime_label,session_phase,risk_bucket,atr_bucket,exit_class
2019-01-03 12:35:00,OPEN,SELL,1.82,1.13635,EURUSD,2,122.0,249.34,2,0.0,-7.28,0.0,0.0,-7.28,0,2019-01-03 13:52:40,1.13415,393.12,2019-01-03 12:35:00,2019-01-03 10:35:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,26.261379,0.00054,38.216587,1.13727,0.00066,1.13738,0.0006,2019.01.03 08:00:00,2019.01.03 11:40:00,2019.01.03 11:55:00,1.1373,1.13705,1.13734,1.13635,1.13757,1.13415,2.3,0.8,-1,2019-01-03 12:35:00,2019-01-03 10:35:00,2019-01-03 13:52:40,2019-01-03 11:52:40,1.13635,1.13415,1.13757,1.13415,1.5766423357664234,WIN,77.66666666666667,TREND,LONDON_EARLY,HIGH,MID,TARGET_LEVEL
2019-02-11 16:30:00,OPEN,BUY,3.06,1.12872,EURUSD,4,67.0,250.92,4,0.0,-12.24,0.0,0.0,-12.24,0,2019-02-11 17:35:37,1.12805,-217.26000000000002,2019-02-11 16:30:00,2019-02-11 14:30:00,PRIMARY_TICK_LONDON,0,RANGE_LONG,ORDER_ACCEPTED,26.430133,0.00052,27.271053,1.1308,0.00078,1.13087,0.00064,2019.02.11 08:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.12872,1.12805,1.1308,2.3,0.8,1,2019-02-11 16:30:00,2019-02-11 14:30:00,2019-02-11 17:35:37,2019-02-11 15:35:37,1.12872,1.12805,1.12805,1.1308,-0.8658536585365855,LOSS,65.61666666666666,RANGE,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
2019-02-21 18:05:00,OPEN,SELL,2.0,1.13387,EURUSD,6,110.0,250.0,6,0.0,-8.0,0.0,0.0,-8.0,0,2019-02-21 19:45:00,1.13293,180.0,2019-02-21 18:05:00,2019-02-21 16:05:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,24.318041,0.00052,38.884945,1.13472,0.00092,1.13458,0.00093,2019.02.21 08:00:00,2019.02.21 17:35:00,2019.02.21 17:50:00,1.13454,1.13469,1.13472,1.13387,1.13497,1.13189,2.3,0.8,-1,2019-02-21 18:05:00,2019-02-21 16:05:00,2019-02-21 19:45:00,2019-02-21 17:45:00,1.13387,1.13293,1.13497,1.13189,0.72,WIN,100.0,TREND,NY_LATE,MID,LOW,NON_LEVEL_FINAL_CLOSE
2019-03-12 13:05:00,OPEN,SELL,2.03,1.1265,EURUSD,8,108.0,249.69,8,0.0,-8.12,0.0,0.0,-8.12,0,2019-03-12 14:30:28,1.12758,-227.36,2019-03-12 13:05:00,2019-03-12 10:05:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,46.171757,0.00038,37.994029,1.1274,0.0005,1.12742,0.00046,2019.03.12 08:00:00,2019.03.12 11:50:00,2019.03.12 12:05:00,1.12706,1.12688,1.12749,1.1265,1.12758,1.12456,2.3,0.8,-1,2019-03-12 13:05:00,2019-03-12 10:05:00,2019-03-12 14:30:28,2019-03-12 11:30:28,1.1265,1.12758,1.12758,1.12456,-0.910569105691057,LOSS,85.46666666666667,TREND,LONDON_EARLY,MID,LOW,STOP_LEVEL
2019-04-29 22:20:00,OPEN,SELL,6.41,1.11843,EURUSD,10,24.0,249.99,10,0.0,-25.64,0.0,0.0,-25.64,0,2019-04-29 23:00:00,1.11838,6.409999999999997,2019-04-29 22:20:00,2019-04-29 19:20:00,PRIMARY_TICK_LONDON,0,RANGE_SHORT,ORDER_ACCEPTED,24.513045,0.00024,63.474849,1.11622,0.00098,1.11635,0.00103,2019.04.29 07:00:00,1970.01.01 00:00:00,1970.01.01 00:00:00,0.0,0.0,0.0,1.11843,1.11867,1.11622,2.3,0.8,-1,2019-04-29 22:20:00,2019-04-29 19:20:00,2019-04-29 23:00:00,2019-04-29 20:00:00,1.11843,1.11838,1.11867,1.11622,0.025641025641025626,WIN,40.0,RANGE,NY_LATE,LOW,LOW,NON_LEVEL_FINAL_CLOSE
2019-05-06 15:45:00,OPEN,SELL,1.88,1.11855,EURUSD,12,118.0,250.04,12,0.0,-7.52,0.0,0.0,-7.52,0,2019-05-06 17:25:00,1.1189,-73.32,2019-05-06 15:45:00,2019-05-06 12:45:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,32.689246,0.00037,28.313438,1.11921,0.00047,1.11923,0.00047,2019.05.06 07:00:00,2019.05.06 15:05:00,2019.05.06 15:20:00,1.11942,1.11855,1.11919,1.11855,1.11973,1.11643,2.3,0.8,-1,2019-05-06 15:45:00,2019-05-06 12:45:00,2019-05-06 17:25:00,2019-05-06 14:25:00,1.11855,1.1189,1.11973,1.11643,-0.2932330827067669,LOSS,100.0,TREND,LONDON_NY_OVERLAP,MID,LOW,NON_LEVEL_FINAL_CLOSE
2019-07-24 15:15:00,OPEN,SELL,2.57,1.11398,EURUSD,14,82.0,249.29,14,0.0,-10.28,0.0,0.0,-10.28,0,2019-07-24 16:19:34,1.11481,-223.59,2019-07-24 15:15:00,2019-07-24 12:15:00,PRIMARY_TICK_LONDON,1,TREND_SHORT,ORDER_ACCEPTED,28.152138,0.00031,40.485536,1.11416,0.00056,1.11424,0.00052,2019.07.24 07:00:00,2019.07.24 14:35:00,2019.07.24 14:50:00,1.11438,1.11398,1.11416,1.11398,1.1148,1.1125,1.8,0.3,-1,2019-07-24 15:15:00,2019-07-24 12:15:00,2019-07-24 16:19:34,2019-07-24 13:19:34,1.11398,1.11481,1.1148,1.1125,-0.8969072164948454,LOSS,64.56666666666666,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
2019-08-07 21:00:00,OPEN,BUY,2.47,1.12169,EURUSD,16,86.0,249.47,16,0.0,-9.88,0.0,0.0,-9.88,0,2019-08-07 22:38:29,1.12083,-222.29999999999998,2019-08-07 21:00:00,2019-08-07 18:00:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,44.791491,0.00053,42.276818,1.12143,0.00172,1.12072,0.00184,2019.08.07 07:00:00,2019.08.07 20:40:00,2019.08.07 20:55:00,1.12131,1.12166,1.12144,1.12169,1.12083,1.12324,1.8,0.3,1,2019-08-07 21:00:00,2019-08-07 18:00:00,2019-08-07 22:38:29,2019-08-07 19:38:29,1.12169,1.12083,1.12083,1.12324,-0.891089108910891,LOSS,98.48333333333333,TREND,NY_LATE,MID,MID,STOP_LEVEL
2019-08-13 12:05:00,OPEN,BUY,1.81,1.11947,EURUSD,18,122.0,247.97,18,0.0,-7.24,0.0,0.0,-7.24,0,2019-08-13 13:25:34,1.12167,390.96,2019-08-13 12:05:00,2019-08-13 09:05:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,23.237023,0.00039,55.350233,1.11912,0.00022,1.1191,0.00022,2019.08.13 07:00:00,2019.08.13 11:35:00,2019.08.13 11:50:00,1.11908,1.11916,1.11907,1.11947,1.11825,1.12167,1.9,0.4,1,2019-08-13 12:05:00,2019-08-13 09:05:00,2019-08-13 13:25:34,2019-08-13 10:25:34,1.11947,1.12167,1.11825,1.12167,1.5766423357664232,WIN,80.56666666666666,TREND,LONDON_EARLY,HIGH,LOW,TARGET_LEVEL
2019-08-23 15:20:00,OPEN,BUY,2.6,1.107,EURUSD,20,81.0,249.6,20,0.0,-10.4,0.0,0.0,-10.4,0,2019-08-23 15:53:38,1.10619,-221.0,2019-08-23 15:20:00,2019-08-23 12:20:00,PRIMARY_TICK_LONDON,1,TREND_LONG,ORDER_ACCEPTED,29.187504,0.00044,64.279238,1.10643,0.0006,1.10637,0.00063,2019.08.23 07:00:00,2019.08.23 14:55:00,2019.08.23 15:10:00,1.1066,1.10651,1.10639,1.107,1.10619,1.10846,1.8,0.3,1,2019-08-23 15:20:00,2019-08-23 12:20:00,2019-08-23 15:53:38,2019-08-23 12:53:38,1.107,1.10619,1.10619,1.10846,-0.8854166666666667,LOSS,33.63333333333333,TREND,LONDON_NY_OVERLAP,LOW,LOW,STOP_LEVEL
