sample_id,reference_timestamp,future_timestamp,symbol,side,reference_side,reference_price,future_quote_price,pip_size,latency_ms,actual_delay_ms
Q000001-BUY,2026-07-14T19:25:39.168,2026-07-14T19:25:40.467,USDJPY,BUY,ask,162.15300000,162.15100000,0.01000000,1000,1299
Q000001-SELL,2026-07-14T19:25:39.168,2026-07-14T19:25:40.467,USDJPY,SELL,bid,162.15000000,162.14800000,0.01000000,1000,1299
Q000002-BUY,2026-07-14T19:26:08.152,2026-07-14T19:26:09.571,USDJPY,BUY,ask,162.15100000,162.15100000,0.01000000,1000,1419
Q000002-SELL,2026-07-14T19:26:08.152,2026-07-14T19:26:09.571,USDJPY,SELL,bid,162.14900000,162.14800000,0.01000000,1000,1419
Q000003-BUY,2026-07-14T19:26:31.074,2026-07-14T19:26:32.564,USDJPY,BUY,ask,162.15600000,162.15600000,0.01000000,1000,1490
Q000003-SELL,2026-07-14T19:26:31.074,2026-07-14T19:26:32.564,USDJPY,SELL,bid,162.15400000,162.15400000,0.01000000,1000,1490
Q000004-BUY,2026-07-14T19:27:04.203,2026-07-14T19:27:05.609,USDJPY,BUY,ask,162.15800000,162.15600000,0.01000000,1000,1406
Q000004-SELL,2026-07-14T19:27:04.203,2026-07-14T19:27:05.609,USDJPY,SELL,bid,162.15500000,162.15400000,0.01000000,1000,1406
Q000005-BUY,2026-07-14T19:27:12.509,2026-07-14T19:27:13.960,USDJPY,BUY,ask,162.15600000,162.15700000,0.01000000,1000,1451
Q000005-SELL,2026-07-14T19:27:12.509,2026-07-14T19:27:13.960,USDJPY,SELL,bid,162.15400000,162.15500000,0.01000000,1000,1451
Q000006-BUY,2026-07-14T19:27:16.250,2026-07-14T19:27:17.564,USDJPY,BUY,ask,162.15400000,162.15700000,0.01000000,1000,1314
Q000006-SELL,2026-07-14T19:27:16.250,2026-07-14T19:27:17.564,USDJPY,SELL,bid,162.15200000,162.15400000,0.01000000,1000,1314
Q000007-BUY,2026-07-14T19:27:26.979,2026-07-14T19:27:28.304,USDJPY,BUY,ask,162.15800000,162.16100000,0.01000000,1000,1325
Q000007-SELL,2026-07-14T19:27:26.979,2026-07-14T19:27:28.304,USDJPY,SELL,bid,162.15500000,162.15800000,0.01000000,1000,1325
Q000008-BUY,2026-07-14T19:27:43.544,2026-07-14T19:27:44.819,USDJPY,BUY,ask,162.16300000,162.16100000,0.01000000,1000,1275
Q000008-SELL,2026-07-14T19:27:43.544,2026-07-14T19:27:44.819,USDJPY,SELL,bid,162.16000000,162.15900000,0.01000000,1000,1275
Q000009-BUY,2026-07-14T19:27:55.921,2026-07-14T19:27:57.334,USDJPY,BUY,ask,162.15900000,162.15900000,0.01000000,1000,1413
Q000009-SELL,2026-07-14T19:27:55.921,2026-07-14T19:27:57.334,USDJPY,SELL,bid,162.15600000,162.15700000,0.01000000,1000,1413
Q000010-BUY,2026-07-14T19:28:18.772,2026-07-14T19:28:20.153,USDJPY,BUY,ask,162.16200000,162.16200000,0.01000000,1000,1381
Q000010-SELL,2026-07-14T19:28:18.772,2026-07-14T19:28:20.153,USDJPY,SELL,bid,162.16000000,162.16000000,0.01000000,1000,1381
