case_id,position_id,entry_time_server,exit_time_server,entry_time_utc,exit_time_utc,server_utc_offset_h,direction,side,entry,sl,tp,exit,volume,initial_risk_account,risk_pips,net_usd,net_r,holding_minutes,weekday_utc,session_utc,selection_reason,label,close_deal_id,exact_exit_class,exact_exit_comment,active_stop_at_exit,telemetry_status,h1_close,h1_ema,rolling_vwap_48,atr14,spread_pips
VRAS-008-R001-P5536,5536,2022.02.18 04:50:00,2022.02.18 06:50:00,2022.02.18 02:50:00,2022.02.18 04:50:00,2,1,BUY,1.13652,1.13611,1.13714,1.13672,1.17,47.97,4.1000000000000005,18.72,0.39024390243902435,120.0,Friday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,5537,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.13682,1.13655,1.13648,0.00032,0.1
VRAS-008-R002-P1324,1324,2019.11.06 08:20:30,2019.11.06 08:29:21,2019.11.06 06:20:30,2019.11.06 06:29:21,2,-1,SELL,1.10742,1.10778,1.10688,1.10779,1.36,48.96,3.6,-55.76,-1.1388888888888888,8.85,Wednesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,1325,INITIAL_SL,sl 1.10778,1.10778,ORDER_ACCEPTED,1.10757,1.11211,1.10749,0.00013,0.3
VRAS-008-R003-P1584,1584,2020.01.14 04:55:00,2020.01.14 06:55:00,2020.01.14 02:55:00,2020.01.14 04:55:00,2,1,BUY,1.11377,1.11337,1.11437,1.11369,1.23,49.2,4.0,-14.76,-0.3,120.0,Tuesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,1585,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.11371,1.11359,1.11369,0.00016,0.3
VRAS-008-R004-P1100,1100,2019.08.30 16:00:00,2019.08.30 16:10:03,2019.08.30 13:00:00,2019.08.30 13:10:03,3,-1,SELL,1.1038,1.10438,1.10293,1.10438,0.85,49.3,5.8,-52.699999999999996,-1.0689655172413792,10.05,Friday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,1101,INITIAL_SL,sl 1.10438,1.10438,ORDER_ACCEPTED,1.1038,1.10898,1.10399,0.00036,0.1
VRAS-008-R005-P4118,4118,2021.05.06 16:25:00,2021.05.06 16:38:29,2021.05.06 13:25:00,2021.05.06 13:38:29,3,1,BUY,1.20537,1.20465,1.20645,1.20646,0.67,48.24,7.2,70.35,1.4583333333333333,13.483333333333333,Thursday,NewYork,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,4119,TARGET,tp 1.20645,1.20645,ORDER_ACCEPTED,1.20571,1.20404,1.20492,0.00046,0.1
VRAS-008-R006-P3252,3252,2020.11.23 10:35:00,2020.11.23 12:35:00,2020.11.23 08:35:00,2020.11.23 10:35:00,2,1,BUY,1.18726,1.18624,1.18879,1.18773,0.48,48.96,10.200000000000001,20.64,0.4215686274509804,120.0,Monday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,3253,TIME_EXIT,VRAS HYP006 time exit,,ORDER_ACCEPTED,1.1868,1.18428,1.1872,0.00047,0.1
VRAS-008-R007-P5424,5424,2022.01.31 01:50:00,2022.01.31 01:58:35,2022.01.30 23:50:00,2022.01.30 23:58:35,2,-1,SELL,1.11451,1.11514,1.11357,1.11515,0.76,47.88,6.3,-51.68,-1.0793650793650793,8.583333333333334,Sunday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5425,INITIAL_SL,sl 1.11514,1.11514,ORDER_ACCEPTED,1.1144,1.12643,1.11454,0.00025,0.6
VRAS-008-R008-P190,190,2019.02.12 07:45:00,2019.02.12 08:14:40,2019.02.12 05:45:00,2019.02.12 06:14:40,2,-1,SELL,1.12788,1.12826,1.12731,1.12826,1.31,49.78,3.8,-55.02,-1.105263157894737,29.666666666666668,Tuesday,Asia,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,191,INITIAL_SL,sl 1.12826,1.12826,ORDER_ACCEPTED,1.12757,1.13652,1.12796,0.00014,0.8
VRAS-008-R009-P5224,5224,2021.12.21 20:20:00,2021.12.21 20:58:37,2021.12.21 18:20:00,2021.12.21 18:58:37,2,-1,SELL,1.12658,1.12736,1.12541,1.12737,0.62,48.36,7.800000000000001,-51.459999999999994,-1.0641025641025639,38.61666666666667,Tuesday,OffHours,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,LOSS_RANDOM,5225,INITIAL_SL,sl 1.12736,1.12736,ORDER_ACCEPTED,1.1267,1.12877,1.12708,0.0004,0.1
VRAS-008-R010-P6578,6578,2022.08.31 11:25:00,2022.08.31 11:44:21,2022.08.31 08:25:00,2022.08.31 08:44:21,3,-1,SELL,1.00133,1.00282,0.9991,0.9991,0.32,47.68,14.900000000000002,70.08,1.4697986577181208,19.35,Wednesday,Europe,RANDOM_UNIFORM_WITHOUT_REPLACEMENT,WIN_RANDOM,6579,TARGET,tp 0.99910,0.9991,ORDER_ACCEPTED,1.00015,1.00175,1.00221,0.00075,0.1
