position_id,entry_time,exit_time,entry_time_utc,exit_time_utc,side,entry,lifecycle_sl,exit,net_usd,net_r,holding_minutes,exit_class,exit_comment,active_stop_at_exit
12,2019.01.04 23:00:00,2019.01.07 01:00:00,2019.01.04 21:00:00,2019.01.06 23:00:00,BUY,1.14031,1.13939,1.14042,-12.26,-0.2467793880837359,3000.0,TIME_EXIT,VRAS HYP006 time exit,
870,2019.07.12 23:40:00,2019.07.15 00:05:03,2019.07.12 20:40:00,2019.07.14 21:05:03,BUY,1.127,1.12658,1.12658,-88.57,-1.8024013024013021,2905.05,INITIAL_SL,sl 1.12658,1.12658
968,2019.08.02 22:10:00,2019.08.05 00:10:00,2019.08.02 19:10:00,2019.08.04 21:10:00,SELL,1.11091,1.11148,1.11106,-41.62,-0.8490412076703385,3000.0,TIME_EXIT,VRAS HYP006 time exit,
1158,2019.09.13 23:00:00,2019.09.16 01:00:00,2019.09.13 20:00:00,2019.09.15 22:00:00,BUY,1.10766,1.1069300000000002,1.10723,-51.39,-1.0507053772234718,3000.0,TIME_EXIT,VRAS HYP006 time exit,
1200,2019.09.27 23:00:00,2019.09.30 01:00:00,2019.09.27 20:00:00,2019.09.29 22:00:00,SELL,1.09413,1.09451,1.09417,-48.25,-0.9842921256629946,3000.0,TIME_EXIT,VRAS HYP006 time exit,
1570,2020.01.10 23:15:00,2020.01.13 00:36:15,2020.01.10 21:15:00,2020.01.12 22:36:15,SELL,1.11205,1.11239,1.11151,29.660000000000004,0.6058006535947713,2961.25,TARGET,tp 1.11154,1.11154
1636,2020.01.24 23:25:00,2020.01.27 00:05:27,2020.01.24 21:25:00,2020.01.26 22:05:27,SELL,1.10275,1.1031,1.10311,-97.16,-1.9828571428571429,2920.45,INITIAL_SL,sl 1.10310,1.1031
1698,2020.02.07 22:50:00,2020.02.10 01:00:00,2020.02.07 20:50:00,2020.02.09 23:00:00,SELL,1.09462,1.09493,1.09436,-11.690000000000001,-0.2386688444262965,3010.0,TIME_EXIT,VRAS HYP006 time exit,
2686,2020.08.14 22:00:00,2020.08.17 00:05:00,2020.08.14 19:00:00,2020.08.16 21:05:00,BUY,1.18385,1.1833500000000001,1.18375,-42.83,-0.8740816326530612,3005.0,TIME_EXIT,VRAS HYP006 time exit,
3004,2020.10.09 23:00:00,2020.10.12 00:05:00,2020.10.09 20:00:00,2020.10.11 21:05:00,BUY,1.18257,1.18213,1.18173,-130.65,-2.675061425061425,2945.0,MOVED_SL,sl 1.18262,1.18262
3586,2021.01.22 23:20:00,2021.01.25 00:05:00,2021.01.22 21:20:00,2021.01.24 22:05:00,BUY,1.21692,1.21646,1.21629,-102.5,-2.102132895816243,2925.0,INITIAL_SL,sl 1.21646,1.21646
3876,2021.03.19 22:00:00,2021.03.22 00:05:00,2021.03.19 20:00:00,2021.03.21 22:05:00,SELL,1.19052,1.19115,1.18757,201.42999999999998,4.152339723768295,3005.0,TARGET,tp 1.18958,1.18958
4092,2021.04.30 23:30:00,2021.05.03 00:05:00,2021.04.30 20:30:00,2021.05.02 21:05:00,SELL,1.20225,1.20265,1.20291,-121.27,-2.4850409836065572,2915.0,INITIAL_SL,sl 1.20265,1.20265
4454,2021.07.16 22:00:00,2021.07.19 00:05:00,2021.07.16 19:00:00,2021.07.18 21:05:00,SELL,1.18091,1.1815799999999999,1.18097,-28.369999999999997,-0.5881011608623549,3005.0,TIME_EXIT,VRAS HYP006 time exit,
4660,2021.08.27 23:00:00,2021.08.30 00:06:10,2021.08.27 20:00:00,2021.08.29 21:06:10,BUY,1.17966,1.17922,1.17915,-93.17,-1.925,2946.1666666666665,INITIAL_SL,sl 1.17922,1.17922
5240,2021.12.24 20:40:00,2021.12.27 00:05:00,2021.12.24 18:40:00,2021.12.26 22:05:00,BUY,1.13164,1.13068,1.13068,-64.85,-1.3510416666666665,3085.0,INITIAL_SL,sl 1.13068,1.13068
5306,2022.01.07 23:20:00,2022.01.10 00:05:00,2022.01.07 21:20:00,2022.01.09 22:05:00,BUY,1.13602,1.13558,1.13558,-85.47,-1.7659090909090909,2925.0,INITIAL_SL,sl 1.13558,1.13558
5448,2022.02.04 22:20:00,2022.02.07 00:25:00,2022.02.04 20:20:00,2022.02.06 22:25:00,BUY,1.14544,1.14457,1.14572,-3.14,-0.06562173458725183,3005.0,TIME_EXIT,VRAS HYP006 time exit,
5648,2022.03.11 23:40:00,2022.03.14 00:05:00,2022.03.11 21:40:00,2022.03.13 22:05:00,SELL,1.09104,1.09183,1.09207,-83.2,-1.7264992737082383,2905.0,INITIAL_SL,sl 1.09183,1.09183
5692,2022.03.18 21:05:00,2022.03.21 00:05:00,2022.03.18 19:05:00,2022.03.20 22:05:00,BUY,1.1054,1.10408,1.10484,-32.29,-0.6795033670033669,3060.0,TIME_EXIT,VRAS HYP006 time exit,
5814,2022.04.08 23:10:00,2022.04.11 00:05:00,2022.04.08 20:10:00,2022.04.10 21:05:00,SELL,1.08743,1.08819,1.09169,-289.41999999999996,-6.044695071010859,2935.0,INITIAL_SL,sl 1.08819,1.08819
6148,2022.06.10 23:00:00,2022.06.13 01:00:00,2022.06.10 20:00:00,2022.06.12 22:00:00,SELL,1.05186,1.05282,1.05158,-2.7,-0.05625,3000.0,TIME_EXIT,VRAS HYP006 time exit,
6452,2022.08.05 23:00:00,2022.08.08 01:00:00,2022.08.05 20:00:00,2022.08.07 22:00:00,SELL,1.0178,1.01864,1.01743,2.0500000000000003,0.04281537176274019,3000.0,TIME_EXIT,VRAS HYP006 time exit,
6634,2022.09.09 22:00:00,2022.09.12 00:05:00,2022.09.09 19:00:00,2022.09.11 21:05:00,BUY,1.00438,1.00353,1.0095,267.84999999999997,5.627100840336134,3005.0,TARGET,tp 1.00566,1.00566
6720,2022.09.23 23:25:00,2022.09.26 00:05:00,2022.09.23 20:25:00,2022.09.25 21:05:00,SELL,0.96912,0.9697899999999999,0.96702,125.38999999999999,2.635904982131595,2920.0,TARGET,tp 0.96812,0.96812
6840,2022.10.14 23:25:00,2022.10.17 01:03:18,2022.10.14 20:25:00,2022.10.16 22:03:18,SELL,0.97228,0.9732000000000001,0.97321,-65.73,-1.3739548494983278,2978.3,INITIAL_SL,sl 0.97320,0.9732
7194,2022.12.23 23:05:00,2022.12.26 00:05:30,2022.12.23 21:05:00,2022.12.25 22:05:30,BUY,1.062,1.06119,1.06115,-70.03,-1.4653693241263863,2940.5,INITIAL_SL,sl 1.06119,1.06119
